Price,Close,High,Low,Open,Volume
Ticker,BCAR,BCAR,BCAR,BCAR,BCAR
Date,,,,,
2025-08-20,9.920000076293945,9.920000076293945,9.880000114440918,9.920000076293945,1173500
2025-08-21,9.90999984741211,9.914999961853027,9.90999984741211,9.90999984741211,47500
2025-08-22,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,800
2025-08-25,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,50300
2025-08-26,9.90999984741211,9.920000076293945,9.899999618530273,9.899999618530273,75500
2025-08-27,9.895000457763672,9.899999618530273,9.890000343322754,9.899999618530273,200200
2025-08-28,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,200
2025-08-29,9.899999618530273,9.90999984741211,9.895000457763672,9.90999984741211,111300
2025-09-02,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,123500
2025-09-03,9.899999618530273,9.904999732971191,9.892000198364258,9.892000198364258,244100
2025-09-04,9.899999618530273,9.899999618530273,9.890000343322754,9.895000457763672,158900
2025-09-05,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1000
2025-09-08,9.894000053405762,9.90999984741211,9.894000053405762,9.90999984741211,359700
2025-09-09,9.899999618530273,9.904999732971191,9.890000343322754,9.899999618530273,690800
2025-09-10,9.904999732971191,9.90999984741211,9.904999732971191,9.904999732971191,54700
2025-09-11,9.90999984741211,9.90999984741211,9.899999618530273,9.904999732971191,561400
2025-09-12,9.899999618530273,9.90999984741211,9.899999618530273,9.90999984741211,325500
2025-09-15,9.904999732971191,9.90999984741211,9.899999618530273,9.90999984741211,288100
2025-09-16,9.904999732971191,9.90999984741211,9.904999732971191,9.90999984741211,1700
2025-09-17,9.90999984741211,9.90999984741211,9.904999732971191,9.90999984741211,52300
2025-09-18,9.90999984741211,9.90999984741211,9.904999732971191,9.90999984741211,140500
2025-09-19,9.899999618530273,9.90999984741211,9.899999618530273,9.899999618530273,120800
2025-09-22,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,3400
2025-09-23,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,8200
2025-09-24,9.920000076293945,9.920000076293945,9.914999961853027,9.914999961853027,141600
2025-09-25,9.920000076293945,9.949999809265137,9.920000076293945,9.949999809265137,147100
2025-09-26,9.930000305175781,9.930000305175781,9.920000076293945,9.925000190734863,46000
2025-09-29,9.920000076293945,9.930000305175781,9.920000076293945,9.930000305175781,105200
2025-09-30,9.930000305175781,9.930000305175781,9.920000076293945,9.930000305175781,71200
2025-10-01,9.930000305175781,9.930000305175781,9.925000190734863,9.925000190734863,23000
