Price,Close,High,Low,Open,Volume
Ticker,EVTV,EVTV,EVTV,EVTV,EVTV
Date,,,,,
2017-06-15,1450.0,1620.0,1306.0,1620.0,431
2017-06-16,1920.0,1966.0,1446.0,1560.0,1459
2017-06-19,2022.4000244140625,2332.0,1900.0,2000.0,1101
2017-06-20,2050.0,2140.0,1920.0,2010.0,231
2017-06-21,2100.0,2100.0,2000.0,2050.0,524
2017-06-22,2112.0,2130.0,2004.0,2130.0,464
2017-06-23,2122.0,2140.0,2022.0,2100.0,118
2017-06-26,2140.0,2140.0,2085.60009765625,2126.0,118
2017-06-27,2154.0,2154.0,2120.0,2150.0,90
2017-06-28,2900.0,2900.0,2160.0,2160.0,1200
2017-06-29,3138.0,3460.0,2930.0,3460.0,1521
2017-06-30,3210.0,3277.199951171875,3138.0,3200.0,675
2017-07-03,3300.0,3499.800048828125,3130.0,3130.0,613
2017-07-05,3402.0,3410.0,3074.0,3410.0,876
2017-07-06,3420.0,3490.0,3178.0,3476.0,576
2017-07-07,3370.0,3430.0,3300.0,3336.0,174
2017-07-10,3420.0,3420.60009765625,3278.0,3400.0,178
2017-07-11,3423.199951171875,3436.0,3348.0,3424.0,434
2017-07-12,3430.0,3662.0,2922.0,3438.0,1098
2017-07-13,3076.0,3480.0,3040.0,3480.0,435
2017-07-14,3024.0,3224.0,2918.0,3200.0,283
2017-07-17,2550.0,3003.800048828125,2500.0,3002.0,938
2017-07-18,2482.0,2570.0,2430.0,2550.0,532
2017-07-19,2102.0,2450.0,2083.199951171875,2450.0,328
2017-07-20,1840.0,2031.0,1740.0,2008.0,374
2017-07-21,1760.0,1856.0,1750.0,1820.0,518
2017-07-24,1760.0,1974.800048828125,1650.0,1746.0,404
2017-07-25,1772.0,1880.0,1742.0,1748.0,585
2017-07-26,2100.0,2130.0,1680.0,1680.0,1080
2017-07-27,2006.0,2130.0,1990.0,2130.0,262
2017-07-28,1940.0,2006.0,1880.0,1960.0,204
2017-07-31,1798.0,2017.5999755859375,1720.0,1894.0,165
2017-08-01,1660.0,1793.199951171875,1650.0,1760.0,517
2017-08-02,1350.0,1684.0,1300.0,1684.0,465
2017-08-03,1302.0,1432.0,1222.0,1338.0,646
2017-08-04,1278.0,1346.0,1276.0,1300.0,120
2017-08-07,1298.0,1438.0,1277.4000244140625,1438.0,150
2017-08-08,1540.0,1654.4000244140625,1315.199951171875,1358.0,881
2017-08-09,1640.0,1678.0,1506.0,1650.0,227
2017-08-10,2098.0,2098.0,1600.0,1680.0,729
2017-08-11,2110.0,2110.0,1746.0,2091.800048828125,424
2017-08-14,2300.0,2372.0,2016.0,2110.0,549
2017-08-15,2400.0,2521.60009765625,2260.0,2290.0,893
2017-08-16,2572.0,2596.0,2402.60009765625,2500.0,625
2017-08-17,2618.0,2716.0,2433.800048828125,2572.0,1016
2017-08-18,2622.0,2688.0,2403.800048828125,2572.0,617
2017-08-21,2640.0,2692.0,2500.0,2630.0,596
2017-08-22,2640.0,2648.0,2404.0,2462.0,712
