Price,Close,High,Low,Open,Volume
Ticker,HCWB,HCWB,HCWB,HCWB,HCWB
Date,,,,,
2021-07-20,252.0,311.0,236.39999389648438,300.0,80638
2021-07-21,206.0,246.0,206.0,226.8000030517578,11583
2021-07-22,190.8000030517578,216.0,170.8000030517578,211.60000610351562,8900
2021-07-23,207.60000610351562,210.0,193.60000610351562,193.60000610351562,2708
2021-07-26,216.0,219.60000610351562,200.39999389648438,216.0,3185
2021-07-27,216.39999389648438,220.0,207.60000610351562,216.0,1333
2021-07-28,209.16000366210938,219.1999969482422,204.8000030517578,210.0,1460
2021-07-29,200.39999389648438,216.8000030517578,200.39999389648438,209.60000610351562,1148
2021-07-30,198.75999450683594,206.0,196.0,206.0,590
2021-08-02,200.8000030517578,208.8000030517578,198.8000030517578,200.0,613
2021-08-03,208.0,208.39999389648438,202.0,208.39999389648438,228
2021-08-04,200.39999389648438,208.0,198.39999389648438,204.0,925
2021-08-05,206.0,206.0,190.0,198.8000030517578,613
2021-08-06,203.60000610351562,204.8000030517578,193.75999450683594,198.39999389648438,403
2021-08-09,212.0,217.39999389648438,199.1999969482422,200.8000030517578,763
2021-08-10,198.0,216.83999633789062,190.8000030517578,215.60000610351562,3215
2021-08-11,200.0,204.0,194.0,194.0,593
2021-08-12,201.1999969482422,207.60000610351562,195.1999969482422,200.39999389648438,565
2021-08-13,204.8000030517578,207.60000610351562,196.0,202.63999938964844,700
2021-08-16,203.1999969482422,207.60000610351562,196.0,204.8000030517578,578
2021-08-17,199.60000610351562,205.60000610351562,190.0,200.39999389648438,1018
2021-08-18,187.1999969482422,205.0,184.39999389648438,200.0,783
2021-08-19,174.0,187.1999969482422,166.0,184.8000030517578,1988
2021-08-20,163.1999969482422,178.39999389648438,150.8000030517578,168.8000030517578,2763
2021-08-23,155.1999969482422,167.16000366210938,141.27999877929688,161.1999969482422,2250
2021-08-24,156.8000030517578,171.1999969482422,151.60000610351562,163.60000610351562,5660
2021-08-25,164.0,169.60000610351562,152.8000030517578,168.39999389648438,6023
2021-08-26,146.0,163.60000610351562,146.0,159.60000610351562,2750
2021-08-27,160.0,163.60000610351562,146.0,148.39999389648438,5113
2021-08-30,152.39999389648438,160.36000061035156,150.1999969482422,160.0,1363
2021-08-31,158.8000030517578,160.0,153.1999969482422,156.0,2065
2021-09-01,156.8000030517578,159.1999969482422,152.39999389648438,156.8000030517578,990
2021-09-02,156.8000030517578,158.8000030517578,153.0,158.8000030517578,740
2021-09-03,154.0,160.0,152.0,159.1999969482422,1640
2021-09-07,176.39999389648438,188.0,155.1999969482422,156.39999389648438,3565
2021-09-08,172.39999389648438,186.39999389648438,172.1999969482422,175.1999969482422,4765
2021-09-09,176.0,188.0,172.0,172.0,1080
2021-09-10,178.8000030517578,182.8000030517578,176.39999389648438,177.1999969482422,1238
2021-09-13,165.1999969482422,189.60000610351562,163.1999969482422,182.8000030517578,1815
2021-09-14,170.39999389648438,176.0,162.39999389648438,162.39999389648438,753
2021-09-15,151.60000610351562,170.8000030517578,151.60000610351562,170.39999389648438,1890
2021-09-16,155.1999969482422,162.55999755859375,151.60000610351562,151.60000610351562,523
2021-09-17,145.1999969482422,159.0,138.39999389648438,156.0,3175
2021-09-20,132.0,148.0,130.39999389648438,148.0,1353
2021-09-21,140.0,146.44000244140625,134.8000030517578,134.8000030517578,1090
2021-09-22,133.1999969482422,143.1999969482422,132.8000030517578,140.8000030517578,988
2021-09-23,136.0,142.0,133.1999969482422,133.60000610351562,1760
2021-09-24,146.8000030517578,155.60000610351562,132.0,134.8000030517578,1968
2021-09-27,137.1999969482422,149.1999969482422,136.0,143.60000610351562,1673
2021-09-28,125.5999984741211,136.39999389648438,120.80000305175781,136.39999389648438,1998
2021-09-29,127.5999984741211,132.1999969482422,126.0,126.4000015258789,698
2021-09-30,127.5999984741211,129.1999969482422,123.5999984741211,127.5999984741211,343
2021-10-01,122.80000305175781,129.1999969482422,122.0,127.19999694824219,595
2021-10-04,112.80000305175781,126.19999694824219,112.80000305175781,124.0,1340
2021-10-05,107.19999694824219,119.19999694824219,105.19999694824219,114.0,1695
2021-10-06,114.4000015258789,117.5999984741211,104.0,104.0,700
2021-10-07,110.4000015258789,117.5999984741211,107.5999984741211,111.5999984741211,2038
2021-10-08,114.0,117.5999984741211,111.5999984741211,116.80000305175781,653
2021-10-11,108.80000305175781,117.5999984741211,106.4000015258789,111.95999908447266,1858
2021-10-12,106.4000015258789,113.19999694824219,104.80000305175781,111.19999694824219,1033
2021-10-13,106.80000305175781,111.19999694824219,106.4000015258789,111.19999694824219,510
2021-10-14,107.19999694824219,107.5999984741211,104.0,106.4000015258789,708
2021-10-15,104.80000305175781,109.19999694824219,104.0,104.4000015258789,583
2021-10-18,113.19999694824219,114.0,100.4000015258789,104.80000305175781,2728
2021-10-19,128.8000030517578,154.8000030517578,110.72000122070312,113.04000091552734,129643
2021-10-20,109.5999984741211,123.16000366210938,107.5999984741211,122.0,12913
2021-10-21,106.5999984741211,109.72000122070312,106.4000015258789,107.5999984741211,2088
2021-10-22,98.80000305175781,107.5999984741211,94.4000015258789,107.5999984741211,5103
2021-10-25,108.0,115.5999984741211,96.19999694824219,97.5999984741211,4725
2021-10-26,108.0,111.5999984741211,107.19999694824219,107.19999694824219,1573
