Price,Close,High,Low,Open,Volume
Ticker,LIDRW,LIDRW,LIDRW,LIDRW,LIDRW
Date,,,,,
2021-01-08,2.0,2.25,1.8899999856948853,2.0,47500
2021-01-11,1.850000023841858,2.0,1.7999999523162842,2.0,21900
2021-01-12,1.7319999933242798,1.850000023841858,1.7300000190734863,1.850000023841858,278400
2021-01-13,2.0,2.180000066757202,1.7000000476837158,1.75,352600
2021-01-14,3.2300000190734863,3.75,1.899999976158142,2.0799999237060547,2292100
2021-01-15,3.125,3.3499999046325684,2.8499999046325684,3.3399999141693115,514100
2021-01-19,2.9700000286102295,3.2799999713897705,2.9000000953674316,3.130000114440918,200900
2021-01-20,2.8499999046325684,3.1700000762939453,2.8299999237060547,3.0,157700
2021-01-21,2.700000047683716,2.8499999046325684,2.690000057220459,2.8499999046325684,177600
2021-01-22,2.75,3.0,2.609999895095825,2.7899999618530273,233800
2021-01-25,2.799999952316284,3.140000104904175,2.75,2.9600000381469727,225500
2021-01-26,2.7699999809265137,2.9800000190734863,2.7200000286102295,2.75,85300
2021-01-27,2.5999999046325684,2.75,2.5999999046325684,2.740000009536743,107300
2021-01-28,2.549999952316284,2.6500000953674316,2.4000000953674316,2.559999942779541,114300
2021-01-29,2.490000009536743,2.690000057220459,2.4000000953674316,2.690000057220459,81700
2021-02-01,2.6600000858306885,2.7300000190734863,2.25,2.5,145600
2021-02-02,2.7750000953674316,2.9830000400543213,2.5999999046325684,2.799999952316284,77300
2021-02-03,2.9000000953674316,3.0,2.799999952316284,2.859999895095825,140400
2021-02-04,3.049999952316284,3.0999999046325684,2.9200000762939453,2.9200000762939453,145400
2021-02-05,3.0999999046325684,3.1500000953674316,3.0299999713897705,3.0999999046325684,188800
2021-02-08,3.1089999675750732,3.119999885559082,3.0,3.069999933242798,172900
2021-02-09,3.009999990463257,3.130000114440918,3.0,3.0999999046325684,221700
2021-02-10,3.049999952316284,3.200000047683716,3.0,3.0199999809265137,120500
2021-02-11,3.009999990463257,3.200000047683716,3.009999990463257,3.0999999046325684,64000
2021-02-12,3.200000047683716,3.200000047683716,3.009999990463257,3.009999990463257,96200
2021-02-16,3.2699999809265137,3.299999952316284,3.109999895095825,3.200000047683716,120500
2021-02-17,2.5999999046325684,3.25,2.4600000381469727,3.1500000953674316,1424200
2021-02-18,2.75,2.930000066757202,2.609999895095825,2.930000066757202,737200
2021-02-19,2.8399999141693115,3.0899999141693115,2.759999990463257,2.8499999046325684,369800
2021-02-22,2.7699999809265137,3.0,2.75,3.0,277000
2021-02-23,2.1700000762939453,2.6500000953674316,2.0899999141693115,2.5999999046325684,756500
2021-02-24,2.1700000762939453,2.319999933242798,2.140000104904175,2.319999933242798,227000
2021-02-25,2.180000066757202,2.615000009536743,2.059999942779541,2.200000047683716,312300
2021-02-26,2.049999952316284,2.2070000171661377,1.7999999523162842,2.0199999809265137,208900
2021-03-01,1.9900000095367432,2.0799999237060547,1.899999976158142,2.069999933242798,148600
2021-03-02,1.8300000429153442,2.0199999809265137,1.7899999618530273,2.0,120500
2021-03-03,1.75,1.8899999856948853,1.7400000095367432,1.8600000143051147,114700
