Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-12,9.94,9.95,9.94,9.94,360000,0.00,0.00
2022-09-13,9.94,9.94,9.94,9.94,30100,0.00,0.00
2022-09-14,9.94,9.94,9.94,9.94,300100,0.00,0.00
2022-09-15,9.94,9.94,9.94,9.94,0,0.00,0.00
2022-09-16,9.94,9.94,9.94,9.94,28300,0.00,0.00
2022-09-19,9.95,9.96,9.95,9.95,39900,0.00,0.00
2022-09-20,9.95,9.95,9.95,9.95,0,0.00,0.00
2022-09-21,9.95,9.95,9.95,9.95,0,0.00,0.00
2022-09-22,9.97,9.98,9.97,9.98,19500,0.00,0.00
2022-09-23,9.99,9.99,9.99,9.99,1400,0.00,0.00
2022-09-26,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-09-27,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-09-28,9.97,9.97,9.96,9.96,300,0.00,0.00
2022-09-29,9.96,9.96,9.96,9.96,0,0.00,0.00
2022-09-30,9.96,9.96,9.96,9.96,0,0.00,0.00
2022-10-03,9.96,9.96,9.96,9.96,0,0.00,0.00
2022-10-04,9.96,10.03,9.96,10.03,2900,0.00,0.00
2022-10-05,10.00,10.01,9.97,9.97,5500,0.00,0.00
2022-10-06,9.97,9.97,9.97,9.97,0,0.00,0.00
2022-10-07,9.99,9.99,9.99,9.99,299000,0.00,0.00
2022-10-10,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-11,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-12,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-13,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-14,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-17,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-18,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-19,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-20,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-21,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-24,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-25,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-26,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-27,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-28,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-10-31,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-11-01,10.03,10.06,10.03,10.03,6100,0.00,0.00
2022-11-02,10.03,10.03,10.03,10.03,0,0.00,0.00
2022-11-03,10.03,10.03,10.03,10.03,0,0.00,0.00
2022-11-04,10.05,10.05,10.05,10.05,2400,0.00,0.00
2022-11-07,10.05,10.05,10.05,10.05,0,0.00,0.00
2022-11-08,10.05,10.06,10.05,10.06,26000,0.00,0.00
2022-11-09,10.06,10.06,10.06,10.06,0,0.00,0.00
2022-11-10,10.06,10.06,10.06,10.06,0,0.00,0.00
2022-11-11,10.06,10.06,10.06,10.06,0,0.00,0.00
2022-11-14,10.07,10.07,10.06,10.07,62600,0.00,0.00
2022-11-15,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-11-16,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-11-17,10.10,10.10,10.10,10.10,500,0.00,0.00
2022-11-18,10.08,10.08,10.08,10.08,2200,0.00,0.00
2022-11-21,10.08,10.08,10.08,10.08,0,0.00,0.00
2022-11-22,10.10,10.18,10.09,10.09,1800,0.00,0.00
2022-11-23,10.09,10.09,10.09,10.09,1500,0.00,0.00
2022-11-25,10.10,10.18,10.10,10.18,1700,0.00,0.00
2022-11-28,10.11,10.11,10.11,10.11,1000,0.00,0.00
2022-11-29,10.11,10.11,10.11,10.11,700,0.00,0.00
2022-11-30,10.11,10.11,10.11,10.11,0,0.00,0.00
2022-12-01,10.11,10.11,10.11,10.11,0,0.00,0.00
2022-12-02,10.12,10.13,10.11,10.11,36800,0.00,0.00
2022-12-05,10.11,10.11,10.11,10.11,0,0.00,0.00
2022-12-06,10.11,10.11,10.11,10.11,0,0.00,0.00
2022-12-07,10.15,10.15,10.15,10.15,100,0.00,0.00
2022-12-08,10.15,10.15,10.15,10.15,0,0.00,0.00
2022-12-09,10.15,10.15,10.15,10.15,0,0.00,0.00
2022-12-12,10.15,10.15,10.15,10.15,0,0.00,0.00
2022-12-13,10.12,10.12,10.12,10.12,5000,0.00,0.00
2022-12-14,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-15,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-16,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-19,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-20,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-21,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-22,10.12,10.12,10.12,10.12,0,0.00,0.00
2022-12-23,10.15,10.15,10.15,10.15,27500,0.00,0.00
2022-12-27,10.17,10.17,10.17,10.17,20000,0.00,0.00
2022-12-28,10.17,10.17,10.17,10.17,0,0.00,0.00
2022-12-29,10.18,10.18,10.18,10.18,8600,0.00,0.00
2022-12-30,10.18,10.18,10.18,10.18,0,0.00,0.00
2023-01-03,10.16,10.17,10.16,10.17,156800,0.00,0.00
2023-01-04,10.22,10.22,10.17,10.17,101500,0.00,0.00
2023-01-05,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-06,10.22,10.22,10.16,10.16,7100,0.00,0.00
2023-01-09,10.16,10.16,10.16,10.16,0,0.00,0.00
2023-01-10,10.17,10.17,10.17,10.17,200,0.00,0.00
2023-01-11,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-12,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-13,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-17,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-18,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-19,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-20,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-23,10.17,10.17,10.17,10.17,0,0.00,0.00
2023-01-24,10.22,10.22,10.21,10.21,5900,0.00,0.00
2023-01-25,10.21,10.21,10.21,10.21,0,0.00,0.00
2023-01-26,10.21,10.21,10.21,10.21,0,0.00,0.00
2023-01-27,10.21,10.21,10.21,10.21,0,0.00,0.00
2023-01-30,10.21,10.21,10.21,10.21,0,0.00,0.00
2023-01-31,10.26,10.26,10.23,10.23,400,0.00,0.00
2023-02-01,10.23,10.23,10.23,10.23,0,0.00,0.00
2023-02-02,10.23,10.23,10.23,10.23,0,0.00,0.00
2023-02-03,10.27,10.27,10.24,10.24,700,0.00,0.00
2023-02-06,10.25,10.25,10.25,10.25,800,0.00,0.00
2023-02-07,10.28,10.62,10.24,10.24,19800,0.00,0.00
2023-02-08,10.24,10.24,10.24,10.24,0,0.00,0.00
2023-02-09,10.26,10.27,10.26,10.27,1325600,0.00,0.00
2023-02-10,10.27,10.27,10.27,10.27,0,0.00,0.00
2023-02-13,10.27,10.27,10.27,10.27,0,0.00,0.00
2023-02-14,10.27,10.27,10.27,10.27,0,0.00,0.00
2023-02-15,10.27,10.27,10.25,10.26,52800,0.00,0.00
2023-02-16,10.26,10.27,10.26,10.27,36100,0.00,0.00
2023-02-17,10.27,10.27,10.27,10.27,22400,0.00,0.00
2023-02-21,10.27,10.29,10.27,10.29,41400,0.00,0.00
2023-02-22,10.28,10.30,10.28,10.29,36800,0.00,0.00
2023-02-23,10.30,10.30,10.29,10.29,22000,0.00,0.00
2023-02-24,10.30,10.30,10.29,10.29,24100,0.00,0.00
2023-02-27,10.29,10.30,10.28,10.30,13700,0.00,0.00
2023-02-28,10.31,10.31,10.30,10.31,10700,0.00,0.00
2023-03-01,10.31,10.31,10.31,10.31,0,0.00,0.00
2023-03-02,10.31,10.31,10.31,10.31,0,0.00,0.00
2023-03-03,10.31,10.31,10.31,10.31,0,0.00,0.00
2023-03-06,10.32,10.32,10.32,10.32,100,0.00,0.00
2023-03-07,10.32,10.32,10.32,10.32,0,0.00,0.00
2023-03-08,10.32,10.32,10.32,10.32,0,0.00,0.00
2023-03-09,10.33,10.33,10.33,10.33,18300,0.00,0.00
2023-03-10,10.33,10.33,10.33,10.33,0,0.00,0.00
2023-03-13,10.32,10.35,10.32,10.35,2700,0.00,0.00
2023-03-14,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-15,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-16,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-17,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-20,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-21,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-22,10.32,10.32,10.32,10.32,100,0.00,0.00
2023-03-23,10.32,10.32,10.32,10.32,0,0.00,0.00
2023-03-24,10.32,10.32,10.32,10.32,0,0.00,0.00
2023-03-27,10.32,10.32,10.32,10.32,0,0.00,0.00
2023-03-28,10.32,10.32,10.32,10.32,0,0.00,0.00
2023-03-29,10.34,10.35,10.34,10.35,2000,0.00,0.00
2023-03-30,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-03-31,10.34,10.34,10.34,10.34,2900,0.00,0.00
2023-04-03,10.38,10.38,10.38,10.38,300,0.00,0.00
2023-04-04,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-04-05,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-04-06,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-04-10,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-04-11,10.35,10.35,10.35,10.35,800,0.00,0.00
2023-04-12,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-13,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-14,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-17,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-18,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-19,10.35,10.35,10.35,10.35,5000,0.00,0.00
2023-04-20,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-21,10.35,10.35,10.35,10.35,0,0.00,0.00
2023-04-24,10.37,10.37,10.37,10.37,2600,0.00,0.00
2023-04-25,10.36,10.36,10.36,10.36,10000,0.00,0.00
2023-04-26,10.38,10.38,10.38,10.38,700,0.00,0.00
2023-04-27,10.39,10.39,10.38,10.38,1100,0.00,0.00
2023-04-28,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-05-01,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-05-02,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-05-03,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-05-04,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-05-05,10.38,10.38,10.38,10.38,0,0.00,0.00
2023-05-08,10.40,10.42,10.40,10.42,9100,0.00,0.00
2023-05-09,10.42,10.42,10.42,10.42,0,0.00,0.00
2023-05-10,10.42,10.42,10.42,10.42,0,0.00,0.00
2023-05-11,10.42,10.42,10.42,10.42,0,0.00,0.00
2023-05-12,10.42,10.42,10.42,10.42,0,0.00,0.00
2023-05-15,10.42,10.42,10.42,10.42,0,0.00,0.00
2023-05-16,10.44,10.48,10.44,10.48,2800,0.00,0.00
2023-05-17,10.49,10.49,10.49,10.49,5100,0.00,0.00
2023-05-18,10.49,10.49,10.49,10.49,0,0.00,0.00
2023-05-19,10.49,10.49,10.49,10.49,300,0.00,0.00
2023-05-22,10.49,10.49,10.49,10.49,0,0.00,0.00
2023-05-23,10.49,10.49,10.49,10.49,0,0.00,0.00
2023-05-24,10.49,10.49,10.49,10.49,0,0.00,0.00
2023-05-25,10.50,10.50,10.50,10.50,2500,0.00,0.00
2023-05-26,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-05-30,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-05-31,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-01,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-02,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-05,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-06,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-07,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-08,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-09,10.50,10.50,10.50,10.50,0,0.00,0.00
2023-06-12,10.59,10.60,10.59,10.60,2700,0.00,0.00
2023-06-13,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-14,10.60,10.60,10.60,10.60,100,0.00,0.00
2023-06-15,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-16,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-20,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-21,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-22,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-23,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-26,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-06-27,10.62,10.62,10.62,10.62,4400,0.00,0.00
2023-06-28,10.62,10.62,10.62,10.62,0,0.00,0.00
2023-06-29,10.62,10.62,10.62,10.62,0,0.00,0.00
2023-06-30,10.62,10.62,10.62,10.62,0,0.00,0.00
2023-07-03,10.62,10.62,10.62,10.62,0,0.00,0.00
2023-07-05,10.62,10.62,10.62,10.62,19700,0.00,0.00
2023-07-06,10.60,10.60,10.60,10.60,56600,0.00,0.00
2023-07-07,10.61,10.61,10.60,10.60,1100,0.00,0.00
2023-07-10,10.61,10.61,10.61,10.61,6200,0.00,0.00
2023-07-11,10.61,10.61,10.61,10.61,0,0.00,0.00
2023-07-12,10.59,10.60,10.59,10.60,3400,0.00,0.00
2023-07-13,10.60,10.60,10.60,10.60,0,0.00,0.00
2023-07-14,10.59,10.60,10.59,10.60,42500,0.00,0.00
2023-07-17,10.60,10.60,10.59,10.59,3100,0.00,0.00
2023-07-18,10.60,10.64,10.60,10.64,34400,0.00,0.00
2023-07-19,10.64,10.64,10.64,10.64,0,0.00,0.00
2023-07-20,10.64,10.64,10.64,10.64,0,0.00,0.00
2023-07-21,10.79,10.79,10.66,10.66,96400,0.00,0.00
2023-07-24,10.66,10.66,10.63,10.63,11500,0.00,0.00
2023-07-25,10.62,10.62,10.61,10.61,70700,0.00,0.00
2023-07-26,10.65,10.67,10.61,10.65,49000,0.00,0.00
2023-07-27,10.64,10.70,10.62,10.67,96600,0.00,0.00
2023-07-28,11.00,11.00,10.29,10.67,81000,0.00,0.00
2023-07-31,10.50,13.27,10.23,12.31,43200,0.00,0.00
2023-08-01,11.83,11.83,10.09,10.15,26000,0.00,0.00
2023-08-02,10.02,10.21,6.13,6.96,145700,0.00,0.00
2023-08-03,6.75,8.84,6.22,8.70,81800,0.00,0.00
2023-08-04,8.40,10.38,7.39,9.13,143500,0.00,0.00
2023-08-07,8.24,9.49,8.05,9.01,68000,0.00,0.00
2023-08-08,9.00,9.39,8.26,8.95,66400,0.00,0.00
2023-08-09,8.78,9.09,8.00,8.57,4600,0.00,0.00
2023-08-10,9.00,9.25,8.62,8.84,15400,0.00,0.00
2023-08-11,8.70,9.10,8.22,8.91,13100,0.00,0.00
2023-08-14,7.82,8.68,7.80,8.66,18400,0.00,0.00
2023-08-15,8.20,9.10,8.20,8.80,10500,0.00,0.00
2023-08-16,8.22,9.20,8.22,8.67,18100,0.00,0.00
2023-08-17,8.69,8.69,5.18,5.85,451500,0.00,0.00
2023-08-18,6.38,6.50,4.91,5.50,907900,0.00,0.00
2023-08-21,4.90,5.65,4.90,5.10,170500,0.00,0.00
2023-08-22,5.10,5.35,4.91,5.01,74100,0.00,0.00
2023-08-23,4.79,5.20,4.54,4.75,99100,0.00,0.00
2023-08-24,4.50,5.44,4.20,4.99,326300,0.00,0.00
2023-08-25,5.00,5.15,4.70,4.70,88500,0.00,0.00
2023-08-28,4.62,5.15,4.58,4.69,67700,0.00,0.00
2023-08-29,4.51,4.89,4.21,4.45,49000,0.00,0.00
2023-08-30,4.40,4.52,4.26,4.27,65400,0.00,0.00
2023-08-31,4.19,4.64,4.19,4.28,181800,0.00,0.00
2023-09-01,4.37,4.57,4.10,4.17,69100,0.00,0.00
2023-09-05,4.15,4.15,3.46,3.50,162700,0.00,0.00
2023-09-06,3.59,3.59,3.00,3.00,74600,0.00,0.00
2023-09-07,2.91,3.00,2.82,2.89,45300,0.00,0.00
2023-09-08,2.82,2.88,2.71,2.82,35500,0.00,0.00
2023-09-11,2.82,2.88,2.78,2.85,15500,0.00,0.00
2023-09-12,2.83,3.22,2.83,3.14,17500,0.00,0.00
2023-09-13,3.26,3.27,3.06,3.12,27200,0.00,0.00
2023-09-14,3.08,3.14,3.01,3.06,22200,0.00,0.00
2023-09-15,2.98,3.14,2.98,3.13,7800,0.00,0.00
2023-09-18,3.13,3.65,3.01,3.42,93700,0.00,0.00
2023-09-19,3.42,3.60,3.42,3.44,28500,0.00,0.00
2023-09-20,3.47,3.60,3.35,3.51,24700,0.00,0.00
2023-09-21,3.50,3.60,2.99,3.11,11100,0.00,0.00
2023-09-22,3.35,3.58,3.21,3.37,13600,0.00,0.00
2023-09-25,3.21,3.35,3.21,3.22,1400,0.00,0.00
2023-09-26,3.22,3.49,3.18,3.27,46400,0.00,0.00
2023-09-27,3.40,3.43,3.31,3.31,16700,0.00,0.00
2023-09-28,3.39,3.39,3.30,3.32,3300,0.00,0.00
2023-09-29,3.40,3.41,3.27,3.39,17300,0.00,0.00
2023-10-02,3.29,3.47,3.26,3.27,3400,0.00,0.00
2023-10-03,3.36,3.38,3.34,3.38,9000,0.00,0.00
2023-10-04,3.37,3.40,3.27,3.34,3500,0.00,0.00
2023-10-05,3.36,3.36,3.35,3.35,2200,0.00,0.00
2023-10-06,3.30,3.30,3.18,3.19,2300,0.00,0.00
2023-10-09,3.22,3.22,3.22,3.22,500,0.00,0.00
2023-10-10,3.25,3.41,3.23,3.41,5200,0.00,0.00
2023-10-11,3.58,3.58,3.40,3.40,7600,0.00,0.00
2023-10-12,3.41,3.60,3.05,3.05,27600,0.00,0.00
2023-10-13,3.20,3.24,2.99,3.00,17800,0.00,0.00
2023-10-16,3.12,3.12,2.98,2.98,6700,0.00,0.00
2023-10-17,3.09,3.09,2.88,2.88,11500,0.00,0.00
2023-10-18,2.96,2.96,2.80,2.80,2600,0.00,0.00
2023-10-19,2.83,2.83,2.72,2.79,3300,0.00,0.00
2023-10-20,2.81,2.81,2.66,2.72,10300,0.00,0.00
2023-10-23,2.72,2.73,2.52,2.52,7000,0.00,0.00
2023-10-24,2.53,2.55,2.46,2.51,12700,0.00,0.00
2023-10-25,2.55,2.56,2.50,2.52,13400,0.00,0.00
2023-10-26,2.49,2.54,2.45,2.45,8500,0.00,0.00
2023-10-27,2.51,2.51,2.45,2.49,8000,0.00,0.00
2023-10-30,2.36,2.36,2.04,2.10,9500,0.00,0.00
2023-10-31,1.76,2.10,1.76,1.98,6300,0.00,0.00
2023-11-01,2.01,2.22,1.97,2.12,18500,0.00,0.00
2023-11-02,2.09,2.20,2.00,2.00,30200,0.00,0.00
2023-11-03,1.86,2.05,1.86,1.97,9000,0.00,0.00
2023-11-06,1.93,1.96,1.86,1.95,14800,0.00,0.00
2023-11-07,1.94,1.95,1.85,1.86,29400,0.00,0.00
2023-11-08,1.79,1.86,1.75,1.76,23700,0.00,0.00
2023-11-09,1.80,1.85,1.72,1.72,13300,0.00,0.00
2023-11-10,1.72,1.73,1.60,1.68,14500,0.00,0.00
2023-11-13,1.68,1.76,1.67,1.70,18200,0.00,0.00
2023-11-14,1.75,1.76,1.70,1.75,31200,0.00,0.00
2023-11-15,1.72,1.85,1.72,1.78,38400,0.00,0.00
2023-11-16,2.00,2.00,1.81,1.90,11100,0.00,0.00
2023-11-17,1.92,2.74,1.92,2.41,316100,0.00,0.00
2023-11-20,2.40,3.11,2.40,2.83,162200,0.00,0.00
2023-11-21,2.89,3.15,2.89,3.12,36200,0.00,0.00
2023-11-22,3.01,3.04,2.87,2.89,31600,0.00,0.00
2023-11-24,3.01,3.01,2.81,2.89,10800,0.00,0.00
2023-11-27,2.89,3.01,2.77,2.82,13800,0.00,0.00
2023-11-28,2.80,2.92,2.80,2.84,9100,0.00,0.00
2023-11-29,2.87,2.89,2.74,2.89,8000,0.00,0.00
2023-11-30,2.86,2.86,2.86,2.86,600,0.00,0.00
2023-12-01,2.86,2.92,2.86,2.92,2000,0.00,0.00
2023-12-04,2.87,2.87,2.61,2.66,17500,0.00,0.00
2023-12-05,2.66,2.66,2.66,2.66,0,0.00,0.00
2023-12-06,2.70,2.77,2.63,2.64,13200,0.00,0.00
2023-12-07,2.45,2.84,2.45,2.84,26800,0.00,0.00
2023-12-08,2.85,2.99,2.82,2.99,12800,0.00,0.00
2023-12-11,2.99,2.99,2.99,2.99,3300,0.00,0.00
2023-12-12,2.91,3.12,2.80,3.12,6900,0.00,0.00
2023-12-13,3.08,3.08,2.77,3.00,3100,0.00,0.00
2023-12-14,2.90,3.08,2.89,3.06,33400,0.00,0.00
2023-12-15,3.00,3.00,2.88,2.96,9500,0.00,0.00
2023-12-18,2.75,2.75,2.75,2.75,400,0.00,0.00
2023-12-19,2.90,2.90,2.90,2.90,800,0.00,0.00
2023-12-20,2.90,2.90,2.90,2.90,0,0.00,0.00
2023-12-21,2.90,2.90,2.90,2.90,0,0.00,0.00
2023-12-22,2.82,2.82,2.82,2.82,1000,0.00,0.00
2023-12-26,2.75,2.79,2.75,2.79,1100,0.00,0.00
2023-12-27,2.75,2.85,2.70,2.85,39200,0.00,0.00
2023-12-28,3.29,3.39,2.55,2.79,38200,0.00,0.00
2023-12-29,2.55,3.09,2.43,2.70,52300,0.00,0.00
2024-01-02,2.60,2.85,2.60,2.65,15100,0.00,0.00
2024-01-03,2.47,2.53,2.42,2.49,4700,0.00,0.00
2024-01-04,2.49,2.74,2.49,2.59,1000,0.00,0.00
2024-01-05,2.60,2.60,2.40,2.48,4500,0.00,0.00
2024-01-08,2.54,2.55,2.54,2.54,3100,0.00,0.00
2024-01-09,2.65,2.65,2.65,2.65,300,0.00,0.00
2024-01-10,2.67,2.80,2.51,2.70,8100,0.00,0.00
