Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,92.18,93.33,90.80,93.03,706400,0.00,0.00
2016-01-05,93.49,98.00,92.87,94.77,706000,0.00,0.00
2016-01-06,92.76,93.08,88.02,90.28,879600,0.00,0.00
2016-01-07,87.39,89.93,84.82,87.64,1064900,0.00,0.00
2016-01-08,87.76,88.11,81.84,84.61,1241500,0.00,0.00
2016-01-11,84.15,85.33,78.00,79.68,1492300,0.00,0.00
2016-01-12,81.33,85.99,77.74,81.83,1033900,0.00,0.00
2016-01-13,82.43,83.42,74.47,75.24,1115300,0.00,0.00
2016-01-14,75.50,80.68,68.88,78.82,1196600,0.00,0.00
2016-01-15,75.30,76.42,72.08,75.98,1193800,0.00,0.00
2016-01-19,77.52,78.82,70.20,72.41,1147500,0.00,0.00
2016-01-20,71.50,76.45,65.54,74.80,1352700,0.00,0.00
2016-01-21,74.87,77.03,70.44,71.14,941000,0.00,0.00
2016-01-22,73.26,76.43,71.61,76.12,823200,0.00,0.00
2016-01-25,75.58,80.19,75.01,75.52,897600,0.00,0.00
2016-01-26,76.00,76.77,72.00,75.17,697500,0.00,0.00
2016-01-27,75.36,76.68,68.93,69.68,845900,0.00,0.00
2016-01-28,70.22,70.93,63.63,65.18,1193900,0.00,0.00
2016-01-29,65.44,69.03,64.67,68.94,1293800,0.00,0.00
2016-02-01,68.04,70.64,64.30,69.75,1343700,0.00,0.00
2016-02-02,68.71,68.71,64.60,64.91,1135600,0.00,0.00
2016-02-03,65.66,67.33,61.09,66.13,1428100,0.00,0.00
2016-02-04,65.72,72.38,65.00,67.51,1458700,0.00,0.00
2016-02-05,67.22,68.01,63.70,65.59,1326200,0.00,0.00
2016-02-08,64.14,64.93,59.42,60.61,1175600,0.00,0.00
2016-02-09,58.83,61.98,56.43,59.22,1644900,0.00,0.00
2016-02-10,59.22,60.75,56.53,57.00,1383800,0.00,0.00
2016-02-11,55.60,58.33,53.26,56.96,1401700,0.00,0.00
2016-02-12,52.38,61.75,51.51,59.55,1920800,0.00,0.00
2016-02-16,62.00,65.83,60.24,63.90,1495700,0.00,0.00
2016-02-17,64.73,66.33,62.63,65.70,1141600,0.00,0.00
2016-02-18,65.70,66.25,61.87,62.49,1010100,0.00,0.00
2016-02-19,62.44,64.73,60.74,63.52,1342800,0.00,0.00
2016-02-22,64.52,65.10,62.00,62.68,833200,0.00,0.00
2016-02-23,62.05,62.84,59.26,59.45,650800,0.00,0.00
2016-02-24,58.74,59.70,56.43,58.02,1061500,0.00,0.00
2016-02-25,58.96,60.23,55.94,56.86,882700,0.00,0.00
2016-02-26,57.72,59.18,56.65,58.00,847100,0.00,0.00
2016-02-29,58.00,61.64,57.72,58.57,1762600,0.00,0.00
2016-03-01,59.49,60.05,57.00,59.83,1846200,0.00,0.00
2016-03-02,59.92,62.73,58.09,62.63,1333700,0.00,0.00
2016-03-03,62.33,63.58,59.81,59.98,1060500,0.00,0.00
2016-03-04,60.66,60.85,59.12,59.18,1010100,0.00,0.00
2016-03-07,58.99,60.77,57.90,60.09,1049300,0.00,0.00
2016-03-08,59.71,60.43,57.34,57.53,790100,0.00,0.00
2016-03-09,58.36,60.89,56.14,60.12,1276700,0.00,0.00
2016-03-10,60.65,60.86,56.00,58.09,1039400,0.00,0.00
2016-03-11,61.00,62.51,59.47,62.15,1931700,0.00,0.00
2016-03-14,62.04,66.62,62.04,65.77,1659300,0.00,0.00
2016-03-15,64.90,64.97,61.56,61.70,1065000,0.00,0.00
2016-03-16,61.04,63.36,58.50,60.39,875400,0.00,0.00
2016-03-17,60.23,60.69,56.44,57.84,988500,0.00,0.00
2016-03-18,58.09,60.19,56.60,59.80,1334800,0.00,0.00
2016-03-21,59.57,62.99,58.56,61.31,794400,0.00,0.00
2016-03-22,60.69,62.74,59.90,62.22,1193400,0.00,0.00
2016-03-23,62.24,63.87,58.85,59.06,708800,0.00,0.00
2016-03-24,58.20,60.66,56.51,60.28,700400,0.00,0.00
2016-03-28,60.49,61.65,58.28,58.78,701700,0.00,0.00
2016-03-29,58.87,60.00,56.60,59.84,912500,0.00,0.00
2016-03-30,60.50,62.36,58.38,59.08,675400,0.00,0.00
2016-03-31,59.38,64.94,59.38,62.77,987000,0.00,0.00
2016-04-01,62.29,65.60,61.18,64.79,758600,0.00,0.00
2016-04-04,64.77,70.08,64.62,67.54,1240800,0.00,0.00
2016-04-05,67.69,69.65,65.83,68.33,1306700,0.00,0.00
2016-04-06,68.05,73.11,68.05,73.00,977900,0.00,0.00
