Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-24,61.08,64.85,60.92,64.56,5233,0.00,0.00,0.00
2025-10-27,70.29,70.71,64.07,65.02,5300,0.00,0.00,0.00
2025-10-28,67.42,73.49,64.69,64.89,6767,0.00,0.00,0.00
2025-10-29,65.57,69.78,64.71,65.07,15100,0.00,0.00,0.00
2025-10-30,62.23,62.76,59.32,59.97,2633,0.00,0.00,0.00
2025-10-31,62.19,62.28,58.09,61.15,1200,0.00,0.00,0.00
2025-11-03,60.84,62.58,60.62,60.62,1633,0.00,0.00,0.00
2025-11-04,57.28,59.78,57.28,59.78,800,0.00,0.00,0.00
2025-11-05,56.81,58.00,54.94,54.94,1033,0.00,0.00,0.00
2025-11-06,51.63,51.63,47.09,47.93,1367,0.00,0.00,0.00
2025-11-07,45.47,49.15,42.63,48.16,4933,0.00,0.00,0.00
2025-11-10,50.59,51.22,46.96,49.38,1267,0.00,0.00,0.00
2025-11-11,47.00,47.83,46.52,47.55,433,0.00,0.00,0.00
2025-11-12,48.73,48.73,45.24,46.13,2600,0.00,0.00,0.00
2025-11-13,44.85,44.85,38.22,38.22,2300,0.00,0.00,0.00
2025-11-14,36.95,38.57,36.68,37.00,1467,0.00,0.00,0.00
2025-11-17,36.97,37.16,34.95,35.19,700,0.00,0.00,0.00
2025-11-18,36.12,36.12,33.46,34.55,267,0.00,0.00,0.00
2025-11-19,34.29,35.43,33.87,34.38,767,0.00,0.00,0.00
2025-11-20,37.61,37.61,32.71,32.71,1767,0.00,0.00,0.00
2025-11-21,30.32,32.31,30.32,32.31,800,0.00,0.00,0.00
2025-11-24,32.77,34.62,32.77,33.37,2233,0.00,0.00,0.00
2025-11-25,33.72,33.81,32.14,33.81,2133,0.00,0.00,0.00
2025-11-26,34.62,34.65,32.74,33.84,2900,0.00,0.00,0.00
2025-11-28,34.14,34.47,33.71,33.72,3033,0.00,0.00,0.00
2025-12-01,31.66,31.81,28.40,28.40,5333,0.00,0.00,0.00
2025-12-02,29.00,30.41,28.85,30.14,2933,0.00,0.00,0.00
2025-12-03,29.90,31.69,29.69,31.67,3667,0.00,0.00,0.00
2025-12-04,33.72,36.49,31.69,35.24,15267,0.00,0.00,0.00
2025-12-05,36.09,36.09,31.99,33.04,24067,0.00,0.00,0.00
2025-12-08,34.95,34.95,32.59,33.99,32800,0.00,0.00,0.00
2025-12-09,35.52,36.33,33.13,34.20,103633,0.00,0.00,0.00
2025-12-10,31.24,31.24,24.70,24.93,126867,0.00,0.00,0.00
2025-12-11,24.93,26.61,23.92,26.07,44433,0.00,0.00,0.00
2025-12-12,26.16,26.16,22.93,23.83,41933,0.00,0.00,0.00
2025-12-15,24.40,24.49,22.14,22.81,20700,0.00,0.00,0.00
2025-12-16,23.08,23.32,22.39,22.78,9933,0.00,0.00,0.00
2025-12-17,23.08,23.89,21.41,21.68,17200,0.00,0.00,0.00
2025-12-18,22.66,23.44,22.12,22.36,20533,0.00,0.00,0.00
2025-12-19,22.42,24.67,22.42,24.46,22300,0.00,0.00,0.00
2025-12-22,25.77,27.33,25.44,26.97,55467,0.00,0.00,0.00
2025-12-23,26.46,28.52,26.13,27.95,58567,0.00,0.00,0.00
2025-12-24,28.01,28.16,26.91,28.01,22467,0.00,0.00,0.00
2025-12-26,27.86,27.86,26.10,26.67,18633,0.00,0.00,0.00
2025-12-29,25.92,26.43,25.05,25.41,22533,0.00,0.00,0.00
2025-12-30,24.72,25.18,24.03,24.21,19467,0.09,0.00,0.00
2025-12-31,24.27,24.39,23.49,23.87,9400,0.00,0.00,0.00
2026-01-02,25.26,26.85,24.00,26.66,22633,0.00,0.00,0.00
2026-01-05,29.25,36.15,29.23,35.17,98933,0.00,0.00,0.00
2026-01-06,35.58,40.02,35.28,39.72,81467,0.00,0.00,0.00
2026-01-07,40.53,43.77,39.42,40.12,76167,0.00,0.00,0.00
2026-01-08,48.21,53.46,44.52,46.95,166100,0.00,0.00,0.00
2026-01-09,48.57,53.61,47.25,52.44,96533,0.00,0.00,0.00
2026-01-12,53.46,54.90,51.54,53.76,52133,0.00,0.00,0.00
2026-01-13,53.97,54.28,48.39,51.93,69733,0.00,0.00,0.00
2026-01-14,49.62,57.12,46.98,56.70,53233,0.00,0.00,0.00
2026-01-15,56.22,57.27,52.20,55.89,36667,0.00,0.00,0.00
2026-01-16,56.34,64.50,56.34,60.03,45267,0.00,0.00,0.00
2026-01-20,53.37,59.13,39.50,41.40,107667,0.00,0.00,0.00
2026-01-21,44.97,44.97,33.83,38.25,260233,0.00,0.00,0.00
2026-01-22,39.81,39.81,35.61,36.36,58833,0.00,0.00,0.00
2026-01-23,36.90,37.06,33.36,35.31,39233,0.00,0.00,0.00
2026-01-26,35.16,35.62,33.24,34.41,40400,0.00,0.00,0.00
2026-01-27,34.56,36.03,33.36,35.61,42167,0.00,0.00,0.00
2026-01-28,37.62,38.38,33.57,35.22,71767,0.00,0.00,0.00
2026-01-29,34.23,35.07,30.90,31.92,43267,0.00,0.00,0.00
2026-01-30,30.48,31.59,28.32,28.65,30300,0.00,0.00,0.00
2026-02-02,27.33,28.23,26.13,27.09,32400,0.00,0.00,0.00
2026-02-03,27.27,30.00,27.00,29.95,45633,0.00,0.00,0.00
2026-02-04,30.06,30.51,21.78,24.33,70333,0.00,0.00,0.00
2026-02-05,22.71,24.24,19.71,20.20,46233,0.00,0.00,0.00
2026-02-06,21.94,23.97,21.24,23.67,92100,0.00,0.00,0.00
2026-02-09,23.85,26.94,23.10,26.94,144033,0.00,0.00,0.00
2026-02-10,26.94,27.30,24.45,24.67,72600,0.00,0.00,0.00
2026-02-11,25.50,25.50,19.68,20.82,137900,0.00,0.00,0.00
2026-02-12,21.36,21.45,19.29,19.59,70700,0.00,0.00,0.00
2026-02-13,19.47,21.51,19.47,21.00,56700,0.00,0.00,0.00
2026-02-17,22.83,24.75,22.40,24.30,152867,0.00,0.00,0.00
2026-02-18,24.63,25.25,23.34,24.72,100167,0.00,0.00,0.00
2026-02-19,25.44,28.34,24.60,27.51,217633,0.00,0.00,0.00
2026-02-20,27.63,28.07,24.06,24.24,143233,0.00,0.00,0.00
2026-02-23,22.98,24.54,22.65,23.47,72067,0.00,0.00,0.00
