Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-13,6840.00,7862.40,6768.00,7329.60,772,0.00,0.00
2021-10-14,7243.20,7377.12,6588.00,6624.00,157,0.00,0.00
2021-10-15,6494.40,6768.00,6480.00,6595.20,67,0.00,0.00
2021-10-18,6480.00,6778.08,6480.00,6480.00,25,0.00,0.00
2021-10-19,6566.40,6595.20,6480.00,6537.60,31,0.00,0.00
2021-10-20,6580.80,6580.80,6480.00,6494.40,26,0.00,0.00
2021-10-21,6494.40,6647.04,6480.00,6480.00,25,0.00,0.00
2021-10-22,6494.40,6552.00,6465.60,6480.00,36,0.00,0.00
2021-10-25,6480.00,6507.36,6336.00,6408.00,29,0.00,0.00
2021-10-26,6336.00,6408.00,6336.00,6393.60,15,0.00,0.00
2021-10-27,6336.00,7332.48,6336.00,6696.00,95,0.00,0.00
2021-10-28,6785.28,6852.96,6667.20,6710.40,8,0.00,0.00
2021-10-29,6883.20,7344.00,6681.60,7200.00,182,0.00,0.00
2021-11-01,7489.44,8179.20,7329.60,7891.20,1226,0.00,0.00
2021-11-02,10152.00,10255.68,7459.20,7761.60,4219,0.00,0.00
2021-11-03,7113.60,7200.00,6393.60,6480.00,309,0.00,0.00
2021-11-04,6278.40,6480.00,5990.40,6084.00,172,0.00,0.00
2021-11-05,5904.00,6480.00,5856.48,6112.80,99,0.00,0.00
2021-11-08,5932.80,6120.00,5889.60,5961.60,55,0.00,0.00
2021-11-09,5976.00,6147.36,5889.60,6062.40,46,0.00,0.00
2021-11-10,5976.00,6307.20,5846.40,5990.40,79,0.00,0.00
2021-11-11,5889.60,6076.80,5572.80,5587.20,79,0.00,0.00
2021-11-12,5572.80,5760.00,5112.00,5126.40,53,0.00,0.00
2021-11-15,5328.00,9316.80,5126.40,5486.40,5978,0.00,0.00
2021-11-16,5155.20,7732.80,4831.20,5572.80,2720,0.00,0.00
2021-11-17,5673.60,5688.00,5184.00,5313.60,226,0.00,0.00
2021-11-18,5256.00,6393.60,4780.80,5025.60,813,0.00,0.00
2021-11-19,5083.20,5486.40,5083.20,5328.00,140,0.00,0.00
2021-11-22,5097.60,6840.00,5083.20,5990.40,1431,0.00,0.00
2021-11-23,5898.24,7012.80,5400.00,5659.20,653,0.00,0.00
2021-11-24,5760.00,6235.20,5558.40,5889.60,271,0.00,0.00
2021-11-26,5760.00,6079.68,5515.20,5832.00,112,0.00,0.00
2021-11-29,5832.00,6035.04,5760.00,5918.40,90,0.00,0.00
2021-11-30,5760.00,5918.40,5169.60,5227.20,148,0.00,0.00
2021-12-01,5256.00,6062.40,5198.40,5515.20,560,0.00,0.00
2021-12-02,5587.20,6350.40,4924.80,5457.60,674,0.00,0.00
2021-12-03,5342.40,5472.00,5040.00,5212.80,70,0.00,0.00
2021-12-06,5212.80,5296.32,4896.00,5083.20,68,0.00,0.00
2021-12-07,5104.80,5428.80,5100.48,5212.80,67,0.00,0.00
2021-12-08,5169.60,5745.60,5112.00,5443.20,95,0.00,0.00
2021-12-09,5515.20,5889.60,5400.00,5630.40,153,0.00,0.00
2021-12-10,5616.00,5860.80,5601.60,5716.80,66,0.00,0.00
2021-12-13,5716.80,5745.60,5428.80,5601.60,32,0.00,0.00
2021-12-14,5479.20,5731.20,5356.80,5414.40,29,0.00,0.00
2021-12-15,5400.00,5544.00,5097.60,5227.20,48,0.00,0.00
2021-12-16,5227.20,5400.00,5140.80,5227.20,28,0.00,0.00
2021-12-17,5126.40,5328.00,5100.48,5140.80,20,0.00,0.00
2021-12-20,5083.20,5256.00,5025.60,5025.60,34,0.00,0.00
2021-12-21,5220.00,5472.00,5133.60,5184.00,75,0.00,0.00
2021-12-22,5184.00,5457.60,5054.40,5385.60,143,0.00,0.00
2021-12-23,5371.20,6048.00,5256.00,5716.80,534,0.00,0.00
2021-12-27,5500.80,5760.00,5428.80,5428.80,59,0.00,0.00
2021-12-28,5328.00,5587.20,4924.80,5025.60,136,0.00,0.00
2021-12-29,4996.80,5227.20,4838.40,4838.40,40,0.00,0.00
2021-12-30,5025.60,5253.12,4680.00,4780.80,63,0.00,0.00
2021-12-31,4766.40,5529.60,4651.20,5068.80,339,0.00,0.00
2022-01-03,5054.40,5313.60,4896.00,5184.00,44,0.00,0.00
2022-01-04,5184.00,5270.40,4852.80,4924.80,43,0.00,0.00
2022-01-05,5054.40,5126.40,4953.60,5083.20,25,0.00,0.00
2022-01-06,5040.00,5400.00,4896.00,5068.80,65,0.00,0.00
2022-01-07,4982.40,5097.60,4867.20,4939.20,19,0.00,0.00
2022-01-10,5544.00,9763.20,5414.40,7761.60,46579,0.00,0.00
2022-01-11,6768.00,7012.80,5817.60,6206.40,2282,0.00,0.00
2022-01-12,6004.80,6307.20,5212.80,5335.20,783,0.00,0.00
2022-01-13,5328.00,5342.40,4737.60,4838.40,373,0.00,0.00
2022-01-14,4752.00,5472.00,4680.00,5040.00,525,0.00,0.00
2022-01-18,5040.00,5040.00,4478.40,4550.40,215,0.00,0.00
2022-01-19,4564.80,4766.40,4435.20,4478.40,96,0.00,0.00
2022-01-20,4492.80,4608.00,4204.80,4291.20,144,0.00,0.00
2022-01-21,4060.80,4521.60,3960.00,4075.20,114,0.00,0.00
2022-01-24,3888.00,4017.60,3111.84,3456.00,157,0.00,0.00
2022-01-25,3614.40,3873.60,3355.20,3729.60,232,0.00,0.00
2022-01-26,3556.80,3571.20,3211.20,3254.40,148,0.00,0.00
2022-01-27,3297.60,3700.80,3214.08,3340.80,189,0.00,0.00
2022-01-28,3240.00,3441.60,2808.00,2969.28,199,0.00,0.00
2022-01-31,2995.20,3196.80,2937.60,3081.60,60,0.00,0.00
2022-02-01,3024.00,3139.20,2911.68,3067.20,33,0.00,0.00
2022-02-02,3168.00,3168.00,3009.60,3024.00,36,0.00,0.00
2022-02-03,3067.20,3096.00,2894.40,2980.80,19,0.00,0.00
2022-02-04,3067.20,3081.60,2880.00,2952.00,33,0.00,0.00
2022-02-07,2952.00,3067.20,2887.20,3024.00,76,0.00,0.00
2022-02-08,2937.60,3168.00,2880.00,3081.60,135,0.00,0.00
2022-02-09,3081.60,3744.00,2995.20,3684.96,720,0.00,0.00
2022-02-10,3528.00,4017.60,3052.80,3268.80,603,0.00,0.00
