Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-01-12,26.24,26.24,26.24,26.24,100,0.00,0.00,0.00
2026-01-13,26.21,26.26,26.19,26.23,184600,0.00,0.00,0.00
2026-01-14,26.21,26.24,26.20,26.24,172000,0.00,0.00,0.00
2026-01-15,26.24,26.24,26.21,26.24,52400,0.00,0.00,0.00
2026-01-16,26.24,26.31,26.24,26.28,79100,0.00,0.00,0.00
2026-01-20,26.26,26.26,26.20,26.23,79900,0.00,0.00,0.00
2026-01-21,26.25,26.26,26.15,26.23,141800,0.00,0.00,0.00
2026-01-22,26.25,26.25,26.18,26.22,87500,0.00,0.00,0.00
2026-01-23,26.22,26.29,26.18,26.23,87500,0.00,0.00,0.00
2026-01-26,26.29,26.29,26.19,26.24,51200,0.00,0.00,0.00
2026-01-27,26.22,26.33,26.21,26.30,108500,0.00,0.00,0.00
2026-01-28,26.24,26.33,26.22,26.23,98500,0.00,0.00,0.00
2026-01-29,26.33,26.35,26.25,26.32,112300,0.00,0.00,0.00
2026-01-30,26.34,26.37,26.28,26.32,87600,0.00,0.00,0.00
2026-02-02,26.31,26.40,26.29,26.34,94500,0.04,0.00,0.00
2026-02-03,26.31,26.39,26.29,26.34,71300,0.00,0.00,0.00
2026-02-04,26.34,26.41,26.31,26.38,89000,0.00,0.00,0.00
2026-02-05,26.35,26.43,26.33,26.40,76400,0.00,0.00,0.00
2026-02-06,26.45,26.48,26.37,26.43,140900,0.00,0.00,0.00
2026-02-09,26.40,26.44,26.38,26.42,73800,0.00,0.00,0.00
2026-02-10,26.40,26.46,26.40,26.45,41000,0.00,0.00,0.00
2026-02-11,26.49,26.50,26.41,26.45,108200,0.00,0.00,0.00
2026-02-12,26.43,26.53,26.42,26.50,74000,0.00,0.00,0.00
2026-02-13,26.48,26.57,26.47,26.51,91500,0.00,0.00,0.00
2026-02-17,26.57,26.59,26.53,26.55,80600,0.00,0.00,0.00
2026-02-18,26.51,26.59,26.49,26.52,92400,0.00,0.00,0.00
2026-02-19,26.50,26.58,26.49,26.55,53200,0.00,0.00,0.00
2026-02-20,26.54,26.61,26.49,26.57,78200,0.00,0.00,0.00
2026-02-23,26.55,26.61,26.53,26.57,30400,0.00,0.00,0.00
2026-02-24,26.61,26.64,26.54,26.59,96900,0.00,0.00,0.00
2026-02-25,26.57,26.64,26.54,26.60,115400,0.00,0.00,0.00
2026-02-26,26.58,26.63,26.55,26.60,52500,0.00,0.00,0.00
2026-02-27,26.58,26.66,26.56,26.63,39400,0.00,0.00,0.00
2026-03-02,26.59,26.61,26.52,26.54,52400,0.04,0.00,0.00
2026-03-03,26.47,26.52,26.37,26.40,112500,0.00,0.00,0.00
2026-03-04,26.39,26.45,26.37,26.39,107600,0.00,0.00,0.00
2026-03-05,26.39,26.48,26.35,26.37,74500,0.00,0.00,0.00
2026-03-06,26.43,26.47,26.36,26.39,120700,0.00,0.00,0.00
2026-03-09,26.36,26.40,26.33,26.35,73500,0.00,0.00,0.00
2026-03-10,26.34,26.41,26.32,26.35,86800,0.00,0.00,0.00
2026-03-11,26.34,26.36,26.26,26.28,83700,0.00,0.00,0.00
2026-03-12,26.27,26.27,26.20,26.20,80100,0.00,0.00,0.00
2026-03-13,26.20,26.26,26.20,26.23,85100,0.00,0.00,0.00
2026-03-16,26.16,26.29,26.16,26.21,71000,0.00,0.00,0.00
2026-03-17,26.23,26.32,26.23,26.28,142500,0.00,0.00,0.00
2026-03-18,26.24,26.31,26.21,26.23,55200,0.00,0.00,0.00
2026-03-19,26.21,26.24,26.16,26.16,23700,0.00,0.00,0.00
2026-03-20,26.18,26.18,25.99,26.00,36400,0.00,0.00,0.00
2026-03-23,26.03,26.07,26.01,26.03,29200,0.00,0.00,0.00
2026-03-24,26.02,26.03,25.88,25.90,115000,0.00,0.00,0.00
2026-03-25,25.89,25.91,25.87,25.91,149700,0.00,0.00,0.00
2026-03-26,25.89,25.89,25.83,25.84,132800,0.00,0.00,0.00
2026-03-27,25.87,25.91,25.83,25.84,148000,0.00,0.00,0.00
2026-03-30,25.88,25.94,25.88,25.91,105000,0.00,0.00,0.00
2026-03-31,25.92,26.01,25.92,25.93,130900,0.00,0.00,0.00
2026-04-01,25.98,26.06,25.98,26.00,105800,0.05,0.00,0.00
2026-04-02,25.93,26.07,25.93,26.05,89700,0.00,0.00,0.00
2026-04-06,26.05,26.10,26.02,26.07,87600,0.00,0.00,0.00
2026-04-07,26.05,26.10,26.02,26.08,118400,0.00,0.00,0.00
2026-04-08,26.15,26.26,26.15,26.16,61300,0.00,0.00,0.00
2026-04-09,26.18,26.20,26.17,26.19,72100,0.00,0.00,0.00
2026-04-10,26.20,26.28,26.14,26.19,182300,0.00,0.00,0.00
2026-04-13,26.23,26.27,26.18,26.19,83200,0.00,0.00,0.00
2026-04-14,26.19,26.27,26.15,26.18,84400,0.00,0.00,0.00
2026-04-15,26.17,26.28,26.17,26.19,111600,0.00,0.00,0.00
2026-04-16,26.18,26.22,26.17,26.19,48400,0.00,0.00,0.00
2026-04-17,26.23,26.29,26.23,26.24,81600,0.00,0.00,0.00
2026-04-20,26.25,26.32,26.25,26.28,38800,0.00,0.00,0.00
2026-04-21,26.25,26.28,26.24,26.25,69100,0.00,0.00,0.00
2026-04-22,26.30,26.30,26.25,26.27,58600,0.00,0.00,0.00
2026-04-23,26.21,26.28,26.21,26.26,48900,0.00,0.00,0.00
2026-04-24,26.25,26.27,26.25,26.26,81100,0.00,0.00,0.00
2026-04-27,26.26,26.27,26.24,26.25,56400,0.00,0.00,0.00
2026-04-28,26.24,26.31,26.23,26.23,45500,0.00,0.00,0.00
2026-04-29,26.20,26.29,26.17,26.20,55200,0.00,0.00,0.00
2026-04-30,26.23,26.27,26.17,26.19,99500,0.00,0.00,0.00
2026-05-01,26.16,26.27,26.16,26.20,118500,0.05,0.00,0.00
2026-05-04,26.16,26.21,26.16,26.18,87400,0.00,0.00,0.00
2026-05-05,26.16,26.19,26.14,26.18,63700,0.00,0.00,0.00
2026-05-06,26.25,26.26,26.20,26.22,389400,0.00,0.00,0.00
2026-05-07,26.26,26.30,26.21,26.22,53400,0.00,0.00,0.00
2026-05-08,26.22,26.24,26.22,26.23,23200,0.00,0.00,0.00
2026-05-11,26.23,26.31,26.22,26.24,33400,0.00,0.00,0.00
2026-05-12,26.20,26.22,26.15,26.15,65500,0.00,0.00,0.00
2026-05-13,26.20,26.25,26.13,26.15,72200,0.00,0.00,0.00
2026-05-14,26.13,26.18,26.13,26.16,47100,0.00,0.00,0.00
2026-05-15,26.08,26.08,26.00,26.04,70700,0.00,0.00,0.00
2026-05-18,26.04,26.13,26.03,26.05,259600,0.00,0.00,0.00
2026-05-19,26.03,26.11,25.95,25.97,124100,0.00,0.00,0.00
2026-05-20,25.97,26.06,25.96,26.04,43100,0.00,0.00,0.00
2026-05-21,25.99,26.07,25.99,26.05,57300,0.00,0.00,0.00
2026-05-22,26.08,26.08,26.02,26.06,37400,0.00,0.00,0.00
2026-05-26,26.11,26.18,26.11,26.16,117400,0.00,0.00,0.00
2026-05-27,26.14,26.26,26.14,26.19,149000,0.00,0.00,0.00
2026-05-28,26.20,26.26,26.18,26.24,77200,0.00,0.00,0.00
2026-05-29,26.27,26.29,26.24,26.26,63500,0.00,0.00,0.00
2026-06-01,26.26,26.32,26.25,26.27,106400,0.07,0.00,0.00
2026-06-02,26.32,26.35,26.30,26.32,83200,0.00,0.00,0.00
2026-06-03,26.30,26.34,26.29,26.31,64300,0.00,0.00,0.00
2026-06-04,26.37,26.37,26.31,26.33,94100,0.00,0.00,0.00
2026-06-05,26.34,26.34,26.28,26.31,125600,0.00,0.00,0.00
2026-06-08,26.33,26.35,26.28,26.29,77300,0.00,0.00,0.00
2026-06-09,26.34,26.39,26.29,26.38,77400,0.00,0.00,0.00
2026-06-10,26.26,26.37,26.26,26.32,81100,0.00,0.00,0.00
2026-06-11,26.29,26.34,26.25,26.32,43100,0.00,0.00,0.00
2026-06-12,26.31,26.35,26.28,26.34,54500,0.00,0.00,0.00
2026-06-15,26.34,26.39,26.33,26.38,223100,0.00,0.00,0.00
2026-06-16,26.29,26.36,26.29,26.32,42900,0.00,0.00,0.00
2026-06-17,26.36,26.40,26.33,26.34,92600,0.00,0.00,0.00
2026-06-18,26.33,26.38,26.20,26.32,466500,0.00,0.00,0.00
2026-06-22,26.33,26.39,26.32,26.33,122300,0.00,0.00,0.00
2026-06-23,26.37,26.37,26.31,26.32,55800,0.00,0.00,0.00
