Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-18,23.40,29.01,22.51,29.00,2999400,0.00,0.00
2020-09-21,30.12,31.88,25.66,28.83,907600,0.00,0.00
2020-09-22,28.83,43.50,28.53,38.39,1265100,0.00,0.00
2020-09-23,42.75,43.00,35.45,36.75,1283600,0.00,0.00
2020-09-24,36.00,43.48,35.36,39.94,1114100,0.00,0.00
2020-09-25,40.29,44.23,40.00,43.17,1001800,0.00,0.00
2020-09-28,44.05,45.00,36.59,37.00,708600,0.00,0.00
2020-09-29,37.40,39.00,33.09,35.61,665800,0.00,0.00
2020-09-30,36.12,37.67,34.90,34.90,430600,0.00,0.00
2020-10-01,35.35,36.08,33.01,33.80,559100,0.00,0.00
2020-10-02,33.00,37.41,32.75,36.82,1017500,0.00,0.00
2020-10-05,38.24,47.29,38.10,40.10,4474000,0.00,0.00
2020-10-06,41.00,42.00,37.50,39.60,865100,0.00,0.00
2020-10-07,39.02,42.90,39.02,42.45,643600,0.00,0.00
2020-10-08,42.90,44.71,37.80,38.10,554200,0.00,0.00
2020-10-09,39.23,39.38,34.29,34.61,1385600,0.00,0.00
2020-10-12,35.11,36.95,34.61,35.16,360200,0.00,0.00
2020-10-13,36.77,41.24,35.58,38.82,1078200,0.00,0.00
2020-10-14,39.17,40.49,35.76,38.65,511700,0.00,0.00
2020-10-15,38.73,39.20,37.15,37.96,245900,0.00,0.00
2020-10-16,38.40,40.80,38.36,38.83,443500,0.00,0.00
2020-10-19,39.18,39.90,36.47,36.83,276500,0.00,0.00
2020-10-20,37.17,38.50,36.51,37.93,251400,0.00,0.00
2020-10-21,38.17,38.17,34.38,35.17,337500,0.00,0.00
2020-10-22,35.62,35.62,33.50,34.20,365100,0.00,0.00
2020-10-23,34.39,40.00,33.35,38.39,2157200,0.00,0.00
2020-10-26,37.89,38.90,34.85,35.70,404300,0.00,0.00
2020-10-27,35.90,38.15,35.02,35.62,280300,0.00,0.00
2020-10-28,33.32,34.82,32.21,32.81,393100,0.00,0.00
2020-10-29,33.05,33.25,31.20,33.13,278100,0.00,0.00
2020-10-30,32.98,33.00,30.55,32.00,166400,0.00,0.00
2020-11-02,33.04,33.50,32.01,32.58,178800,0.00,0.00
2020-11-03,33.00,34.00,32.50,32.99,464800,0.00,0.00
2020-11-04,34.89,37.50,34.01,35.94,702400,0.00,0.00
2020-11-05,36.24,39.85,35.54,39.85,573500,0.00,0.00
2020-11-06,40.30,41.75,37.50,38.71,375500,0.00,0.00
2020-11-09,40.44,40.50,36.34,37.11,308000,0.00,0.00
2020-11-10,37.44,38.00,33.61,35.31,300200,0.00,0.00
2020-11-11,35.26,37.14,34.01,35.80,148400,0.00,0.00
2020-11-12,35.85,36.60,33.13,34.81,197500,0.00,0.00
2020-11-13,35.68,36.30,34.21,35.73,178700,0.00,0.00
2020-11-16,37.09,37.20,35.10,35.99,142400,0.00,0.00
2020-11-17,35.78,36.47,35.45,36.31,113200,0.00,0.00
