Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,9.56,9.70,9.38,9.57,131400,0.00,0.00
2016-01-05,9.57,9.63,9.39,9.53,43700,0.00,0.00
2016-01-06,9.48,9.73,9.42,9.51,42600,0.00,0.00
2016-01-07,9.37,9.44,9.10,9.18,117800,0.00,0.00
2016-01-08,9.32,9.34,9.06,9.09,66800,0.00,0.00
2016-01-11,9.05,9.14,8.84,8.96,69200,0.00,0.00
2016-01-12,8.94,9.03,8.66,8.81,104700,0.00,0.00
2016-01-13,8.80,8.98,8.67,8.77,92100,0.00,0.00
2016-01-14,8.72,9.06,8.71,8.92,51000,0.00,0.00
2016-01-15,8.70,8.91,8.39,8.68,94500,0.00,0.00
2016-01-19,8.77,8.77,8.52,8.69,74500,0.00,0.00
2016-01-20,8.51,8.79,8.23,8.66,115000,0.00,0.00
2016-01-21,8.69,8.85,8.55,8.75,51100,0.00,0.00
2016-01-22,8.82,8.90,8.74,8.87,56600,0.00,0.00
2016-01-25,8.74,8.82,8.54,8.58,39200,0.00,0.00
2016-01-26,8.65,8.78,8.58,8.71,39300,0.00,0.00
2016-01-27,8.70,8.87,8.62,8.70,32300,0.00,0.00
2016-01-28,8.81,9.02,8.81,8.94,36300,0.00,0.00
2016-01-29,9.01,9.30,9.00,9.29,137600,0.00,0.00
2016-02-01,9.14,9.28,8.86,8.97,68700,0.00,0.00
2016-02-02,8.90,9.12,8.84,8.99,64100,0.00,0.00
2016-02-03,9.03,9.10,8.83,8.88,81400,0.00,0.00
2016-02-04,8.80,9.00,8.78,8.84,39400,0.00,0.00
2016-02-05,8.78,8.98,8.68,8.78,57100,0.00,0.00
2016-02-08,8.74,9.04,8.72,9.01,35800,0.00,0.00
2016-02-09,8.93,9.15,8.79,8.98,42500,0.00,0.00
2016-02-10,9.01,9.10,8.87,8.90,21200,0.00,0.00
2016-02-11,8.78,8.84,8.55,8.72,63900,0.00,0.00
2016-02-12,8.78,8.90,8.58,8.82,35700,0.00,0.00
2016-02-16,8.89,9.06,8.76,9.00,56000,0.00,0.00
2016-02-17,8.98,8.98,8.67,8.72,125400,0.00,0.00
2016-02-18,8.77,8.82,8.55,8.68,55800,0.00,0.00
2016-02-19,8.66,8.75,8.56,8.62,44500,0.00,0.00
2016-02-22,8.60,8.80,8.50,8.51,76100,0.00,0.00
2016-02-23,8.49,8.66,8.46,8.49,74900,0.00,0.00
2016-02-24,8.43,8.74,8.43,8.72,71500,0.00,0.00
2016-02-25,8.82,8.83,8.59,8.69,67900,0.00,0.00
2016-02-26,8.66,8.74,8.50,8.63,53600,0.00,0.00
2016-02-29,8.66,8.86,8.66,8.68,93300,0.00,0.00
2016-03-01,8.78,8.78,8.64,8.75,59200,0.00,0.00
2016-03-02,8.78,9.02,8.68,9.02,77200,0.00,0.00
2016-03-03,8.99,9.06,8.94,9.02,76600,0.00,0.00
2016-03-04,8.99,9.18,8.94,9.14,56000,0.00,0.00
2016-03-07,9.06,9.18,9.06,9.18,91400,0.00,0.00
2016-03-08,9.14,9.22,8.90,8.90,101100,0.00,0.00
2016-03-09,8.90,9.10,8.90,8.98,44900,0.00,0.00
2016-03-10,9.02,9.05,8.81,8.88,48700,0.00,0.00
2016-03-11,8.95,8.98,8.82,8.98,50200,0.00,0.00
2016-03-14,8.98,8.98,8.82,8.96,41800,0.00,0.00
2016-03-15,8.88,9.09,8.88,8.97,44800,0.00,0.00
2016-03-16,9.06,9.18,8.96,9.18,68900,0.00,0.00
2016-03-17,9.21,9.58,9.15,9.57,67500,0.00,0.00
2016-03-18,9.61,9.66,9.42,9.47,104900,0.00,0.00
2016-03-21,9.54,9.54,9.14,9.16,57900,0.00,0.00
2016-03-22,9.17,9.22,9.04,9.16,44200,0.00,0.00
2016-03-23,9.11,9.14,8.99,8.99,42600,0.00,0.00
2016-03-24,9.01,9.38,8.98,9.14,93800,0.00,0.00
2016-03-28,9.21,9.37,9.14,9.18,67600,0.00,0.00
2016-03-29,9.22,9.65,9.16,9.64,124000,0.00,0.00
2016-03-30,9.72,9.79,9.59,9.70,58300,0.07,0.00
2016-03-31,9.67,9.84,9.57,9.78,64600,0.00,0.00
2016-04-01,9.76,9.99,9.65,9.87,56700,0.00,0.00
2016-04-04,9.83,9.88,9.67,9.74,92400,0.00,0.00
2016-04-05,9.72,9.72,9.56,9.60,56700,0.00,0.00
2016-04-06,9.56,9.68,9.51,9.68,72200,0.00,0.00
