Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-08-06,19.27,19.40,19.27,19.35,19900,0.00,0.00,0.00
2025-08-07,19.38,19.40,19.29,19.39,13100,0.00,0.00,0.00
2025-08-08,19.37,19.40,19.27,19.32,10400,0.00,0.00,0.00
2025-08-11,19.45,19.47,19.40,19.40,19300,0.00,0.00,0.00
2025-08-12,19.42,19.47,19.42,19.47,28100,0.00,0.00,0.00
2025-08-13,19.50,19.53,19.46,19.53,12900,0.00,0.00,0.00
2025-08-14,19.55,19.64,19.46,19.64,13400,0.00,0.00,0.00
2025-08-15,19.56,19.61,19.56,19.60,4400,0.00,0.00,0.00
2025-08-18,19.60,19.76,19.60,19.71,14800,0.00,0.00,0.00
2025-08-19,19.60,19.60,19.42,19.45,14700,0.00,0.00,0.00
2025-08-20,19.36,19.46,19.36,19.46,3000,0.00,0.00,0.00
2025-08-21,19.37,19.37,19.31,19.33,8200,0.00,0.00,0.00
2025-08-22,19.65,19.65,19.61,19.61,9100,0.00,0.00,0.00
2025-08-25,19.47,19.47,19.44,19.44,5500,0.00,0.00,0.00
2025-08-26,19.43,19.50,19.43,19.50,3400,0.00,0.00,0.00
2025-08-27,19.54,19.54,19.53,19.53,3100,0.00,0.00,0.00
2025-08-28,19.60,19.64,19.60,19.61,10700,0.00,0.00,0.00
2025-08-29,19.42,19.53,19.42,19.51,5900,0.00,0.00,0.00
2025-09-02,19.41,19.55,19.41,19.53,4500,0.00,0.00,0.00
2025-09-03,19.48,19.49,19.44,19.45,3500,0.00,0.00,0.00
2025-09-04,19.33,19.38,19.33,19.37,2000,0.00,0.00,0.00
2025-09-05,19.40,19.44,19.38,19.44,4400,0.00,0.00,0.00
2025-09-08,19.45,19.58,19.45,19.56,14600,0.00,0.00,0.00
2025-09-09,19.56,19.71,19.49,19.69,10800,0.00,0.00,0.00
2025-09-10,19.97,20.03,19.93,19.93,5100,0.00,0.00,0.00
2025-09-11,20.03,20.04,20.01,20.01,1900,0.00,0.00,0.00
2025-09-12,20.02,20.14,20.02,20.14,1100,0.00,0.00,0.00
2025-09-15,20.14,20.17,20.14,20.17,2300,0.00,0.00,0.00
2025-09-16,20.31,20.33,20.28,20.33,3400,0.00,0.00,0.00
2025-09-17,20.32,20.38,20.32,20.38,2600,0.00,0.00,0.00
2025-09-18,20.60,20.63,20.55,20.59,3800,0.00,0.00,0.00
2025-09-19,20.58,20.64,20.48,20.60,5000,0.00,0.00,0.00
2025-09-22,20.54,20.70,20.54,20.69,900,0.00,0.00,0.00
2025-09-23,20.81,20.81,20.66,20.66,7700,0.00,0.00,0.00
2025-09-24,20.84,20.84,20.74,20.74,400,0.00,0.00,0.00
2025-09-25,20.51,20.51,20.41,20.41,3500,0.00,0.00,0.00
2025-09-26,20.38,20.38,20.37,20.37,3100,0.00,0.00,0.00
2025-09-29,20.65,20.82,20.65,20.82,1600,0.18,0.00,0.00
2025-09-30,20.82,20.82,20.77,20.80,6000,0.00,0.00,0.00
2025-10-01,20.88,20.96,20.88,20.96,300,0.00,0.00,0.00
2025-10-02,21.16,21.32,21.16,21.24,5400,0.00,0.00,0.00
2025-10-03,21.38,21.38,21.29,21.29,1200,0.00,0.00,0.00
2025-10-06,21.48,21.57,21.48,21.57,300,0.00,0.00,0.00
2025-10-07,21.41,21.45,21.41,21.45,500,0.00,0.00,0.00
2025-10-08,21.52,21.68,21.52,21.61,2800,0.00,0.00,0.00
2025-10-09,21.72,21.72,21.49,21.71,3400,0.00,0.00,0.00
2025-10-10,21.61,21.61,21.38,21.38,1400,0.00,0.00,0.00
2025-10-13,21.60,21.66,21.60,21.66,2600,0.00,0.00,0.00
2025-10-14,21.58,21.82,21.58,21.82,200,0.00,0.00,0.00
2025-10-15,21.85,21.99,21.85,21.99,1900,0.00,0.00,0.00
2025-10-16,21.72,21.72,21.46,21.46,2600,0.00,0.00,0.00
2025-10-17,21.39,21.39,21.35,21.35,400,0.00,0.00,0.00
2025-10-20,21.70,21.84,21.68,21.68,4800,0.00,0.00,0.00
2025-10-21,21.50,21.81,21.44,21.48,5600,0.00,0.00,0.00
2025-10-22,20.83,20.95,20.70,20.95,8900,0.00,0.00,0.00
2025-10-23,21.13,21.13,21.13,21.13,100,0.00,0.00,0.00
2025-10-24,21.47,21.49,21.42,21.49,9900,0.00,0.00,0.00
2025-10-27,21.79,21.79,21.77,21.77,1500,0.00,0.00,0.00
2025-10-28,22.03,22.03,21.80,21.80,400,0.00,0.00,0.00
2025-10-29,21.74,21.74,21.52,21.58,1400,0.00,0.00,0.00
2025-10-30,21.44,21.44,21.26,21.26,3100,0.00,0.00,0.00
2025-10-31,21.28,21.42,21.28,21.42,700,0.00,0.00,0.00
2025-11-03,21.40,21.46,21.39,21.46,800,0.00,0.00,0.00
2025-11-04,20.98,21.02,20.89,20.89,1500,0.00,0.00,0.00
2025-11-05,20.98,21.01,20.93,21.01,7400,0.00,0.00,0.00
2025-11-06,20.94,20.94,20.61,20.61,800,0.00,0.00,0.00
2025-11-07,20.40,20.64,20.40,20.64,3900,0.00,0.00,0.00
2025-11-10,20.71,20.71,20.61,20.61,700,0.00,0.00,0.00
2025-11-11,20.23,20.23,20.15,20.15,9200,0.00,0.00,0.00
2025-11-12,20.18,20.18,19.93,19.98,700,0.00,0.00,0.00
2025-11-13,19.37,19.37,19.37,19.37,100,0.00,0.00,0.00
2025-11-14,19.32,19.32,19.11,19.11,500,0.00,0.00,0.00
2025-11-17,18.92,18.92,18.85,18.92,3500,0.00,0.00,0.00
2025-11-18,19.04,19.13,19.04,19.07,12600,0.00,0.00,0.00
2025-11-19,19.05,19.05,18.90,18.90,1100,0.00,0.00,0.00
2025-11-20,19.14,19.14,18.67,18.67,200,0.00,0.00,0.00
2025-11-21,18.63,18.63,18.57,18.59,1500,0.00,0.00,0.00
2025-11-24,18.93,18.97,18.93,18.97,1400,0.00,0.00,0.00
2025-11-25,19.12,19.12,19.12,19.12,100,0.00,0.00,0.00
2025-11-26,19.38,19.44,19.38,19.44,4000,0.00,0.00,0.00
