Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,8.71,8.85,8.71,8.85,4600,0.07,0.00
2000-01-04,8.78,8.80,8.71,8.71,7000,0.00,0.00
2000-01-05,8.63,8.85,8.62,8.76,40800,0.00,0.00
2000-01-06,8.76,8.78,8.66,8.76,45800,0.00,0.00
2000-01-07,8.66,8.76,8.66,8.69,38800,0.00,0.00
2000-01-10,8.66,8.90,8.66,8.90,14000,0.00,0.00
2000-01-11,8.85,9.04,8.85,9.04,20200,0.00,0.00
2000-01-12,8.95,9.09,8.95,9.06,18400,0.00,0.00
2000-01-13,9.06,9.23,8.95,9.21,111600,0.00,0.00
2000-01-14,9.13,9.23,9.13,9.23,2800,0.00,0.00
2000-01-18,9.21,9.23,9.09,9.13,27800,0.00,0.00
2000-01-19,9.21,9.23,8.99,9.04,354600,0.00,0.00
2000-01-20,9.06,9.06,8.85,8.85,15000,0.00,0.00
2000-01-21,9.08,9.08,8.85,8.92,11200,0.00,0.00
2000-01-24,9.04,9.04,8.83,8.91,9600,0.00,0.00
2000-01-25,8.97,8.97,8.83,8.83,9200,0.00,0.00
2000-01-26,8.85,8.90,8.80,8.85,73200,0.00,0.00
2000-01-27,8.85,8.88,8.80,8.80,38400,0.00,0.00
2000-01-28,8.85,8.90,8.80,8.85,25800,0.00,0.00
2000-01-31,8.80,8.83,8.66,8.66,16000,0.00,0.00
2000-02-01,8.66,8.76,8.66,8.71,7200,0.00,0.00
2000-02-02,8.71,8.80,8.71,8.71,100000,0.00,0.00
2000-02-03,8.76,8.76,8.71,8.76,16400,0.00,0.00
2000-02-04,8.76,8.85,8.71,8.71,15200,0.00,0.00
2000-02-07,8.76,8.76,8.71,8.76,48400,0.00,0.00
2000-02-08,8.71,8.80,8.71,8.71,55400,0.00,0.00
2000-02-09,8.71,8.71,8.66,8.66,7800,0.00,0.00
2000-02-10,8.66,8.71,8.66,8.71,25200,0.00,0.00
2000-02-11,8.71,8.76,8.71,8.71,81800,0.00,0.00
2000-02-14,8.71,8.71,8.66,8.66,42600,0.00,0.00
2000-02-15,8.66,8.66,8.66,8.66,27600,0.00,0.00
2000-02-16,8.66,8.71,8.66,8.66,1400,0.00,0.00
2000-02-17,8.71,8.71,8.62,8.62,25200,0.00,0.00
2000-02-18,8.71,8.71,8.62,8.62,2400,0.00,0.00
2000-02-22,8.57,8.71,8.57,8.71,13400,0.00,0.00
2000-02-23,8.62,8.71,8.62,8.66,16800,0.00,0.00
2000-02-24,8.66,8.71,8.66,8.69,10800,0.00,0.00
2000-02-25,8.69,8.71,8.66,8.66,40800,0.00,0.00
2000-02-28,8.48,8.48,8.40,8.40,4600,0.00,0.00
2000-02-29,8.66,8.66,8.29,8.48,34800,0.00,0.00
2000-03-01,8.38,8.38,8.10,8.10,20600,0.00,0.00
2000-03-02,8.15,8.57,8.15,8.48,29200,0.00,0.00
2000-03-03,8.38,8.48,8.24,8.29,17800,0.00,0.00
2000-03-06,8.29,8.47,8.29,8.33,3400,0.00,0.00
2000-03-07,8.43,8.48,8.43,8.48,3800,0.00,0.00
2000-03-08,8.45,8.48,8.45,8.45,19400,0.00,0.00
2000-03-09,8.38,8.48,8.38,8.48,127200,0.00,0.00
2000-03-10,8.48,8.85,8.48,8.62,39800,0.00,0.00
2000-03-13,8.71,8.71,8.48,8.66,10800,0.00,0.00
2000-03-14,8.62,8.64,8.57,8.57,17400,0.00,0.00
2000-03-15,8.57,8.59,8.57,8.57,7400,0.00,0.00
2000-03-16,8.57,8.71,8.57,8.57,3400,0.00,0.00
