Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2011-04-20,16.40,16.41,16.35,16.35,1400,0.00,0.00,0.00
2011-04-21,16.41,16.41,16.41,16.41,100,0.00,0.00,0.00
2011-04-25,16.39,16.39,16.37,16.37,300,0.00,0.00,0.00
2011-04-26,16.37,16.37,16.37,16.37,0,0.00,0.00,0.00
2011-04-27,16.63,16.63,16.63,16.63,500,0.00,0.00,0.00
2011-04-28,16.69,16.69,16.68,16.69,700,0.00,0.00,0.00
2011-04-29,16.69,16.69,16.69,16.69,0,0.00,0.00,0.00
2011-05-02,16.69,16.69,16.69,16.69,0,0.00,0.00,0.00
2011-05-03,16.53,16.53,16.51,16.51,33100,0.00,0.00,0.00
2011-05-04,16.42,16.48,16.42,16.48,1400,0.00,0.00,0.00
2011-05-05,16.48,16.48,16.48,16.48,0,0.00,0.00,0.00
2011-05-06,16.48,16.48,16.48,16.48,0,0.00,0.00,0.00
2011-05-09,16.58,16.60,16.58,16.60,500,0.00,0.00,0.00
2011-05-10,16.75,16.75,16.74,16.74,400,0.00,0.00,0.00
2011-05-11,16.56,16.56,16.52,16.52,1500,0.00,0.00,0.00
2011-05-12,16.76,16.76,16.76,16.76,300,0.00,0.00,0.00
2011-05-13,16.70,16.70,16.70,16.70,300,0.00,0.00,0.00
2011-05-16,16.52,16.52,16.52,16.52,300,0.00,0.00,0.00
2011-05-17,16.30,16.30,16.30,16.30,10000,0.00,0.00,0.00
2011-05-18,16.35,16.41,16.35,16.41,1000,0.00,0.00,0.00
2011-05-19,16.46,16.55,16.46,16.55,1100,0.00,0.00,0.00
2011-05-20,16.63,16.63,16.43,16.43,1100,0.00,0.00,0.00
2011-05-23,16.29,16.29,16.26,16.26,500,0.00,0.00,0.00
2011-05-24,16.22,16.22,16.10,16.10,2500,0.00,0.00,0.00
2011-05-25,16.10,16.10,16.10,16.10,0,0.00,0.00,0.00
2011-05-26,16.31,16.31,16.31,16.31,400,0.00,0.00,0.00
2011-05-27,16.42,16.46,16.42,16.46,800,0.00,0.00,0.00
2011-05-31,16.59,16.60,16.54,16.56,32000,0.00,0.00,0.00
2011-06-01,16.57,16.57,16.25,16.25,1900,0.00,0.00,0.00
2011-06-02,16.25,16.25,16.25,16.25,0,0.00,0.00,0.00
2011-06-03,15.83,16.13,15.83,15.98,8200,0.00,0.00,0.00
2011-06-06,15.98,15.98,15.98,15.98,0,0.00,0.00,0.00
2011-06-07,15.91,15.91,15.83,15.83,400,0.00,0.00,0.00
2011-06-08,15.82,15.82,15.73,15.75,1800,0.00,0.00,0.00
2011-06-09,15.83,15.83,15.83,15.83,900,0.00,0.00,0.00
2011-06-10,15.83,15.83,15.83,15.83,0,0.00,0.00,0.00
2011-06-13,15.55,15.55,15.55,15.55,100,0.00,0.00,0.00
2011-06-14,15.55,15.55,15.55,15.55,0,0.00,0.00,0.00
2011-06-15,15.79,15.79,15.79,15.79,100,0.00,0.00,0.00
2011-06-16,15.85,15.85,15.61,15.61,4200,0.00,0.00,0.00
2011-06-17,15.89,15.89,15.70,15.70,4200,0.00,0.00,0.00
2011-06-20,15.80,15.80,15.80,15.80,300,0.00,0.00,0.00
2011-06-21,15.74,16.06,15.74,16.03,63500,0.04,0.00,0.00
2011-06-22,15.99,16.06,15.99,16.01,55900,0.00,0.00,0.00
2011-06-23,15.70,15.94,15.70,15.90,6500,0.00,0.00,0.00
2011-06-24,15.82,15.82,15.82,15.82,4100,0.00,0.00,0.00
2011-06-27,15.86,15.86,15.78,15.81,800,0.00,0.00,0.00
2011-06-28,15.81,15.81,15.81,15.81,0,0.00,0.00,0.00
2011-06-29,16.16,16.21,16.16,16.19,7000,0.00,0.00,0.00
2011-06-30,16.32,16.32,16.31,16.31,500,0.00,0.00,0.00
2011-07-01,16.47,16.49,16.47,16.49,1500,0.00,0.00,0.00
2011-07-05,16.52,16.52,16.52,16.52,1000,0.00,0.00,0.00
2011-07-06,16.61,16.61,16.60,16.60,400,0.00,0.00,0.00
2011-07-07,16.78,16.78,16.77,16.78,900,0.00,0.00,0.00
2011-07-08,16.61,16.61,16.59,16.59,600,0.00,0.00,0.00
2011-07-11,16.59,16.59,16.59,16.59,0,0.00,0.00,0.00
2011-07-12,16.36,16.36,16.36,16.36,1000,0.00,0.00,0.00
2011-07-13,16.47,16.47,16.37,16.37,900,0.00,0.00,0.00
2011-07-14,16.29,16.29,16.29,16.29,900,0.00,0.00,0.00
2011-07-15,16.29,16.29,16.29,16.29,0,0.00,0.00,0.00
2011-07-18,16.05,16.05,15.81,15.90,5300,0.00,0.00,0.00
2011-07-19,15.90,15.90,15.90,15.90,0,0.00,0.00,0.00
2011-07-20,16.19,16.19,16.19,16.19,300,0.00,0.00,0.00
2011-07-21,16.19,16.19,16.19,16.19,0,0.00,0.00,0.00
2011-07-22,16.38,16.38,16.38,16.38,500,0.00,0.00,0.00
2011-07-25,16.32,16.32,16.31,16.31,5600,0.00,0.00,0.00
2011-07-26,16.21,16.21,16.18,16.18,300,0.00,0.00,0.00
2011-07-27,15.73,15.73,15.73,15.73,500,0.00,0.00,0.00
2011-07-28,15.73,15.73,15.73,15.73,0,0.00,0.00,0.00
2011-07-29,15.73,15.73,15.73,15.73,0,0.00,0.00,0.00
2011-08-01,15.38,15.44,15.34,15.39,26200,0.00,0.00,0.00
2011-08-02,15.32,15.32,15.11,15.11,1800,0.00,0.00,0.00
2011-08-03,14.78,14.78,14.78,14.78,200,0.00,0.00,0.00
2011-08-04,14.15,14.15,14.15,14.15,100,0.00,0.00,0.00
2011-08-05,13.94,14.05,13.66,14.05,17700,0.00,0.00,0.00
2011-08-08,13.48,13.48,13.06,13.18,7100,0.00,0.00,0.00
2011-08-09,13.23,13.27,13.23,13.24,1600,0.00,0.00,0.00
2011-08-10,13.21,13.48,13.13,13.16,9800,0.00,0.00,0.00
2011-08-11,13.38,13.67,13.38,13.67,1700,0.00,0.00,0.00
2011-08-12,13.74,13.81,13.69,13.69,500,0.00,0.00,0.00
2011-08-15,13.93,14.10,13.91,14.10,3100,0.00,0.00,0.00
2011-08-16,13.96,13.98,13.94,13.94,1100,0.00,0.00,0.00
2011-08-17,14.19,14.19,13.86,13.94,5000,0.00,0.00,0.00
2011-08-18,13.81,13.81,13.81,13.81,100,0.00,0.00,0.00
2011-08-19,13.81,13.81,13.81,13.81,0,0.00,0.00,0.00
2011-08-22,13.04,13.04,12.99,13.00,4400,0.00,0.00,0.00
2011-08-23,13.00,13.00,13.00,13.00,0,0.00,0.00,0.00
2011-08-24,13.62,13.62,13.58,13.58,3800,0.00,0.00,0.00
2011-08-25,13.42,13.42,13.42,13.42,2600,0.00,0.00,0.00
2011-08-26,13.57,13.57,13.57,13.57,400,0.00,0.00,0.00
2011-08-29,14.05,14.06,14.05,14.05,4800,0.00,0.00,0.00
2011-08-30,14.25,14.25,14.25,14.25,600,0.00,0.00,0.00
2011-08-31,14.54,14.54,14.34,14.44,3500,0.00,0.00,0.00
2011-09-01,14.38,14.50,14.19,14.19,900,0.00,0.00,0.00
2011-09-02,14.19,14.19,14.19,14.19,0,0.00,0.00,0.00
2011-09-06,13.27,13.27,13.27,13.27,3600,0.00,0.00,0.00
2011-09-07,13.82,13.98,13.82,13.98,200,0.00,0.00,0.00
2011-09-08,13.89,13.89,13.89,13.89,100,0.00,0.00,0.00
2011-09-09,13.89,13.89,13.89,13.89,0,0.00,0.00,0.00
2011-09-12,13.29,13.29,13.29,13.29,100,0.00,0.00,0.00
2011-09-13,13.29,13.29,13.29,13.29,0,0.00,0.00,0.00
2011-09-14,13.29,13.29,13.29,13.29,0,0.00,0.00,0.00
2011-09-15,14.19,14.23,14.19,14.23,400,0.00,0.00,0.00
2011-09-16,14.24,14.24,14.24,14.24,1200,0.00,0.00,0.00
2011-09-19,14.24,14.24,14.24,14.24,0,0.00,0.00,0.00
2011-09-20,14.24,14.24,14.24,14.24,0,0.00,0.00,0.00
2011-09-21,13.60,13.68,13.45,13.49,13100,0.00,0.00,0.00
2011-09-22,12.91,12.91,12.74,12.81,16500,0.00,0.00,0.00
2011-09-23,12.84,12.98,12.83,12.94,20300,0.00,0.00,0.00
2011-09-26,12.98,12.98,12.96,12.97,1600,0.00,0.00,0.00
2011-09-27,12.97,12.97,12.97,12.97,0,0.00,0.00,0.00
2011-09-28,13.37,13.37,13.17,13.19,3400,0.00,0.00,0.00
2011-09-29,13.11,13.11,13.10,13.10,4100,0.00,0.00,0.00
2011-09-30,13.09,13.09,13.08,13.08,600,0.00,0.00,0.00
2011-10-03,13.08,13.08,13.08,13.08,0,0.00,0.00,0.00
2011-10-04,12.42,12.57,12.34,12.38,3300,0.00,0.00,0.00
2011-10-05,13.07,13.07,13.04,13.04,300,0.00,0.00,0.00
2011-10-06,13.30,13.45,13.30,13.45,24000,0.00,0.00,0.00
2011-10-07,13.56,13.56,13.40,13.43,1200,0.00,0.00,0.00
2011-10-10,13.75,13.75,13.75,13.75,500,0.00,0.00,0.00
2011-10-11,13.75,13.75,13.75,13.75,0,0.00,0.00,0.00
2011-10-12,13.75,13.75,13.75,13.75,0,0.00,0.00,0.00
2011-10-13,13.94,13.96,13.83,13.83,1400,0.00,0.00,0.00
2011-10-14,13.83,13.83,13.83,13.83,0,0.00,0.00,0.00
2011-10-17,13.83,13.83,13.83,13.83,0,0.00,0.00,0.00
2011-10-18,14.20,14.20,14.20,14.20,100,0.00,0.00,0.00
2011-10-19,14.25,14.25,14.06,14.06,112000,0.00,0.00,0.00
2011-10-20,13.89,13.89,13.89,13.89,500,0.00,0.00,0.00
2011-10-21,13.89,13.89,13.89,13.89,0,0.00,0.00,0.00
2011-10-24,14.98,15.05,14.98,15.03,2800,0.00,0.00,0.00
2011-10-25,15.03,15.03,14.64,14.64,37800,0.00,0.00,0.00
2011-10-26,14.77,14.77,14.77,14.77,900,0.00,0.00,0.00
2011-10-27,15.48,15.76,15.40,15.75,24100,0.00,0.00,0.00
2011-10-28,15.60,15.69,15.49,15.62,3000,0.00,0.00,0.00
2011-10-31,15.21,15.42,15.10,15.10,14700,0.00,0.00,0.00
2011-11-01,14.69,14.69,14.69,14.69,400,0.00,0.00,0.00
2011-11-02,14.99,14.99,14.76,14.91,93900,0.00,0.00,0.00
2011-11-03,14.96,15.28,14.96,15.28,600,0.00,0.00,0.00
2011-11-04,15.15,15.18,15.15,15.18,500,0.00,0.00,0.00
2011-11-07,15.08,15.36,15.08,15.36,179900,0.00,0.00,0.00
2011-11-08,15.57,15.61,15.57,15.61,800,0.00,0.00,0.00
2011-11-09,15.34,15.34,14.88,14.88,1000,0.00,0.00,0.00
2011-11-10,15.10,15.10,14.98,15.00,2000,0.00,0.00,0.00
2011-11-11,15.49,15.49,15.49,15.49,300,0.00,0.00,0.00
2011-11-14,15.30,15.39,15.14,15.23,12700,0.00,0.00,0.00
2011-11-15,15.16,15.43,15.16,15.43,900,0.00,0.00,0.00
2011-11-16,15.18,15.18,15.18,15.18,1500,0.00,0.00,0.00
2011-11-17,15.06,15.19,14.73,14.77,6700,0.00,0.00,0.00
2011-11-18,14.83,14.83,14.83,14.83,500,0.00,0.00,0.00
2011-11-21,14.38,14.38,14.38,14.38,1000,0.00,0.00,0.00
2011-11-22,14.38,14.38,14.38,14.38,0,0.00,0.00,0.00
2011-11-23,14.38,14.38,14.38,14.38,0,0.00,0.00,0.00
2011-11-25,14.38,14.38,14.38,14.38,0,0.00,0.00,0.00
2011-11-28,14.31,14.31,14.31,14.31,500,0.00,0.00,0.00
2011-11-29,14.32,14.37,14.32,14.35,900,0.00,0.00,0.00
2011-11-30,14.91,15.11,14.91,15.10,1400,0.00,0.00,0.00
2011-12-01,15.19,15.20,15.18,15.20,800,0.00,0.00,0.00
2011-12-02,15.27,15.29,15.16,15.16,10000,0.00,0.00,0.00
2011-12-05,15.47,15.52,15.47,15.52,1000,0.00,0.00,0.00
2011-12-06,15.42,15.42,15.27,15.34,2100,0.00,0.00,0.00
2011-12-07,15.33,15.33,15.16,15.30,900,0.00,0.00,0.00
2011-12-08,15.30,15.30,14.89,14.89,5900,0.00,0.00,0.00
2011-12-09,14.93,15.18,14.91,15.18,2800,0.00,0.00,0.00
2011-12-12,15.25,15.25,14.83,14.84,8600,0.00,0.00,0.00
2011-12-13,15.05,15.08,14.87,14.87,3300,0.00,0.00,0.00
2011-12-14,14.51,14.52,14.33,14.35,6200,0.00,0.00,0.00
2011-12-15,14.53,14.53,14.50,14.50,800,0.00,0.00,0.00
2011-12-16,14.58,14.58,14.58,14.58,200,0.00,0.00,0.00
2011-12-19,14.77,14.77,14.44,14.45,4500,0.00,0.00,0.00
2011-12-20,14.76,14.95,14.73,14.91,3800,0.00,0.00,0.00
2011-12-21,14.84,14.98,14.81,14.98,5100,0.07,0.00,0.00
2011-12-22,15.09,15.11,15.01,15.11,600,0.00,0.00,0.00
2011-12-23,15.28,15.28,15.28,15.28,300,0.00,0.00,0.00
2011-12-27,15.24,15.37,15.24,15.34,5300,0.00,0.00,0.00
2011-12-28,15.12,15.13,14.86,14.86,127600,0.00,0.00,0.00
2011-12-29,15.12,15.17,15.12,15.15,24400,0.00,0.00,0.00
2011-12-30,15.15,15.15,15.15,15.15,0,0.00,0.00,0.00
2012-01-03,15.49,15.49,15.34,15.41,2200,0.00,0.00,0.00
2012-01-04,15.17,15.32,15.17,15.32,2000,0.00,0.00,0.00
2012-01-05,15.44,15.45,15.43,15.43,2600,0.00,0.00,0.00
2012-01-06,15.43,15.43,15.43,15.43,0,0.00,0.00,0.00
2012-01-09,15.44,15.51,15.44,15.51,700,0.00,0.00,0.00
2012-01-10,15.64,15.66,15.64,15.66,400,0.00,0.00,0.00
2012-01-11,15.74,15.74,15.62,15.62,1500,0.00,0.00,0.00
2012-01-12,15.62,15.75,15.62,15.75,300,0.00,0.00,0.00
2012-01-13,15.55,15.56,15.49,15.56,1000,0.00,0.00,0.00
2012-01-17,15.62,15.65,15.62,15.65,900,0.00,0.00,0.00
2012-01-18,15.80,15.80,15.80,15.80,1400,0.00,0.00,0.00
2012-01-19,16.07,16.07,15.97,15.97,700,0.00,0.00,0.00
2012-01-20,16.05,16.06,16.05,16.06,4700,0.00,0.00,0.00
2012-01-23,16.05,16.14,16.05,16.11,2400,0.00,0.00,0.00
2012-01-24,16.13,16.23,16.13,16.23,2700,0.00,0.00,0.00
2012-01-25,16.15,16.39,16.15,16.36,3500,0.00,0.00,0.00
2012-01-26,16.47,16.47,16.18,16.18,4500,0.00,0.00,0.00
2012-01-27,16.39,16.43,16.39,16.43,2700,0.00,0.00,0.00
2012-01-30,16.29,16.29,16.26,16.26,3400,0.00,0.00,0.00
2012-01-31,16.21,16.21,16.04,16.09,10400,0.00,0.00,0.00
2012-02-01,16.30,16.48,16.30,16.48,400,0.00,0.00,0.00
2012-02-02,16.47,16.53,16.47,16.52,1900,0.00,0.00,0.00
2012-02-03,16.74,16.90,16.74,16.90,800,0.00,0.00,0.00
2012-02-06,16.77,16.80,16.77,16.79,1900,0.00,0.00,0.00
2012-02-07,16.76,16.84,16.76,16.84,900,0.00,0.00,0.00
2012-02-08,16.84,16.84,16.84,16.84,0,0.00,0.00,0.00
2012-02-09,16.84,16.84,16.84,16.84,0,0.00,0.00,0.00
2012-02-10,16.63,16.75,16.63,16.69,2000,0.00,0.00,0.00
2012-02-13,16.74,16.81,16.74,16.81,2600,0.00,0.00,0.00
2012-02-14,16.67,16.73,16.67,16.67,4700,0.00,0.00,0.00
2012-02-15,16.83,16.88,16.74,16.88,900,0.00,0.00,0.00
2012-02-16,16.90,17.07,16.90,17.07,5900,0.00,0.00,0.00
2012-02-17,17.16,17.16,17.07,17.11,3900,0.00,0.00,0.00
2012-02-21,17.19,17.21,17.03,17.03,2600,0.00,0.00,0.00
2012-02-22,16.96,16.97,16.96,16.97,700,0.00,0.00,0.00
2012-02-23,16.97,16.97,16.97,16.97,0,0.00,0.00,0.00
2012-02-24,17.08,17.08,17.06,17.07,6000,0.00,0.00,0.00
2012-02-27,16.98,17.09,16.98,17.09,1000,0.00,0.00,0.00
2012-02-28,17.13,17.13,17.13,17.13,600,0.00,0.00,0.00
2012-02-29,16.94,17.05,16.94,17.05,2800,0.00,0.00,0.00
2012-03-01,17.07,17.11,17.00,17.00,2300,0.00,0.00,0.00
2012-03-02,17.08,17.08,16.85,16.85,1100,0.00,0.00,0.00
2012-03-05,16.85,16.85,16.85,16.85,0,0.00,0.00,0.00
2012-03-06,16.39,16.39,16.33,16.33,2000,0.00,0.00,0.00
2012-03-07,16.49,16.58,16.49,16.57,1000,0.00,0.00,0.00
2012-03-08,16.57,16.57,16.57,16.57,0,0.00,0.00,0.00
2012-03-09,17.06,17.06,17.02,17.02,4300,0.00,0.00,0.00
2012-03-12,17.04,17.04,16.83,16.90,7400,0.00,0.00,0.00
2012-03-13,16.96,17.21,16.96,17.21,2400,0.00,0.00,0.00
2012-03-14,17.23,17.28,17.23,17.28,1300,0.00,0.00,0.00
2012-03-15,17.28,17.28,17.28,17.28,0,0.00,0.00,0.00
2012-03-16,17.37,17.40,17.37,17.40,400,0.00,0.00,0.00
2012-03-19,17.56,17.56,17.50,17.50,1000,0.00,0.00,0.00
2012-03-20,17.25,17.34,17.25,17.34,11800,0.00,0.00,0.00
2012-03-21,17.36,17.36,17.26,17.26,800,0.00,0.00,0.00
2012-03-22,17.04,17.05,17.00,17.05,1000,0.00,0.00,0.00
2012-03-23,17.07,17.20,16.93,17.20,5200,0.00,0.00,0.00
2012-03-26,17.49,17.49,17.40,17.46,16300,0.00,0.00,0.00
2012-03-27,17.52,17.57,17.44,17.45,10300,0.00,0.00,0.00
2012-03-28,17.42,17.42,17.35,17.35,2900,0.00,0.00,0.00
2012-03-29,17.16,17.17,17.03,17.17,3200,0.00,0.00,0.00
