Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,27.77,27.77,26.36,26.46,45800,0.00,0.00
2000-01-04,27.00,27.01,25.61,25.61,40800,0.00,0.00
2000-01-05,26.03,26.03,24.05,25.20,48800,0.00,0.00
2000-01-06,24.96,25.53,24.15,24.15,76000,0.00,0.00
2000-01-07,24.15,25.25,24.15,24.95,84400,0.00,0.00
2000-01-10,25.15,25.56,24.70,24.70,92400,0.00,0.00
2000-01-11,24.70,25.30,23.95,24.20,65600,0.00,0.00
2000-01-12,23.84,23.95,22.99,22.99,39800,0.00,0.00
2000-01-13,23.34,23.52,22.54,22.81,80200,0.00,0.00
2000-01-14,23.07,23.34,22.49,22.64,26800,0.00,0.00
2000-01-18,23.74,23.95,21.13,21.53,111800,0.00,0.00
2000-01-19,21.67,21.73,20.52,20.93,57000,0.00,0.00
2000-01-20,21.28,21.28,18.39,18.71,82400,0.00,0.00
2000-01-21,18.86,20.52,18.71,19.77,106800,0.00,0.00
2000-01-24,22.13,24.15,21.73,23.14,180600,0.00,0.00
2000-01-25,22.94,23.44,22.69,22.94,46200,0.00,0.00
2000-01-26,23.34,24.95,23.14,24.70,33000,0.00,0.00
2000-01-27,24.74,25.91,24.55,25.50,68000,0.00,0.00
2000-01-28,25.48,25.58,24.95,24.95,55200,0.00,0.00
2000-01-31,24.78,24.98,22.46,23.34,52400,0.00,0.00
2000-02-01,23.34,23.74,22.39,23.34,12200,0.00,0.00
2000-02-02,23.74,24.55,23.34,24.35,29800,0.00,0.00
2000-02-03,24.95,28.98,24.93,26.66,140800,0.00,0.00
2000-02-04,26.71,29.38,26.70,28.47,253800,0.00,0.00
2000-02-07,28.52,30.16,28.52,29.48,283400,0.00,0.00
2000-02-08,29.68,30.18,27.77,29.98,66200,0.00,2.00
2000-02-09,30.03,30.59,27.16,28.67,46700,0.00,0.00
2000-02-10,29.86,30.69,28.69,29.88,55100,0.00,0.00
2000-02-11,30.56,35.42,29.83,33.00,114000,0.00,0.00
2000-02-14,33.60,38.63,33.35,38.63,255800,0.00,0.00
2000-02-15,40.19,44.27,38.63,38.84,217300,0.00,0.00
2000-02-16,39.04,40.24,36.12,40.24,156100,0.00,0.00
2000-02-17,40.24,40.24,38.53,39.74,52100,0.00,0.00
2000-02-18,40.24,40.24,37.02,37.13,189800,0.00,0.00
2000-02-22,36.17,36.22,30.99,31.79,126800,0.00,0.00
2000-02-23,31.44,34.61,31.29,34.01,1733900,0.00,0.00
2000-02-24,34.56,38.63,34.51,38.33,767300,0.00,0.00
2000-02-25,36.97,39.04,36.92,38.23,278600,0.00,0.00
2000-02-28,37.83,40.65,35.82,39.24,366000,0.00,0.00
2000-02-29,39.29,39.94,32.20,32.20,174200,0.00,0.00
2000-03-01,34.76,37.53,34.41,36.02,165800,0.00,0.00
2000-03-02,38.63,39.44,36.22,37.13,136300,0.00,0.00
2000-03-03,37.13,40.14,37.13,39.84,275200,0.00,0.00
2000-03-06,39.94,41.35,39.04,40.14,203100,0.00,0.00
2000-03-07,40.50,41.25,39.64,40.14,119600,0.00,0.00
2000-03-08,39.64,42.66,38.63,42.66,218800,0.00,0.00
2000-03-09,41.78,49.05,41.25,45.48,147600,0.00,0.00
2000-03-10,43.67,45.27,42.26,42.46,45700,0.00,0.00
2000-03-13,39.89,44.17,33.40,43.67,287800,0.00,0.00
2000-03-14,44.77,44.77,40.95,40.95,65900,0.00,0.00
2000-03-15,38.84,50.81,38.23,50.81,488300,0.00,0.00
2000-03-16,47.89,51.92,45.98,46.68,580200,0.00,0.00
2000-03-17,45.10,52.42,45.10,49.10,100400,0.00,0.00
2000-03-20,49.10,50.71,46.68,47.09,230200,0.00,0.00
2000-03-21,44.67,46.68,37.83,37.83,168100,0.00,0.00
2000-03-22,42.13,42.26,37.33,38.53,99500,0.00,0.00
2000-03-23,38.81,40.85,35.31,37.83,109800,0.00,0.00
2000-03-24,40.19,40.24,37.93,39.64,291700,0.00,0.00
2000-03-27,41.75,42.36,39.24,39.59,151400,0.00,0.00
2000-03-28,42.06,42.06,39.64,41.05,37900,0.00,0.00
2000-03-29,41.05,42.26,36.52,42.06,133000,0.00,0.00
2000-03-30,39.05,41.85,38.84,41.05,155300,0.00,0.00
2000-03-31,41.75,43.87,41.05,43.67,311700,0.00,0.00
2000-04-03,41.85,44.17,41.45,41.90,37100,0.00,0.00
2000-04-04,41.83,41.90,35.36,40.14,79800,0.00,0.00
2000-04-05,35.54,40.29,35.52,39.43,134600,0.00,0.00
2000-04-06,40.34,40.45,36.22,36.72,76500,0.00,0.00
2000-04-07,38.03,38.03,34.51,35.82,143900,0.00,0.00
2000-04-10,38.58,38.84,34.61,36.22,122300,0.00,0.00
2000-04-11,35.06,36.22,34.46,35.11,29000,0.00,0.00
2000-04-12,34.11,34.61,31.49,31.59,29100,0.00,0.00
2000-04-13,33.81,33.81,28.47,29.28,57200,0.00,0.00
2000-04-14,30.49,30.59,24.95,25.15,43700,0.00,0.00
2000-04-17,25.53,28.98,24.95,26.76,86300,0.00,0.00
2000-04-18,28.17,36.02,27.27,34.11,73800,0.00,0.00
2000-04-19,32.20,38.38,32.20,35.47,39100,0.00,0.00
2000-04-20,34.61,36.62,31.39,32.90,52200,0.00,0.00
2000-04-24,32.98,33.00,27.57,31.19,57300,0.00,0.00
2000-04-25,33.00,35.01,31.97,34.51,26500,0.00,0.00
2000-04-26,36.37,38.13,33.91,33.91,35700,0.00,0.00
2000-04-27,30.79,38.03,30.03,36.77,95500,0.00,0.00
2000-04-28,35.04,37.43,35.01,36.47,34600,0.00,0.00
2000-05-01,37.02,37.83,35.01,36.67,239000,0.00,0.00
2000-05-02,36.47,40.34,36.47,39.44,398300,0.00,0.00
2000-05-03,38.63,40.14,38.53,40.04,274000,0.00,0.00
2000-05-04,40.34,48.29,39.84,48.29,248500,0.00,0.00
2000-05-05,43.61,48.09,43.26,44.07,223600,0.00,0.00
2000-05-08,45.07,47.89,42.91,46.88,211400,0.00,0.00
