Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,5.78,5.78,5.78,5.78,0,0.00,0.00
2016-01-05,5.78,5.78,5.78,5.78,0,0.00,0.00
2016-01-06,5.78,5.78,5.78,5.78,1758,0.00,0.00
2016-01-07,5.78,5.78,5.78,5.78,0,0.00,0.00
2016-01-08,5.78,5.82,5.77,5.82,2051,0.00,0.00
2016-01-11,5.82,5.82,5.82,5.82,0,0.00,0.00
2016-01-12,5.78,5.78,5.77,5.77,4687,0.00,0.00
2016-01-13,5.74,5.75,5.74,5.75,28418,0.00,0.00
2016-01-14,5.75,5.75,5.75,5.75,0,0.00,0.00
2016-01-15,5.74,5.74,5.70,5.70,2051,0.00,0.00
2016-01-19,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-01-20,5.69,5.69,5.62,5.62,2344,0.00,0.00
2016-01-21,5.62,5.62,5.62,5.62,1465,0.00,0.00
2016-01-22,5.69,5.69,5.67,5.67,1172,0.00,0.00
2016-01-25,5.69,5.69,5.69,5.69,586,0.00,0.00
2016-01-26,5.69,5.69,5.69,5.69,0,0.00,0.00
2016-01-27,5.69,5.69,5.69,5.69,293,0.00,0.00
2016-01-28,5.77,5.77,5.77,5.77,2930,0.00,0.00
2016-01-29,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-02-01,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-02-02,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-02-03,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-02-04,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-02-05,5.70,5.70,5.70,5.70,6445,0.00,0.00
2016-02-08,5.70,5.70,5.70,5.70,1465,0.00,0.00
2016-02-09,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-02-10,5.70,5.70,5.70,5.70,4687,0.00,0.00
2016-02-11,5.70,5.70,5.70,5.70,3809,0.00,0.00
2016-02-12,5.70,5.70,5.70,5.70,1465,0.00,0.00
2016-02-16,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-02-17,5.70,5.70,5.70,5.70,1465,0.00,0.00
2016-02-18,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-02-19,5.70,5.70,5.70,5.70,1465,0.00,0.00
2016-02-22,5.70,5.70,5.70,5.70,879,0.00,0.00
2016-02-23,5.70,5.70,5.70,5.70,1172,0.00,0.00
2016-02-24,5.70,5.70,5.70,5.70,1465,0.00,0.00
2016-02-25,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-02-26,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-02-29,5.70,5.70,5.70,5.70,2930,0.00,0.00
2016-03-01,5.70,5.70,5.70,5.70,879,0.00,0.00
2016-03-02,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-03-03,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-03-04,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-03-07,5.70,5.70,5.70,5.70,0,0.00,0.00
2016-03-08,5.78,5.78,5.78,5.78,586,0.00,0.00
2016-03-09,5.78,5.78,5.78,5.78,0,0.00,0.00
2016-03-10,5.70,5.70,5.70,5.70,1465,0.00,0.00
2016-03-11,5.77,5.77,5.77,5.77,2637,0.00,0.00
2016-03-14,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-03-15,5.72,5.72,5.72,5.72,1465,0.00,0.00
2016-03-16,5.72,5.72,5.72,5.72,0,0.00,0.00
2016-03-17,5.72,5.72,5.72,5.72,1465,0.00,0.00
2016-03-18,5.72,5.72,5.72,5.72,586,0.00,0.00
2016-03-21,5.72,5.72,5.72,5.72,0,0.00,0.00
2016-03-22,5.72,5.72,5.72,5.72,1465,0.00,0.00
2016-03-23,5.77,5.77,5.72,5.72,1172,0.00,0.00
2016-03-24,5.72,5.72,5.72,5.72,0,0.00,0.00
2016-03-28,5.75,5.75,5.72,5.72,586,0.00,0.00
2016-03-29,5.75,5.75,5.75,5.75,293,0.00,0.00
2016-03-30,5.77,5.77,5.77,5.77,1172,0.00,0.00
2016-03-31,5.77,5.77,5.77,5.77,0,0.00,0.00
2016-04-01,5.80,5.83,5.80,5.83,1465,0.00,0.00
2016-04-04,5.83,5.83,5.83,5.83,0,0.00,0.00
2016-04-05,5.83,5.83,5.83,5.83,0,0.00,0.00
2016-04-06,5.83,5.94,5.83,5.94,1465,0.00,0.00
2016-04-07,5.94,5.94,5.94,5.94,0,0.00,0.00
2016-04-08,5.78,5.78,5.78,5.78,1758,0.00,0.00
2016-04-11,5.77,5.77,5.77,5.77,879,0.00,0.00
2016-04-12,5.78,5.78,5.78,5.78,10254,0.00,0.00
2016-04-13,5.94,6.00,5.87,5.87,4980,0.00,0.00
2016-04-14,5.87,5.87,5.87,5.87,0,0.00,0.00
2016-04-15,5.87,5.87,5.87,5.87,0,0.00,0.00
2016-04-18,6.04,6.10,6.04,6.10,1758,0.00,0.00
2016-04-19,5.99,5.99,5.99,5.99,293,0.00,0.00
2016-04-20,6.10,6.10,6.04,6.04,586,0.00,0.00
2016-04-21,6.17,6.17,6.17,6.17,293,0.00,0.00
2016-04-22,6.17,6.17,6.17,6.17,0,0.00,0.00
2016-04-25,6.17,6.17,6.17,6.17,0,0.00,0.00
2016-04-26,6.17,6.17,6.17,6.17,0,0.00,0.00
2016-04-27,6.19,6.19,6.19,6.19,586,0.00,0.00
2016-04-28,6.04,6.20,6.04,6.20,2344,0.00,0.00
2016-04-29,6.05,6.05,6.05,6.05,1758,0.00,0.00
2016-05-02,6.05,6.05,6.05,6.05,2930,0.00,0.00
2016-05-03,6.05,6.05,6.05,6.05,0,0.00,0.00
2016-05-04,6.05,6.05,6.05,6.05,0,0.00,0.00
2016-05-05,6.05,6.05,6.05,6.05,1758,0.00,0.00
2016-05-06,6.05,6.05,6.05,6.05,0,0.00,0.00
2016-05-09,6.05,6.05,6.05,6.05,586,0.00,0.00
2016-05-10,6.05,6.05,6.05,6.05,293,0.00,0.00
2016-05-11,6.10,6.12,6.10,6.12,1465,0.00,0.00
2016-05-12,6.12,6.12,6.12,6.12,0,0.00,0.00
2016-05-13,6.12,6.12,6.12,6.12,586,0.00,0.00
2016-05-16,6.12,6.12,6.12,6.12,2344,0.00,0.00
2016-05-17,6.04,6.04,6.04,6.04,2051,0.00,0.00
2016-05-18,6.04,6.04,6.04,6.04,0,0.00,0.00
2016-05-19,6.04,6.04,6.04,6.04,0,0.00,0.00
2016-05-20,6.04,6.04,6.04,6.04,0,0.00,0.00
2016-05-23,6.04,6.04,6.04,6.04,0,0.00,0.00
2016-05-24,6.04,6.04,6.04,6.04,586,0.00,0.00
2016-05-25,6.04,6.04,6.04,6.04,0,0.00,0.00
2016-05-26,6.04,6.04,6.04,6.04,0,0.00,0.00
2016-05-27,6.04,6.04,6.01,6.01,2344,0.00,0.00
2016-05-31,6.01,6.01,6.01,6.01,0,0.00,0.00
2016-06-01,6.03,6.03,6.03,6.03,586,0.00,0.00
2016-06-02,6.03,6.03,6.03,6.03,879,0.00,0.00
