Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,2.73,2.73,2.43,2.48,2159340,0.00,0.00
2000-01-04,2.46,2.46,2.35,2.35,928200,0.00,0.00
2000-01-05,2.46,2.52,2.41,2.50,2998800,0.00,0.00
2000-01-06,2.50,2.55,2.45,2.49,1082220,0.00,0.00
2000-01-07,2.48,2.60,2.45,2.57,4083570,0.00,0.00
2000-01-10,2.60,2.79,2.57,2.73,2310810,0.00,0.00
2000-01-11,2.75,2.75,2.62,2.67,1488180,0.00,0.00
2000-01-12,2.65,2.75,2.62,2.75,3887220,0.00,0.00
2000-01-13,2.76,3.17,2.75,3.12,4864890,0.00,0.00
2000-01-14,3.15,3.19,2.97,3.01,1209210,0.00,0.00
2000-01-18,3.01,3.14,3.01,3.05,1677390,0.00,0.00
2000-01-19,3.06,3.06,2.77,2.82,1005210,0.00,0.00
2000-01-20,2.87,2.94,2.62,2.92,1096500,0.00,0.00
2000-01-21,2.88,2.94,2.82,2.86,786420,0.00,0.00
2000-01-24,2.92,2.97,2.77,2.94,843540,0.00,0.00
2000-01-25,2.87,2.95,2.65,2.76,1060290,0.00,0.00
2000-01-26,2.70,2.78,2.65,2.65,327930,0.00,0.00
2000-01-27,2.65,2.67,2.52,2.65,1017960,0.00,0.00
2000-01-28,2.65,2.78,2.57,2.57,1465230,0.00,0.00
2000-01-31,2.57,2.67,2.57,2.59,529380,0.00,0.00
2000-02-01,2.63,2.67,2.60,2.62,878730,0.00,0.00
2000-02-02,2.61,2.68,2.61,2.62,335580,0.00,0.00
2000-02-03,2.63,2.63,2.52,2.60,1194420,0.00,0.00
2000-02-04,2.59,2.62,2.57,2.61,792540,0.00,0.00
2000-02-07,2.60,2.62,2.55,2.61,685440,0.00,0.00
2000-02-08,2.61,2.63,2.59,2.61,870060,0.00,0.00
2000-02-09,2.60,2.66,2.55,2.55,1058760,0.00,0.00
2000-02-10,2.63,2.65,2.55,2.65,704820,0.00,0.00
2000-02-11,2.62,2.63,2.45,2.45,3347130,0.00,0.00
2000-02-14,2.57,2.75,2.52,2.70,1334160,0.00,0.00
2000-02-15,2.70,2.75,2.65,2.67,1664640,0.00,0.00
2000-02-16,2.70,2.72,2.48,2.56,1599360,0.00,0.00
2000-02-17,2.54,2.67,2.50,2.62,2088960,0.00,0.00
2000-02-18,2.63,2.63,2.52,2.55,985320,0.00,0.00
2000-02-22,2.77,2.84,2.57,2.65,3742890,0.00,0.00
2000-02-23,2.76,2.89,2.65,2.87,3488400,0.00,0.00
2000-02-24,2.89,2.97,2.84,2.93,2262870,0.00,0.00
2000-02-25,2.92,2.97,2.89,2.93,1056720,0.00,0.00
2000-02-28,2.98,3.33,2.92,3.26,2637210,0.00,0.00
2000-02-29,3.38,3.68,3.36,3.68,3760740,0.00,0.00
2000-03-01,3.55,3.69,3.14,3.57,3394050,0.00,0.00
2000-03-02,3.44,3.46,3.00,3.08,2784090,0.00,0.00
2000-03-03,3.09,3.14,2.99,3.04,1197480,0.00,0.00
2000-03-06,3.04,3.11,2.99,3.06,894030,0.00,0.00
2000-03-07,3.04,3.26,3.01,3.05,1523880,0.00,0.00
2000-03-08,3.04,3.09,2.95,3.06,1889040,0.00,0.00
2000-03-09,3.04,3.24,2.97,3.24,1486140,0.00,0.00
2000-03-10,3.21,3.33,3.15,3.19,926160,0.00,0.00
2000-03-13,3.25,3.26,2.93,3.05,888420,0.00,0.00
2000-03-14,3.11,3.11,2.99,3.09,813960,0.00,0.00
2000-03-15,3.09,3.11,2.95,3.03,593640,0.00,0.00
2000-03-16,2.99,3.11,2.97,3.05,616590,0.00,0.00
2000-03-17,3.01,3.19,3.01,3.16,2257770,0.00,0.00
2000-03-20,3.14,3.20,2.94,2.94,794580,0.00,0.00
2000-03-21,3.01,3.14,2.94,3.08,445740,0.00,0.00
2000-03-22,3.11,3.16,3.04,3.14,819060,0.00,0.00
2000-03-23,3.16,3.58,3.09,3.46,2958510,0.00,0.00
2000-03-24,3.47,3.58,3.19,3.36,1306620,0.00,0.00
2000-03-27,3.46,3.53,3.43,3.50,676260,0.00,0.00
2000-03-28,3.53,3.54,3.28,3.32,521730,0.00,0.00
2000-03-29,3.37,3.50,3.21,3.21,431460,0.00,0.00
2000-03-30,3.24,3.35,2.84,3.09,1739100,0.00,0.00
2000-03-31,3.15,3.28,3.08,3.17,1025610,0.00,0.00
2000-04-03,3.14,3.21,3.04,3.04,375360,0.00,0.00
2000-04-04,3.06,3.21,2.84,3.14,1585590,0.00,0.00
2000-04-05,3.09,3.24,3.04,3.12,398310,0.00,0.00
2000-04-06,3.11,3.25,3.09,3.21,465630,0.00,0.00
2000-04-07,3.21,3.24,3.04,3.16,355470,0.00,0.00
2000-04-10,3.15,3.20,3.01,3.06,553860,0.00,0.00
2000-04-11,3.06,3.15,2.92,3.01,361080,0.00,0.00
2000-04-12,3.06,3.06,2.92,2.94,283050,0.00,0.00
2000-04-13,3.04,3.14,3.01,3.14,570690,0.00,0.00
2000-04-14,2.94,3.01,2.88,2.92,541110,0.00,0.00
2000-04-17,2.94,2.99,2.57,2.70,2908530,0.00,0.00
2000-04-18,2.73,3.01,2.67,2.97,2584170,0.00,0.00
2000-04-19,3.01,3.06,2.72,2.73,614550,0.00,0.00
2000-04-20,2.82,2.92,2.76,2.82,387090,0.00,0.00
2000-04-24,2.77,2.84,2.75,2.77,460530,0.00,0.00
2000-04-25,2.82,2.86,2.75,2.84,682890,0.00,0.00
2000-04-26,2.84,2.89,2.81,2.82,813960,0.00,0.00
2000-04-27,2.77,2.84,2.70,2.75,687990,0.00,0.00
2000-04-28,2.76,2.82,2.70,2.74,1113840,0.00,0.00
2000-05-01,2.73,2.94,2.70,2.94,865980,0.00,0.00
2000-05-02,2.92,3.09,2.87,2.93,655350,0.00,0.00
2000-05-03,2.94,3.00,2.81,2.92,1726350,0.00,0.00
2000-05-04,2.93,3.06,2.84,3.06,349350,0.00,0.00
2000-05-05,2.99,3.11,2.97,3.01,542640,0.00,0.00
2000-05-08,3.03,3.37,3.00,3.21,1556520,0.00,0.00
2000-05-09,3.24,3.48,3.22,3.33,674220,0.00,0.00
2000-05-10,3.19,3.24,3.12,3.15,672690,0.00,0.00
2000-05-11,3.17,3.17,3.08,3.16,604860,0.00,0.00
2000-05-12,3.14,3.21,3.06,3.11,584460,0.00,0.00
2000-05-15,3.09,3.37,3.06,3.27,301920,0.00,0.00
2000-05-16,3.27,3.38,3.24,3.35,557430,0.00,0.00
2000-05-17,3.30,3.36,3.22,3.33,545700,0.00,0.00
2000-05-18,3.28,3.38,3.24,3.33,384540,0.00,0.00
2000-05-19,3.35,3.37,3.24,3.28,550290,0.00,0.00
2000-05-22,3.31,3.38,3.21,3.36,557940,0.00,0.00
2000-05-23,3.31,3.36,3.25,3.26,865470,0.00,0.00
2000-05-24,3.30,3.33,3.17,3.28,909330,0.00,0.00
2000-05-25,3.24,3.33,3.24,3.28,895050,0.00,0.00
2000-05-26,3.31,3.31,3.12,3.28,566610,0.00,0.00
2000-05-30,3.31,3.41,3.19,3.38,4759320,0.00,0.00
2000-05-31,3.35,3.53,3.26,3.46,2559180,0.00,0.00
2000-06-01,3.48,3.55,3.48,3.54,3297660,0.00,0.00
2000-06-02,3.55,3.63,3.55,3.58,1122510,0.00,0.00
2000-06-05,3.47,3.55,3.46,3.49,851700,0.00,0.00
2000-06-06,3.48,3.54,3.48,3.52,599760,0.00,0.00
2000-06-07,3.53,3.54,3.50,3.52,752250,0.00,0.00
2000-06-08,3.51,3.53,3.46,3.53,351390,0.00,0.00
2000-06-09,3.53,3.55,3.48,3.53,730320,0.00,0.00
2000-06-12,3.53,3.58,3.48,3.52,794580,0.00,0.00
2000-06-13,3.49,3.52,3.46,3.50,863430,0.00,0.00
2000-06-14,3.50,3.54,3.47,3.53,519690,0.00,0.00
