Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,10.18,10.18,10.07,10.11,23400,0.00,0.00
2000-01-04,10.14,10.14,10.10,10.10,45600,0.00,0.00
2000-01-05,10.10,10.12,10.07,10.10,27000,0.00,0.00
2000-01-06,10.08,10.08,10.06,10.06,34200,0.00,0.00
2000-01-07,10.10,10.12,10.06,10.07,19200,0.00,0.00
2000-01-10,10.07,10.07,10.05,10.05,37800,0.00,0.00
2000-01-11,10.05,10.07,10.05,10.07,14400,0.00,0.00
2000-01-12,10.06,10.06,10.06,10.06,4200,0.00,0.00
2000-01-13,10.06,10.06,10.06,10.06,7200,0.00,0.00
2000-01-14,10.06,10.06,10.06,10.06,8400,0.00,0.00
2000-01-18,10.06,10.07,10.04,10.04,31800,0.00,0.00
2000-01-19,10.04,10.04,9.93,9.93,55800,0.00,0.00
2000-01-20,9.93,9.93,9.90,9.93,19200,0.00,0.00
2000-01-21,9.93,10.03,9.90,10.02,15000,0.00,0.00
2000-01-24,10.01,10.02,9.97,9.97,7200,0.00,0.00
2000-01-25,9.97,9.97,9.95,9.95,1200,0.00,0.00
2000-01-26,9.97,9.97,9.86,9.86,17400,0.00,0.00
2000-01-27,9.87,9.87,9.69,9.69,24600,0.00,0.00
2000-01-28,9.65,9.65,9.61,9.61,12000,0.00,0.00
2000-01-31,9.69,9.90,9.69,9.88,24000,0.00,0.00
2000-02-01,9.86,9.86,9.86,9.86,6000,0.00,0.00
2000-02-02,9.95,9.95,9.90,9.90,6600,0.00,0.00
2000-02-03,9.90,9.90,9.73,9.73,18600,0.00,0.00
2000-02-04,9.74,9.74,9.70,9.74,5400,0.10,0.00
2000-02-07,9.74,9.83,9.74,9.74,12000,0.00,0.00
2000-02-08,9.72,9.72,9.70,9.70,16200,0.00,0.00
2000-02-09,9.79,9.79,9.62,9.62,19800,0.00,0.00
2000-02-10,9.59,9.59,9.58,9.58,13200,0.00,0.00
2000-02-11,9.58,9.65,9.58,9.62,7800,0.00,0.00
2000-02-14,9.64,9.66,9.51,9.51,20400,0.00,0.00
2000-02-15,9.51,9.51,9.48,9.49,6600,0.00,0.00
2000-02-16,9.47,9.55,9.47,9.55,10800,0.00,0.00
2000-02-17,9.51,9.55,9.51,9.55,4200,0.00,0.00
2000-02-18,9.53,9.55,9.53,9.55,3600,0.00,0.00
2000-02-22,9.62,9.62,9.53,9.62,20400,0.00,0.00
2000-02-23,9.59,9.74,9.59,9.74,7200,0.00,0.00
2000-02-24,9.70,9.74,9.66,9.68,4200,0.00,0.00
2000-02-25,9.66,9.74,9.58,9.74,10200,0.00,0.00
2000-02-28,9.71,9.71,9.70,9.70,1800,0.00,0.00
2000-02-29,9.68,9.68,9.63,9.63,9600,0.00,0.00
2000-03-01,9.66,9.72,9.66,9.72,7200,0.00,0.00
2000-03-02,9.68,9.68,9.53,9.53,23400,0.00,0.00
2000-03-03,9.40,9.53,9.40,9.53,26400,0.00,0.00
2000-03-06,9.57,9.66,9.57,9.62,13800,0.00,0.00
2000-03-07,9.62,10.09,9.62,10.00,18600,0.00,0.00
2000-03-08,10.00,10.00,9.85,10.00,18000,0.00,0.00
2000-03-09,9.91,9.91,9.79,9.79,7800,0.00,0.00
2000-03-10,9.72,9.72,9.53,9.62,5400,0.00,0.00
2000-03-13,9.66,9.66,9.54,9.54,7800,0.00,0.00
2000-03-14,9.54,9.65,9.54,9.65,4200,0.00,0.00
2000-03-15,9.57,9.57,9.23,9.47,36600,0.00,0.00
2000-03-16,9.56,9.60,9.49,9.60,8400,0.00,0.00
2000-03-17,9.59,9.83,9.59,9.79,12600,0.00,0.00
2000-03-20,9.70,9.74,9.64,9.64,4200,0.00,0.00
2000-03-21,9.57,9.63,9.49,9.63,17400,0.00,0.00
2000-03-22,9.49,9.66,9.49,9.57,24000,0.00,0.00
2000-03-23,9.66,9.74,9.66,9.74,9600,0.00,0.00
2000-03-24,9.74,9.74,9.74,9.74,11400,0.00,0.00
2000-03-27,9.74,9.83,9.54,9.83,18600,0.00,0.00
2000-03-28,9.74,9.74,9.62,9.66,3000,0.00,0.00
2000-03-29,9.74,9.74,9.74,9.74,23400,0.00,0.00
2000-03-30,9.79,9.82,9.73,9.74,10200,0.00,0.00
2000-03-31,9.62,10.00,9.62,10.00,22800,0.00,0.00
2000-04-03,9.91,9.97,9.83,9.83,13200,0.00,0.00
2000-04-04,9.96,10.00,9.88,9.91,16200,0.00,0.00
2000-04-05,9.83,10.04,9.83,10.00,13800,0.00,0.00
2000-04-06,9.91,9.91,9.83,9.83,3600,0.00,0.00
2000-04-07,9.83,9.83,9.83,9.83,1800,0.00,0.00
2000-04-10,9.83,9.91,9.83,9.91,18600,0.00,0.00
2000-04-11,9.91,9.98,9.91,9.98,2400,0.00,0.00
2000-04-12,9.98,9.98,9.98,9.98,0,0.00,0.00
2000-04-13,10.07,10.08,10.03,10.03,2400,0.00,0.00
2000-04-14,10.09,10.09,9.87,9.87,7800,0.00,0.00
2000-04-17,9.96,10.03,9.96,10.03,6600,0.00,0.00
2000-04-18,9.91,9.91,9.74,9.83,6000,0.00,0.00
2000-04-19,9.77,9.83,9.74,9.83,8400,0.00,0.00
2000-04-20,9.83,9.91,9.83,9.91,10200,0.00,0.00
2000-04-24,9.91,9.91,9.91,9.91,4800,0.00,0.00
2000-04-25,9.90,9.98,9.88,9.91,6000,0.00,0.00
2000-04-26,9.86,9.91,9.86,9.91,1800,0.00,0.00
2000-04-27,9.93,9.93,9.88,9.88,24000,0.10,0.00
2000-04-28,9.90,9.95,9.90,9.95,30000,0.00,0.00
2000-05-01,9.88,9.92,9.88,9.92,6000,0.00,0.00
2000-05-02,9.94,9.94,9.84,9.84,4800,0.00,0.00
2000-05-03,9.88,9.88,9.88,9.88,600,0.00,0.00
2000-05-04,9.88,9.88,9.88,9.88,2400,0.00,0.00
2000-05-05,9.84,9.97,9.84,9.97,10800,0.00,0.00
2000-05-08,9.95,9.95,9.92,9.92,11400,0.00,0.00
2000-05-09,9.88,9.91,9.88,9.88,5400,0.00,0.00
2000-05-10,9.88,9.95,9.84,9.88,34800,0.00,0.00
2000-05-11,9.90,9.91,9.82,9.91,4800,0.00,0.00
2000-05-12,9.91,9.91,9.91,9.91,0,0.00,0.00
2000-05-15,9.83,9.88,9.83,9.88,6000,0.00,0.00
2000-05-16,9.82,9.88,9.82,9.86,7800,0.00,0.00
2000-05-17,9.84,9.94,9.80,9.85,43200,0.00,0.00
2000-05-18,9.85,9.88,9.80,9.88,10800,0.00,0.00
2000-05-19,9.86,9.88,9.86,9.86,9600,0.00,0.00
2000-05-22,9.84,9.88,9.84,9.86,11400,0.00,0.00
2000-05-23,9.95,10.03,9.92,9.92,10800,0.00,0.00
2000-05-24,9.91,9.99,9.84,9.99,12600,0.00,0.00
2000-05-25,10.01,10.10,9.93,9.93,9600,0.00,0.00
2000-05-26,9.95,9.95,9.80,9.88,14400,0.00,0.00
2000-05-30,9.91,9.91,9.91,9.91,1200,0.00,0.00
2000-05-31,9.92,9.92,9.71,9.71,14400,0.00,0.00
2000-06-01,9.80,9.97,9.80,9.92,22800,0.00,0.00
2000-06-02,9.88,9.92,9.87,9.87,6000,0.00,0.00
2000-06-05,9.88,9.96,9.88,9.88,8400,0.00,0.00
2000-06-06,9.97,10.05,9.97,10.05,11400,0.00,0.00
2000-06-07,10.05,10.05,10.05,10.05,0,0.00,0.00
2000-06-08,10.05,10.14,10.05,10.13,12600,0.00,0.00
2000-06-09,10.05,10.05,10.02,10.05,24600,0.00,0.00
2000-06-12,10.01,10.05,10.01,10.01,6000,0.00,0.00
2000-06-13,10.03,10.05,10.01,10.03,7200,0.00,0.00
2000-06-14,10.05,10.05,10.05,10.05,5400,0.00,0.00
2000-06-15,10.03,10.05,10.01,10.01,7200,0.00,0.00
2000-06-16,10.01,10.01,9.98,9.99,19200,0.00,0.00
2000-06-19,9.98,9.99,9.98,9.99,3000,0.00,0.00
2000-06-20,9.99,10.01,9.97,10.01,20400,0.00,0.00
2000-06-21,10.02,10.02,9.99,9.99,4200,0.00,0.00
2000-06-22,9.97,9.97,9.97,9.97,1200,0.00,0.00
2000-06-23,9.97,10.10,9.97,10.03,10200,0.00,0.00
2000-06-26,10.03,10.03,10.03,10.03,0,0.00,0.00
2000-06-27,10.03,10.12,10.03,10.12,13200,0.00,0.00
2000-06-28,10.09,10.13,10.05,10.13,7800,0.00,0.00
2000-06-29,10.13,10.14,10.05,10.07,22800,0.00,0.00
2000-06-30,10.13,10.26,10.05,10.21,25800,0.00,0.00
2000-07-03,10.20,10.20,10.20,10.20,1200,0.00,0.00
2000-07-05,10.25,10.25,10.25,10.25,1800,0.00,0.00
2000-07-06,10.21,10.29,10.15,10.23,22200,0.00,0.00
2000-07-07,10.27,10.27,10.20,10.23,6000,0.00,0.00
2000-07-10,10.23,10.31,10.23,10.27,55800,0.00,0.00
2000-07-11,10.29,10.31,10.27,10.27,7800,0.00,0.00
2000-07-12,10.23,10.26,10.23,10.23,17400,0.00,0.00
2000-07-13,10.23,10.32,10.23,10.32,15600,0.00,0.00
2000-07-14,10.33,10.35,10.31,10.35,15000,0.00,0.00
2000-07-17,10.31,10.31,10.31,10.31,4800,0.00,0.00
2000-07-18,10.34,10.34,10.27,10.28,31200,0.00,0.00
2000-07-19,10.26,10.26,10.18,10.20,6000,0.00,0.00
2000-07-20,10.19,10.25,10.19,10.25,6600,0.00,0.00
2000-07-21,10.29,10.29,10.23,10.23,7200,0.00,0.00
2000-07-24,10.20,10.24,10.20,10.20,7800,0.00,0.00
2000-07-25,10.23,10.23,10.16,10.16,28200,0.00,0.00
2000-07-26,10.18,10.20,10.18,10.20,99000,0.00,0.00
2000-07-27,10.20,10.24,10.20,10.24,67800,0.00,0.00
2000-07-28,10.28,10.36,10.28,10.36,66600,0.10,0.00
2000-07-31,10.36,10.41,10.36,10.41,5400,0.00,0.00
2000-08-01,10.39,10.45,10.39,10.45,3600,0.00,0.00
2000-08-02,10.52,10.54,10.35,10.36,65400,0.00,0.00
2000-08-03,10.36,10.36,10.35,10.35,22800,0.00,0.00
2000-08-04,10.35,10.49,10.35,10.49,132000,0.00,0.00
2000-08-07,10.53,10.53,10.47,10.52,14400,0.00,0.00
2000-08-08,10.52,10.52,10.47,10.52,12600,0.00,0.00
2000-08-09,10.45,10.45,10.45,10.45,6600,0.00,0.00
2000-08-10,10.45,10.49,10.39,10.41,9600,0.00,0.00
2000-08-11,10.32,10.44,10.32,10.41,15600,0.00,0.00
2000-08-14,10.49,10.49,10.28,10.32,21600,0.00,0.00
2000-08-15,10.41,10.45,10.41,10.41,11400,0.00,0.00
2000-08-16,10.38,10.43,10.38,10.40,16800,0.00,0.00
