Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,22.27,22.98,22.21,22.58,21000,0.00,0.00
2016-01-05,22.59,22.86,22.20,22.72,17100,0.00,0.00
2016-01-06,22.46,22.98,22.46,22.54,25700,0.00,0.00
2016-01-07,22.73,22.99,22.04,22.06,31600,0.00,0.00
2016-01-08,22.44,24.21,22.44,23.71,54800,0.00,0.00
2016-01-11,23.61,23.86,22.12,22.42,19000,0.00,0.00
2016-01-12,22.55,22.63,21.55,21.84,20900,0.00,0.00
2016-01-13,22.01,22.01,21.31,21.36,14300,0.00,0.00
2016-01-14,21.43,22.02,21.43,21.88,15700,0.00,0.00
2016-01-15,21.26,23.06,21.26,22.46,24300,0.00,0.00
2016-01-19,22.66,22.73,21.49,21.93,14500,0.00,0.00
2016-01-20,21.63,21.80,20.72,21.68,44900,0.00,0.00
2016-01-21,22.15,22.20,21.72,22.11,31400,0.00,0.00
2016-01-22,22.29,22.79,21.35,22.45,12400,0.00,0.00
2016-01-25,22.05,22.05,20.89,21.01,17700,0.00,0.00
2016-01-26,21.42,21.81,21.09,21.52,12600,0.00,0.00
2016-01-27,21.19,21.51,20.99,21.24,11800,0.00,0.00
2016-01-28,21.83,21.83,21.24,21.57,15200,0.00,0.00
2016-01-29,21.75,24.14,21.75,23.41,46700,0.00,0.00
2016-02-01,23.12,23.12,21.75,21.87,26600,0.00,0.00
2016-02-02,21.58,21.69,21.26,21.39,7500,0.00,0.00
2016-02-03,21.67,21.86,21.03,21.75,11300,0.00,0.00
2016-02-04,21.80,23.55,21.80,22.33,7800,0.00,0.00
2016-02-05,22.30,22.88,21.33,21.36,20700,0.00,0.00
2016-02-08,21.23,22.34,20.91,22.13,16300,0.00,0.00
2016-02-09,21.87,22.46,21.53,21.60,13600,0.00,0.00
2016-02-10,22.08,22.08,21.23,21.23,7500,0.00,0.00
2016-02-11,21.04,21.22,20.16,20.80,18300,0.00,0.00
2016-02-12,21.92,22.11,21.34,22.05,7000,0.00,0.00
2016-02-16,22.29,22.29,21.63,22.14,18300,0.00,0.00
2016-02-17,22.53,22.80,22.42,22.47,12000,0.00,0.00
2016-02-18,22.46,23.07,22.46,22.71,50800,0.00,0.00
2016-02-19,22.60,23.34,22.24,23.25,14200,0.00,0.00
2016-02-22,23.41,23.79,22.95,23.74,11500,0.00,0.00
2016-02-23,23.63,23.73,22.56,22.66,7600,0.00,0.00
2016-02-24,22.72,23.17,22.57,22.92,11100,0.00,0.00
2016-02-25,22.43,22.76,22.31,22.55,9200,0.00,0.00
2016-02-26,22.73,23.41,22.52,22.94,14000,0.00,0.00
2016-02-29,23.10,23.10,22.34,22.50,55500,0.00,0.00
2016-03-01,23.01,23.14,22.93,23.12,9300,0.00,0.00
2016-03-02,22.89,23.66,22.80,23.63,30800,0.00,0.00
2016-03-03,23.44,23.84,23.44,23.71,11700,0.00,0.00
2016-03-04,23.52,27.12,23.52,26.79,32300,0.00,0.00
2016-03-07,26.96,27.43,26.08,26.54,25600,0.00,0.00
2016-03-08,26.47,26.70,25.43,26.51,21900,0.00,0.00
2016-03-09,26.71,27.30,25.98,26.46,10900,0.00,0.00
2016-03-10,26.82,27.61,25.71,26.46,36700,0.00,0.00
2016-03-11,26.71,26.88,25.83,26.88,9400,0.00,0.00
2016-03-14,26.77,27.17,26.61,26.61,11400,0.00,0.00
2016-03-15,26.32,26.60,25.80,26.01,16400,0.00,0.00
2016-03-16,25.91,26.41,25.91,26.32,14500,0.00,0.00
2016-03-17,26.66,26.86,26.44,26.56,18700,0.00,0.00
2016-03-18,26.71,27.15,26.26,26.84,29900,0.00,0.00
2016-03-21,26.55,27.14,25.73,26.64,19200,0.00,0.00
