Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,2.30,2.30,2.28,2.30,5600,0.00,0.00
2000-01-04,2.30,2.31,2.28,2.28,258400,0.00,0.00
2000-01-05,2.30,2.31,2.28,2.28,257600,0.00,0.00
2000-01-06,2.30,2.30,2.28,2.28,60800,0.00,0.00
2000-01-07,2.28,2.31,2.28,2.28,24200,0.00,0.00
2000-01-10,2.35,2.35,2.28,2.31,16200,0.00,0.00
2000-01-11,2.28,2.31,2.28,2.28,83000,0.00,0.00
2000-01-12,2.28,2.28,2.28,2.28,32600,0.00,0.00
2000-01-13,2.28,2.30,2.23,2.28,60000,0.00,0.00
2000-01-14,2.28,2.31,2.28,2.28,34800,0.00,0.00
2000-01-18,2.28,2.30,2.28,2.30,76000,0.00,0.00
2000-01-19,2.30,2.30,2.28,2.29,57200,0.00,0.00
2000-01-20,2.30,2.30,2.28,2.28,132800,0.00,0.00
2000-01-21,2.28,2.30,2.28,2.28,84800,0.00,0.00
2000-01-24,2.28,2.30,2.28,2.30,8000,0.00,0.00
2000-01-25,2.28,2.28,2.21,2.23,22600,0.00,0.00
2000-01-26,2.21,2.21,2.21,2.21,1800,0.00,0.00
2000-01-27,2.21,2.25,2.21,2.21,10600,0.00,0.00
2000-01-28,2.18,2.18,2.12,2.12,3200,0.00,0.00
2000-01-31,2.18,2.25,2.14,2.21,81200,0.00,0.00
2000-02-01,2.26,2.30,2.21,2.21,33200,0.00,0.00
2000-02-02,2.26,2.28,2.21,2.21,3400,0.00,0.00
2000-02-03,2.21,2.25,2.21,2.25,37600,0.00,0.00
2000-02-04,2.21,2.28,2.21,2.21,4200,0.00,0.00
2000-02-07,2.25,2.25,2.21,2.25,14600,0.00,0.00
2000-02-08,2.25,2.28,2.21,2.28,49800,0.00,0.00
2000-02-09,2.21,2.30,2.21,2.28,37600,0.00,0.00
2000-02-10,2.21,2.21,2.21,2.21,31000,0.00,0.00
2000-02-11,2.21,2.23,2.21,2.21,10800,0.00,0.00
2000-02-14,2.21,2.21,2.08,2.21,9400,0.00,0.00
2000-02-15,2.14,2.14,2.14,2.14,2400,0.00,0.00
2000-02-16,2.14,2.14,2.14,2.14,0,0.00,0.00
2000-02-17,2.14,2.14,2.11,2.14,9400,0.00,0.00
2000-02-18,2.11,2.13,2.11,2.13,34000,0.00,0.00
2000-02-22,2.16,2.18,2.13,2.18,14400,0.00,0.00
2000-02-23,2.18,2.18,2.18,2.18,22200,0.00,0.00
2000-02-24,2.18,2.20,2.18,2.20,36000,0.00,0.00
2000-02-25,2.21,2.21,2.21,2.21,16000,0.00,0.00
2000-02-28,2.20,2.20,2.20,2.20,7400,0.00,0.00
2000-02-29,2.21,2.21,2.21,2.21,400,0.00,0.00
2000-03-01,2.21,2.21,2.21,2.21,3000,0.00,0.00
2000-03-02,2.23,2.23,2.21,2.21,4000,0.00,0.00
2000-03-03,2.21,2.25,2.21,2.21,39200,0.00,0.00
2000-03-06,2.21,2.21,2.21,2.21,27800,0.00,0.00
2000-03-07,2.21,2.25,2.21,2.21,23800,0.00,0.00
2000-03-08,2.21,2.25,2.21,2.25,45000,0.00,0.00
2000-03-09,2.21,2.21,2.21,2.21,5400,0.00,0.00
2000-03-10,2.21,2.21,2.21,2.21,200,0.00,0.00
2000-03-13,2.21,2.21,2.21,2.21,7600,0.00,0.00
2000-03-14,2.21,2.25,2.21,2.23,39400,0.00,0.00
2000-03-15,2.23,2.23,2.23,2.23,400,0.00,0.00
2000-03-16,2.23,2.28,2.23,2.28,51400,0.00,0.00
2000-03-17,2.28,2.28,2.21,2.25,70200,0.00,0.00
2000-03-20,2.21,2.21,2.21,2.21,3800,0.00,0.00
2000-03-21,2.25,2.28,2.25,2.28,59800,0.00,0.00
2000-03-22,2.25,2.29,2.25,2.26,6200,0.00,0.00
2000-03-23,2.29,2.29,2.26,2.26,27000,0.00,0.00
2000-03-24,2.28,2.28,2.28,2.28,1000,0.00,0.00
2000-03-27,2.26,2.30,2.26,2.26,95800,0.00,0.00
2000-03-28,2.27,2.28,2.26,2.26,28800,0.00,0.00
2000-03-29,2.31,2.35,2.31,2.31,34000,0.09,0.00
2000-03-30,2.35,2.35,2.31,2.31,13200,0.00,0.00
2000-03-31,2.31,2.36,2.31,2.31,11000,0.00,0.00
2000-04-03,2.31,2.31,2.31,2.31,78200,0.00,0.00
2000-04-04,2.33,2.33,2.31,2.31,76400,0.00,0.00
2000-04-05,2.31,2.33,2.31,2.33,26000,0.00,0.00
2000-04-06,2.33,2.33,2.31,2.33,3800,0.00,0.00
2000-04-07,2.31,2.33,2.31,2.33,44200,0.00,0.00
2000-04-10,2.33,2.33,2.31,2.31,29200,0.00,0.00
2000-04-11,2.33,2.33,2.31,2.31,42800,0.00,0.00
2000-04-12,2.33,2.33,2.31,2.31,19600,0.00,0.00
2000-04-13,2.31,2.33,2.31,2.31,46600,0.00,0.00
2000-04-14,2.31,2.31,2.17,2.22,83400,0.00,0.00
2000-04-17,2.22,2.22,2.14,2.17,13200,0.00,0.00
2000-04-18,2.15,2.22,2.15,2.19,33800,0.00,0.00
2000-04-19,2.22,2.26,2.22,2.26,17200,0.00,0.00
2000-04-20,2.26,2.26,2.26,2.26,3800,0.00,0.00
2000-04-24,2.26,2.26,2.22,2.22,2200,0.00,0.00
2000-04-25,2.22,2.26,2.22,2.24,12800,0.00,0.00
2000-04-26,2.29,2.29,2.26,2.26,7400,0.00,0.00
2000-04-27,2.29,2.31,2.26,2.29,64400,0.00,0.00
2000-04-28,2.29,2.29,2.26,2.26,12200,0.00,0.00
2000-05-01,2.22,2.22,2.22,2.22,600,0.00,0.00
2000-05-02,2.19,2.19,2.19,2.19,7200,0.00,0.00
2000-05-03,2.19,2.19,2.19,2.19,2400,0.00,0.00
2000-05-04,2.22,2.22,2.22,2.22,3200,0.00,0.00
2000-05-05,2.22,2.22,2.22,2.22,11200,0.00,0.00
2000-05-08,2.26,2.29,2.22,2.22,14000,0.00,0.00
2000-05-09,2.19,2.24,2.15,2.15,52400,0.00,0.00
2000-05-10,2.15,2.15,2.10,2.15,4600,0.00,0.00
2000-05-11,2.15,2.19,2.08,2.12,41200,0.00,0.00
2000-05-12,2.19,2.19,2.08,2.12,3600,0.00,0.00
2000-05-15,2.14,2.21,2.14,2.21,23000,0.00,0.00
2000-05-16,2.22,2.22,2.22,2.22,17000,0.00,0.00
2000-05-17,2.23,2.23,2.22,2.22,8000,0.00,0.00
2000-05-18,2.22,2.24,2.19,2.24,16800,0.00,0.00
2000-05-19,2.19,2.19,2.19,2.19,1200,0.00,0.00
2000-05-22,2.19,2.19,2.19,2.19,0,0.00,0.00
2000-05-23,2.19,2.19,2.19,2.19,0,0.00,0.00
2000-05-24,1.98,2.08,1.96,2.03,38400,0.00,0.00
2000-05-25,2.05,2.19,2.05,2.19,20800,0.00,0.00
2000-05-26,2.15,2.15,2.15,2.15,5600,0.00,0.00
2000-05-30,2.19,2.22,2.15,2.15,5200,0.00,0.00
2000-05-31,2.22,2.22,2.15,2.15,5400,0.00,0.00
2000-06-01,2.15,2.15,2.15,2.15,1000,0.00,0.00
2000-06-02,2.15,2.15,2.15,2.15,0,0.00,0.00
2000-06-05,2.15,2.22,2.15,2.15,107400,0.00,0.00
2000-06-06,2.15,2.15,2.15,2.15,1000,0.00,0.00
2000-06-07,2.15,2.22,2.15,2.22,9800,0.00,0.00
2000-06-08,2.15,2.15,2.15,2.15,1000,0.00,0.00
2000-06-09,2.15,2.19,2.15,2.19,1400,0.00,0.00
2000-06-12,2.22,2.22,2.22,2.22,400,0.00,0.00
2000-06-13,2.19,2.19,2.19,2.19,6800,0.00,0.00
2000-06-14,2.22,2.22,2.19,2.19,1600,0.00,0.00
2000-06-15,2.19,2.19,2.19,2.19,3600,0.00,0.00
2000-06-16,2.19,2.19,2.19,2.19,10600,0.00,0.00
2000-06-19,2.19,2.19,2.19,2.19,4400,0.00,0.00
2000-06-20,2.19,2.22,2.19,2.22,31400,0.00,0.00
2000-06-21,2.19,2.22,2.19,2.19,9000,0.00,0.00
2000-06-22,2.19,2.19,2.19,2.19,11600,0.00,0.00
2000-06-23,2.19,2.22,2.19,2.19,42200,0.00,0.00
2000-06-26,2.21,2.21,2.19,2.19,800,0.00,0.00
2000-06-27,2.19,2.19,2.15,2.19,17400,0.00,0.00
2000-06-28,2.21,2.21,2.19,2.19,5000,0.00,0.00
2000-06-29,2.19,2.21,2.05,2.21,30000,0.00,0.00
2000-06-30,2.19,2.19,2.19,2.19,32000,0.00,0.00
2000-07-03,2.22,2.22,2.21,2.21,12000,0.00,0.00
2000-07-05,2.19,2.22,2.19,2.19,10200,0.00,0.00
2000-07-06,2.19,2.19,2.19,2.19,13600,0.00,0.00
2000-07-07,2.19,2.19,2.19,2.19,600,0.00,0.00
2000-07-10,2.19,2.19,2.19,2.19,2000,0.00,0.00
2000-07-11,2.19,2.19,2.19,2.19,3600,0.00,0.00
2000-07-12,2.19,2.22,2.19,2.22,127800,0.00,0.00
2000-07-13,2.19,2.19,2.19,2.19,4800,0.00,0.00
2000-07-14,2.19,2.19,2.19,2.19,400,0.00,0.00
2000-07-17,2.22,2.22,2.19,2.21,91800,0.00,0.00
2000-07-18,2.19,2.19,2.19,2.19,200,0.00,0.00
2000-07-19,2.19,2.19,2.19,2.19,8000,0.00,0.00
2000-07-20,2.20,2.20,2.19,2.19,10600,0.00,0.00
2000-07-21,2.15,2.19,2.15,2.15,10600,0.00,0.00
2000-07-24,2.15,2.15,2.15,2.15,200,0.00,0.00
2000-07-25,2.15,2.15,2.15,2.15,0,0.00,0.00
2000-07-26,2.15,2.17,2.15,2.17,3800,0.00,0.00
2000-07-27,2.16,2.16,2.15,2.15,18400,0.00,0.00
2000-07-28,2.15,2.15,2.15,2.15,10000,0.00,0.00
2000-07-31,2.15,2.15,2.15,2.15,3000,0.00,0.00
2000-08-01,2.19,2.19,2.15,2.15,2200,0.00,0.00
2000-08-02,2.19,2.19,2.15,2.15,28000,0.00,0.00
2000-08-03,2.15,2.15,2.15,2.15,0,0.00,0.00
2000-08-04,2.15,2.15,2.15,2.15,200,0.00,0.00
2000-08-07,2.15,2.15,2.15,2.15,1000,0.00,0.00
2000-08-08,2.15,2.15,2.15,2.15,16400,0.00,0.00
2000-08-09,2.15,2.22,2.15,2.22,27000,0.00,0.00
2000-08-10,2.19,2.19,2.12,2.12,12200,0.00,0.00
2000-08-11,2.12,2.15,2.12,2.15,3200,0.00,0.00
2000-08-14,2.15,2.15,2.02,2.12,19600,0.00,0.00
2000-08-15,2.19,2.19,2.12,2.15,25400,0.00,0.00
2000-08-16,2.13,2.14,2.13,2.14,1800,0.00,0.00
2000-08-17,2.14,2.17,2.14,2.14,18600,0.00,0.00
2000-08-18,2.15,2.15,2.15,2.15,5600,0.00,0.00
2000-08-21,2.14,2.17,2.14,2.17,3600,0.00,0.00
2000-08-22,2.17,2.17,2.17,2.17,1800,0.00,0.00
2000-08-23,2.17,2.17,2.17,2.17,4000,0.00,0.00
2000-08-24,2.18,2.19,2.17,2.17,36000,0.00,0.00
2000-08-25,2.17,2.17,2.17,2.17,16600,0.00,0.00
2000-08-28,2.18,2.19,2.17,2.17,13400,0.00,0.00
2000-08-29,2.17,2.17,2.15,2.17,39000,0.00,0.00
2000-08-30,2.17,2.17,2.17,2.17,17800,0.00,0.00
2000-08-31,2.17,2.17,2.15,2.15,11400,0.00,0.00
2000-09-01,2.17,2.17,2.15,2.17,46200,0.00,0.00
2000-09-05,2.17,2.17,2.15,2.17,11200,0.00,0.00
2000-09-06,2.18,2.19,2.17,2.17,20000,0.00,0.00
2000-09-07,2.19,2.21,2.15,2.17,14400,0.00,0.00
2000-09-08,2.17,2.17,2.17,2.17,600,0.00,0.00
2000-09-11,2.17,2.17,2.17,2.17,0,0.00,0.00
2000-09-12,2.17,2.19,2.17,2.17,8400,0.00,0.00
2000-09-13,2.21,2.21,2.21,2.21,7400,0.07,0.00
2000-09-14,2.21,2.25,2.21,2.23,35800,0.00,0.00
2000-09-15,2.24,2.24,2.24,2.24,5000,0.00,0.00
2000-09-18,2.23,2.29,2.23,2.29,36600,0.00,0.00
2000-09-19,2.23,2.27,2.23,2.23,9400,0.00,0.00
2000-09-20,2.23,2.23,2.23,2.23,6200,0.00,0.00
2000-09-21,2.23,2.24,2.23,2.23,5600,0.00,0.00
2000-09-22,2.23,2.23,2.23,2.23,12400,0.00,0.00
2000-09-25,2.23,2.23,2.23,2.23,4000,0.00,0.00
2000-09-26,2.25,2.25,2.25,2.25,200,0.00,0.00
2000-09-27,2.23,2.23,2.23,2.23,2000,0.00,0.00
2000-09-28,2.23,2.23,2.23,2.23,16200,0.00,0.00
2000-09-29,2.23,2.23,2.23,2.23,24800,0.00,0.00
2000-10-02,2.23,2.23,2.23,2.23,2800,0.00,0.00
2000-10-03,2.23,2.27,2.23,2.27,18600,0.00,0.00
2000-10-04,2.23,2.27,2.23,2.23,11400,0.00,0.00
2000-10-05,2.23,2.23,2.23,2.23,400,0.00,0.00
2000-10-06,2.23,2.23,2.23,2.23,200,0.00,0.00
2000-10-09,2.23,2.23,2.23,2.23,2800,0.00,0.00
2000-10-10,2.23,2.27,2.23,2.23,11200,0.00,0.00
2000-10-11,2.23,2.23,2.20,2.20,18200,0.00,0.00
2000-10-12,2.18,2.18,2.18,2.18,200,0.00,0.00
2000-10-13,2.26,2.41,2.23,2.30,105200,0.00,0.00
2000-10-16,2.37,2.37,2.20,2.20,10400,0.00,0.00
2000-10-17,2.20,2.20,2.20,2.20,10200,0.00,0.00
2000-10-18,2.20,2.20,2.20,2.20,0,0.00,0.00
2000-10-19,2.20,2.20,2.20,2.20,1000,0.00,0.00
2000-10-20,2.20,2.20,2.16,2.16,8200,0.00,0.00
2000-10-23,2.13,2.13,1.88,2.00,16400,0.00,0.00
2000-10-24,2.00,2.34,1.98,2.34,39200,0.00,0.00
2000-10-25,2.34,2.34,2.34,2.34,0,0.00,0.00
2000-10-26,2.23,2.23,2.23,2.23,2600,0.00,0.00
2000-10-27,2.23,2.25,2.23,2.23,2400,0.00,0.00
2000-10-30,2.23,2.23,2.23,2.23,6000,0.00,0.00
2000-10-31,2.27,2.27,2.27,2.27,12800,0.00,0.00
2000-11-01,2.23,2.27,2.23,2.27,17000,0.00,0.00
2000-11-02,2.24,2.27,2.23,2.27,1600,0.00,0.00
2000-11-03,2.27,2.27,2.27,2.27,0,0.00,0.00
2000-11-06,2.23,2.23,2.23,2.23,1000,0.00,0.00
2000-11-07,2.23,2.23,2.23,2.23,0,0.00,0.00
2000-11-08,2.23,2.23,2.23,2.23,0,0.00,0.00
2000-11-09,2.23,2.23,2.23,2.23,3000,0.00,0.00
2000-11-10,2.23,2.27,2.23,2.27,13600,0.00,0.00
2000-11-13,2.27,2.27,2.27,2.27,0,0.00,0.00
2000-11-14,2.23,2.27,2.23,2.27,13400,0.00,0.00
2000-11-15,2.23,2.27,2.23,2.27,17800,0.00,0.00
2000-11-16,2.24,2.24,2.24,2.24,400,0.00,0.00
2000-11-17,2.24,2.24,2.24,2.24,0,0.00,0.00
2000-11-20,2.23,2.23,2.23,2.23,1200,0.00,0.00
2000-11-21,2.23,2.23,2.23,2.23,3400,0.00,0.00
2000-11-22,2.23,2.23,2.23,2.23,0,0.00,0.00
2000-11-24,2.20,2.20,2.20,2.20,2000,0.00,0.00
2000-11-27,2.20,2.20,2.20,2.20,2600,0.00,0.00
2000-11-28,2.27,2.27,2.27,2.27,8600,0.00,0.00
2000-11-29,2.20,2.27,2.20,2.27,5000,0.00,0.00
2000-11-30,2.20,2.34,2.20,2.30,8000,0.00,0.00
2000-12-01,2.30,2.41,2.30,2.41,54200,0.00,0.00
2000-12-04,2.32,2.44,2.27,2.44,87600,0.00,0.00
2000-12-05,2.41,2.41,2.30,2.30,40000,0.00,0.00
2000-12-06,2.30,2.30,2.30,2.30,10200,0.00,0.00
2000-12-07,2.30,2.30,2.30,2.30,5800,0.00,0.00
2000-12-08,2.30,2.30,2.30,2.30,5200,0.00,0.00
2000-12-11,2.30,2.30,2.30,2.30,27400,0.00,0.00
2000-12-12,2.34,2.41,2.30,2.30,1000,0.00,0.00
2000-12-13,2.41,2.46,2.30,2.46,27600,0.00,0.00
2000-12-14,2.44,2.48,2.41,2.41,10000,0.00,0.00
2000-12-15,2.41,2.41,2.41,2.41,0,0.00,0.00
2000-12-18,2.48,2.48,2.41,2.41,3200,0.00,0.00
2000-12-19,2.37,2.41,2.37,2.37,3000,0.00,0.00
2000-12-20,2.37,2.37,2.37,2.37,1400,0.00,0.00
2000-12-21,2.37,2.37,2.37,2.37,23600,0.00,0.00
2000-12-22,2.37,2.37,2.37,2.37,3600,0.00,0.00
2000-12-26,2.37,2.38,2.37,2.37,1200,0.00,0.00
2000-12-27,2.40,2.41,2.37,2.37,34000,0.00,0.00
2000-12-28,2.38,2.41,2.37,2.37,7000,0.00,0.00
2000-12-29,2.37,2.41,2.37,2.37,9000,0.00,0.00
2001-01-02,2.37,2.37,2.37,2.37,400,0.00,0.00
2001-01-03,2.41,2.41,2.37,2.37,74000,0.00,0.00
2001-01-04,2.37,2.37,2.37,2.37,3400,0.00,0.00
2001-01-05,2.41,2.41,2.37,2.41,4400,0.00,0.00
2001-01-08,2.40,2.41,2.37,2.41,21200,0.00,0.00
2001-01-09,2.37,2.37,2.37,2.37,400,0.00,0.00
2001-01-10,2.37,2.37,2.37,2.37,400,0.00,0.00
2001-01-11,2.41,2.41,2.37,2.37,21400,0.00,0.00
2001-01-12,2.41,2.48,2.41,2.48,32200,0.00,0.00
2001-01-16,2.48,2.62,2.48,2.62,21600,0.00,0.00
2001-01-17,2.55,2.62,2.55,2.62,60800,0.00,0.00
2001-01-18,2.62,2.62,2.59,2.59,14000,0.00,0.00
2001-01-19,2.62,2.62,2.59,2.59,8200,0.00,0.00
2001-01-22,2.62,2.69,2.62,2.69,14400,0.00,0.00
2001-01-23,2.67,2.76,2.67,2.76,1600,0.00,0.00
2001-01-24,2.76,2.83,2.73,2.76,11400,0.00,0.00
2001-01-25,2.76,2.80,2.73,2.76,25200,0.00,0.00
2001-01-26,2.76,2.76,2.76,2.76,1000,0.00,0.00
2001-01-29,2.76,2.80,2.73,2.80,25800,0.00,0.00
2001-01-30,2.80,2.80,2.57,2.59,56200,0.00,0.00
2001-01-31,2.64,2.64,2.59,2.59,19400,0.00,0.00
2001-02-01,2.59,2.62,2.59,2.59,20000,0.00,0.00
2001-02-02,2.62,2.62,2.59,2.59,1400,0.00,0.00
2001-02-05,2.69,2.69,2.59,2.59,1200,0.00,0.00
2001-02-06,2.59,2.60,2.59,2.59,6800,0.00,0.00
2001-02-07,2.59,2.66,2.55,2.66,14600,0.00,0.00
2001-02-08,2.59,2.69,2.59,2.69,19800,0.00,0.00
2001-02-09,2.62,2.62,2.62,2.62,200,0.00,0.00
2001-02-12,2.59,2.76,2.59,2.76,19400,0.00,0.00
2001-02-13,2.76,2.91,2.73,2.91,36000,0.00,0.00
2001-02-14,2.83,2.91,2.76,2.76,14400,0.00,0.00
2001-02-15,2.87,2.87,2.83,2.83,9400,0.00,0.00
2001-02-16,2.77,2.83,2.76,2.83,18800,0.00,0.00
2001-02-20,2.77,2.82,2.77,2.82,2400,0.00,0.00
2001-02-21,2.76,2.80,2.76,2.77,28200,0.00,0.00
2001-02-22,2.80,2.80,2.78,2.80,13800,0.00,0.00
2001-02-23,2.78,2.80,2.78,2.78,20600,0.00,0.00
2001-02-26,2.78,2.80,2.76,2.76,21200,0.00,0.00
2001-02-27,2.80,2.80,2.80,2.80,5600,0.00,0.00
2001-02-28,2.76,2.80,2.76,2.76,11000,0.00,0.00
2001-03-01,2.77,2.80,2.76,2.80,8600,0.00,0.00
2001-03-02,2.76,2.80,2.76,2.80,4600,0.00,0.00
2001-03-05,2.80,2.83,2.76,2.83,9200,0.00,0.00
2001-03-06,2.83,2.83,2.83,2.83,3000,0.00,0.00
2001-03-07,2.83,2.83,2.76,2.83,7800,0.00,0.00
2001-03-08,2.83,2.85,2.83,2.83,33000,0.00,0.00
2001-03-09,2.83,2.83,2.80,2.80,5600,0.00,0.00
2001-03-12,2.83,2.83,2.80,2.83,5600,0.00,0.00
2001-03-13,2.80,2.85,2.76,2.85,10800,0.00,0.00
2001-03-14,2.78,2.82,2.76,2.78,8600,0.00,0.00
2001-03-15,2.82,2.82,2.78,2.82,14600,0.00,0.00
2001-03-16,2.82,2.82,2.82,2.82,400,0.00,0.00
2001-03-19,2.82,2.82,2.82,2.82,0,0.00,0.00
2001-03-20,2.82,2.83,2.82,2.82,13200,0.00,0.00
2001-03-21,2.86,2.86,2.84,2.84,2600,0.07,0.00
2001-03-22,2.81,2.84,2.81,2.84,9400,0.00,0.00
2001-03-23,2.84,2.84,2.84,2.84,0,0.00,0.00
2001-03-26,2.81,2.81,2.81,2.81,4000,0.00,0.00
2001-03-27,2.77,2.77,2.73,2.73,8400,0.00,0.00
2001-03-28,2.73,2.73,2.73,2.73,0,0.00,0.00
2001-03-29,2.81,2.81,2.81,2.81,1000,0.00,0.00
2001-03-30,2.77,2.77,2.77,2.77,1000,0.00,0.00
2001-04-02,2.77,2.79,2.77,2.77,22200,0.00,0.00
2001-04-03,2.75,2.77,2.75,2.77,1200,0.00,0.00
2001-04-04,2.76,2.76,2.73,2.75,8600,0.00,0.00
2001-04-05,2.73,2.73,2.70,2.70,4200,0.00,0.00
2001-04-06,2.73,2.75,2.72,2.72,42000,0.00,0.00
2001-04-09,2.71,2.73,2.71,2.73,2000,0.00,0.00
2001-04-10,2.73,2.73,2.71,2.71,800,0.00,0.00
2001-04-11,2.71,2.71,2.71,2.71,1200,0.00,0.00
2001-04-12,2.71,2.71,2.71,2.71,1800,0.00,0.00
2001-04-16,2.71,2.71,2.67,2.71,43400,0.00,0.00
2001-04-17,2.71,2.72,2.71,2.72,1200,0.00,0.00
2001-04-18,2.72,2.72,2.72,2.72,0,0.00,0.00
2001-04-19,2.71,2.72,2.70,2.70,7000,0.00,0.00
2001-04-20,2.69,2.69,2.66,2.66,6800,0.00,0.00
2001-04-23,2.65,2.65,2.55,2.56,19400,0.00,0.00
2001-04-24,2.56,2.63,2.41,2.41,10000,0.00,0.00
2001-04-25,2.40,2.40,2.38,2.38,16800,0.00,0.00
2001-04-26,2.39,2.39,2.39,2.39,1800,0.00,0.00
2001-04-27,2.40,2.40,2.39,2.39,10800,0.00,0.00
2001-04-30,2.39,2.39,2.36,2.39,7200,0.00,0.00
2001-05-01,2.36,2.39,2.36,2.37,28200,0.00,0.00
2001-05-02,2.39,2.39,2.39,2.39,5000,0.00,0.00
2001-05-03,2.39,2.39,2.39,2.39,0,0.00,0.00
2001-05-04,2.40,2.40,2.39,2.39,3800,0.00,0.00
