Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-21,17.70,19.50,16.36,18.35,5136700,0.00,0.00
2018-06-22,18.72,18.80,16.85,17.25,628800,0.00,0.00
2018-06-25,17.25,17.25,15.11,15.82,641300,0.00,0.00
2018-06-26,16.33,16.42,15.26,15.51,251300,0.00,0.00
2018-06-27,15.52,15.66,14.25,14.52,495000,0.00,0.00
2018-06-28,14.75,15.00,13.79,14.75,421200,0.00,0.00
2018-06-29,14.91,16.99,14.91,15.22,393200,0.00,0.00
2018-07-02,15.48,15.76,14.75,15.09,86300,0.00,0.00
2018-07-03,15.07,15.19,14.64,15.04,95400,0.00,0.00
2018-07-05,14.95,15.59,14.42,15.39,56300,0.00,0.00
2018-07-06,15.39,15.73,15.00,15.60,86100,0.00,0.00
2018-07-09,16.07,16.63,15.60,16.14,159600,0.00,0.00
2018-07-10,16.08,16.30,15.80,16.10,50500,0.00,0.00
2018-07-11,15.90,17.08,15.82,16.94,104400,0.00,0.00
2018-07-12,17.13,17.45,16.70,16.76,94300,0.00,0.00
2018-07-13,16.77,17.35,16.62,16.63,56100,0.00,0.00
2018-07-16,16.53,17.19,15.84,16.75,166200,0.00,0.00
2018-07-17,16.75,17.22,16.40,16.75,69700,0.00,0.00
2018-07-18,16.68,16.75,16.29,16.42,35500,0.00,0.00
2018-07-19,16.55,16.86,16.13,16.26,19500,0.00,0.00
2018-07-20,16.37,16.85,16.26,16.68,80600,0.00,0.00
2018-07-23,16.61,16.79,16.27,16.48,27800,0.00,0.00
2018-07-24,16.58,16.58,15.01,16.12,99000,0.00,0.00
2018-07-25,15.98,16.32,15.60,16.10,73000,0.00,0.00
2018-07-26,16.05,16.57,15.84,16.32,69100,0.00,0.00
2018-07-27,16.25,16.47,15.21,15.72,90700,0.00,0.00
2018-07-30,15.82,15.98,14.50,14.97,60400,0.00,0.00
2018-07-31,14.90,16.21,14.90,15.31,97100,0.00,0.00
2018-08-01,15.20,16.12,15.00,15.01,58400,0.00,0.00
2018-08-02,15.00,15.90,15.00,15.25,209100,0.00,0.00
2018-08-03,15.25,15.32,15.07,15.07,41300,0.00,0.00
2018-08-06,15.25,15.49,15.08,15.32,53900,0.00,0.00
2018-08-07,15.12,15.31,14.85,14.95,53600,0.00,0.00
2018-08-08,15.13,15.70,14.88,15.20,58000,0.00,0.00
2018-08-09,15.10,15.39,14.50,14.80,132100,0.00,0.00
2018-08-10,16.86,16.86,14.80,15.25,411300,0.00,0.00
2018-08-13,15.23,16.00,15.23,15.50,151100,0.00,0.00
2018-08-14,15.59,16.30,15.56,15.94,273300,0.00,0.00
2018-08-15,16.00,16.00,15.27,15.49,138500,0.00,0.00
2018-08-16,15.57,16.00,15.49,15.97,50000,0.00,0.00
2018-08-17,15.85,16.21,15.15,15.82,165100,0.00,0.00
2018-08-20,15.95,16.18,15.55,15.99,115900,0.00,0.00
2018-08-21,16.03,17.64,15.54,17.05,393000,0.00,0.00
2018-08-22,17.07,18.85,16.84,18.16,391600,0.00,0.00
2018-08-23,18.28,18.50,17.11,18.15,161200,0.00,0.00
2018-08-24,18.16,19.50,17.76,18.77,313300,0.00,0.00
2018-08-27,18.95,19.48,18.06,18.15,166000,0.00,0.00
2018-08-28,18.31,18.55,17.66,18.15,68600,0.00,0.00
2018-08-29,18.29,18.50,17.65,18.24,132000,0.00,0.00
2018-08-30,18.06,19.42,17.69,18.44,165200,0.00,0.00
2018-08-31,18.44,18.99,18.34,18.62,50000,0.00,0.00
2018-09-04,18.71,19.20,18.70,18.92,318200,0.00,0.00
2018-09-05,19.15,20.63,17.69,19.08,639900,0.00,0.00
2018-09-06,19.19,20.45,19.00,19.94,314700,0.00,0.00
2018-09-07,19.99,20.34,19.05,19.76,179800,0.00,0.00
