Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,33.94,34.60,32.83,33.22,32000,0.00,0.00
2000-01-04,31.84,32.72,27.41,29.07,73300,0.00,0.00
2000-01-05,29.18,29.63,27.41,29.63,199800,0.00,0.00
2000-01-06,30.07,30.07,28.63,28.80,31300,0.00,0.00
2000-01-07,28.99,32.72,28.63,32.06,89800,0.00,0.00
2000-01-10,33.27,33.49,29.96,30.07,49300,0.00,0.00
2000-01-11,29.63,30.51,29.18,29.40,106800,0.00,0.00
2000-01-12,29.40,29.68,29.18,29.18,22700,0.00,0.00
2000-01-13,29.54,29.57,28.69,28.69,27900,0.00,0.00
2000-01-14,28.82,28.96,27.41,28.80,351000,0.00,0.00
2000-01-18,28.96,33.83,28.30,32.94,99700,0.00,0.00
2000-01-19,33.16,34.05,29.18,33.16,76400,0.00,0.00
2000-01-20,33.05,33.72,31.73,32.28,53100,0.00,0.00
2000-01-21,32.28,36.92,32.28,36.15,93900,0.00,0.00
2000-01-24,36.98,37.14,31.61,31.61,74900,0.00,0.00
2000-01-25,33.05,33.05,29.63,30.95,38700,0.00,0.00
2000-01-26,29.79,31.95,28.96,30.73,135100,0.00,0.00
2000-01-27,32.06,33.16,30.95,32.11,82700,0.00,0.00
2000-01-28,32.06,32.06,30.40,30.51,35800,0.00,0.00
2000-01-31,30.18,31.84,29.18,31.39,30500,0.00,0.00
2000-02-01,30.95,32.28,30.51,31.84,137700,0.00,0.00
2000-02-02,31.84,32.61,31.28,31.84,25200,0.00,0.00
2000-02-03,31.84,31.84,29.85,30.73,86400,0.00,0.00
2000-02-04,31.23,35.59,30.62,34.49,206600,0.00,0.00
2000-02-07,35.37,36.26,32.72,34.49,311900,0.00,0.00
2000-02-08,35.65,39.68,33.60,38.58,560600,0.00,0.00
2000-02-09,38.86,38.91,35.59,36.04,180500,0.00,0.00
2000-02-10,37.03,37.03,34.16,34.93,84100,0.00,0.00
2000-02-11,34.21,35.70,32.72,35.70,109800,0.00,0.00
2000-02-14,37.25,37.25,35.15,35.37,60800,0.00,0.00
2000-02-15,35.37,35.59,33.60,34.27,63800,0.00,0.00
2000-02-16,33.60,35.59,31.84,31.84,138500,0.00,0.00
2000-02-17,32.06,33.60,31.17,31.84,85000,0.00,0.00
2000-02-18,31.73,32.17,30.34,30.62,84600,0.00,0.00
2000-02-22,30.09,30.12,27.86,28.19,117300,0.00,0.00
2000-02-23,28.63,30.29,27.86,30.01,79000,0.00,0.00
2000-02-24,30.29,30.29,27.64,28.41,91300,0.00,0.00
2000-02-25,28.24,29.63,27.64,28.30,47600,0.00,0.00
2000-02-28,28.96,32.94,27.86,32.39,155000,0.00,0.00
2000-02-29,33.33,35.48,31.73,34.38,111200,0.00,0.00
2000-03-01,35.15,36.59,33.38,35.37,173000,0.00,0.00
2000-03-02,35.48,37.42,32.72,37.14,82200,0.00,0.00
2000-03-03,37.14,38.91,37.03,38.41,169500,0.00,0.00
2000-03-06,38.58,40.13,38.14,40.02,254900,0.00,0.00
