Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-04,8.53,9.38,7.01,7.55,673300,0.00,0.00
2023-04-05,7.34,7.40,6.85,7.00,262700,0.00,0.00
2023-04-06,7.00,7.11,7.00,7.08,36000,0.00,0.00
2023-04-10,7.04,7.05,6.95,7.00,37700,0.00,0.00
2023-04-11,7.05,7.40,6.95,7.36,77800,0.00,0.00
2023-04-12,7.29,7.52,7.13,7.52,53400,0.00,0.00
2023-04-13,7.52,8.18,7.52,7.68,180600,0.00,0.00
2023-04-14,7.76,7.76,7.39,7.48,13900,0.00,0.00
2023-04-17,7.36,7.60,7.23,7.60,17800,0.00,0.00
2023-04-18,7.60,7.80,7.50,7.61,60100,0.00,0.00
2023-04-19,7.59,8.20,7.50,7.91,77600,0.00,0.00
2023-04-20,7.84,8.29,7.62,8.20,55100,0.00,0.00
2023-04-21,8.30,8.50,8.19,8.40,27800,0.00,0.00
2023-04-24,8.39,8.54,8.11,8.42,25200,0.00,0.00
2023-04-25,8.00,8.15,7.75,7.89,19300,0.00,0.00
2023-04-26,7.71,8.33,7.70,8.20,62900,0.00,0.00
2023-04-27,8.29,8.39,8.09,8.34,52900,0.00,0.00
2023-04-28,8.34,9.80,8.17,8.96,70200,0.00,0.00
2023-05-01,8.92,8.96,8.44,8.69,33600,0.00,0.00
2023-05-02,8.62,8.82,8.59,8.82,18900,0.00,0.00
2023-05-03,8.84,8.84,8.42,8.84,97600,0.00,0.00
2023-05-04,8.71,8.99,8.43,8.80,15100,0.00,0.00
2023-05-05,8.80,8.98,8.79,8.98,13900,0.00,0.00
2023-05-08,8.85,9.41,8.80,9.39,36500,0.00,0.00
2023-05-09,9.30,9.38,9.07,9.30,39800,0.00,0.00
2023-05-10,9.26,9.26,9.01,9.20,43600,0.00,0.00
2023-05-11,9.20,9.20,8.81,9.10,30200,0.00,0.00
2023-05-12,9.13,9.13,8.70,9.00,24000,0.00,0.00
2023-05-15,8.88,8.98,8.80,8.81,26000,0.00,0.00
