Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-15,4.00,4.22,3.07,3.31,667800,0.00,0.00
2023-03-16,3.15,3.47,3.10,3.22,190600,0.00,0.00
2023-03-17,3.32,3.34,3.21,3.28,36900,0.00,0.00
2023-03-20,3.38,3.38,3.14,3.23,52600,0.00,0.00
2023-03-21,3.24,3.37,3.22,3.30,46300,0.00,0.00
2023-03-22,3.27,3.75,3.26,3.49,78600,0.00,0.00
2023-03-23,3.49,3.67,3.31,3.49,68200,0.00,0.00
2023-03-24,3.37,3.69,3.31,3.33,58100,0.00,0.00
2023-03-27,3.42,3.59,3.21,3.50,38700,0.00,0.00
2023-03-28,3.46,3.46,2.96,3.27,86200,0.00,0.00
2023-03-29,3.13,3.13,2.70,2.72,77900,0.00,0.00
2023-03-30,2.64,2.64,2.05,2.19,121000,0.00,0.00
2023-03-31,2.13,2.15,1.72,1.73,81700,0.00,0.00
2023-04-03,1.69,2.16,1.69,1.79,150900,0.00,0.00
2023-04-04,1.74,1.80,1.61,1.67,65600,0.00,0.00
2023-04-05,1.65,1.87,1.65,1.75,36800,0.00,0.00
2023-04-06,1.70,1.89,1.66,1.71,67900,0.00,0.00
2023-04-10,1.71,1.80,1.69,1.72,46100,0.00,0.00
2023-04-11,1.74,2.09,1.72,1.90,50700,0.00,0.00
2023-04-12,1.95,2.59,1.90,2.30,189700,0.00,0.00
2023-04-13,2.43,2.70,2.28,2.64,69000,0.00,0.00
2023-04-14,2.96,3.91,2.05,2.26,2210800,0.00,0.00
2023-04-17,2.12,2.18,2.00,2.09,84200,0.00,0.00
2023-04-18,2.03,2.78,2.01,2.50,112200,0.00,0.00
2023-04-19,2.50,2.71,2.34,2.70,19200,0.00,0.00
2023-04-20,2.70,2.91,2.40,2.85,70500,0.00,0.00
2023-04-21,2.85,3.21,2.85,2.88,183400,0.00,0.00
2023-04-24,2.85,2.99,2.85,2.88,15800,0.00,0.00
2023-04-25,2.89,2.95,2.81,2.89,86600,0.00,0.00
2023-04-26,2.90,3.07,2.90,3.03,46800,0.00,0.00
2023-04-27,2.98,3.09,2.91,2.93,30700,0.00,0.00
2023-04-28,2.95,3.10,2.95,3.00,27000,0.00,0.00
2023-05-01,3.11,3.50,3.11,3.33,80000,0.00,0.00
2023-05-02,3.32,3.38,3.18,3.21,46100,0.00,0.00
2023-05-03,3.36,3.78,3.27,3.32,96600,0.00,0.00
2023-05-04,3.33,3.55,3.28,3.37,45800,0.00,0.00
2023-05-05,3.38,3.55,3.00,3.06,87500,0.00,0.00
2023-05-08,2.98,3.02,2.71,2.71,24400,0.00,0.00
2023-05-09,2.77,2.86,2.67,2.76,13600,0.00,0.00
2023-05-10,2.73,3.12,2.73,3.06,18300,0.00,0.00
2023-05-11,3.08,5.78,2.26,2.35,4015200,0.00,0.00
2023-05-12,2.20,2.81,2.05,2.43,378900,0.00,0.00
2023-05-15,2.38,2.69,2.35,2.59,146700,0.00,0.00
2023-05-16,2.56,2.93,2.56,2.66,117300,0.00,0.00
2023-05-17,2.59,2.86,2.52,2.79,40300,0.00,0.00
2023-05-18,2.80,2.91,2.70,2.84,92800,0.00,0.00
2023-05-19,2.81,3.15,2.81,3.00,75400,0.00,0.00
