Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-10-18,2146.60,2177.90,2146.60,2163.58,25,0.00,0.00,0.00
2024-10-21,2204.37,2204.37,2204.37,2204.37,1,0.00,0.00,0.00
2024-10-22,2238.61,2238.71,2228.75,2228.75,22,0.00,0.00,0.00
2024-10-23,2261.28,2288.89,2261.28,2288.89,23,0.00,0.00,0.00
2024-10-24,2250.94,2250.94,2250.94,2250.94,1,0.00,0.00,0.00
2024-10-25,2231.02,2231.02,2231.02,2231.02,1,0.00,0.00,0.00
2024-10-28,2262.33,2262.33,2262.33,2262.33,1,0.00,0.00,0.00
2024-10-29,2237.66,2237.66,2237.66,2237.66,1,0.00,0.00,0.00
2024-10-30,2309.75,2309.75,2305.30,2305.30,18,0.00,0.00,0.00
2024-10-31,2401.95,2401.95,2401.95,2401.95,1,0.00,0.00,0.00
2024-11-01,2406.41,2406.41,2406.41,2406.41,3,0.00,0.00,0.00
2024-11-04,2356.52,2356.52,2356.52,2356.52,0,0.00,0.00,0.00
2024-11-05,2273.14,2273.14,2273.14,2273.14,0,0.00,0.00,0.00
2024-11-06,2137.12,2137.12,2137.12,2137.12,1,0.00,0.00,0.00
2024-11-07,2107.71,2107.71,2107.71,2107.71,1,0.00,0.00,0.00
2024-11-08,2137.12,2137.12,2137.12,2137.12,3,0.00,0.00,0.00
2024-11-11,2199.72,2199.72,2199.72,2199.72,1,0.00,0.00,0.00
2024-11-12,2292.68,2292.68,2292.68,2292.68,1,0.00,0.00,0.00
2024-11-13,2379.66,2379.66,2379.66,2379.66,1,0.00,0.00,0.00
2024-11-14,2400.06,2400.06,2400.06,2400.06,1,0.00,0.00,0.00
2024-11-15,2467.50,2467.50,2467.50,2467.50,0,0.00,0.00,0.00
2024-11-18,2481.44,2481.44,2439.90,2439.90,2,0.00,0.00,0.00
2024-11-19,2434.68,2434.68,2434.68,2434.68,1,0.00,0.00,0.00
2024-11-20,2440.66,2440.66,2421.87,2421.87,11,0.00,0.00,0.00
2024-11-21,2311.18,2311.18,2311.18,2311.18,1,0.00,0.00,0.00
2024-11-22,2316.58,2316.58,2316.58,2316.58,1,0.00,0.00,0.00
2024-11-25,2274.56,2274.56,2274.56,2274.56,1,0.00,0.00,0.00
2024-11-26,2272.76,2336.50,2272.76,2336.50,2,0.00,0.00,0.00
