Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,18.64,18.68,18.32,18.67,2829600,0.00,0.00
2016-01-05,18.68,18.91,18.57,18.84,2094900,0.00,0.00
2016-01-06,18.52,18.78,18.35,18.38,2659500,0.00,0.00
2016-01-07,17.75,17.99,17.56,17.68,2879100,0.00,0.00
2016-01-08,17.77,18.11,17.52,17.55,3462900,0.00,0.00
2016-01-11,17.56,17.63,17.23,17.42,2194800,0.00,0.00
2016-01-12,17.54,17.88,17.23,17.69,4041600,0.00,0.00
2016-01-13,17.72,17.86,16.77,16.94,3482100,0.00,0.00
2016-01-14,17.09,17.09,16.43,16.90,6571800,0.00,0.00
2016-01-15,16.41,16.67,16.13,16.62,3407700,0.00,0.00
2016-01-19,16.84,16.96,16.20,16.28,2775000,0.00,0.00
2016-01-20,16.04,16.32,15.64,16.17,3258000,0.00,0.00
2016-01-21,15.99,16.65,15.85,16.43,3375900,0.00,0.00
2016-01-22,16.63,16.93,16.61,16.81,2008800,0.00,0.00
2016-01-25,16.79,16.89,16.34,16.41,1459500,0.00,0.00
2016-01-26,16.52,17.28,16.41,17.02,2871000,0.00,0.00
2016-01-27,16.96,17.33,16.74,16.82,1887300,0.00,0.00
2016-01-28,16.95,17.09,16.53,16.70,1667100,0.00,0.00
2016-01-29,16.73,17.55,16.73,17.52,3617700,0.00,0.00
2016-02-01,17.44,18.14,17.18,18.11,4230600,0.00,0.00
2016-02-02,17.93,18.21,17.58,17.68,4403400,0.00,0.00
2016-02-03,17.75,17.94,17.37,17.70,5389500,0.00,0.00
2016-02-04,17.27,19.35,16.72,19.20,6429900,0.00,0.00
2016-02-05,19.19,19.24,18.64,19.03,4300500,0.00,0.00
2016-02-08,18.86,19.15,18.30,19.14,4684800,0.00,0.00
2016-02-09,18.89,19.59,18.64,19.50,4142400,0.00,0.00
2016-02-10,19.68,19.78,19.13,19.14,1725600,0.00,0.00
2016-02-11,18.94,19.11,18.55,18.83,1851600,0.00,0.00
2016-02-12,19.11,19.67,18.92,19.48,1659000,0.00,0.00
2016-02-16,19.78,20.10,19.29,19.97,1767000,0.00,0.00
2016-02-17,20.07,20.47,19.84,19.98,3082200,0.00,0.00
2016-02-18,20.03,20.13,19.78,20.08,1737300,0.00,0.00
2016-02-19,19.89,20.16,19.49,20.14,2085000,0.00,0.00
2016-02-22,20.42,20.74,20.22,20.40,2258400,0.00,0.00
2016-02-23,20.47,20.62,20.15,20.29,1591200,0.00,0.00
2016-02-24,20.07,20.31,19.57,20.27,1554900,0.00,0.00
2016-02-25,20.33,20.60,19.94,20.36,1135500,0.00,0.00
2016-02-26,20.47,20.78,20.38,20.71,1723200,0.00,0.00
2016-02-29,20.68,20.76,20.37,20.63,1886100,0.00,0.00
