Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-11-19,25.28,25.95,25.28,25.95,7900,0.00,0.00,0.00
2025-11-20,27.34,27.40,22.47,22.51,40000,0.00,0.00,0.00
2025-11-21,21.81,21.81,18.95,19.89,208100,0.00,0.00,0.00
2025-11-24,19.62,20.79,19.04,20.24,66900,0.00,0.00,0.00
2025-11-25,19.12,19.90,17.40,19.58,65300,0.00,0.00,0.00
2025-11-26,22.07,22.21,20.73,21.20,128100,0.00,0.00,0.00
2025-11-28,20.06,20.55,19.65,20.44,80400,0.00,0.00,0.00
2025-12-01,19.85,20.79,19.45,20.27,54600,0.00,0.00,0.00
2025-12-02,21.41,21.96,20.20,20.33,153900,0.00,0.00,0.00
2025-12-03,20.23,21.84,20.04,21.68,90800,0.00,0.00,0.00
2025-12-04,21.65,23.23,21.45,23.03,273500,0.00,0.00,0.00
2025-12-05,24.01,24.11,22.92,23.75,260700,0.00,0.00,0.00
2025-12-08,24.61,25.20,23.54,24.30,305500,0.00,0.00,0.00
2025-12-09,24.30,24.74,24.03,24.59,131900,0.00,0.00,0.00
2025-12-10,24.74,25.38,23.75,24.92,767600,0.00,0.00,0.00
2025-12-11,17.63,20.12,16.68,19.46,2042500,0.00,0.00,0.00
2025-12-12,18.96,19.10,16.88,17.62,1036300,0.00,0.00,0.00
2025-12-15,17.34,17.39,16.10,16.72,801200,0.00,0.00,0.00
2025-12-16,16.60,17.61,16.50,17.42,272900,0.00,0.00,0.00
2025-12-17,16.48,16.64,15.32,15.53,655400,0.00,0.00,0.00
2025-12-18,16.27,16.60,15.59,15.77,535600,0.00,0.00,0.00
2025-12-19,17.32,18.43,17.27,17.98,820000,0.00,0.00,0.00
2025-12-22,18.78,19.15,18.06,19.04,471200,0.00,0.00,0.00
2025-12-23,18.77,18.82,17.89,18.46,320100,0.03,0.00,0.00
2025-12-24,18.44,19.00,18.37,18.92,122300,0.00,0.00,0.00
2025-12-26,18.98,19.39,18.58,18.93,186300,0.00,0.00,0.00
2025-12-29,18.23,19.00,17.94,18.43,170000,0.00,0.00,0.00
2025-12-30,18.67,18.99,18.55,18.75,143600,0.00,0.00,0.00
2025-12-31,18.71,18.71,18.30,18.32,104900,0.00,0.00,0.00
2026-01-02,18.96,19.00,18.07,18.45,134500,0.00,0.00,0.00
2026-01-05,19.03,19.59,17.83,17.91,316100,0.00,0.00,0.00
2026-01-06,17.92,18.24,17.52,17.96,223200,0.00,0.00,0.00
2026-01-07,18.35,18.38,17.82,17.94,82100,0.00,0.00,0.00
2026-01-08,17.56,17.56,16.70,17.32,251800,0.00,0.00,0.00
2026-01-09,17.73,19.34,17.24,19.00,331700,0.00,0.00,0.00
2026-01-12,18.74,20.51,18.74,20.18,444900,0.00,0.00,0.00
2026-01-13,20.19,20.80,19.39,19.68,222100,0.00,0.00,0.00
2026-01-14,19.53,19.53,17.48,17.99,266300,0.00,0.00,0.00
2026-01-15,18.33,18.33,17.24,17.32,155200,0.00,0.00,0.00
2026-01-16,17.37,17.64,16.70,17.54,187100,0.00,0.00,0.00
2026-01-20,16.69,16.80,15.41,15.50,385700,0.00,0.00,0.00
2026-01-21,15.40,15.44,13.92,14.40,522700,0.00,0.00,0.00
2026-01-22,15.36,15.43,14.89,15.15,211200,0.00,0.00,0.00
2026-01-23,14.26,15.36,14.06,14.92,298400,0.00,0.00,0.00
2026-01-26,15.20,16.30,15.20,15.84,516600,0.00,0.00,0.00
2026-01-27,15.29,15.29,14.31,14.53,730000,0.00,0.00,0.00
2026-01-28,14.53,15.61,14.01,14.14,613200,0.00,0.00,0.00
2026-01-29,13.74,13.77,12.32,13.51,818900,0.00,0.00,0.00
2026-01-30,13.46,13.50,12.64,12.85,263700,0.00,0.00,0.00
2026-02-02,13.76,13.78,12.11,12.13,555400,0.00,0.00,0.00
2026-02-03,11.85,11.96,10.88,11.29,671200,0.00,0.00,0.00
2026-02-04,11.13,11.13,9.80,10.14,861800,0.00,0.00,0.00
2026-02-05,10.00,10.14,8.53,8.72,689600,0.00,0.00,0.00
2026-02-06,9.14,9.55,9.01,9.52,576700,0.00,0.00,0.00
2026-02-09,10.30,11.74,10.11,11.34,2285800,0.00,0.00,0.00
2026-02-10,11.81,12.58,11.39,11.82,768400,0.00,0.00,0.00
2026-02-11,12.23,12.32,10.94,11.40,663200,0.00,0.00,0.00
2026-02-12,11.43,11.66,10.72,11.28,793800,0.00,0.00,0.00
2026-02-13,11.62,12.09,11.11,11.78,309800,0.00,0.00,0.00
2026-02-17,11.49,11.62,10.74,10.88,341300,0.00,0.00,0.00
2026-02-18,10.93,11.35,10.56,11.22,217000,0.00,0.00,0.00
2026-02-19,11.31,11.74,11.14,11.24,227500,0.00,0.00,0.00
2026-02-20,10.80,10.85,9.94,10.04,497000,0.00,0.00,0.00
2026-02-23,9.72,9.72,8.75,9.12,1026700,0.00,0.00,0.00
2026-02-24,9.09,9.78,8.80,9.70,594900,0.00,0.00,0.00
2026-02-25,10.14,10.66,9.88,9.97,799000,0.00,0.00,0.00
2026-02-26,10.06,10.54,9.59,10.29,363700,0.00,0.00,0.00
