Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-03-27,20.42,20.42,19.03,19.16,3500,0.00,0.00,0.00
2025-03-28,18.57,18.74,18.57,18.74,1400,0.00,0.00,0.00
2025-03-31,17.74,18.33,17.54,18.33,2600,0.00,0.00,0.00
2025-04-01,17.78,18.41,17.64,18.41,3600,0.00,0.00,0.00
2025-04-02,18.62,18.84,18.55,18.84,1000,0.00,0.00,0.00
2025-04-03,17.34,17.72,16.95,17.09,7700,0.00,0.00,0.00
2025-04-04,15.59,15.59,14.66,14.66,2600,0.00,0.00,0.00
2025-04-07,13.52,15.02,13.52,14.41,3300,0.00,0.00,0.00
2025-04-08,15.49,16.03,14.40,14.42,4300,0.00,0.00,0.00
2025-04-09,15.33,18.32,14.81,18.32,3200,0.00,0.00,0.00
2025-04-10,17.81,17.91,16.72,17.34,1600,0.00,0.00,0.00
2025-04-11,16.44,17.31,16.44,17.31,900,0.00,0.00,0.00
2025-04-14,17.99,18.10,17.63,17.63,2500,0.00,0.00,0.00
2025-04-15,18.04,18.64,18.04,18.37,20000,0.00,0.00,0.00
2025-04-16,17.90,18.30,17.25,17.55,2800,0.00,0.00,0.00
2025-04-17,17.56,17.56,17.04,17.10,1800,0.00,0.00,0.00
2025-04-21,16.35,16.35,15.20,15.54,5600,0.00,0.00,0.00
2025-04-22,15.83,16.54,15.83,16.25,2900,0.00,0.00,0.00
2025-04-23,17.49,17.96,17.13,17.19,11900,0.00,0.00,0.00
2025-04-24,17.98,18.77,17.98,18.75,32400,0.00,0.00,0.00
2025-04-25,18.85,19.35,18.73,19.35,7300,0.00,0.00,0.00
2025-04-28,19.66,19.97,19.34,19.90,6700,0.00,0.00,0.00
2025-04-29,20.40,21.12,20.40,21.03,7800,0.00,0.00,0.00
2025-04-30,20.07,21.17,20.07,21.07,5000,0.00,0.00,0.00
2025-05-01,21.35,21.35,20.90,20.90,5200,0.00,0.00,0.00
2025-05-02,21.85,22.03,21.21,21.21,4500,0.00,0.00,0.00
2025-05-05,20.69,21.86,20.69,21.28,8700,0.00,0.00,0.00
2025-05-06,20.93,21.37,20.91,21.37,1500,0.00,0.00,0.00
2025-05-07,21.42,21.57,21.06,21.23,2600,0.00,0.00,0.00
2025-05-08,20.84,21.37,20.78,21.37,2200,0.00,0.00,0.00
2025-05-09,20.97,20.98,20.97,20.98,500,0.00,0.00,0.00
2025-05-12,22.16,22.39,21.64,22.39,16400,0.00,0.00,0.00
2025-05-13,22.36,22.83,22.04,22.04,8500,0.00,0.00,0.00
2025-05-14,22.01,22.01,21.71,21.85,8700,0.00,0.00,0.00
2025-05-15,22.08,22.55,22.06,22.21,16300,0.00,0.00,0.00
2025-05-16,22.12,22.28,22.12,22.26,4400,0.00,0.00,0.00
2025-05-19,21.89,22.56,21.74,22.55,7300,0.00,0.00,0.00
2025-05-20,22.58,22.72,22.31,22.68,40300,0.00,0.00,0.00
2025-05-21,20.36,20.40,19.18,19.48,207900,0.00,0.00,0.00
2025-05-22,19.80,20.89,19.80,20.58,69500,0.00,0.00,0.00
2025-05-23,20.07,20.84,19.97,20.72,13500,0.00,0.00,0.00
2025-05-27,20.74,21.14,20.66,20.80,20100,0.00,0.00,0.00
2025-05-28,21.06,21.29,20.87,20.93,7900,0.00,0.00,0.00
2025-05-29,20.71,20.71,19.83,20.42,19800,0.00,0.00,0.00
2025-05-30,20.75,21.90,20.75,21.84,25500,0.00,0.00,0.00
2025-06-02,22.13,22.39,21.84,22.39,13100,0.00,0.00,0.00
2025-06-03,22.54,23.24,22.54,22.99,20600,0.00,0.00,0.00
2025-06-04,22.41,22.89,22.11,22.26,13700,0.00,0.00,0.00
2025-06-05,22.32,23.45,22.32,22.96,15800,0.00,0.00,0.00
2025-06-06,23.40,23.62,23.31,23.51,6100,0.00,0.00,0.00
2025-06-09,23.48,23.48,22.66,22.66,17800,0.00,0.00,0.00
2025-06-10,22.79,22.82,22.16,22.58,7600,0.00,0.00,0.00
2025-06-11,22.49,22.83,22.22,22.22,12900,0.00,0.00,0.00
2025-06-12,22.63,23.37,22.63,22.99,12800,0.00,0.00,0.00
2025-06-13,22.40,23.47,22.40,22.63,26400,0.00,0.00,0.00
2025-06-16,22.88,23.40,22.88,23.13,10900,0.00,0.00,0.00
2025-06-17,23.07,24.15,23.07,23.99,13800,0.00,0.00,0.00
2025-06-18,23.93,23.93,23.45,23.45,4800,0.00,0.00,0.00
2025-06-20,23.78,23.78,23.01,23.29,6700,0.00,0.00,0.00
2025-06-23,22.77,24.27,22.77,24.19,10200,0.00,0.00,0.00
2025-06-24,24.50,24.50,23.73,23.84,26900,0.12,0.00,0.00
2025-06-25,24.12,24.52,24.12,24.41,14400,0.00,0.00,0.00
2025-06-26,24.83,24.95,23.79,24.00,15200,0.00,0.00,0.00
2025-06-27,24.00,24.00,23.15,23.49,12000,0.00,0.00,0.00
2025-06-30,23.88,24.50,23.77,24.42,11200,0.00,0.00,0.00
2025-07-01,24.04,24.22,22.22,22.80,26800,0.00,0.00,0.00
2025-07-02,22.60,22.80,22.18,22.68,9100,0.00,0.00,0.00
2025-07-03,22.83,23.93,22.83,23.71,16300,0.00,0.00,0.00
2025-07-07,23.34,23.64,23.21,23.64,6200,0.00,0.00,0.00
2025-07-08,23.68,24.27,23.53,24.23,12000,0.00,0.00,0.00
2025-07-09,23.78,24.64,23.78,24.64,3900,0.00,0.00,0.00
2025-07-10,24.36,24.36,21.21,21.36,92400,0.00,0.00,0.00
2025-07-11,21.56,21.56,20.16,20.30,147600,0.00,0.00,0.00
2025-07-14,20.18,21.11,20.05,21.02,40300,0.00,0.00,0.00
2025-07-15,21.05,21.56,20.90,21.27,33700,0.00,0.00,0.00
2025-07-16,21.38,21.56,20.95,21.40,23800,0.00,0.00,0.00
2025-07-17,21.68,22.45,21.60,22.18,71300,0.00,0.00,0.00
2025-07-18,22.20,22.25,21.89,22.02,16900,0.00,0.00,0.00
2025-07-21,22.03,23.69,22.00,22.98,35600,0.00,0.00,0.00
2025-07-22,22.97,23.11,22.17,22.28,15600,0.00,0.00,0.00
2025-07-23,21.86,22.93,21.86,22.79,9700,0.00,0.00,0.00
2025-07-24,22.97,23.27,22.75,23.27,15300,0.00,0.00,0.00
2025-07-25,23.42,24.13,23.29,23.72,14100,0.00,0.00,0.00
2025-07-28,23.74,24.02,23.63,23.95,11300,0.00,0.00,0.00
2025-07-29,24.29,25.24,21.39,21.45,113000,0.00,0.00,0.00
2025-07-30,18.57,19.76,17.69,19.07,517300,0.00,0.00,0.00
2025-07-31,19.02,19.25,16.97,17.06,282000,0.00,0.00,0.00
2025-08-01,16.93,17.55,16.10,16.94,102500,0.00,0.00,0.00
2025-08-04,17.22,17.22,16.41,16.56,106200,0.00,0.00,0.00
2025-08-05,16.67,16.67,16.04,16.18,77800,0.00,0.00,0.00
2025-08-06,16.18,17.00,16.10,16.91,81700,0.00,0.00,0.00
2025-08-07,17.00,17.00,15.41,15.96,193800,0.00,0.00,0.00
2025-08-08,16.20,16.34,15.68,15.75,96500,0.00,0.00,0.00
2025-08-11,15.81,16.46,15.63,15.96,105700,0.00,0.00,0.00
2025-08-12,16.56,17.36,16.45,17.36,162100,0.00,0.00,0.00
2025-08-13,18.32,18.32,17.40,17.65,244400,0.00,0.00,0.00
2025-08-14,17.69,17.78,16.92,16.95,106200,0.00,0.00,0.00
2025-08-15,17.03,17.66,17.03,17.63,73400,0.00,0.00,0.00
2025-08-18,17.83,17.83,17.15,17.50,550500,0.00,0.00,0.00
2025-08-19,19.66,19.94,18.32,18.54,461700,0.00,0.00,0.00
2025-08-20,18.51,19.67,18.47,19.04,219800,0.00,0.00,0.00
2025-08-21,18.94,18.94,18.17,18.85,149200,0.00,0.00,0.00
2025-08-22,18.82,19.59,18.81,19.31,90000,0.00,0.00,0.00
2025-08-25,19.09,19.26,18.63,19.01,78200,0.00,0.00,0.00
2025-08-26,18.99,19.43,18.98,18.98,35300,0.00,0.00,0.00
2025-08-27,19.30,19.72,19.13,19.69,60500,0.00,0.00,0.00
2025-08-28,19.57,20.47,19.57,20.38,40600,0.00,0.00,0.00
2025-08-29,20.37,20.72,20.14,20.24,77700,0.00,0.00,0.00
2025-09-02,19.61,20.44,19.47,20.27,48300,0.00,0.00,0.00
2025-09-03,19.84,20.57,19.80,20.48,48600,0.00,0.00,0.00
2025-09-04,20.19,21.01,19.93,20.66,25500,0.00,0.00,0.00
2025-09-05,20.90,21.34,20.47,21.01,49200,0.00,0.00,0.00
2025-09-08,21.10,21.76,21.10,21.70,49700,0.00,0.00,0.00
2025-09-09,21.71,21.77,21.31,21.74,32000,0.00,0.00,0.00
2025-09-10,21.73,22.81,21.37,21.65,60900,0.00,0.00,0.00
2025-09-11,22.09,22.41,21.73,21.90,34800,0.00,0.00,0.00
2025-09-12,21.73,22.19,21.36,21.39,41500,0.00,0.00,0.00
2025-09-15,21.87,22.66,21.68,22.46,30300,0.00,0.00,0.00
2025-09-16,22.48,22.63,21.95,22.53,30200,0.00,0.00,0.00
2025-09-17,22.73,23.19,22.37,22.92,47600,0.00,0.00,0.00
2025-09-18,23.22,23.70,23.22,23.46,27700,0.00,0.00,0.00
2025-09-19,23.56,24.11,23.41,24.03,36500,0.00,0.00,0.00
2025-09-22,23.81,24.32,23.53,23.99,109400,0.00,0.00,0.00
2025-09-23,23.72,23.93,22.61,22.83,49000,0.15,0.00,0.00
2025-09-24,22.70,23.14,22.17,22.27,26700,0.00,0.00,0.00
2025-09-25,21.86,22.94,21.68,22.58,44700,0.00,0.00,0.00
2025-09-26,22.51,22.70,22.31,22.60,11900,0.00,0.00,0.00
2025-09-29,22.96,23.12,22.79,23.01,17900,0.00,0.00,0.00
2025-09-30,22.93,23.40,22.53,22.88,15100,0.00,0.00,0.00
2025-10-01,22.59,23.67,22.54,23.65,37100,0.00,0.00,0.00
2025-10-02,23.92,24.20,23.31,24.16,34700,0.00,0.00,0.00
2025-10-03,24.42,24.73,23.61,23.65,33000,0.00,0.00,0.00
2025-10-06,24.12,25.15,24.12,24.90,42200,0.00,0.00,0.00
2025-10-07,24.97,24.97,23.88,24.51,21200,0.00,0.00,0.00
2025-10-08,24.98,26.09,24.98,26.07,28400,0.00,0.00,0.00
2025-10-09,26.12,26.12,25.35,25.40,16400,0.00,0.00,0.00
2025-10-10,25.81,25.86,23.79,23.85,42700,0.00,0.00,0.00
2025-10-13,24.99,25.11,24.66,24.93,18900,0.00,0.00,0.00
2025-10-14,23.97,24.16,23.56,23.59,22700,0.00,0.00,0.00
2025-10-15,23.86,24.11,22.76,23.36,18400,0.00,0.00,0.00
2025-10-16,24.04,24.07,22.94,23.09,21200,0.00,0.00,0.00
2025-10-17,22.67,23.77,22.67,23.64,13100,0.00,0.00,0.00
2025-10-20,24.13,24.64,24.13,24.59,21800,0.00,0.00,0.00
2025-10-21,24.81,25.26,24.57,25.16,14500,0.00,0.00,0.00
2025-10-22,24.98,25.12,24.36,24.67,23400,0.00,0.00,0.00
2025-10-23,24.46,25.53,24.46,25.24,8300,0.00,0.00,0.00
2025-10-24,25.79,25.94,25.54,25.74,21700,0.00,0.00,0.00
2025-10-27,26.24,26.62,26.00,26.45,21700,0.00,0.00,0.00
2025-10-28,26.82,27.24,26.46,26.73,20800,0.00,0.00,0.00
2025-10-29,25.65,26.27,25.60,25.66,27300,0.00,0.00,0.00
2025-10-30,25.60,26.59,25.60,25.96,13300,0.00,0.00,0.00
2025-10-31,26.40,26.44,25.81,26.37,9000,0.00,0.00,0.00
2025-11-03,26.28,26.31,25.27,26.11,18500,0.00,0.00,0.00
2025-11-04,25.35,25.82,24.69,25.03,14400,0.00,0.00,0.00
2025-11-05,24.98,25.05,24.60,24.70,13200,0.00,0.00,0.00
2025-11-06,23.81,24.66,23.64,24.29,27900,0.00,0.00,0.00
2025-11-07,23.61,24.46,23.56,24.46,13600,0.00,0.00,0.00
2025-11-10,25.07,25.48,24.62,25.43,70700,0.00,0.00,0.00
2025-11-11,25.43,25.83,25.30,25.78,11000,0.00,0.00,0.00
2025-11-12,25.96,25.97,23.82,23.83,35700,0.00,0.00,0.00
2025-11-13,23.90,23.90,22.32,22.61,26200,0.00,0.00,0.00
2025-11-14,22.04,23.05,21.33,22.72,16100,0.00,0.00,0.00
2025-11-17,22.75,23.18,22.06,22.19,49000,0.00,0.00,0.00
2025-11-18,22.01,22.18,21.73,21.81,25200,0.00,0.00,0.00
2025-11-19,21.53,22.04,21.50,21.53,158900,0.00,0.00,0.00
2025-11-20,21.02,21.41,18.00,18.36,155100,0.00,0.00,0.00
2025-11-21,18.34,18.53,17.38,17.89,55500,0.00,0.00,0.00
2025-11-24,18.30,18.55,17.77,18.08,68400,0.00,0.00,0.00
2025-11-25,17.94,18.55,17.58,18.53,25300,0.00,0.00,0.00
2025-11-26,18.50,18.61,18.13,18.36,39600,0.00,0.00,0.00
2025-11-28,18.68,19.41,18.68,19.29,37400,0.00,0.00,0.00
2025-12-01,19.22,19.22,18.37,18.81,33800,0.00,0.00,0.00
2025-12-02,19.15,19.62,19.05,19.22,45000,0.00,0.00,0.00
2025-12-03,18.96,20.02,18.64,19.99,44600,0.00,0.00,0.00
2025-12-04,20.13,20.41,20.02,20.40,75100,0.00,0.00,0.00
2025-12-05,20.37,21.20,20.37,21.05,49900,0.00,0.00,0.00
2025-12-08,21.10,21.21,19.92,20.26,56300,0.00,0.00,0.00
2025-12-09,20.34,20.42,20.07,20.20,28800,0.00,0.00,0.00
2025-12-10,19.97,20.16,19.61,19.74,36700,1.49,0.00,0.00
2025-12-11,19.48,19.61,18.85,19.21,23100,0.00,0.00,0.00
2025-12-12,19.19,19.71,18.91,19.46,22800,0.00,0.00,0.00
2025-12-15,19.27,19.27,18.25,18.28,22300,0.00,0.00,0.00
2025-12-16,17.97,18.62,17.97,18.52,9300,0.00,0.00,0.00
2025-12-17,18.59,18.66,17.76,17.76,30200,0.00,0.00,0.00
2025-12-18,18.32,18.39,17.75,18.26,38600,0.00,0.00,0.00
2025-12-19,18.65,18.66,18.28,18.44,54400,0.00,0.00,0.00
2025-12-22,18.60,19.12,18.40,18.92,32600,0.00,0.00,0.00
2025-12-23,18.91,18.91,18.57,18.64,22800,0.12,0.00,0.00
2025-12-24,18.50,18.54,18.08,18.48,30600,0.00,0.00,0.00
2025-12-26,18.49,18.71,18.39,18.71,32400,0.00,0.00,0.00
2025-12-29,18.56,18.77,18.27,18.38,30300,0.00,0.00,0.00
2025-12-30,18.24,18.51,18.24,18.38,20400,0.00,0.00,0.00
2025-12-31,18.20,18.24,17.82,17.82,16600,0.00,0.00,0.00
2026-01-02,17.60,17.63,16.47,16.91,64600,0.00,0.00,0.00
2026-01-05,17.57,18.03,17.28,17.41,79000,0.00,0.00,0.00
2026-01-06,17.38,18.14,17.32,18.12,32400,0.00,0.00,0.00
2026-01-07,18.63,20.11,18.63,19.69,122700,0.00,0.00,0.00
2026-01-08,19.53,19.59,18.69,19.01,46600,0.00,0.00,0.00
2026-01-09,19.31,19.31,18.32,18.64,55800,0.00,0.00,0.00
2026-01-12,18.59,18.79,18.31,18.64,37700,0.00,0.00,0.00
2026-01-13,18.43,19.47,18.43,19.02,73500,0.00,0.00,0.00
2026-01-14,19.03,19.28,18.51,18.99,57500,0.00,0.00,0.00
2026-01-15,19.05,19.60,18.13,18.38,211800,0.00,0.00,0.00
2026-01-16,18.31,18.66,17.77,18.36,37200,0.00,0.00,0.00
2026-01-20,17.73,18.42,17.28,17.60,37100,0.00,0.00,0.00
2026-01-21,17.59,17.70,16.63,17.11,104400,0.00,0.00,0.00
2026-01-22,17.35,17.35,17.09,17.30,19200,0.00,0.00,0.00
2026-01-23,17.45,17.62,16.82,16.89,24700,0.00,0.00,0.00
2026-01-26,17.12,17.79,17.05,17.63,65300,0.00,0.00,0.00
2026-01-27,18.45,18.53,17.31,17.46,32100,0.00,0.00,0.00
2026-01-28,17.58,18.00,17.52,17.52,17300,0.00,0.00,0.00
2026-01-29,17.08,17.15,15.16,16.05,65900,0.00,0.00,0.00
2026-01-30,15.83,16.36,15.52,16.22,25800,0.00,0.00,0.00
2026-02-02,16.31,16.31,15.75,15.92,16500,0.00,0.00,0.00
2026-02-03,15.28,15.28,13.74,14.22,106300,0.00,0.00,0.00
2026-02-04,13.94,14.39,13.10,14.30,58700,0.00,0.00,0.00
2026-02-05,14.07,14.07,12.13,12.24,81600,0.00,0.00,0.00
2026-02-06,12.57,13.00,11.85,12.97,78600,0.00,0.00,0.00
2026-02-09,12.92,14.13,12.80,14.06,73700,0.00,0.00,0.00
2026-02-10,14.17,14.39,13.82,13.98,104100,0.00,0.00,0.00
2026-02-11,14.33,14.33,13.69,13.95,67700,0.00,0.00,0.00
2026-02-12,14.07,14.25,12.71,13.47,81300,0.00,0.00,0.00
2026-02-13,14.02,14.71,13.99,14.18,92800,0.00,0.00,0.00
2026-02-17,13.93,13.96,13.01,13.64,391800,0.00,0.00,0.00
2026-02-18,11.22,12.19,10.90,11.76,928900,0.00,0.00,0.00
2026-02-19,11.79,11.79,11.11,11.49,258800,0.00,0.00,0.00
2026-02-20,11.33,12.57,11.12,11.15,287200,0.00,0.00,0.00
2026-02-23,10.98,11.07,10.35,10.45,125300,0.00,0.00,0.00
2026-02-24,10.39,10.93,9.80,10.11,265600,0.00,0.00,0.00
2026-02-25,10.25,10.61,9.94,10.56,112900,0.00,0.00,0.00
2026-02-26,10.78,11.47,10.58,11.21,166000,0.00,0.00,0.00
2026-02-27,10.80,11.15,10.41,11.15,234400,0.00,0.00,0.00
2026-03-02,11.00,11.55,10.92,11.31,115200,0.00,0.00,0.00
2026-03-03,11.16,12.29,11.16,12.20,193600,0.00,0.00,0.00
2026-03-04,12.22,12.84,12.00,12.60,182000,0.00,0.00,0.00
2026-03-05,12.80,13.54,12.80,13.32,113800,0.00,0.00,0.00
2026-03-06,13.18,13.64,13.02,13.62,121900,0.00,0.00,0.00
2026-03-09,13.42,13.98,13.37,13.60,194400,0.00,0.00,0.00
2026-03-10,13.74,13.85,12.93,13.65,101600,0.00,0.00,0.00
2026-03-11,13.97,14.23,13.39,13.56,129200,0.00,0.00,0.00
2026-03-12,13.76,14.15,13.70,14.09,115400,0.00,0.00,0.00
2026-03-13,14.15,14.57,13.71,13.89,69300,0.00,0.00,0.00
2026-03-16,13.99,14.07,13.83,13.96,203800,0.00,0.00,0.00
2026-03-17,14.34,14.66,14.19,14.24,42800,0.00,0.00,0.00
2026-03-18,14.36,14.64,14.12,14.18,80800,0.00,0.00,0.00
2026-03-19,14.08,14.59,14.07,14.33,37400,0.00,0.00,0.00
2026-03-20,13.89,13.89,13.04,13.16,62200,0.00,0.00,0.00
2026-03-23,13.44,13.70,13.22,13.35,99400,0.00,0.00,0.00
2026-03-24,12.97,12.97,12.10,12.20,52500,0.06,0.00,0.00
2026-03-25,12.64,12.69,11.57,11.59,61100,0.00,0.00,0.00
2026-03-26,11.40,12.51,11.40,12.08,76200,0.00,0.00,0.00
2026-03-27,10.62,10.95,10.09,10.66,152700,0.00,0.00,0.00
2026-03-30,11.24,12.36,11.24,11.69,113900,0.00,0.00,0.00
2026-03-31,11.80,12.68,11.80,12.60,60200,0.00,0.00,0.00
2026-04-01,12.74,12.74,12.18,12.61,59200,0.00,0.00,0.00
2026-04-02,12.23,13.03,12.15,13.03,39100,0.00,0.00,0.00
2026-04-06,13.12,13.12,12.44,12.79,263200,0.00,0.00,0.00
2026-04-07,12.79,14.22,12.58,14.04,66300,0.00,0.00,0.00
2026-04-08,14.84,15.63,14.37,14.73,109400,0.00,0.00,0.00
2026-04-09,14.71,14.76,13.13,13.57,83700,0.00,0.00,0.00
2026-04-10,13.58,13.58,11.03,11.73,291900,0.00,0.00,0.00
2026-04-13,11.65,12.76,11.61,12.74,129100,0.00,0.00,0.00
2026-04-14,12.90,13.15,12.17,12.59,173300,0.00,0.00,0.00
2026-04-15,12.97,13.12,12.60,12.99,149000,0.00,0.00,0.00
2026-04-16,13.65,13.91,13.17,13.42,84300,0.00,0.00,0.00
2026-04-17,14.00,14.00,13.39,13.56,136900,0.00,0.00,0.00
2026-04-20,13.50,13.96,13.18,13.82,73500,0.00,0.00,0.00
2026-04-21,14.02,15.10,13.88,14.73,161900,0.00,0.00,0.00
2026-04-22,14.84,15.79,14.73,15.75,121400,0.00,0.00,0.00
2026-04-23,14.52,14.62,13.72,14.33,169700,0.00,0.00,0.00
2026-04-24,14.59,15.28,14.50,15.23,107900,0.00,0.00,0.00
2026-04-27,15.12,16.13,14.90,15.93,90100,0.00,0.00,0.00
2026-04-28,16.25,16.45,15.62,15.64,63500,0.00,0.00,0.00
2026-04-29,15.36,15.83,15.10,15.71,46300,0.00,0.00,0.00
2026-04-30,15.31,15.50,14.29,15.35,67700,0.00,0.00,0.00
2026-05-01,15.83,15.86,15.08,15.59,35600,0.00,0.00,0.00
2026-05-04,15.69,16.60,15.69,16.22,43400,0.00,0.00,0.00
2026-05-05,16.53,16.53,15.56,16.06,63600,0.00,0.00,0.00
2026-05-06,15.47,16.16,15.36,16.04,72900,0.00,0.00,0.00
2026-05-07,17.23,18.72,17.23,18.26,247200,0.00,0.00,0.00
2026-05-08,18.12,20.37,17.71,20.34,179300,0.00,0.00,0.00
2026-05-11,20.28,21.60,20.12,21.49,120300,0.00,0.00,0.00
2026-05-12,21.41,21.99,20.89,21.92,90900,0.00,0.00,0.00
2026-05-13,21.19,24.54,20.92,24.33,84700,0.00,0.00,0.00
2026-05-14,24.50,26.78,23.90,26.55,177100,0.00,0.00,0.00
2026-05-15,26.18,28.26,24.83,27.58,100700,0.00,0.00,0.00
2026-05-18,26.68,28.88,25.91,28.64,200000,0.00,0.00,0.00
2026-05-19,28.43,28.93,26.90,26.98,111500,0.00,0.00,0.00
2026-05-20,26.32,29.06,26.05,28.36,110900,0.00,0.00,0.00
2026-05-21,26.92,29.82,26.92,29.82,64200,0.00,0.00,0.00
2026-05-22,29.74,31.70,29.23,31.57,57600,0.00,0.00,0.00
2026-05-26,30.98,31.28,29.30,30.65,188100,0.00,0.00,0.00
2026-05-27,28.18,29.32,27.41,28.64,76800,0.00,0.00,0.00
2026-05-28,28.98,31.09,28.90,30.74,89900,0.00,0.00,0.00
2026-05-29,30.86,36.93,30.86,36.66,1114100,0.00,0.00,0.00
2026-06-01,37.83,42.05,37.15,41.44,1000600,0.00,0.00,0.00
2026-06-02,38.30,40.98,37.84,40.60,1848600,0.00,0.00,0.00
2026-06-03,37.27,37.75,34.76,35.83,1192600,0.00,0.00,0.00
