Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-09-22,22.73,22.73,22.72,22.72,205000,0.00,0.00,0.00
2016-09-23,22.72,22.72,22.72,22.72,0,0.00,0.00,0.00
2016-09-26,22.40,22.40,22.40,22.40,400,0.00,0.00,0.00
2016-09-27,22.40,22.40,22.40,22.40,0,0.00,0.00,0.00
2016-09-28,23.21,23.21,22.46,22.46,7100,0.00,0.00,0.00
2016-09-29,22.46,22.46,22.46,22.46,0,0.00,0.00,0.00
2016-09-30,22.50,22.50,22.50,22.50,100,0.00,0.00,0.00
2016-10-03,22.41,22.41,22.41,22.41,800,0.00,0.00,0.00
2016-10-04,22.31,22.31,22.31,22.31,1000,0.00,0.00,0.00
2016-10-05,22.48,22.48,22.48,22.48,2000,0.00,0.00,0.00
2016-10-06,22.38,22.38,22.38,22.38,100,0.00,0.00,0.00
2016-10-07,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-10,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-11,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-12,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-13,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-14,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-17,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-18,22.38,22.38,22.38,22.38,200000,0.00,0.00,0.00
2016-10-19,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-20,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-21,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-24,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-25,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-26,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-27,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-28,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-10-31,22.38,22.38,22.38,22.38,0,0.00,0.00,0.00
2016-11-01,21.53,21.53,21.53,21.53,300,0.00,0.00,0.00
2016-11-02,22.40,22.40,21.20,21.20,9400,0.00,0.00,0.00
2016-11-03,21.20,21.20,21.20,21.20,0,0.00,0.00,0.00
2016-11-04,21.20,21.20,21.20,21.20,0,0.00,0.00,0.00
2016-11-07,21.20,21.20,21.20,21.20,0,0.00,0.00,0.00
2016-11-08,21.20,21.20,21.20,21.20,0,0.00,0.00,0.00
2016-11-09,22.30,22.30,22.28,22.28,3100,0.00,0.00,0.00
2016-11-10,22.66,22.66,22.66,22.66,400,0.00,0.00,0.00
2016-11-11,22.66,22.66,22.66,22.66,0,0.00,0.00,0.00
2016-11-14,23.43,23.43,23.43,23.43,4800,0.00,0.00,0.00
2016-11-15,23.43,23.43,23.43,23.43,0,0.00,0.00,0.00
2016-11-16,24.54,24.54,24.54,24.54,300,0.00,0.00,0.00
2016-11-17,24.54,24.54,24.54,24.54,0,0.00,0.00,0.00
2016-11-18,24.54,24.54,24.54,24.54,100,0.00,0.00,0.00
2016-11-21,23.96,23.96,23.96,23.96,400,0.00,0.00,0.00
2016-11-22,24.13,24.25,24.13,24.25,400,0.00,0.00,0.00
2016-11-23,24.52,24.52,24.52,24.52,200,0.00,0.00,0.00
2016-11-25,24.52,24.52,24.52,24.52,0,0.00,0.00,0.00
2016-11-28,24.71,24.71,24.24,24.24,6600,0.00,0.00,0.00
2016-11-29,24.28,24.28,24.28,24.28,900,0.00,0.00,0.00
2016-11-30,24.28,24.28,24.28,24.28,0,0.00,0.00,0.00
