Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-08-15,39.38,39.73,39.36,39.50,22700,0.00,0.00,0.00
2025-08-18,39.51,40.17,39.45,39.52,22700,0.00,0.00,0.00
2025-08-19,39.52,39.82,38.07,38.17,26500,0.00,0.00,0.00
2025-08-20,37.84,37.84,37.04,37.71,14100,0.00,0.00,0.00
2025-08-21,37.52,37.67,37.14,37.29,4800,0.00,0.00,0.00
2025-08-22,37.55,38.50,37.55,38.32,10000,0.00,0.00,0.00
2025-08-25,39.10,39.10,38.08,38.48,24400,0.00,0.00,0.00
2025-08-26,38.48,38.66,38.13,38.66,18400,0.00,0.00,0.00
2025-08-27,38.66,38.81,38.35,38.73,5900,0.00,0.00,0.00
2025-08-28,38.87,39.29,38.54,39.19,6300,0.00,0.00,0.00
2025-08-29,39.02,39.02,38.04,38.12,8400,0.00,0.00,0.00
2025-09-02,37.67,37.67,36.79,37.51,9800,0.00,0.00,0.00
2025-09-03,38.05,38.46,37.98,38.27,5000,0.00,0.00,0.00
2025-09-04,38.68,39.01,38.24,39.01,5100,0.00,0.00,0.00
2025-09-05,39.54,39.56,38.65,38.80,9600,0.00,0.00,0.00
2025-09-08,40.23,40.23,39.09,39.21,18400,0.00,0.00,0.00
2025-09-09,39.38,39.49,38.91,39.49,38900,0.00,0.00,0.00
2025-09-10,40.71,40.71,39.42,39.61,17900,0.00,0.00,0.00
2025-09-11,39.83,39.96,39.62,39.88,21700,0.00,0.00,0.00
2025-09-12,39.54,40.31,39.54,40.21,18500,0.00,0.00,0.00
2025-09-15,40.57,41.12,40.56,41.12,14200,0.00,0.00,0.00
2025-09-16,41.17,41.17,40.89,41.03,4100,0.00,0.00,0.00
2025-09-17,41.03,41.03,40.09,40.59,19000,0.00,0.00,0.00
2025-09-18,41.03,41.20,40.73,40.94,13200,0.00,0.00,0.00
2025-09-19,41.39,41.68,41.27,41.67,10900,0.00,0.00,0.00
2025-09-22,41.54,42.30,41.54,42.26,13500,0.00,0.00,0.00
2025-09-23,42.51,42.51,41.39,41.53,14600,0.00,0.00,0.00
2025-09-24,41.70,41.70,41.01,41.41,5100,0.00,0.00,0.00
2025-09-25,40.31,40.97,40.13,40.84,6900,0.00,0.00,0.00
2025-09-26,41.08,41.08,40.51,41.03,7700,0.00,0.00,0.00
2025-09-29,41.05,41.84,41.05,41.39,11900,0.00,0.00,0.00
2025-09-30,41.21,41.80,41.21,41.80,3300,0.00,0.00,0.00
2025-10-01,41.65,42.22,41.65,42.15,8100,0.00,0.00,0.00
2025-10-02,42.29,42.50,42.05,42.20,13800,0.00,0.00,0.00
2025-10-03,42.28,42.28,41.71,41.74,6000,0.00,0.00,0.00
2025-10-06,42.52,42.70,42.29,42.53,9200,0.00,0.00,0.00
2025-10-07,42.85,42.95,42.20,42.21,6700,0.00,0.00,0.00
2025-10-08,42.58,43.41,42.58,43.36,9100,0.00,0.00,0.00
2025-10-09,43.42,43.42,42.99,43.34,8500,0.00,0.00,0.00
2025-10-10,43.48,43.48,40.45,40.47,14900,0.00,0.00,0.00
2025-10-13,42.01,42.01,41.60,41.98,10500,0.00,0.00,0.00
2025-10-14,41.12,41.85,40.63,41.31,12300,0.00,0.00,0.00
2025-10-15,41.82,42.42,41.20,41.76,6500,0.00,0.00,0.00
2025-10-16,42.32,42.65,41.27,41.51,7500,0.00,0.00,0.00
2025-10-17,41.13,42.29,41.03,42.18,13000,0.00,0.00,0.00
2025-10-20,42.74,43.31,42.74,43.31,7300,0.00,0.00,0.00
2025-10-21,43.18,43.23,42.98,43.23,2700,0.00,0.00,0.00
2025-10-22,42.96,42.96,41.61,42.25,5300,0.00,0.00,0.00
2025-10-23,42.13,43.13,42.13,43.02,3800,0.00,0.00,0.00
2025-10-24,43.83,43.99,43.71,43.90,6400,0.00,0.00,0.00
2025-10-27,44.93,45.62,44.93,45.62,4700,0.00,0.00,0.00
2025-10-28,46.08,46.66,45.83,46.51,4900,0.00,0.00,0.00
2025-10-29,47.22,47.30,46.28,47.01,17900,0.00,0.00,0.00
2025-10-30,46.65,46.65,45.42,45.43,4000,0.00,0.00,0.00
2025-10-31,46.67,46.70,45.76,46.08,13800,0.00,0.00,0.00
2025-11-03,47.22,47.22,46.68,46.68,17400,0.00,0.00,0.00
2025-11-04,45.52,45.73,44.59,44.60,22200,0.00,0.00,0.00
2025-11-05,44.89,45.65,44.89,45.14,5500,0.00,0.00,0.00
2025-11-06,44.69,44.85,43.18,43.28,11300,0.00,0.00,0.00
2025-11-07,42.56,42.91,41.40,42.91,21100,0.00,0.00,0.00
2025-11-10,44.43,45.15,44.40,45.12,12500,0.00,0.00,0.00
2025-11-11,44.74,44.95,44.25,44.78,4200,0.00,0.00,0.00
2025-11-12,44.99,44.99,44.54,44.74,2700,0.00,0.00,0.00
2025-11-13,44.31,44.31,42.64,42.86,6200,0.00,0.00,0.00
2025-11-14,41.42,43.65,41.42,43.00,2900,0.00,0.00,0.00
2025-11-17,42.94,42.94,41.81,42.16,5400,0.00,0.00,0.00
