Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-08-26,14.25,14.25,14.17,14.17,1000,0.00,0.00,0.00
2021-08-27,14.20,14.23,14.20,14.22,600,0.00,0.00,0.00
2021-08-30,14.25,14.26,14.24,14.25,3800,0.00,0.00,0.00
2021-08-31,14.24,14.25,14.24,14.25,3400,0.00,0.00,0.00
2021-09-01,14.26,14.26,14.25,14.25,2500,0.00,0.00,0.00
2021-09-02,14.28,14.28,14.23,14.24,8300,0.00,0.00,0.00
2021-09-03,14.27,14.27,14.24,14.24,1300,0.00,0.00,0.00
2021-09-07,14.27,14.27,14.24,14.26,6500,0.00,0.00,0.00
2021-09-08,14.27,14.27,14.25,14.26,20300,0.00,0.00,0.00
2021-09-09,14.25,14.25,14.25,14.25,900,0.00,0.00,0.00
2021-09-10,14.30,14.30,14.25,14.25,6000,0.00,0.00,0.00
2021-09-13,14.24,14.25,14.23,14.24,1400,0.00,0.00,0.00
2021-09-14,14.27,14.27,14.25,14.25,800,0.00,0.00,0.00
2021-09-15,14.28,14.28,14.21,14.25,9700,0.00,0.00,0.00
2021-09-16,14.25,14.27,14.25,14.27,700,0.00,0.00,0.00
2021-09-17,14.19,14.19,14.13,14.18,17900,0.00,0.00,0.00
2021-09-20,14.13,14.13,13.98,13.99,1800,0.07,0.00,0.00
2021-09-21,14.07,14.08,14.06,14.07,700,0.00,0.00,0.00
2021-09-22,14.07,14.17,14.07,14.12,2600,0.00,0.00,0.00
2021-09-23,14.15,14.18,14.13,14.17,36400,0.00,0.00,0.00
2021-09-24,14.14,14.19,14.12,14.16,3500,0.00,0.00,0.00
2021-09-27,14.16,14.16,14.16,14.16,0,0.00,0.00,0.00
2021-09-28,13.89,13.93,13.89,13.91,3000,0.00,0.00,0.00
2021-09-29,13.90,13.96,13.89,13.89,1700,0.00,0.00,0.00
2021-09-30,13.91,13.93,13.87,13.87,4700,0.00,0.00,0.00
2021-10-01,13.84,13.90,13.84,13.88,1000,0.00,0.00,0.00
2021-10-04,13.78,13.78,13.74,13.74,1600,0.00,0.00,0.00
2021-10-05,13.76,13.82,13.75,13.80,500,0.00,0.00,0.00
2021-10-06,13.76,13.83,13.76,13.83,1100,0.00,0.00,0.00
2021-10-07,13.91,13.96,13.88,13.88,5100,0.00,0.00,0.00
2021-10-08,13.84,13.84,13.82,13.82,300,0.00,0.00,0.00
2021-10-11,13.82,13.82,13.82,13.82,0,0.00,0.00,0.00
2021-10-12,13.77,13.77,13.71,13.71,1000,0.00,0.00,0.00
2021-10-13,13.73,13.75,13.72,13.72,6300,0.00,0.00,0.00
2021-10-14,13.89,13.89,13.89,13.89,300,0.00,0.00,0.00
2021-10-15,13.95,13.98,13.95,13.96,1600,0.00,0.00,0.00
2021-10-18,13.99,14.02,13.84,14.00,17300,0.24,0.00,0.00
2021-10-19,14.03,14.04,14.03,14.03,600,0.00,0.00,0.00
2021-10-20,14.06,14.06,14.02,14.03,37200,0.00,0.00,0.00
2021-10-21,14.05,14.05,14.03,14.05,6400,0.00,0.00,0.00
2021-10-22,14.05,14.05,14.01,14.03,4000,0.00,0.00,0.00
2021-10-25,14.02,14.07,14.01,14.05,10400,0.00,0.00,0.00
2021-10-26,14.06,14.09,14.06,14.08,2300,0.00,0.00,0.00
2021-10-27,14.06,14.09,14.05,14.06,2900,0.00,0.00,0.00
2021-10-28,14.08,14.10,14.08,14.09,1500,0.00,0.00,0.00
2021-10-29,14.09,14.10,14.05,14.08,6100,0.00,0.00,0.00
2021-11-01,14.10,14.12,14.07,14.10,6100,0.00,0.00,0.00
2021-11-02,14.13,14.13,14.08,14.12,7400,0.00,0.00,0.00
2021-11-03,14.13,14.13,14.10,14.13,4000,0.00,0.00,0.00
2021-11-04,14.15,14.15,14.14,14.14,3400,0.00,0.00,0.00
2021-11-05,14.16,14.16,14.15,14.15,20700,0.00,0.00,0.00
2021-11-08,14.17,14.17,14.15,14.15,10500,0.00,0.00,0.00
2021-11-09,14.13,14.15,14.13,14.15,6900,0.00,0.00,0.00
2021-11-10,14.14,14.15,14.13,14.13,2500,0.00,0.00,0.00
2021-11-11,14.14,14.15,14.13,14.13,9600,0.00,0.00,0.00
2021-11-12,14.14,14.16,14.14,14.15,7800,0.00,0.00,0.00
2021-11-15,14.16,14.16,14.14,14.15,11500,0.00,0.00,0.00
2021-11-16,14.16,14.20,14.15,14.15,5000,0.00,0.00,0.00
2021-11-17,14.16,14.22,14.15,14.16,31800,0.00,0.00,0.00
2021-11-18,14.15,14.16,14.15,14.15,11200,0.00,0.00,0.00
2021-11-19,14.17,14.20,14.14,14.17,30300,0.00,0.00,0.00
2021-11-22,14.25,14.31,14.15,14.15,22300,0.24,0.00,0.00
2021-11-23,14.14,14.16,14.05,14.11,7800,0.00,0.00,0.00
2021-11-24,14.10,14.15,14.04,14.13,5400,0.00,0.00,0.00
2021-11-26,14.05,14.13,14.04,14.05,28800,0.00,0.00,0.00
2021-11-29,14.11,14.16,14.09,14.14,9100,0.00,0.00,0.00
2021-11-30,14.10,14.16,14.02,14.08,18900,0.00,0.00,0.00
2021-12-01,14.10,14.15,13.99,13.99,6500,0.00,0.00,0.00
2021-12-02,13.97,14.05,13.95,14.02,26200,0.00,0.00,0.00
2021-12-03,14.04,14.04,13.89,13.93,65300,0.00,0.00,0.00
2021-12-06,13.93,13.98,13.86,13.96,23800,0.00,0.00,0.00
2021-12-07,14.07,14.15,14.07,14.14,25500,0.00,0.00,0.00
2021-12-08,14.16,14.16,14.09,14.16,19100,0.00,0.00,0.00
2021-12-09,14.11,14.15,14.06,14.06,7800,0.00,0.00,0.00
2021-12-10,14.15,14.16,14.10,14.15,5000,0.00,0.00,0.00
2021-12-13,14.15,14.15,14.02,14.02,6900,0.00,0.00,0.00
2021-12-14,13.91,13.93,13.82,13.89,17100,0.00,0.00,0.00
2021-12-15,13.88,14.13,13.82,14.13,9500,0.00,0.00,0.00
