Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-16,0.32,0.35,0.25,0.28,36331800,0.00,0.00
2021-07-19,0.25,0.27,0.25,0.25,2029200,0.00,0.00
2021-07-20,0.25,0.26,0.24,0.24,912000,0.00,0.00
2021-07-21,0.24,0.24,0.23,0.23,741000,0.00,0.00
2021-07-22,0.24,0.24,0.23,0.24,247000,0.00,0.00
2021-07-23,0.23,0.24,0.23,0.24,440800,0.00,0.00
2021-07-26,0.24,0.25,0.23,0.23,254600,0.00,0.00
2021-07-27,0.23,0.24,0.23,0.24,41800,0.00,0.00
2021-07-28,0.24,0.24,0.24,0.24,148200,0.00,0.00
2021-07-29,0.24,0.24,0.24,0.24,41800,0.00,0.00
2021-07-30,0.24,0.24,0.24,0.24,7600,0.00,0.00
2021-08-02,0.24,0.25,0.23,0.24,129200,0.00,0.00
2021-08-03,0.24,0.24,0.24,0.24,41800,0.00,0.00
2021-08-04,0.24,0.24,0.23,0.23,30400,0.00,0.00
2021-08-05,0.24,0.24,0.24,0.24,87400,0.00,0.00
2021-08-06,0.23,0.24,0.23,0.24,49400,0.00,0.00
2021-08-09,0.23,0.23,0.23,0.23,22800,0.00,0.00
2021-08-10,0.24,0.24,0.24,0.24,41800,0.00,0.00
2021-08-11,0.23,0.23,0.23,0.23,22800,0.00,0.00
2021-08-12,0.23,0.23,0.23,0.23,190000,0.00,0.00
2021-08-13,0.23,0.23,0.23,0.23,163400,0.00,0.00
2021-08-16,0.23,0.23,0.23,0.23,95000,0.00,0.00
2021-08-17,0.23,0.23,0.19,0.19,178600,0.00,0.00
2021-08-18,0.20,0.23,0.20,0.21,1501000,0.00,0.00
2021-08-19,0.21,0.21,0.16,0.17,1098200,0.00,0.00
2021-08-20,0.16,0.70,0.16,0.50,391346800,0.00,0.00
2021-08-23,0.37,0.49,0.32,0.36,81221200,0.00,0.00
2021-08-24,0.41,0.46,0.35,0.40,79530200,0.00,0.00
2021-08-25,0.88,1.55,0.73,1.22,819097600,0.00,0.00
