Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-21,162000.00,180000.00,162000.00,180000.00,0,0.00,0.00
2014-11-24,180000.00,180000.00,180000.00,180000.00,0,0.00,0.00
2014-11-25,180000.00,180000.00,180000.00,180000.00,0,0.00,0.00
2014-11-26,192000.00,192000.00,192000.00,192000.00,0,0.00,0.00
2014-11-28,192000.00,192000.00,192000.00,192000.00,0,0.00,0.00
2014-12-01,192000.00,192000.00,192000.00,192000.00,0,0.00,0.00
2014-12-02,210000.00,240000.00,210000.00,240000.00,0,0.00,0.00
2014-12-03,240000.00,240000.00,240000.00,240000.00,0,0.00,0.00
2014-12-04,240000.00,240000.00,237600.00,237600.00,0,0.00,0.00
2014-12-05,240000.00,240000.00,228000.00,228000.00,0,0.00,0.00
2014-12-08,198000.00,198000.00,192000.00,192000.00,0,0.00,0.00
2014-12-09,205200.00,205200.00,205200.00,205200.00,0,0.00,0.00
2014-12-10,205200.00,205200.00,205200.00,205200.00,0,0.00,0.00
2014-12-11,205200.00,205200.00,205200.00,205200.00,0,0.00,0.00
2014-12-12,210000.00,210000.00,192000.00,192000.00,0,0.00,0.00
2014-12-15,192000.00,192000.00,192000.00,192000.00,0,0.00,0.00
2014-12-16,192000.00,192000.00,192000.00,192000.00,0,0.00,0.00
2014-12-17,192000.00,192000.00,192000.00,192000.00,0,0.00,0.00
2014-12-18,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-19,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-22,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-23,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-24,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-26,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-29,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-30,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2014-12-31,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-02,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-05,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-06,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-07,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-08,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-09,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-12,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-13,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-14,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-15,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-16,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-20,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-21,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-22,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-23,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-26,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-27,238800.00,238800.00,238800.00,238800.00,0,0.00,0.00
2015-01-28,168000.00,225600.00,156000.00,225600.00,0,0.00,0.00
2015-01-29,225600.00,225600.00,225600.00,225600.00,0,0.00,0.00
2015-01-30,225600.00,225600.00,225600.00,225600.00,0,0.00,0.00
2015-02-02,225600.00,225600.00,225600.00,225600.00,0,0.00,0.00
2015-02-03,156000.00,156000.00,156000.00,156000.00,0,0.00,0.00
2015-02-04,156000.00,156000.00,156000.00,156000.00,0,0.00,0.00
2015-02-05,156000.00,156000.00,156000.00,156000.00,0,0.00,0.00
2015-02-06,156000.00,156000.00,156000.00,156000.00,0,0.00,0.00
2015-02-09,156000.00,156000.00,156000.00,156000.00,0,0.00,0.00
2015-02-10,156000.00,156000.00,156000.00,156000.00,0,0.00,0.00
