Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-09-25,20.78,24.75,20.38,23.12,2082900,0.00,0.00
2000-09-26,23.88,23.88,21.25,23.50,875900,0.00,0.00
2000-09-27,23.78,23.88,21.12,22.00,676500,0.00,0.00
2000-09-28,21.03,23.88,20.12,22.56,366500,0.00,0.00
2000-09-29,23.12,25.50,20.88,23.50,625500,0.00,0.00
2000-10-02,23.03,25.50,22.00,23.88,643500,0.00,0.00
2000-10-03,24.12,24.25,22.00,22.12,319100,0.00,0.00
2000-10-04,22.81,22.88,21.50,22.12,446500,0.00,0.00
2000-10-05,21.50,22.00,19.88,20.00,239300,0.00,0.00
2000-10-06,20.19,20.19,17.06,18.62,949900,0.00,0.00
2000-10-09,18.34,18.81,17.88,18.62,379700,0.00,0.00
2000-10-10,18.50,18.75,16.12,16.31,453700,0.00,0.00
2000-10-11,15.75,15.81,13.12,13.56,964800,0.00,0.00
2000-10-12,13.88,15.25,13.12,13.25,644500,0.00,0.00
2000-10-13,13.72,16.38,13.25,15.81,857200,0.00,0.00
2000-10-16,16.75,18.00,16.25,17.50,666800,0.00,0.00
2000-10-17,17.69,17.88,16.62,16.69,609200,0.00,0.00
2000-10-18,16.44,19.00,15.25,16.75,178900,0.00,0.00
2000-10-19,18.22,18.50,16.00,17.50,181100,0.00,0.00
2000-10-20,17.50,20.00,17.25,19.69,342800,0.00,0.00
2000-10-23,19.27,22.00,19.27,21.69,288600,0.00,0.00
2000-10-24,21.94,25.19,21.94,23.12,842300,0.00,0.00
2000-10-25,22.25,22.62,17.50,18.88,278100,0.00,0.00
2000-10-26,20.12,20.44,16.12,17.62,199400,0.00,0.00
2000-10-27,19.23,20.00,16.00,17.75,168400,0.00,0.00
2000-10-30,18.48,18.88,14.75,17.12,200600,0.00,0.00
2000-10-31,17.88,20.00,17.88,20.00,310800,0.00,0.00
2000-11-01,19.72,21.50,19.00,20.75,195400,0.00,0.00
2000-11-02,21.38,22.12,21.06,21.88,378800,0.00,0.00
2000-11-03,21.62,22.25,21.25,22.00,168300,0.00,0.00
2000-11-06,22.66,23.00,21.25,21.75,63800,0.00,0.00
2000-11-07,21.56,21.56,19.50,20.50,125000,0.00,0.00
2000-11-08,19.75,20.31,19.38,20.00,183500,0.00,0.00
2000-11-09,19.25,20.00,19.00,19.38,62700,0.00,0.00
2000-11-10,19.50,20.12,19.25,20.12,81200,0.00,0.00
2000-11-13,19.38,20.00,18.62,18.62,165400,0.00,0.00
2000-11-14,19.88,20.50,19.25,19.62,71800,0.00,0.00
2000-11-15,19.62,20.00,18.88,19.12,55400,0.00,0.00
2000-11-16,18.75,18.88,18.02,18.75,7300,0.00,0.00
2000-11-17,18.88,19.00,16.00,17.00,72000,0.00,0.00
2000-11-20,16.78,17.50,16.31,16.38,78600,0.00,0.00
2000-11-21,16.75,16.75,16.00,16.00,27000,0.00,0.00
2000-11-22,16.00,16.00,13.50,13.75,94800,0.00,0.00
2000-11-24,14.12,14.75,13.50,14.25,120300,0.00,0.00
2000-11-27,15.25,15.56,15.00,15.19,183700,0.00,0.00
2000-11-28,15.12,16.81,15.12,15.12,55200,0.00,0.00
2000-11-29,15.00,15.88,14.88,15.38,196400,0.00,0.00
2000-11-30,15.31,15.75,13.75,15.38,431700,0.00,0.00
2000-12-01,15.19,18.44,15.14,16.50,58600,0.00,0.00
2000-12-04,16.25,16.25,13.50,13.88,41400,0.00,0.00
2000-12-05,14.73,14.75,12.94,13.50,181700,0.00,0.00
2000-12-06,13.50,13.75,12.25,12.50,299900,0.00,0.00
2000-12-07,12.38,12.50,11.88,11.88,85400,0.00,0.00
2000-12-08,12.44,16.00,12.38,15.12,373600,0.00,0.00
2000-12-11,17.41,19.75,16.00,17.56,348500,0.00,0.00
2000-12-12,17.88,18.44,16.62,17.50,77900,0.00,0.00
2000-12-13,17.00,18.12,16.56,16.75,94600,0.00,0.00
2000-12-14,16.88,16.88,14.50,14.88,67200,0.00,0.00
2000-12-15,14.25,15.00,14.25,14.44,153600,0.00,0.00
2000-12-18,15.25,15.38,14.44,14.81,141500,0.00,0.00
2000-12-19,14.38,14.86,8.62,10.00,1438500,0.00,0.00
2000-12-20,11.03,11.06,9.56,9.75,384900,0.00,0.00
2000-12-21,10.23,10.25,9.38,9.62,115800,0.00,0.00
2000-12-22,9.41,11.44,9.41,11.44,70100,0.00,0.00
2000-12-26,11.00,11.38,9.88,10.06,62500,0.00,0.00
2000-12-27,10.50,10.50,9.50,10.00,128900,0.00,0.00
2000-12-28,9.84,12.50,9.84,11.62,218300,0.00,0.00
2000-12-29,11.75,14.19,11.00,14.19,262700,0.00,0.00
2001-01-02,13.00,13.12,11.62,11.88,83900,0.00,0.00
2001-01-03,11.56,13.25,10.50,12.50,82500,0.00,0.00
2001-01-04,12.75,12.88,11.38,11.88,176000,0.00,0.00
2001-01-05,12.12,12.12,10.12,10.12,81200,0.00,0.00
2001-01-08,10.62,10.62,8.88,9.03,119800,0.00,0.00
2001-01-09,9.06,9.12,8.50,8.62,72200,0.00,0.00
2001-01-10,8.72,9.28,8.56,9.28,283100,0.00,0.00
