Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-31,10.05,10.07,10.05,10.06,3956800,0.00,0.00
2025-04-01,10.06,10.07,10.06,10.06,311500,0.00,0.00
2025-04-02,10.06,10.10,10.06,10.08,63400,0.00,0.00
2025-04-03,10.10,10.10,10.08,10.08,47800,0.00,0.00
2025-04-04,10.08,10.09,10.07,10.08,307100,0.00,0.00
2025-04-07,10.08,10.09,10.07,10.09,4700,0.00,0.00
2025-04-08,10.10,10.10,10.06,10.06,24400,0.00,0.00
2025-04-09,10.06,10.06,10.06,10.06,40200,0.00,0.00
2025-04-10,10.08,10.08,10.06,10.07,319800,0.00,0.00
2025-04-11,10.08,10.08,10.07,10.07,127300,0.00,0.00
2025-04-14,10.07,10.07,10.07,10.07,900,0.00,0.00
2025-04-15,10.06,10.07,10.06,10.07,28800,0.00,0.00
2025-04-16,10.07,10.08,10.07,10.07,2100,0.00,0.00
2025-04-17,10.07,10.07,10.07,10.07,1600,0.00,0.00
2025-04-21,10.09,10.09,10.07,10.08,3100,0.00,0.00
2025-04-22,10.07,10.09,10.07,10.08,5300,0.00,0.00
2025-04-23,10.07,10.08,10.07,10.08,11000,0.00,0.00
2025-04-24,10.07,10.07,10.07,10.07,9900,0.00,0.00
2025-04-25,10.07,10.08,10.07,10.08,300,0.00,0.00
2025-04-28,10.08,10.08,10.08,10.08,100,0.00,0.00
2025-04-29,10.14,10.14,10.14,10.14,18700,0.00,0.00
2025-04-30,10.19,10.19,10.19,10.19,1000,0.00,0.00
2025-05-01,10.14,10.14,10.08,10.08,300,0.00,0.00
2025-05-02,10.13,10.13,10.08,10.08,1400,0.00,0.00
2025-05-05,10.09,10.09,10.09,10.09,500,0.00,0.00
2025-05-06,10.09,10.10,10.09,10.10,1100,0.00,0.00
2025-05-07,10.09,10.09,10.09,10.09,100,0.00,0.00
2025-05-08,10.09,10.09,10.09,10.09,100,0.00,0.00
2025-05-09,10.09,10.09,10.09,10.09,0,0.00,0.00
2025-05-12,10.09,10.09,10.09,10.09,100,0.00,0.00
2025-05-13,10.11,10.14,10.11,10.12,97200,0.00,0.00
2025-05-14,10.14,10.14,10.14,10.14,11000,0.00,0.00
2025-05-15,10.15,10.15,10.14,10.14,9000,0.00,0.00
2025-05-16,10.15,10.18,10.14,10.18,490200,0.00,0.00
2025-05-19,10.18,10.18,10.18,10.18,125000,0.00,0.00
2025-05-20,10.18,10.18,10.16,10.16,253100,0.00,0.00
2025-05-21,10.18,10.19,10.18,10.19,17900,0.00,0.00
2025-05-22,10.20,10.23,10.19,10.19,10300,0.00,0.00
2025-05-23,10.86,10.86,10.19,10.23,9300,0.00,0.00
2025-05-27,10.22,10.22,10.20,10.21,86500,0.00,0.00
2025-05-28,10.20,10.24,10.19,10.19,65700,0.00,0.00
2025-05-29,10.19,10.20,10.18,10.18,7700,0.00,0.00
2025-05-30,10.18,10.18,10.17,10.17,10400,0.00,0.00
2025-06-02,10.17,10.17,10.17,10.17,300,0.00,0.00
2025-06-03,10.17,10.20,10.17,10.20,500,0.00,0.00
2025-06-04,11.00,11.00,10.20,10.20,21900,0.00,0.00
2025-06-05,10.25,10.25,10.25,10.25,500,0.00,0.00
2025-06-06,10.32,10.35,10.32,10.35,2000,0.00,0.00
2025-06-09,10.20,10.30,10.20,10.28,11900,0.00,0.00
2025-06-10,10.20,10.25,10.20,10.25,300,0.00,0.00
2025-06-11,10.21,10.24,10.21,10.24,100200,0.00,0.00
2025-06-12,10.28,10.28,10.19,10.19,300,0.00,0.00
2025-06-13,10.25,10.25,10.19,10.19,300,0.00,0.00
2025-06-16,10.25,10.25,10.25,10.25,500,0.00,0.00
2025-06-17,10.20,10.25,10.20,10.20,600,0.00,0.00
2025-06-18,10.25,10.25,10.20,10.20,5700,0.00,0.00
2025-06-20,10.20,10.20,10.20,10.20,0,0.00,0.00
2025-06-23,10.20,10.25,10.20,10.20,1600,0.00,0.00
2025-06-24,10.20,10.20,10.20,10.20,0,0.00,0.00
2025-06-25,10.20,10.20,10.20,10.20,0,0.00,0.00
2025-06-26,10.27,10.27,10.20,10.20,13600,0.00,0.00
2025-06-27,10.30,10.30,10.27,10.27,300,0.00,0.00
2025-06-30,10.27,10.27,10.27,10.27,0,0.00,0.00
2025-07-01,10.27,10.27,10.27,10.27,0,0.00,0.00
2025-07-02,10.27,10.27,10.27,10.27,0,0.00,0.00
2025-07-03,10.27,10.27,10.27,10.27,0,0.00,0.00
2025-07-07,10.27,10.27,10.27,10.27,0,0.00,0.00
