Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-18,15.23,15.23,14.93,14.93,2000,0.00,0.00,0.00
2025-12-19,15.10,15.10,14.85,14.85,2000,0.00,0.00,0.00
2025-12-22,15.88,15.88,15.71,15.76,600,0.00,0.00,0.00
2025-12-23,15.84,15.96,15.83,15.96,1800,0.00,0.00,0.00
2025-12-24,15.75,15.80,15.75,15.80,400,0.00,0.00,0.00
2025-12-26,16.05,16.05,15.97,15.97,100,0.00,0.00,0.00
2025-12-29,15.25,15.25,15.25,15.25,100,0.00,0.00,0.00
2025-12-30,15.71,15.71,15.64,15.64,400,0.00,0.00,0.00
2025-12-31,15.44,15.47,15.44,15.47,100,0.00,0.00,0.00
2026-01-02,15.85,15.97,15.85,15.97,200,0.00,0.00,0.00
2026-01-05,16.70,16.70,16.70,16.70,100,0.00,0.00,0.00
2026-01-06,17.93,18.20,17.93,18.17,900,0.00,0.00,0.00
2026-01-07,18.41,18.41,18.41,18.41,300,0.00,0.00,0.00
2026-01-08,17.60,17.95,17.60,17.95,300,0.00,0.00,0.00
2026-01-09,17.62,17.62,17.62,17.62,200,0.00,0.00,0.00
2026-01-12,17.66,17.66,17.47,17.47,200,0.00,0.00,0.00
2026-01-13,17.76,17.97,17.71,17.97,1600,0.00,0.00,0.00
2026-01-14,18.31,19.25,18.31,19.25,8800,0.00,0.00,0.00
2026-01-15,19.53,19.53,19.30,19.39,600,0.00,0.00,0.00
2026-01-16,19.04,19.24,19.04,19.24,300,0.00,0.00,0.00
2026-01-20,19.32,20.03,19.32,20.03,6100,0.00,0.00,0.00
2026-01-21,21.40,21.77,21.40,21.77,1200,0.00,0.00,0.00
2026-01-22,21.82,22.82,21.82,22.22,800,0.00,0.00,0.00
2026-01-23,22.81,23.42,22.81,23.42,600,0.00,0.00,0.00
2026-01-26,23.25,23.25,21.99,22.08,1900,0.00,0.00,0.00
2026-01-27,23.57,24.15,23.57,24.15,6000,0.00,0.00,0.00
2026-01-28,24.96,25.00,24.96,25.00,400,0.00,0.00,0.00
2026-01-29,28.11,28.11,24.71,25.56,1800,0.00,0.00,0.00
2026-01-30,24.70,25.31,22.69,22.83,5100,0.00,0.00,0.00
2026-02-02,23.15,23.15,23.15,23.15,1700,0.00,0.00,0.00
2026-02-03,25.10,25.63,25.10,25.63,1900,0.00,0.00,0.00
2026-02-04,25.52,25.65,25.05,25.65,1000,0.00,0.00,0.00
2026-02-05,24.09,24.90,23.63,23.63,1000,0.00,0.00,0.00
2026-02-06,23.78,23.90,23.46,23.46,3700,0.00,0.00,0.00
2026-02-09,24.20,24.86,23.60,24.86,1400,0.00,0.00,0.00
2026-02-10,24.97,24.97,24.73,24.73,500,0.00,0.00,0.00
2026-02-11,25.81,26.52,25.81,26.52,1100,0.00,0.00,0.00
2026-02-12,27.50,27.50,25.49,25.49,1600,0.00,0.00,0.00
2026-02-13,23.85,24.48,23.85,24.26,1000,0.00,0.00,0.00
2026-02-17,24.14,24.14,21.32,22.13,3900,0.00,0.00,0.00
2026-02-18,22.21,22.87,22.21,22.35,1100,0.00,0.00,0.00
2026-02-19,22.70,22.70,22.70,22.70,100,0.00,0.00,0.00
2026-02-20,23.17,24.29,23.17,24.29,200,0.00,0.00,0.00
2026-02-23,24.80,24.91,24.80,24.85,2000,0.00,0.00,0.00
2026-02-24,25.18,25.44,25.18,25.22,300,0.00,0.00,0.00
2026-02-25,26.61,26.73,26.33,26.73,3400,0.00,0.00,0.00
2026-02-26,25.03,26.27,24.65,26.08,7000,0.00,0.00,0.00
2026-02-27,25.76,26.07,25.61,25.64,3500,0.00,0.00,0.00
2026-03-02,25.10,25.10,25.10,25.10,100,0.00,0.00,0.00
2026-03-03,21.63,22.09,20.81,22.09,1800,0.00,0.00,0.00
2026-03-04,22.28,22.50,22.23,22.23,1300,0.00,0.00,0.00
2026-03-05,21.06,21.06,20.21,20.50,1600,0.00,0.00,0.00
2026-03-06,19.43,19.43,19.19,19.19,1000,0.00,0.00,0.00
2026-03-09,18.66,20.19,18.51,20.19,2400,0.00,0.00,0.00
2026-03-10,20.80,20.95,20.80,20.95,400,0.00,0.00,0.00
2026-03-11,20.74,20.74,20.17,20.30,600,0.00,0.00,0.00
2026-03-12,19.30,19.54,19.30,19.45,500,0.00,0.00,0.00
2026-03-13,19.10,19.10,18.46,18.46,900,0.00,0.00,0.00
2026-03-16,19.66,19.66,19.38,19.38,400,0.00,0.00,0.00
2026-03-17,19.86,19.86,19.52,19.57,3500,0.00,0.00,0.00
2026-03-18,18.74,18.82,18.42,18.42,1600,0.00,0.00,0.00
2026-03-19,17.65,18.31,17.65,18.31,1300,0.00,0.00,0.00
2026-03-20,17.72,17.72,16.86,16.86,1000,0.00,0.00,0.00
2026-03-23,18.17,18.94,18.16,18.60,2300,0.00,0.00,0.00
2026-03-24,18.44,18.74,18.44,18.74,400,0.00,0.00,0.00
2026-03-25,19.44,19.44,19.44,19.44,300,0.00,0.00,0.00
2026-03-26,19.23,19.23,18.95,18.95,100,0.00,0.00,0.00
2026-03-27,19.11,19.11,19.11,19.11,400,0.00,0.00,0.00
2026-03-30,19.79,19.79,19.33,19.33,600,0.00,0.00,0.00
2026-03-31,20.73,21.37,20.73,21.37,600,0.00,0.00,0.00
2026-04-01,21.77,22.06,21.69,21.78,1100,0.00,0.00,0.00
2026-04-02,21.55,22.09,21.55,22.08,200,0.00,0.00,0.00
2026-04-06,22.00,22.00,21.86,21.86,200,0.00,0.00,0.00
2026-04-07,21.83,22.08,21.81,22.08,900,0.00,0.00,0.00
2026-04-08,24.00,24.00,23.54,23.59,1600,0.00,0.00,0.00
2026-04-09,23.35,23.35,23.35,23.35,400,0.00,0.00,0.00
2026-04-10,23.83,24.52,23.83,24.19,1500,0.00,0.00,0.00
2026-04-13,24.75,25.53,24.75,25.53,1200,0.00,0.00,0.00
2026-04-14,25.78,26.25,25.78,26.25,500,0.00,0.00,0.00
2026-04-15,26.09,26.09,26.05,26.05,200,0.00,0.00,0.00
2026-04-16,25.50,25.50,25.50,25.50,100,0.00,0.00,0.00
2026-04-17,26.35,26.58,26.35,26.51,1700,0.00,0.00,0.00
2026-04-20,26.45,26.56,26.45,26.56,300,0.00,0.00,0.00
2026-04-21,26.56,26.56,25.39,25.39,1700,0.00,0.00,0.00
2026-04-22,26.21,26.21,25.66,25.66,200,0.00,0.00,0.00
2026-04-23,25.29,25.29,24.44,24.48,1000,0.00,0.00,0.00
2026-04-24,24.73,24.97,24.42,24.55,1000,0.00,0.00,0.00
2026-04-27,24.33,24.33,24.31,24.31,200,0.00,0.00,0.00
2026-04-28,24.01,24.01,23.88,23.88,300,0.00,0.00,0.00
2026-04-29,20.95,20.95,20.72,20.72,700,0.00,0.00,0.00
2026-04-30,21.43,22.17,21.43,22.17,400,0.00,0.00,0.00
2026-05-01,21.45,21.59,21.45,21.59,600,0.00,0.00,0.00
2026-05-04,20.91,20.91,20.71,20.71,800,0.00,0.00,0.00
2026-05-05,20.96,20.96,20.96,20.96,100,0.00,0.00,0.00
2026-05-06,22.20,22.42,22.20,22.42,700,0.00,0.00,0.00
2026-05-07,22.27,22.27,21.58,21.58,3900,0.00,0.00,0.00
2026-05-08,22.55,22.75,22.55,22.75,300,0.00,0.00,0.00
2026-05-11,23.92,23.92,23.92,23.92,100,0.00,0.00,0.00
2026-05-12,23.91,23.91,23.91,23.91,100,0.00,0.00,0.00
2026-05-13,24.12,24.12,23.39,23.39,300,0.00,0.00,0.00
2026-05-14,22.60,22.60,22.60,22.60,100,0.00,0.00,0.00
2026-05-15,21.57,21.91,21.57,21.91,100,0.00,0.00,0.00
2026-05-18,21.63,21.83,21.63,21.83,900,0.00,0.00,0.00
2026-05-19,21.06,21.06,20.97,21.01,1000,0.00,0.00,0.00
2026-05-20,21.45,21.93,21.44,21.93,700,0.00,0.00,0.00
2026-05-21,22.31,22.31,22.26,22.26,300,0.00,0.00,0.00
2026-05-22,22.25,22.25,22.18,22.18,200,0.00,0.00,0.00
2026-05-26,22.18,22.26,21.79,22.26,500,0.00,0.00,0.00
2026-05-27,21.65,22.22,21.65,22.22,300,0.00,0.00,0.00
2026-05-28,21.69,22.61,21.69,22.47,900,0.00,0.00,0.00
2026-05-29,22.07,22.09,21.60,21.60,1700,0.00,0.00,0.00
2026-06-01,21.11,21.69,21.11,21.69,1800,0.00,0.00,0.00
2026-06-02,22.27,23.11,22.27,23.11,1900,0.00,0.00,0.00
2026-06-03,21.12,21.12,21.03,21.03,1300,0.00,0.00,0.00
2026-06-04,20.33,20.36,20.27,20.27,700,0.00,0.00,0.00
2026-06-05,19.61,19.61,18.73,18.73,1700,0.00,0.00,0.00
2026-06-08,18.39,18.39,18.19,18.24,4300,0.00,0.00,0.00
2026-06-09,18.17,18.53,18.16,18.53,1400,0.00,0.00,0.00
2026-06-10,18.29,18.29,18.08,18.08,500,0.00,0.00,0.00
2026-06-11,18.29,19.14,18.29,19.14,800,0.00,0.00,0.00
2026-06-12,19.54,19.93,19.54,19.86,20100,0.00,0.00,0.00
2026-06-15,20.89,20.89,20.64,20.64,19100,0.00,0.00,0.00
2026-06-16,20.81,20.81,20.67,20.67,500,0.00,0.00,0.00
2026-06-17,20.61,20.61,19.50,19.50,1100,0.00,0.00,0.00
2026-06-18,19.20,19.20,19.20,19.20,100,0.00,0.00,0.00
