Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-21,2479.00,2804.60,2127.50,2771.30,31501,0.00,0.00
2021-07-22,2486.40,2486.40,2001.70,2123.80,10376,0.00,0.00
2021-07-23,1998.00,2275.50,1957.30,2146.00,4055,0.00,0.00
2021-07-26,2127.50,2127.50,1887.00,2060.90,1367,0.00,0.00
2021-07-27,1998.00,2023.90,1776.00,1787.10,1009,0.00,0.00
2021-07-28,1813.00,1861.10,1713.10,1761.20,651,0.00,0.00
2021-07-29,1761.20,2042.77,1761.20,1842.60,1341,0.00,0.00
2021-07-30,1813.37,1912.90,1813.00,1850.00,292,0.00,0.00
2021-08-02,1864.80,1864.80,1805.60,1805.60,181,0.00,0.00
2021-08-03,1801.90,1801.90,1628.00,1665.00,1090,0.00,0.00
2021-08-04,1690.90,1690.90,1594.70,1616.90,557,0.00,0.00
2021-08-05,1616.90,1690.90,1572.50,1683.50,214,0.00,0.00
2021-08-06,1687.20,1690.90,1628.00,1679.80,85,0.00,0.00
2021-08-09,1665.00,1702.00,1602.10,1676.10,205,0.00,0.00
2021-08-10,1657.60,1885.89,1646.50,1794.50,541,0.00,0.00
2021-08-11,1753.80,1813.00,1702.00,1746.40,289,0.00,0.00
2021-08-12,1750.10,1750.10,1646.50,1683.50,97,0.00,0.00
2021-08-13,1726.05,1726.05,1628.00,1702.00,114,0.00,0.00
2021-08-16,1628.00,1642.43,1578.42,1616.90,186,0.00,0.00
2021-08-17,1602.10,1605.80,1572.50,1598.40,107,0.00,0.00
2021-08-18,1572.50,1716.80,1554.00,1631.70,272,0.00,0.00
2021-08-19,1594.70,1621.71,1512.56,1517.00,191,0.00,0.00
2021-08-20,1502.20,1642.80,1483.70,1542.90,404,0.00,0.00
2021-08-23,1587.30,1764.90,1502.20,1742.70,945,0.00,0.00
2021-08-24,1742.70,1809.30,1554.00,1631.70,1292,0.00,0.00
2021-08-25,1620.60,1676.10,1579.90,1603.95,277,0.00,0.00
2021-08-26,1598.40,1640.21,1565.10,1609.50,124,0.00,0.00
2021-08-27,1613.20,1622.08,1572.50,1609.50,64,0.00,0.00
2021-08-30,1572.50,1631.70,1561.40,1624.30,141,0.00,0.00
2021-08-31,1604.69,1616.90,1575.83,1598.40,137,0.00,0.00
2021-09-01,1598.40,1611.35,1568.80,1572.50,115,0.00,0.00
2021-09-02,1554.00,1642.80,1539.20,1565.10,233,0.00,0.00
2021-09-03,1609.50,1609.50,1539.20,1546.60,61,0.00,0.00
2021-09-07,1565.10,1676.10,1498.50,1655.75,754,0.00,0.00
2021-09-08,1657.60,1846.30,1598.40,1683.50,1656,0.00,0.00
2021-09-09,1665.00,1701.63,1628.00,1653.90,139,0.00,0.00
2021-09-10,1642.80,1666.85,1546.60,1613.20,225,0.00,0.00
2021-09-13,1602.10,1631.70,1579.90,1609.50,76,0.00,0.00
2021-09-14,1587.30,1609.50,1443.00,1468.90,221,0.00,0.00
2021-09-15,1487.40,1528.10,1461.50,1472.60,183,0.00,0.00
2021-09-16,1491.10,1511.82,1417.10,1450.40,170,0.00,0.00
2021-09-17,1450.40,1494.80,1324.60,1324.60,225,0.00,0.00
2021-09-20,1324.60,1346.80,1254.30,1261.70,257,0.00,0.00
2021-09-21,1291.30,1361.60,1283.90,1317.20,174,0.00,0.00
2021-09-22,1332.00,1350.50,1263.18,1283.90,143,0.00,0.00
2021-09-23,1298.70,1380.10,1298.70,1380.10,68,0.00,0.00
2021-09-24,1335.70,1402.30,1335.70,1391.20,21,0.00,0.00
2021-09-27,1446.70,1457.80,1354.20,1383.80,122,0.00,0.00
2021-09-28,1380.10,1380.10,1309.80,1317.20,138,0.00,0.00
2021-09-29,1324.60,1387.50,1307.95,1343.10,81,0.00,0.00
2021-09-30,1365.30,1394.90,1239.50,1328.30,679,0.00,0.00
2021-10-01,1332.00,1478.52,1328.30,1431.90,354,0.00,0.00
2021-10-04,1428.20,1428.20,1357.90,1369.00,138,0.00,0.00
2021-10-05,1376.40,1413.40,1321.64,1335.70,46,0.00,0.00
2021-10-06,1324.60,1383.80,1306.10,1306.10,122,0.00,0.00
2021-10-07,1348.65,1398.60,1313.50,1317.20,39,0.00,0.00
2021-10-08,1320.16,1383.80,1320.16,1335.70,24,0.00,0.00
2021-10-11,1320.90,1357.90,1317.20,1346.80,59,0.00,0.00
2021-10-12,1346.80,1424.50,1346.80,1372.70,133,0.00,0.00
2021-10-13,1372.70,1391.94,1309.43,1374.55,118,0.00,0.00
2021-10-14,1420.80,1465.20,1380.10,1409.70,139,0.00,0.00
2021-10-15,1413.40,1424.50,1357.90,1406.00,67,0.00,0.00
2021-10-18,1380.10,1380.10,1306.10,1332.00,132,0.00,0.00
2021-10-19,1356.05,1424.50,1356.05,1413.40,64,0.00,0.00
2021-10-20,1410.07,1483.70,1406.00,1443.00,111,0.00,0.00
2021-10-21,1457.80,1480.00,1383.80,1406.00,116,0.00,0.00
2021-10-22,1461.50,1522.18,1387.50,1394.90,309,0.00,0.00
2021-10-25,1383.80,1554.00,1380.10,1517.00,195,0.00,0.00
2021-10-26,1480.00,1480.00,1335.70,1372.70,304,0.00,0.00
2021-10-27,1350.50,1391.20,1313.50,1316.09,96,0.00,0.00
2021-10-28,1313.50,1554.00,1313.50,1417.10,666,0.00,0.00
2021-10-29,1406.00,1431.90,1357.90,1383.80,152,0.00,0.00
2021-11-01,1409.70,1454.10,1357.90,1413.40,155,0.00,0.00
2021-11-02,1409.70,1432.27,1361.23,1398.60,61,0.00,0.00
2021-11-03,1354.20,1409.70,1346.80,1365.30,90,0.00,0.00
2021-11-04,1446.70,1446.70,1311.65,1350.50,279,0.00,0.00
2021-11-05,1409.70,1609.50,1383.80,1431.90,2079,0.00,0.00
2021-11-08,1476.30,1639.10,1465.20,1561.40,1424,0.00,0.00
2021-11-09,1539.20,1539.20,1417.10,1457.80,299,0.00,0.00
2021-11-10,1468.90,1489.25,1394.90,1428.20,126,0.00,0.00
2021-11-11,1446.70,1446.70,1361.60,1409.70,138,0.00,0.00
2021-11-12,1409.70,1487.40,1394.90,1476.30,162,0.00,0.00
2021-11-15,1494.80,1598.40,1453.73,1487.40,284,0.00,0.00
2021-11-16,1472.60,1480.00,1424.50,1450.40,123,0.00,0.00
2021-11-17,1443.00,1457.80,1387.50,1417.10,269,0.00,0.00
2021-11-18,1409.70,1431.90,1354.20,1387.50,180,0.00,0.00
2021-11-19,1350.50,1424.50,1350.50,1387.50,111,0.00,0.00
2021-11-22,1394.90,1668.70,1361.60,1361.60,4402,0.00,0.00
2021-11-23,1376.40,1376.40,1261.70,1357.90,372,0.00,0.00
2021-11-24,1309.80,1385.65,1302.40,1369.00,209,0.00,0.00
2021-11-26,1354.20,1383.80,1302.40,1380.10,81,0.00,0.00
2021-11-29,1398.60,1398.60,1313.50,1328.30,107,0.00,0.00
2021-11-30,1313.50,1317.20,1228.40,1250.60,120,0.00,0.00
2021-12-01,1283.90,1298.70,1172.90,1172.90,148,0.00,0.00
2021-12-02,1176.60,1202.50,1147.00,1147.00,55,0.00,0.00
2021-12-03,1139.60,1169.20,1050.80,1073.00,205,0.00,0.00
2021-12-06,1076.70,1243.20,1047.10,1221.00,177,0.00,0.00
2021-12-07,1243.20,1280.20,1198.80,1269.10,210,0.00,0.00
2021-12-08,1267.62,1431.90,1239.50,1406.00,254,0.00,0.00
2021-12-09,1435.60,1435.60,1298.70,1302.40,341,0.00,0.00
2021-12-10,1306.10,1402.30,1306.10,1380.10,83,0.00,0.00
2021-12-13,1354.20,1354.20,1243.20,1265.40,157,0.00,0.00
2021-12-14,1243.20,1272.80,1228.40,1237.65,29,0.00,0.00
2021-12-15,1224.70,1258.00,1187.70,1224.70,91,0.00,0.00
2021-12-16,1221.00,1250.97,1191.40,1217.30,23,0.00,0.00
2021-12-17,1165.50,1221.00,1165.50,1209.90,28,0.00,0.00
2021-12-20,1202.50,1237.65,1161.80,1187.70,92,0.00,0.00
2021-12-21,1195.10,1239.50,1158.10,1202.50,34,0.00,0.00
2021-12-22,1187.70,1298.70,1187.70,1295.00,90,0.00,0.00
2021-12-23,1302.40,1343.10,1226.18,1313.50,94,0.00,0.00
2021-12-27,1383.80,1613.20,1354.20,1531.80,1126,0.00,0.00
2021-12-28,1531.80,1579.90,1454.10,1539.20,455,0.00,0.00
2021-12-29,1528.10,1606.91,1505.90,1605.80,235,0.00,0.00
2021-12-30,1585.45,1624.30,1505.90,1557.70,294,0.00,0.00
2021-12-31,1535.50,1572.50,1465.20,1483.70,122,0.00,0.00
2022-01-03,1472.60,1517.00,1369.00,1424.50,123,0.00,0.00
2022-01-04,1404.15,1428.20,1361.60,1376.40,48,0.00,0.00
2022-01-05,1354.20,1428.20,1354.20,1417.10,176,0.00,0.00
2022-01-06,1409.70,1475.93,1380.10,1424.50,144,0.00,0.00
2022-01-07,1428.20,1535.50,1428.20,1476.30,107,0.00,0.00
2022-01-10,1513.30,1513.30,1391.94,1450.40,76,0.00,0.00
2022-01-11,1487.40,1561.40,1468.90,1502.20,317,0.00,0.00
2022-01-12,1513.30,1524.40,1480.00,1502.20,145,0.00,0.00
2022-01-13,1494.80,1509.60,1450.40,1465.20,80,0.00,0.00
2022-01-14,1465.20,1496.28,1425.61,1435.60,51,0.00,0.00
2022-01-18,1424.50,1457.80,1372.70,1398.60,52,0.00,0.00
2022-01-19,1383.80,1391.20,1346.80,1357.90,50,0.00,0.00
2022-01-20,1387.50,1387.50,1306.10,1313.50,124,0.00,0.00
2022-01-21,1313.50,1335.70,1283.90,1298.70,131,0.00,0.00
2022-01-24,1287.60,1287.60,1159.95,1187.70,154,0.00,0.00
2022-01-25,1165.50,1207.31,1109.63,1165.50,197,0.00,0.00
2022-01-26,1165.50,1202.50,1080.40,1143.30,211,0.00,0.00
2022-01-27,1172.90,1172.90,1095.20,1117.40,132,0.00,0.00
2022-01-28,1113.70,1184.00,1087.80,1165.50,132,0.00,0.00
2022-01-31,1145.89,1228.40,1130.72,1202.50,126,0.00,0.00
2022-02-01,1206.20,1250.60,1206.20,1250.60,50,0.00,0.00
2022-02-02,1409.70,1426.72,1142.56,1213.60,83,0.00,0.00
2022-02-03,1195.10,1261.70,1195.10,1246.90,24,0.00,0.00
2022-02-04,1230.99,1309.80,1224.70,1300.55,50,0.00,0.00
2022-02-07,1365.30,1365.30,1262.44,1320.90,61,0.00,0.00
2022-02-08,1350.50,1402.30,1302.40,1343.10,47,0.00,0.00
2022-02-09,1348.65,1369.00,1306.10,1369.00,12,0.00,0.00
2022-02-10,1356.42,1435.60,1295.00,1354.20,137,0.00,0.00
2022-02-11,1343.10,1454.10,1295.00,1335.70,59,0.00,0.00
2022-02-14,1372.70,1409.70,1221.74,1324.60,130,0.00,0.00
2022-02-15,1454.10,1454.10,1332.00,1394.90,17,0.00,0.00
2022-02-16,1357.90,1373.44,1319.05,1346.80,26,0.00,0.00
2022-02-17,1312.76,1357.90,1312.76,1357.90,15,0.00,0.00
2022-02-18,1332.37,1402.30,1221.00,1346.80,120,0.00,0.00
2022-02-22,1257.63,1289.45,1143.30,1196.58,215,0.00,0.00
2022-02-23,1198.80,1224.70,1191.40,1202.50,17,0.00,0.00
2022-02-24,1132.20,1243.20,1132.20,1209.90,61,0.00,0.00
2022-02-25,1254.30,1261.70,1209.90,1231.36,34,0.00,0.00
2022-02-28,1226.55,1280.20,1226.55,1259.85,11,0.00,0.00
2022-03-01,1303.51,1328.30,1239.50,1250.60,20,0.00,0.00
2022-03-02,1250.60,1320.90,1250.60,1309.80,8,0.00,0.00
2022-03-03,1293.15,1328.30,1293.15,1328.30,9,0.00,0.00
2022-03-04,1243.20,1317.20,1224.70,1250.60,32,0.00,0.00
2022-03-07,1335.70,1335.70,1221.00,1283.90,24,0.00,0.00
2022-03-08,1276.50,1313.50,1238.39,1295.00,47,0.00,0.00
2022-03-09,1254.30,1295.00,1206.20,1258.00,39,0.00,0.00
2022-03-10,1221.00,1295.00,1217.30,1295.00,13,0.00,0.00
2022-03-11,1219.52,1282.05,1219.52,1265.40,25,0.00,0.00
2022-03-14,1217.30,1287.60,1191.40,1202.50,20,0.00,0.00
2022-03-15,1210.64,1291.30,1210.64,1291.30,41,0.00,0.00
2022-03-16,1224.70,1387.50,1217.30,1320.90,110,0.00,0.00
2022-03-17,1328.30,1450.40,1327.19,1420.80,73,0.00,0.00
2022-03-18,1364.93,1439.30,1357.90,1439.30,45,0.00,0.00
2022-03-21,1383.80,1505.90,1369.00,1443.00,46,0.00,0.00
2022-03-22,1431.90,1450.40,1398.60,1398.60,28,0.00,0.00
2022-03-23,1398.60,1424.50,1354.20,1354.20,27,0.00,0.00
2022-03-24,1439.30,1439.30,1383.06,1391.20,15,0.00,0.00
2022-03-25,1350.50,1357.90,1304.25,1313.50,37,0.00,0.00
2022-03-28,1343.10,1406.00,1343.10,1369.00,7,0.00,0.00
2022-03-29,1339.40,1391.20,1309.06,1361.60,24,0.00,0.00
2022-03-30,1408.59,1431.90,1406.00,1431.90,31,0.00,0.00
2022-03-31,1365.30,1572.50,1354.94,1542.90,145,0.00,0.00
2022-04-01,1461.50,1494.80,1390.83,1494.80,22,0.00,0.00
2022-04-04,1498.50,1528.10,1425.24,1520.70,38,0.00,0.00
2022-04-05,1472.60,1517.00,1472.60,1517.00,3,0.00,0.00
2022-04-06,1531.80,1531.80,1428.20,1457.80,16,0.00,0.00
2022-04-07,1461.50,1461.50,1409.70,1435.60,18,0.00,0.00
2022-04-08,1498.50,1505.90,1372.70,1402.30,32,0.00,0.00
2022-04-11,1371.22,1380.10,1350.50,1376.40,11,0.00,0.00
2022-04-12,1450.40,1461.50,1369.00,1446.70,20,0.00,0.00
2022-04-13,1443.00,1443.00,1346.80,1413.40,18,0.00,0.00
2022-04-14,1374.55,1424.50,1357.90,1417.10,37,0.00,0.00
2022-04-18,1397.86,1397.86,1298.70,1354.20,42,0.00,0.00
2022-04-19,1335.70,1339.40,1295.00,1315.35,29,0.00,0.00
2022-04-20,1342.73,1372.33,1342.73,1346.80,6,0.00,0.00
2022-04-21,1372.70,1387.50,1365.30,1369.00,6,0.00,0.00
2022-04-22,1332.00,1350.50,1295.00,1350.50,19,0.00,0.00
2022-04-25,1320.53,1376.40,1295.00,1357.90,8,0.00,0.00
2022-04-26,1320.90,1472.60,1320.90,1350.50,21,0.00,0.00
2022-04-27,1332.00,1369.00,1328.67,1343.10,8,0.00,0.00
2022-04-28,1324.60,1361.60,1311.65,1346.80,6,0.00,0.00
2022-04-29,1317.20,1369.00,1317.20,1332.00,11,0.00,0.00
2022-05-02,1317.20,1365.30,1306.10,1357.90,4,0.00,0.00
2022-05-03,1332.00,1366.04,1332.00,1353.46,5,0.00,0.00
2022-05-04,1357.90,1398.60,1357.16,1398.60,5,0.00,0.00
2022-05-05,1380.10,1406.00,1280.20,1369.00,37,0.00,0.00
2022-05-06,1317.20,1350.50,1317.20,1350.50,5,0.00,0.00
2022-05-09,1350.13,1350.13,1287.60,1313.50,15,0.00,0.00
2022-05-10,1298.70,1298.70,1098.90,1230.25,55,0.00,0.00
2022-05-11,1228.40,1239.50,1154.40,1154.40,6,0.00,0.00
2022-05-12,1184.00,1239.50,1110.00,1184.00,98,0.00,0.00
2022-05-13,1239.50,1239.50,1147.00,1165.50,19,0.00,0.00
2022-05-16,1186.59,1239.50,1161.80,1235.80,8,0.00,0.00
2022-05-17,1221.00,1261.70,1221.00,1258.00,2,0.00,0.00
2022-05-18,1195.10,1239.50,1195.10,1239.50,8,0.00,0.00
2022-05-19,1198.80,1221.00,1191.40,1213.60,4,0.00,0.00
2022-05-20,1213.60,1213.60,1191.40,1191.40,1,0.00,0.00
2022-05-23,1232.10,1232.10,1160.69,1217.30,26,0.00,0.00
2022-05-24,1195.47,1235.80,1073.00,1198.80,146,0.00,0.00
2022-05-25,1198.80,1198.80,1171.05,1195.10,47,0.00,0.00
2022-05-26,1201.76,1201.76,1184.00,1198.80,4,0.00,0.00
2022-05-27,1198.80,1198.80,1073.00,1176.60,83,0.00,0.00
2022-05-31,1202.50,1202.50,1128.50,1167.72,4,0.00,0.00
