Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-28,12.63,12.77,11.61,12.06,5935100,0.00,0.00
2021-01-29,11.81,12.51,10.71,12.17,1631600,0.00,0.00
2021-02-01,12.20,13.20,12.20,13.08,935800,0.00,0.00
2021-02-02,12.85,13.52,12.63,13.11,926700,0.00,0.00
2021-02-03,13.10,13.42,12.85,13.13,637400,0.00,0.00
2021-02-04,13.17,13.89,12.86,13.65,330700,0.00,0.00
2021-02-05,13.56,13.65,13.12,13.38,417000,0.00,0.00
2021-02-08,13.40,13.65,13.16,13.42,344300,0.00,0.00
2021-02-09,13.29,13.52,13.15,13.15,110800,0.00,0.00
2021-02-10,13.14,13.48,12.90,13.27,83500,0.00,0.00
2021-02-11,13.26,13.42,13.09,13.20,185700,0.00,0.00
2021-02-12,13.20,13.42,13.04,13.27,198600,0.00,0.00
2021-02-16,13.33,13.66,13.10,13.31,228100,0.00,0.00
2021-02-17,13.24,13.27,12.49,12.85,93400,0.00,0.00
2021-02-18,12.92,13.19,12.71,12.82,32500,0.00,0.00
2021-02-19,13.12,13.88,12.23,13.85,436100,0.00,0.00
2021-02-22,12.69,13.71,12.49,12.50,499800,0.00,0.00
2021-02-23,12.52,12.84,11.87,12.27,260000,0.00,0.00
2021-02-24,12.27,13.27,11.70,11.93,208400,0.00,0.00
2021-02-25,11.98,12.34,11.06,11.14,344900,0.00,0.00
2021-02-26,11.09,11.72,10.37,11.18,514600,0.00,0.00
2021-03-01,11.41,12.27,11.30,11.96,544900,0.00,0.00
2021-03-02,13.24,13.32,11.58,11.62,652700,0.00,0.00
2021-03-03,11.95,12.31,11.40,11.41,341400,0.00,0.00
2021-03-04,11.25,11.97,11.03,11.73,192800,0.00,0.00
2021-03-05,11.71,12.60,11.42,12.27,165600,0.00,0.00
2021-03-08,12.31,12.45,11.13,11.16,199400,0.00,0.00
2021-03-09,11.20,11.34,10.34,10.44,444400,0.00,0.00
2021-03-10,10.63,11.20,10.21,10.56,384500,0.00,0.00
2021-03-11,10.63,11.00,10.38,10.63,104400,0.00,0.00
2021-03-12,10.49,10.58,10.18,10.37,193600,0.00,0.00
2021-03-15,10.35,10.78,10.21,10.73,67200,0.00,0.00
2021-03-16,10.71,10.98,10.71,10.79,42000,0.00,0.00
2021-03-17,10.85,11.25,10.75,11.13,161500,0.00,0.00
2021-03-18,10.86,11.06,9.99,10.57,333200,0.00,0.00
2021-03-19,10.56,10.56,9.49,9.99,816100,0.00,0.00
2021-03-22,10.16,10.16,9.58,9.96,154700,0.00,0.00
2021-03-23,9.92,10.07,9.75,9.78,213400,0.00,0.00
2021-03-24,9.42,9.49,8.96,9.09,677200,0.00,0.00
2021-03-25,9.01,9.27,8.84,9.10,358700,0.00,0.00
2021-03-26,9.15,9.42,8.94,9.30,224200,0.00,0.00
2021-03-29,9.28,9.51,9.11,9.28,161300,0.00,0.00
2021-03-30,9.26,9.32,9.13,9.27,71300,0.00,0.00
2021-03-31,9.36,9.53,9.24,9.38,122700,0.00,0.00
2021-04-01,9.42,9.51,9.00,9.17,445200,0.00,0.00
2021-04-05,9.26,9.48,8.94,9.34,275800,0.00,0.00
2021-04-06,9.26,9.28,9.05,9.06,74300,0.00,0.00
2021-04-07,9.07,9.19,8.72,8.91,394700,0.00,0.00
2021-04-08,8.92,9.13,8.80,8.90,289300,0.00,0.00
2021-04-09,8.86,8.97,8.66,8.91,93000,0.00,0.00
2021-04-12,8.83,9.10,8.83,8.99,157900,0.00,0.00
2021-04-13,8.89,9.19,8.75,8.86,133100,0.00,0.00
2021-04-14,8.91,9.13,8.71,8.78,134400,0.00,0.00
2021-04-15,8.72,8.72,8.56,8.56,119300,0.00,0.00
2021-04-16,8.61,8.77,8.56,8.74,170300,0.00,0.00
2021-04-19,8.71,8.82,8.54,8.71,138100,0.00,0.00
2021-04-20,8.74,8.86,8.27,8.29,235200,0.00,0.00
2021-04-21,8.26,8.82,8.19,8.27,304600,0.00,0.00
2021-04-22,8.31,8.72,8.22,8.56,623800,0.00,0.00
2021-04-23,8.56,8.74,8.42,8.44,139700,0.00,0.00
2021-04-26,8.48,8.51,8.14,8.16,168800,0.00,0.00
2021-04-27,8.16,8.31,7.99,7.99,137800,0.00,0.00
2021-04-28,8.00,8.11,7.86,7.93,277200,0.00,0.00
2021-04-29,8.04,8.15,7.86,7.91,337000,0.00,0.00
2021-04-30,7.86,8.06,7.75,7.92,101000,0.00,0.00
2021-05-03,7.93,8.29,7.75,7.79,355500,0.00,0.00
2021-05-04,7.68,8.25,7.50,7.99,186200,0.00,0.00
2021-05-05,8.00,8.28,7.87,8.26,599700,0.00,0.00
2021-05-06,8.28,8.32,8.01,8.21,499400,0.00,0.00
2021-05-07,8.20,8.31,7.79,7.89,1086600,0.00,0.00
2021-05-10,7.87,8.03,7.69,7.72,163300,0.00,0.00
2021-05-11,7.71,7.86,7.49,7.63,300000,0.00,0.00
2021-05-12,7.63,7.77,7.50,7.75,115300,0.00,0.00
2021-05-13,7.75,8.05,7.75,8.01,93100,0.00,0.00
2021-05-14,8.06,8.37,7.84,8.28,1113000,0.00,0.00
2021-05-17,8.48,8.96,8.35,8.84,261500,0.00,0.00
2021-05-18,9.16,9.31,8.58,9.20,617000,0.00,0.00
2021-05-19,9.25,9.25,8.73,8.74,287500,0.00,0.00
2021-05-20,9.01,9.47,8.72,9.21,660800,0.00,0.00
2021-05-21,9.51,9.63,9.24,9.31,608700,0.00,0.00
2021-05-24,9.63,9.63,9.01,9.51,269000,0.00,0.00
2021-05-25,9.61,10.16,9.46,9.84,319700,0.00,0.00
2021-05-26,9.88,10.30,9.76,10.26,254700,0.00,0.00
2021-05-27,10.34,10.48,10.00,10.10,265700,0.00,0.00
2021-05-28,10.27,10.36,10.13,10.33,159600,0.00,0.00
2021-06-01,10.62,10.65,10.13,10.43,154700,0.00,0.00
2021-06-02,10.48,10.77,10.31,10.63,91500,0.00,0.00
2021-06-03,10.66,10.71,10.37,10.49,136700,0.00,0.00
2021-06-04,10.57,10.66,10.21,10.26,136500,0.00,0.00
2021-06-07,10.30,10.56,10.17,10.35,115600,0.00,0.00
2021-06-08,10.40,10.40,10.03,10.08,85100,0.00,0.00
2021-06-09,9.89,10.65,9.78,10.50,134300,0.00,0.00
2021-06-10,10.58,10.86,10.31,10.73,101300,0.00,0.00
2021-06-11,10.85,11.34,10.76,10.98,213300,0.00,0.00
2021-06-14,11.12,11.20,10.77,10.96,77000,0.00,0.00
2021-06-15,10.96,11.13,10.88,10.95,135200,0.00,0.00
2021-06-16,11.07,11.42,11.01,11.41,187000,0.00,0.00
2021-06-17,11.40,11.41,10.78,10.91,164600,0.00,0.00
2021-06-18,10.84,10.86,10.53,10.53,174700,0.00,0.00
2021-06-21,10.71,10.78,10.38,10.60,127700,0.00,0.00
2021-06-22,10.58,10.71,10.46,10.57,129200,0.00,0.00
2021-06-23,10.60,11.06,10.54,10.88,272100,0.00,0.00
2021-06-24,10.95,11.06,10.64,10.71,106400,0.00,0.00
2021-06-25,10.71,11.04,10.69,10.74,123400,0.00,0.00
2021-06-28,10.74,10.88,10.32,10.35,170300,0.00,0.00
2021-06-29,10.37,10.90,10.06,10.66,305000,0.00,0.00
2021-06-30,10.64,10.70,10.30,10.35,121400,0.00,0.00
2021-07-01,10.35,10.48,10.08,10.11,58400,0.00,0.00
2021-07-02,10.11,10.11,9.78,9.99,70100,0.00,0.00
2021-07-06,10.00,10.00,9.58,9.81,123800,0.00,0.00
2021-07-07,9.91,9.91,9.58,9.64,83500,0.00,0.00
2021-07-08,9.62,9.62,9.02,9.13,113800,0.00,0.00
2021-07-09,9.24,9.30,8.97,9.27,143800,0.00,0.00
2021-07-12,9.24,9.43,9.04,9.12,56900,0.00,0.00
2021-07-13,9.05,9.07,8.82,8.93,76200,0.00,0.00
2021-07-14,8.95,9.47,8.89,9.27,208800,0.00,0.00
2021-07-15,9.28,9.28,8.70,8.86,132800,0.00,0.00
2021-07-16,8.99,9.04,8.72,8.82,106700,0.00,0.00
2021-07-19,8.76,8.87,8.40,8.73,244400,0.00,0.00
2021-07-20,8.78,8.78,8.59,8.63,182400,0.00,0.00
2021-07-21,8.64,9.31,8.64,8.87,148400,0.00,0.00
2021-07-22,8.96,9.05,8.74,8.96,147100,0.00,0.00
2021-07-23,8.89,9.56,8.86,9.29,254000,0.00,0.00
2021-07-26,9.21,9.30,8.69,8.79,77200,0.00,0.00
2021-07-27,8.74,8.91,8.55,8.91,203000,0.00,0.00
2021-07-28,8.97,9.41,8.86,9.17,86200,0.00,0.00
2021-07-29,9.26,9.49,9.21,9.28,73000,0.00,0.00
2021-07-30,9.16,9.28,9.10,9.26,46700,0.00,0.00
2021-08-02,9.27,9.37,9.15,9.31,56100,0.00,0.00
2021-08-03,9.32,9.41,9.14,9.31,34900,0.00,0.00
2021-08-04,9.29,9.41,9.26,9.36,32900,0.00,0.00
2021-08-05,9.35,9.63,9.30,9.42,39000,0.00,0.00
2021-08-06,9.45,9.49,9.27,9.48,74400,0.00,0.00
2021-08-09,9.48,9.70,9.41,9.63,83200,0.00,0.00
2021-08-10,9.63,9.83,9.58,9.76,43900,0.00,0.00
2021-08-11,9.76,9.76,9.31,9.31,26500,0.00,0.00
2021-08-12,9.26,9.59,9.26,9.40,56500,0.00,0.00
2021-08-13,9.40,9.88,9.34,9.39,96400,0.00,0.00
2021-08-16,9.28,9.44,9.16,9.21,79200,0.00,0.00
2021-08-17,9.16,9.62,8.94,9.36,154600,0.00,0.00
2021-08-18,9.39,9.53,9.14,9.28,117900,0.00,0.00
2021-08-19,9.56,9.88,9.35,9.61,193600,0.00,0.00
2021-08-20,9.66,10.06,9.46,9.86,260500,0.00,0.00
2021-08-23,9.96,10.05,9.68,9.78,110300,0.00,0.00
2021-08-24,9.92,10.05,9.81,10.00,260600,0.00,0.00
2021-08-25,9.99,10.13,9.93,9.99,128400,0.00,0.00
2021-08-26,9.98,10.12,9.98,10.02,45200,0.00,0.00
2021-08-27,10.02,10.31,9.95,10.31,86000,0.00,0.00
2021-08-30,10.35,10.36,9.79,10.08,144500,0.00,0.00
2021-08-31,10.14,10.41,10.01,10.32,76900,0.30,0.00
2021-09-01,10.35,10.61,10.35,10.50,83400,0.00,0.00
2021-09-02,10.50,10.85,10.35,10.39,117000,0.00,0.00
2021-09-03,10.37,10.53,10.22,10.33,43300,0.00,0.00
2021-09-07,10.35,10.57,10.24,10.39,112100,0.00,0.00
2021-09-08,10.35,10.64,9.96,10.03,40700,0.00,0.00
2021-09-09,9.99,10.22,9.86,9.98,103700,0.00,0.00
2021-09-10,10.03,10.23,9.92,10.02,81700,0.00,0.00
2021-09-13,10.06,10.28,9.98,10.12,69600,0.00,0.00
2021-09-14,10.12,10.49,9.90,9.94,43000,0.00,0.00
2021-09-15,9.89,10.16,9.88,10.14,54400,0.00,0.00
2021-09-16,10.08,10.20,9.90,10.03,55700,0.00,0.00
2021-09-17,10.00,10.34,9.99,10.28,96300,0.00,0.00
2021-09-20,10.12,10.14,9.78,9.89,47300,0.00,0.00
2021-09-21,10.01,10.11,9.63,9.76,66400,0.00,0.00
2021-09-22,9.76,9.98,9.74,9.80,65300,0.00,0.00
2021-09-23,9.82,10.10,9.64,9.87,194400,0.00,0.00
2021-09-24,9.84,9.95,9.62,9.83,115100,0.00,0.00
2021-09-27,9.79,10.11,9.68,9.97,181700,0.00,0.00
2021-09-28,9.95,10.07,9.81,9.97,209800,0.00,0.00
2021-09-29,9.98,9.98,9.55,9.73,107000,0.00,0.00
2021-09-30,9.81,9.87,9.48,9.50,111900,0.00,0.00
2021-10-01,9.57,10.14,9.52,9.81,80200,0.00,0.00
2021-10-04,9.79,9.81,9.35,9.51,171500,0.00,0.00
2021-10-05,9.50,9.94,9.46,9.81,56500,0.00,0.00
2021-10-06,9.70,9.70,9.47,9.54,130200,0.00,0.00
2021-10-07,9.64,9.95,9.54,9.87,118200,0.00,0.00
2021-10-08,9.92,10.30,9.88,10.18,126400,0.00,0.00
2021-10-11,10.19,10.24,9.95,9.95,75400,0.00,0.00
2021-10-12,9.93,10.13,9.93,10.08,100300,0.00,0.00
2021-10-13,10.08,10.13,9.85,10.06,82400,0.00,0.00
2021-10-14,10.11,10.16,10.00,10.08,56900,0.00,0.00
2021-10-15,10.09,10.52,10.09,10.43,73500,0.00,0.00
2021-10-18,10.39,10.44,10.25,10.27,55500,0.00,0.00
2021-10-19,10.38,10.48,10.20,10.28,75000,0.00,0.00
2021-10-20,10.34,10.42,10.27,10.35,71100,0.00,0.00
2021-10-21,10.30,10.33,9.97,10.17,81000,0.00,0.00
2021-10-22,10.16,10.16,9.68,9.72,301300,0.00,0.00
2021-10-25,9.69,9.92,9.59,9.77,101700,0.00,0.00
2021-10-26,9.74,9.81,9.39,9.41,134900,0.00,0.00
2021-10-27,9.35,9.55,9.21,9.33,85100,0.00,0.00
2021-10-28,9.35,9.41,9.03,9.07,98900,0.00,0.00
2021-10-29,9.02,9.14,8.92,8.96,68100,0.00,0.00
2021-11-01,8.91,9.20,8.91,9.08,60000,0.00,0.00
2021-11-02,9.04,9.09,8.91,9.02,66000,0.00,0.00
2021-11-03,9.06,9.14,8.93,9.05,65600,0.00,0.00
2021-11-04,9.11,9.15,8.95,9.00,131600,0.00,0.00
2021-11-05,9.03,9.13,8.99,9.07,76200,0.00,0.00
2021-11-08,9.15,9.15,9.03,9.04,68800,0.00,0.00
2021-11-09,9.00,9.15,8.98,9.11,64800,0.00,0.00
2021-11-10,9.09,9.13,8.97,9.01,97800,0.00,0.00
2021-11-11,8.94,9.26,8.94,9.22,153500,0.00,0.00
2021-11-12,9.21,9.34,8.98,9.04,89500,0.00,0.00
2021-11-15,9.03,9.09,9.01,9.03,27500,0.00,0.00
2021-11-16,9.13,9.13,8.90,8.95,59700,0.00,0.00
2021-11-17,8.95,9.11,8.81,9.04,167800,0.00,0.00
2021-11-18,9.22,9.40,8.77,8.77,127800,0.00,0.00
2021-11-19,8.79,8.89,8.52,8.78,104800,0.00,0.00
2021-11-22,8.85,9.02,8.63,8.74,113200,0.00,0.00
2021-11-23,8.79,8.79,8.44,8.49,50900,0.00,0.00
2021-11-24,8.50,8.70,8.49,8.62,34000,0.00,0.00
2021-11-26,8.56,8.56,8.28,8.38,29500,0.00,0.00
2021-11-29,8.44,8.44,8.09,8.11,80100,0.00,0.00
2021-11-30,8.14,8.14,7.40,7.75,231400,0.16,0.00
2021-12-01,7.81,7.89,7.14,7.39,315900,0.00,0.00
2021-12-02,7.44,7.89,7.44,7.69,168600,0.00,0.00
2021-12-03,7.69,7.79,7.42,7.54,112100,0.00,0.00
2021-12-06,7.51,7.84,7.51,7.74,64900,0.00,0.00
2021-12-07,7.77,8.14,7.77,7.94,58900,0.00,0.00
2021-12-08,8.03,8.38,8.00,8.22,70200,0.00,0.00
2021-12-09,8.19,8.46,8.18,8.27,53400,0.00,0.00
2021-12-10,8.39,8.40,8.16,8.21,72800,0.00,0.00
2021-12-13,8.22,8.39,8.17,8.26,53500,0.00,0.00
2021-12-14,8.23,8.49,7.58,7.81,256900,0.00,0.00
2021-12-15,7.83,8.12,7.63,8.09,68400,0.00,0.00
2021-12-16,8.14,8.23,7.92,8.03,78000,0.00,0.00
2021-12-17,7.98,8.28,7.73,8.12,99800,0.00,0.00
2021-12-20,8.04,8.11,7.78,7.98,67500,0.00,0.00
2021-12-21,8.05,8.29,8.01,8.15,53700,0.00,0.00
2021-12-22,8.22,8.45,8.21,8.34,36100,0.00,0.00
2021-12-23,8.39,8.41,8.28,8.31,63500,0.00,0.00
2021-12-27,8.36,8.40,8.25,8.28,62800,0.00,0.00
2021-12-28,8.23,8.32,8.07,8.07,30600,0.00,0.00
2021-12-29,8.03,8.16,7.85,7.88,47100,0.00,0.00
2021-12-30,7.88,8.09,7.87,7.87,30000,0.00,0.00
2021-12-31,7.93,8.13,7.84,7.92,72600,0.00,0.00
2022-01-03,7.94,8.42,7.92,8.13,89900,0.00,0.00
2022-01-04,8.17,8.21,7.99,8.03,38700,0.00,0.00
2022-01-05,7.98,8.42,7.98,8.00,79300,0.00,0.00
2022-01-06,8.03,8.39,8.00,8.10,42400,0.00,0.00
2022-01-07,8.10,8.36,8.10,8.32,30300,0.00,0.00
2022-01-10,8.35,8.43,8.13,8.33,75000,0.00,0.00
2022-01-11,8.37,8.77,8.37,8.65,128100,0.00,0.00
2022-01-12,8.79,9.14,8.76,9.04,117200,0.00,0.00
2022-01-13,9.19,9.42,8.85,8.93,78500,0.00,0.00
2022-01-14,8.97,9.06,8.82,9.01,42000,0.00,0.00
2022-01-18,9.05,9.25,8.89,9.08,75600,0.00,0.00
2022-01-19,9.09,9.38,9.05,9.33,87400,0.00,0.00
2022-01-20,9.43,9.89,9.43,9.77,89700,0.00,0.00
2022-01-21,9.77,9.80,9.62,9.71,111000,0.00,0.00
