Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-03-24,21.45,21.89,21.39,21.39,412600,0.00,0.00,0.00
2015-03-25,21.41,21.42,21.01,21.03,188600,0.00,0.00,0.00
2015-03-26,21.10,21.67,20.68,20.88,581400,0.00,0.00,0.00
2015-03-27,20.89,21.03,20.89,21.02,304900,0.00,0.00,0.00
2015-03-30,21.10,21.20,21.10,21.19,260200,0.00,0.00,0.00
2015-03-31,21.05,21.08,20.97,21.02,87100,0.00,0.00,0.00
2015-04-01,21.25,21.25,20.85,20.88,111400,0.00,0.00,0.00
2015-04-02,20.96,21.07,20.95,21.07,126300,0.00,0.00,0.00
2015-04-06,21.47,21.47,21.16,21.19,170400,0.00,0.00,0.00
2015-04-07,21.21,21.32,21.21,21.21,101500,0.00,0.00,0.00
2015-04-08,21.26,21.36,21.26,21.29,122700,0.00,0.00,0.00
2015-04-09,21.33,21.42,21.31,21.40,121600,0.00,0.00,0.00
2015-04-10,21.43,21.54,21.43,21.52,189800,0.00,0.00,0.00
2015-04-13,21.57,21.59,21.55,21.55,126200,0.00,0.00,0.00
2015-04-14,21.87,21.87,21.47,21.48,102100,0.00,0.00,0.00
2015-04-15,21.56,21.67,21.53,21.64,124600,0.00,0.00,0.00
2015-04-16,21.64,21.71,21.60,21.69,141200,0.00,0.00,0.00
2015-04-17,21.48,21.49,21.35,21.36,107200,0.00,0.00,0.00
2015-04-20,21.45,21.53,21.44,21.50,83000,0.00,0.00,0.00
2015-04-21,21.66,21.66,21.61,21.61,87100,0.00,0.00,0.00
2015-04-22,21.66,21.70,21.56,21.69,88500,0.00,0.00,0.00
2015-04-23,21.61,21.82,21.59,21.81,112400,0.00,0.00,0.00
2015-04-24,21.81,21.82,21.72,21.72,112300,0.00,0.00,0.00
2015-04-27,21.83,21.90,21.60,21.60,79600,0.00,0.00,0.00
2015-04-28,22.04,22.04,21.43,21.57,86300,0.00,0.00,0.00
2015-04-29,21.44,21.51,21.39,21.45,65400,0.00,0.00,0.00
2015-04-30,21.47,21.47,21.20,21.24,55800,0.00,0.00,0.00
2015-05-01,21.35,21.48,21.35,21.48,49200,0.00,0.00,0.00
2015-05-04,21.59,21.65,21.55,21.57,103500,0.00,0.00,0.00
2015-05-05,21.55,21.55,21.24,21.28,84900,0.00,0.00,0.00
2015-05-06,21.43,21.45,21.16,21.26,84400,0.00,0.00,0.00
2015-05-07,21.18,21.32,21.18,21.30,62600,0.00,0.00,0.00
2015-05-08,21.55,21.68,21.55,21.65,808100,0.00,0.00,0.00
2015-05-11,21.62,21.66,21.57,21.59,62300,0.00,0.00,0.00
2015-05-12,21.59,21.62,21.44,21.57,52600,0.00,0.00,0.00
2015-05-13,21.62,21.71,21.61,21.64,36000,0.00,0.00,0.00
2015-05-14,21.77,21.88,21.71,21.88,81300,0.00,0.00,0.00
2015-05-15,21.88,21.89,21.81,21.89,56100,0.00,0.00,0.00
