Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2026-05-07,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2026-02-05,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2025-11-06,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2025-08-07,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2025-05-08,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2025-02-06,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2024-11-07,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2024-08-08,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2024-05-08,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2024-02-07,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2023-11-02,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2023-08-03,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2023-05-04,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2023-02-02,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2022-11-04,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2022-08-04,0.2500,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2022-05-05,0.2400,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2022-02-03,0.2400,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2021-11-04,0.2400,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2021-07-29,0.2400,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2021-04-29,0.2300,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2021-02-04,0.2300,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2020-11-05,0.2300,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2020-07-30,0.2300,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2020-04-30,0.2300,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2020-02-06,0.2300,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2019-10-31,0.2100,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2019-08-01,0.2100,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2019-05-02,0.1900,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2019-02-07,0.1900,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2018-11-28,0.0000,2.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2018-10-31,0.1750,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2018-08-02,0.1600,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2018-05-03,0.1550,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2018-02-01,0.1450,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2017-11-02,0.1450,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2017-08-02,0.1450,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2017-05-03,0.1350,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2017-02-01,0.1350,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2016-11-02,0.1350,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2016-08-03,0.1250,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2016-05-04,0.1250,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2016-02-03,0.1250,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2015-10-28,0.1200,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2015-07-29,0.1100,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
2015-04-29,0.1100,1.0000,399.0000,1.0000,161.2900,0.0000,0,0.2500,2026-05-06
