Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2025-12-30,0.1350,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2025-06-27,0.0970,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2024-12-30,0.1760,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2024-06-27,0.1080,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2023-12-28,0.0960,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2023-06-29,0.0770,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2022-12-29,0.2480,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2022-06-29,0.0720,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2021-12-30,0.1670,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2021-06-29,0.0680,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
2020-12-30,0.0460,1.0000,74.0000,0.0000,0.0000,0.0000,0,0.1350,N/A
