Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2026-06-15,0.4660,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2025-12-16,1.0670,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2025-06-16,0.5310,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2024-12-30,0.0260,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2024-12-17,0.7540,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2024-06-11,0.3090,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2023-12-20,0.5570,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2023-06-07,0.2430,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2022-12-13,0.6130,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2022-06-09,0.2120,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2021-12-13,0.6230,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2021-06-10,0.1800,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
2020-12-14,0.1730,1.0000,278.0000,0.0000,0.0000,0.0000,0,0.4660,N/A
