Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2026-05-05,0.3000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2026-02-10,0.3000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2025-11-05,0.2700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2025-08-05,0.2700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2025-05-06,0.2600,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2025-02-14,0.2600,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2024-11-05,0.2300,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2024-08-08,0.2300,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2024-05-06,0.2000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2024-02-05,0.2000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2023-11-06,0.2000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2023-08-07,0.2000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2023-05-08,0.2000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2023-02-06,0.2000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2022-10-28,0.1900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2022-07-29,0.1900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2022-04-29,0.1900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2022-01-31,0.1900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2021-10-29,0.1900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2021-07-30,0.1900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2021-04-30,0.1800,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2021-01-29,0.1800,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2020-10-30,0.1700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2020-07-31,0.1700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2020-05-01,0.1700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2020-01-31,0.1700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2019-11-01,0.1500,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2019-08-02,0.1500,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2019-04-29,0.1500,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2019-02-01,0.1500,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2018-10-26,0.1300,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2018-07-26,0.1300,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2018-04-23,0.1300,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2018-02-01,0.1200,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2017-11-03,0.1200,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2017-08-04,0.1000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2017-05-04,0.1000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2017-02-08,0.1000,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2016-11-07,0.0900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2016-08-08,0.0900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2016-05-09,0.0900,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2016-02-08,0.0800,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2015-11-02,0.0800,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2015-08-05,0.0700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
2015-05-06,0.0700,1.0000,287.0000,1.1400,25.1700,0.0000,0,0.3000,2026-05-04
