Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2026-05-20,0.0580,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2026-04-22,0.0440,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2026-03-18,0.0750,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2026-02-27,0.0000,0.0500,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2026-02-18,0.1200,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2026-01-21,0.1600,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-12-15,0.0800,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-11-25,0.3400,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-10-29,0.2400,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-09-26,0.3200,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-08-27,0.2800,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-07-29,0.1200,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-06-26,0.1000,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
2025-05-28,0.0800,1.0000,454.0000,0.0000,0.0000,0.0000,0,0.0580,N/A
