Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2024-01-22,,,,,,Neutro
2024-01-23,,,,,,Neutro
2024-01-24,,,,,,Neutro
2024-01-25,,,,,,Neutro
2024-01-26,,,,,,Neutro
2024-01-29,,,,,,Neutro
2024-01-30,,,,,,Neutro
2024-01-31,,,,,,Neutro
2024-02-01,,,,,,Neutro
2024-02-02,,,,,,Neutro
2024-02-05,,,,,,Neutro
2024-02-06,,,,,,Neutro
2024-02-07,,,,,,Neutro
2024-02-08,,,,,,Neutro
2024-02-09,,,,,,Neutro
2024-02-12,,,,,,Neutro
2024-02-13,,,,,,Neutro
2024-02-14,,,,,,Neutro
2024-02-15,,,,,,Neutro
2024-02-16,10.19,10.17,10.15,0.39,0.75,Neutro
2024-02-20,10.19,10.17,10.16,0.29,0.67,Neutro
2024-02-21,10.19,10.18,10.16,0.29,0.67,Neutro
2024-02-22,10.19,10.18,10.16,0.29,0.67,Neutro
2024-02-23,10.19,10.18,10.16,0.29,0.67,Neutro
2024-02-26,10.19,10.18,10.16,0.29,0.67,Neutro
2024-02-27,10.19,10.18,10.16,0.29,0.33,Neutro
2024-02-28,10.19,10.18,10.16,0.29,0.67,Neutro
2024-02-29,10.19,10.18,10.16,0.29,0.00,Sobrevendido
2024-03-01,10.19,10.18,10.16,0.29,0.67,Neutro
2024-03-04,10.20,10.18,10.16,0.39,0.75,Neutro
2024-03-05,10.20,10.18,10.16,0.39,0.50,Neutro
2024-03-06,10.20,10.18,10.16,0.39,0.50,Neutro
2024-03-07,10.20,10.18,10.16,0.39,0.50,Neutro
2024-03-08,10.20,10.18,10.16,0.39,0.50,Neutro
2024-03-11,10.20,10.18,10.16,0.39,0.75,Neutro
2024-03-12,10.20,10.18,10.16,0.39,0.50,Neutro
2024-03-13,10.20,10.18,10.16,0.39,0.75,Neutro
2024-03-14,10.20,10.18,10.16,0.39,0.50,Neutro
2024-03-15,10.20,10.18,10.16,0.39,1.00,Neutro
2024-03-18,10.20,10.18,10.16,0.39,0.75,Neutro
2024-03-19,10.20,10.18,10.16,0.39,1.00,Neutro
2024-03-20,10.20,10.18,10.16,0.39,0.75,Neutro
2024-03-21,10.20,10.18,10.16,0.39,0.75,Neutro
2024-03-22,10.21,10.18,10.16,0.49,0.60,Neutro
2024-03-25,10.21,10.18,10.16,0.49,0.60,Neutro
2024-03-26,10.21,10.19,10.16,0.49,1.00,Sobrecomprado
2024-03-27,10.23,10.19,10.15,0.79,1.00,Sobrecomprado
2024-03-28,10.24,10.20,10.15,0.88,1.00,Sobrecomprado
2024-04-01,10.26,10.20,10.14,1.18,1.00,Neutro
2024-04-02,10.28,10.21,10.13,1.47,1.00,Sobrecomprado
2024-04-03,10.29,10.21,10.13,1.57,1.00,Sobrecomprado
2024-04-04,10.30,10.21,10.13,1.66,0.65,Neutro
2024-04-05,10.30,10.22,10.14,1.57,0.69,Neutro
2024-04-08,10.30,10.22,10.14,1.57,0.62,Neutro
2024-04-09,10.30,10.22,10.15,1.47,0.60,Neutro
2024-04-10,10.30,10.23,10.15,1.47,0.60,Neutro
2024-04-11,10.30,10.23,10.16,1.37,0.64,Neutro
