Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,14653.27,12743.48,10833.69,29.97,0.03,Neutro
2016-02-02,14694.59,12730.68,10766.77,30.85,0.00,Sobrevendido
2016-02-03,14877.06,12603.08,10329.10,36.09,0.00,Sobrevendido
2016-02-04,14852.62,12398.08,9943.54,39.60,0.00,Neutro
2016-02-05,14831.82,12216.28,9600.74,42.82,0.07,Neutro
2016-02-08,14736.97,12030.48,9323.99,44.99,0.12,Neutro
2016-02-09,14614.58,11852.28,9089.98,46.61,0.16,Neutro
2016-02-10,14427.79,11660.68,8893.57,47.46,0.17,Neutro
2016-02-11,14210.65,11459.48,8708.31,48.02,0.16,Neutro
2016-02-12,14056.26,11218.28,8380.30,50.60,0.05,Neutro
2016-02-16,13925.06,11041.88,8158.70,52.22,0.18,Neutro
2016-02-17,13602.05,10831.48,8060.91,51.16,0.20,Neutro
2016-02-18,13409.85,10605.52,7801.19,52.88,0.10,Neutro
2016-02-19,13230.21,10393.12,7556.03,54.60,0.13,Neutro
2016-02-22,12919.42,10165.16,7410.90,54.19,0.15,Neutro
2016-02-23,12545.08,9941.20,7337.32,52.39,0.17,Neutro
2016-02-24,12187.19,9722.88,7258.57,50.69,0.16,Neutro
2016-02-25,11738.33,9486.48,7234.63,47.47,0.11,Neutro
2016-02-26,11415.76,9291.28,7166.80,45.73,0.14,Neutro
