Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2022-12-13,,,,,,Neutro
2022-12-14,,,,,,Neutro
2022-12-15,,,,,,Neutro
2022-12-16,,,,,,Neutro
2022-12-19,,,,,,Neutro
2022-12-20,,,,,,Neutro
2022-12-21,,,,,,Neutro
2022-12-22,,,,,,Neutro
2022-12-23,,,,,,Neutro
2022-12-27,,,,,,Neutro
2022-12-28,,,,,,Neutro
2022-12-29,,,,,,Neutro
2022-12-30,,,,,,Neutro
2023-01-03,,,,,,Neutro
2023-01-04,,,,,,Neutro
2023-01-05,,,,,,Neutro
2023-01-06,,,,,,Neutro
2023-01-09,,,,,,Neutro
2023-01-10,,,,,,Neutro
2023-01-11,37.94,27.48,17.02,76.12,1.00,Sobrecomprado
2023-01-12,39.26,28.03,16.80,80.13,0.89,Neutro
2023-01-13,40.88,28.70,16.51,84.93,0.92,Neutro
2023-01-17,42.01,29.42,16.83,85.59,0.84,Neutro
2023-01-18,42.77,30.07,17.37,84.48,0.76,Neutro
2023-01-19,43.72,30.82,17.91,83.75,0.81,Neutro
2023-01-20,44.73,31.68,18.63,82.39,0.83,Neutro
2023-01-23,45.57,32.49,19.41,80.51,0.80,Neutro
2023-01-24,46.17,33.30,20.43,77.29,0.77,Neutro
2023-01-25,46.49,34.18,21.87,72.03,0.76,Neutro
2023-01-26,46.82,34.98,23.14,67.69,0.75,Neutro
2023-01-27,46.50,35.77,25.04,59.99,0.68,Neutro
2023-01-30,45.70,36.31,26.92,51.72,0.45,Neutro
2023-01-31,44.32,36.84,29.37,40.58,0.36,Neutro
2023-02-01,42.85,37.36,31.87,29.39,0.40,Neutro
2023-02-02,42.55,37.48,32.42,27.03,0.20,Neutro
2023-02-03,42.51,37.49,32.48,26.75,0.01,Neutro
2023-02-06,42.72,37.41,32.11,28.36,0.00,Neutro
2023-02-07,43.01,37.24,31.47,30.99,0.05,Neutro
2023-02-08,43.17,36.94,30.71,33.73,0.10,Neutro
2023-02-09,43.11,36.73,30.34,34.77,0.26,Neutro
2023-02-10,43.29,36.44,29.58,37.63,0.11,Neutro
2023-02-13,43.13,36.07,29.01,39.15,0.19,Neutro
2023-02-14,43.04,35.74,28.43,40.88,0.20,Neutro
2023-02-15,43.07,35.44,27.81,43.06,0.19,Neutro
2023-02-16,42.77,35.04,27.31,44.12,0.23,Neutro
2023-02-17,42.21,34.47,26.73,44.91,0.15,Neutro
2023-02-21,41.77,33.78,25.79,47.30,0.05,Neutro
2023-02-22,41.14,33.09,25.05,48.62,0.08,Neutro
2023-02-23,40.17,32.37,24.57,48.20,0.10,Neutro
