Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2000-01-03,,,,,,Neutro
2000-01-04,,,,,,Neutro
2000-01-05,,,,,,Neutro
2000-01-06,,,,,,Neutro
2000-01-07,,,,,,Neutro
2000-01-10,,,,,,Neutro
2000-01-11,,,,,,Neutro
2000-01-12,,,,,,Neutro
2000-01-13,,,,,,Neutro
2000-01-14,,,,,,Neutro
2000-01-18,,,,,,Neutro
2000-01-19,,,,,,Neutro
2000-01-20,,,,,,Neutro
2000-01-21,,,,,,Neutro
2000-01-24,,,,,,Neutro
2000-01-25,,,,,,Neutro
2000-01-26,,,,,,Neutro
2000-01-27,,,,,,Neutro
2000-01-28,,,,,,Neutro
2000-01-31,17.03,15.52,14.01,19.46,0.52,Neutro
2000-02-01,16.81,15.45,14.10,17.54,0.56,Neutro
2000-02-02,16.69,15.38,14.08,16.96,0.33,Neutro
2000-02-03,16.50,15.29,14.08,15.83,0.26,Neutro
2000-02-04,16.46,15.18,13.90,16.86,0.02,Neutro
2000-02-07,16.55,15.07,13.59,19.64,0.00,Sobrevendido
2000-02-08,16.64,15.01,13.38,21.72,0.05,Neutro
2000-02-09,16.77,14.92,13.08,24.73,-0.00,Sobrevendido
2000-02-10,16.84,14.81,12.78,27.42,0.05,Neutro
2000-02-11,16.70,14.65,12.60,27.99,0.11,Neutro
2000-02-14,16.56,14.47,12.37,28.96,0.06,Neutro
2000-02-15,16.31,14.28,12.25,28.43,0.11,Neutro
2000-02-16,16.26,14.15,12.04,29.82,0.14,Neutro
2000-02-17,16.22,14.04,11.85,31.14,0.17,Neutro
2000-02-18,16.17,13.92,11.68,32.25,0.20,Neutro
2000-02-22,16.09,13.83,11.57,32.68,0.29,Neutro
2000-02-23,16.07,13.82,11.57,32.56,0.56,Neutro
2000-02-24,16.03,13.81,11.59,32.16,0.73,Neutro
2000-02-25,15.83,13.74,11.65,30.42,0.58,Neutro
2000-02-28,15.71,13.69,11.67,29.51,0.55,Neutro
2000-02-29,15.39,13.58,11.77,26.65,0.46,Neutro
2000-03-01,15.01,13.48,11.94,22.78,0.50,Neutro
2000-03-02,14.78,13.40,12.02,20.60,0.51,Neutro
2000-03-03,14.67,13.38,12.08,19.36,0.83,Neutro
2000-03-06,14.88,13.43,11.97,21.67,1.00,Sobrecomprado
2000-03-07,15.12,13.51,11.89,23.92,0.97,Neutro
2000-03-08,15.31,13.58,11.84,25.56,0.89,Neutro
2000-03-09,15.36,13.63,11.89,25.47,0.63,Neutro
2000-03-10,15.77,13.77,11.78,28.97,1.00,Sobrecomprado
2000-03-13,16.31,13.96,11.61,33.68,1.00,Sobrecomprado
2000-03-14,16.92,14.20,11.47,38.39,1.00,Sobrecomprado
2000-03-15,17.22,14.39,11.56,39.33,0.89,Neutro
2000-03-16,17.28,14.54,11.79,37.76,0.68,Neutro
2000-03-17,17.32,14.69,12.06,35.81,0.69,Neutro
2000-03-20,17.35,14.86,12.37,33.51,0.72,Neutro
2000-03-21,17.28,14.97,12.66,30.85,0.54,Neutro
2000-03-22,17.32,15.04,12.76,30.32,0.58,Neutro
2000-03-23,17.32,15.05,12.77,30.24,0.49,Neutro
2000-03-24,17.35,15.12,12.88,29.57,0.58,Neutro
2000-03-27,17.34,15.17,13.01,28.54,0.46,Neutro
2000-03-28,17.27,15.26,13.26,26.28,0.49,Neutro
2000-03-29,17.17,15.32,13.48,24.08,0.34,Neutro
2000-03-30,17.03,15.39,13.74,21.38,0.30,Neutro
2000-03-31,17.01,15.46,13.90,20.12,0.54,Neutro
2000-04-03,17.06,15.42,13.78,21.27,0.13,Neutro
2000-04-04,17.18,15.35,13.51,23.92,0.01,Neutro
2000-04-05,17.33,15.26,13.18,27.20,-0.00,Sobrevendido
2000-04-06,17.38,15.23,13.08,28.23,0.11,Neutro
2000-04-07,17.32,15.14,12.95,28.87,0.25,Neutro
2000-04-10,17.11,15.00,12.89,28.13,0.26,Neutro
2000-04-11,16.66,14.82,12.97,24.91,0.20,Neutro
2000-04-12,16.36,14.69,13.02,22.73,0.33,Neutro
2000-04-13,16.28,14.59,12.90,23.16,0.20,Neutro
2000-04-14,16.38,14.41,12.43,27.41,0.00,Sobrevendido
2000-04-17,16.36,14.20,12.05,30.35,0.00,Sobrevendido
2000-04-18,16.27,14.09,11.91,30.94,0.23,Neutro
2000-04-19,16.13,13.95,11.77,31.25,0.20,Neutro
2000-04-20,16.08,13.80,11.53,32.96,0.11,Neutro
2000-04-24,15.86,13.66,11.46,32.22,0.25,Neutro
2000-04-25,15.68,13.54,11.39,31.69,0.29,Neutro
2000-04-26,15.44,13.42,11.40,30.11,0.35,Neutro
2000-04-27,15.26,13.31,11.37,29.22,0.32,Neutro
2000-04-28,15.06,13.23,11.40,27.67,0.45,Neutro
2000-05-01,14.58,13.12,11.66,22.26,0.59,Neutro
2000-05-02,14.43,13.05,11.67,21.16,0.39,Neutro
2000-05-03,14.37,13.00,11.63,21.07,0.37,Neutro
2000-05-04,14.38,13.01,11.63,21.14,0.60,Neutro
2000-05-05,14.37,13.00,11.64,20.99,0.67,Neutro
2000-05-08,14.30,12.99,11.67,20.25,0.76,Neutro
2000-05-09,14.18,12.95,11.71,19.08,0.60,Neutro
2000-05-10,14.31,12.98,11.64,20.58,1.00,Sobrecomprado
2000-05-11,14.33,12.98,11.63,20.80,0.96,Neutro
2000-05-12,14.57,13.04,11.50,23.55,1.00,Sobrecomprado
2000-05-15,14.68,13.15,11.61,23.35,0.84,Neutro
2000-05-16,14.72,13.26,11.80,22.02,0.80,Neutro
2000-05-17,14.80,13.32,11.83,22.31,0.73,Neutro
2000-05-18,14.86,13.38,11.90,22.12,0.71,Neutro
2000-05-19,14.79,13.45,12.11,19.92,0.49,Neutro
2000-05-22,14.76,13.49,12.22,18.83,0.42,Neutro
2000-05-23,14.73,13.52,12.31,17.90,0.40,Neutro
