Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2026-01-12,,,,,,Neutro
2026-01-13,,,,,,Neutro
2026-01-14,,,,,,Neutro
2026-01-15,,,,,,Neutro
2026-01-16,,,,,,Neutro
2026-01-20,,,,,,Neutro
2026-01-21,,,,,,Neutro
2026-01-22,,,,,,Neutro
2026-01-23,,,,,,Neutro
2026-01-26,,,,,,Neutro
2026-01-27,,,,,,Neutro
2026-01-28,,,,,,Neutro
2026-01-29,,,,,,Neutro
2026-01-30,,,,,,Neutro
2026-02-02,,,,,,Neutro
2026-02-03,,,,,,Neutro
2026-02-04,,,,,,Neutro
2026-02-05,,,,,,Neutro
2026-02-06,,,,,,Neutro
2026-02-09,24.76,24.64,24.52,0.97,0.92,Neutro
2026-02-10,24.78,24.65,24.52,1.05,0.96,Neutro
2026-02-11,24.79,24.66,24.53,1.05,0.81,Neutro
2026-02-12,24.80,24.66,24.53,1.09,0.85,Neutro
2026-02-13,24.83,24.67,24.52,1.26,1.00,Neutro
2026-02-17,24.85,24.68,24.51,1.38,0.97,Neutro
2026-02-18,24.87,24.70,24.52,1.42,0.89,Neutro
2026-02-19,24.88,24.71,24.53,1.42,0.86,Neutro
2026-02-20,24.90,24.72,24.55,1.42,0.91,Neutro
2026-02-23,24.92,24.74,24.55,1.50,0.95,Neutro
2026-02-24,24.94,24.75,24.57,1.49,0.92,Neutro
2026-02-25,24.96,24.77,24.58,1.53,0.89,Neutro
2026-02-26,24.97,24.78,24.59,1.53,0.89,Neutro
2026-02-27,25.00,24.80,24.61,1.57,0.95,Neutro
2026-03-02,25.00,24.82,24.63,1.49,0.81,Neutro
2026-03-03,24.99,24.82,24.65,1.37,0.32,Neutro
2026-03-04,24.99,24.83,24.67,1.29,0.37,Neutro
2026-03-05,24.99,24.83,24.66,1.33,0.18,Neutro
2026-03-06,24.99,24.83,24.66,1.33,0.21,Neutro
2026-03-09,24.99,24.82,24.66,1.33,0.18,Neutro
2026-03-10,24.99,24.82,24.65,1.37,0.09,Neutro
2026-03-11,25.01,24.82,24.63,1.53,0.03,Neutro
2026-03-12,25.03,24.81,24.58,1.81,0.00,Sobrevendido
2026-03-13,25.04,24.80,24.56,1.94,0.10,Neutro
2026-03-16,25.04,24.79,24.54,2.02,0.22,Neutro
2026-03-17,25.03,24.78,24.53,2.02,0.28,Neutro
2026-03-18,25.03,24.77,24.51,2.10,0.25,Neutro
2026-03-19,25.03,24.76,24.49,2.18,0.17,Neutro
2026-03-20,25.05,24.74,24.42,2.55,0.00,Sobrevendido
2026-03-23,25.04,24.71,24.38,2.67,0.08,Neutro
2026-03-24,25.05,24.68,24.31,3.00,0.00,Sobrevendido
2026-03-25,25.03,24.65,24.27,3.08,0.07,Neutro
2026-03-26,25.00,24.62,24.24,3.09,0.12,Neutro
2026-03-27,24.96,24.59,24.21,3.05,0.11,Neutro
2026-03-30,24.90,24.56,24.21,2.81,0.22,Neutro
2026-03-31,24.88,24.54,24.21,2.73,0.37,Neutro
2026-04-01,24.84,24.53,24.21,2.57,0.44,Neutro
2026-04-02,24.82,24.52,24.22,2.45,0.58,Neutro
2026-04-06,24.80,24.51,24.22,2.37,0.62,Neutro
2026-04-07,24.77,24.50,24.23,2.20,0.56,Neutro
2026-04-08,24.78,24.50,24.23,2.24,0.85,Neutro
2026-04-09,24.79,24.51,24.22,2.33,0.88,Neutro
2026-04-10,24.82,24.52,24.22,2.45,0.83,Neutro
2026-04-13,24.84,24.52,24.21,2.57,0.84,Neutro
2026-04-14,24.85,24.53,24.21,2.61,0.80,Neutro
2026-04-15,24.85,24.53,24.20,2.65,0.77,Neutro
2026-04-16,24.86,24.53,24.20,2.69,0.77,Neutro
2026-04-17,24.90,24.54,24.19,2.89,0.87,Neutro
2026-04-20,24.93,24.56,24.20,2.97,0.85,Neutro
2026-04-21,24.95,24.58,24.21,3.01,0.77,Neutro
2026-04-22,24.96,24.61,24.25,2.89,0.77,Neutro
2026-04-23,24.97,24.63,24.29,2.76,0.76,Neutro
2026-04-24,24.98,24.66,24.34,2.60,0.78,Neutro
2026-04-27,24.96,24.68,24.41,2.23,0.76,Neutro
2026-04-28,24.94,24.71,24.47,1.90,0.66,Neutro
2026-04-29,24.92,24.72,24.51,1.66,0.56,Neutro
2026-04-30,24.91,24.73,24.56,1.42,0.57,Neutro
2026-05-01,24.90,24.74,24.59,1.25,0.58,Neutro
2026-05-04,24.89,24.75,24.61,1.13,0.50,Neutro
2026-05-05,24.85,24.76,24.67,0.73,0.56,Neutro
2026-05-06,24.86,24.77,24.68,0.73,0.78,Neutro
2026-05-07,24.86,24.77,24.69,0.69,0.71,Neutro
2026-05-08,24.86,24.78,24.69,0.69,0.82,Neutro
2026-05-11,24.87,24.78,24.70,0.69,0.88,Neutro
2026-05-12,24.87,24.79,24.70,0.69,0.47,Neutro
2026-05-13,24.87,24.79,24.71,0.65,0.12,Neutro
2026-05-14,24.86,24.79,24.72,0.56,0.36,Neutro
2026-05-15,24.89,24.78,24.67,0.89,0.00,Sobrevendido
2026-05-18,24.90,24.77,24.65,1.01,0.00,Neutro
2026-05-19,24.93,24.76,24.59,1.37,0.00,Sobrevendido
2026-05-20,24.93,24.75,24.57,1.45,0.11,Neutro
2026-05-21,24.93,24.74,24.55,1.54,0.16,Neutro
2026-05-22,24.92,24.73,24.54,1.54,0.26,Neutro
2026-05-26,24.91,24.73,24.54,1.50,0.68,Neutro
2026-05-27,24.92,24.73,24.54,1.54,0.71,Neutro
2026-05-28,24.93,24.74,24.54,1.58,0.77,Neutro
2026-05-29,24.95,24.74,24.53,1.70,0.90,Neutro
2026-06-01,24.97,24.75,24.53,1.78,0.86,Neutro
2026-06-02,25.00,24.76,24.52,1.94,0.96,Neutro
2026-06-03,25.03,24.77,24.51,2.10,0.87,Neutro
