Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,1950.80,1691.77,1432.74,30.62,0.49,Neutro
2016-02-02,1915.34,1681.24,1447.14,27.85,0.58,Neutro
2016-02-03,1893.90,1672.46,1451.03,26.48,0.49,Neutro
2016-02-04,1854.62,1657.55,1460.48,23.78,0.35,Neutro
2016-02-05,1841.60,1646.14,1450.68,23.75,0.24,Neutro
2016-02-08,1829.54,1642.63,1455.72,22.76,0.71,Neutro
2016-02-09,1813.84,1639.12,1464.40,21.32,0.83,Neutro
2016-02-10,1804.43,1632.10,1459.77,21.12,0.35,Neutro
2016-02-11,1795.03,1627.71,1460.39,20.56,0.51,Neutro
2016-02-12,1783.15,1613.67,1444.20,21.00,0.09,Neutro
2016-02-16,1784.35,1606.65,1428.96,22.12,0.18,Neutro
2016-02-17,1784.06,1599.63,1415.21,23.06,0.21,Neutro
2016-02-18,1782.12,1601.39,1420.65,22.57,0.29,Neutro
2016-02-19,1782.00,1602.26,1422.53,22.44,0.39,Neutro
2016-02-22,1774.42,1592.61,1410.81,22.83,0.22,Neutro
2016-02-23,1796.94,1601.39,1405.83,24.42,0.89,Neutro
2016-02-24,1816.48,1612.80,1409.11,25.26,0.85,Neutro
2016-02-25,1902.53,1640.00,1377.47,32.02,1.00,Sobrecomprado
2016-02-26,1927.43,1649.65,1371.87,33.68,0.85,Neutro
