Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2012-09-25,,,,,,Neutro
2012-09-26,,,,,,Neutro
2012-09-27,,,,,,Neutro
2012-09-28,,,,,,Neutro
2012-10-01,,,,,,Neutro
2012-10-02,,,,,,Neutro
2012-10-03,,,,,,Neutro
2012-10-04,,,,,,Neutro
2012-10-05,,,,,,Neutro
2012-10-08,,,,,,Neutro
2012-10-09,,,,,,Neutro
2012-10-10,,,,,,Neutro
2012-10-11,,,,,,Neutro
2012-10-12,,,,,,Neutro
2012-10-15,,,,,,Neutro
2012-10-16,,,,,,Neutro
2012-10-17,,,,,,Neutro
2012-10-18,,,,,,Neutro
2012-10-19,,,,,,Neutro
2012-10-22,2249999872.00,2249999872.00,2249999872.00,0.00,,Neutro
2012-10-23,2249999872.00,2249999872.00,2249999872.00,0.00,,Neutro
2012-10-24,2294749159.24,2254499878.40,2214250597.56,3.57,1.00,Sobrecomprado
2012-10-25,2314402794.61,2258999884.80,2203596974.99,4.91,1.00,Sobrecomprado
2012-10-26,2329442543.72,2263499891.20,2197557238.68,5.83,1.00,Sobrecomprado
2012-10-31,2341870444.01,2267999897.60,2194129351.19,6.51,0.99,Neutro
2012-11-01,2352467116.23,2272499904.00,2192532691.77,7.04,0.92,Neutro
2012-11-02,2361629253.04,2276999910.40,2192370567.76,7.43,0.87,Neutro
2012-11-05,2369584929.36,2281499916.80,2193414904.24,7.72,0.83,Neutro
2012-11-06,2376472496.06,2285999923.20,2195527350.34,7.92,0.80,Neutro
2012-11-07,2382375261.66,2290499929.60,2198624597.54,8.02,0.77,Neutro
2012-11-08,2387338119.01,2294999936.00,2202661752.99,8.05,0.74,Neutro
2012-11-09,2391375274.46,2299499942.40,2207624610.34,7.99,0.72,Neutro
2012-11-12,2394472521.66,2303999948.80,2213527375.94,7.85,0.70,Neutro
2012-11-13,2396584967.76,2308499955.20,2220414942.64,7.63,0.68,Neutro
2012-11-14,2397629304.24,2312999961.60,2228370618.96,7.32,0.66,Neutro
2012-11-15,2397467180.23,2317499968.00,2237532755.77,6.90,0.64,Neutro
2012-11-16,2395870520.81,2321999974.40,2248129427.99,6.36,0.62,Neutro
2012-11-19,2392442633.32,2326499980.80,2260557328.28,5.67,0.60,Neutro
2012-11-20,2386402897.01,2330999987.20,2275597077.39,4.75,0.58,Neutro
2012-11-21,2375749274.44,2335499993.60,2295250712.76,3.45,0.56,Neutro
2012-11-23,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-11-26,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-11-27,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-11-28,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-11-29,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-11-30,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-03,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-04,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-05,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-06,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-07,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-10,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-11,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-12,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-13,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-14,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-17,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-18,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-19,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-20,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-21,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-24,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-26,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-27,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-28,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2012-12-31,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2013-01-02,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2013-01-03,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2013-01-04,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2013-01-07,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
2013-01-08,2340000000.00,2340000000.00,2340000000.00,0.00,,Neutro
