Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,15.67,15.34,15.01,4.30,0.89,Neutro
2016-02-02,15.67,15.34,15.01,4.30,0.71,Neutro
2016-02-03,15.70,15.35,15.00,4.56,0.87,Neutro
2016-02-04,15.70,15.35,15.00,4.56,0.81,Neutro
2016-02-05,15.69,15.35,15.00,4.50,0.68,Neutro
2016-02-08,15.68,15.34,15.00,4.43,0.56,Neutro
2016-02-09,15.69,15.35,15.01,4.43,0.53,Neutro
2016-02-10,15.69,15.36,15.02,4.36,0.61,Neutro
2016-02-11,15.69,15.36,15.03,4.30,0.39,Neutro
2016-02-12,15.69,15.37,15.04,4.23,0.42,Neutro
2016-02-16,15.70,15.38,15.06,4.16,0.72,Neutro
2016-02-17,15.70,15.40,15.10,3.90,0.65,Neutro
2016-02-18,15.68,15.42,15.17,3.31,0.71,Neutro
2016-02-19,15.69,15.44,15.20,3.17,0.80,Neutro
2016-02-22,15.68,15.46,15.23,2.91,0.60,Neutro
2016-02-23,15.67,15.47,15.28,2.52,0.59,Neutro
2016-02-24,15.66,15.47,15.28,2.46,0.26,Neutro
2016-02-25,15.66,15.48,15.29,2.39,0.49,Neutro
2016-02-26,15.65,15.47,15.28,2.39,0.22,Neutro
2016-02-29,15.65,15.46,15.27,2.46,0.24,Neutro
2016-03-01,15.65,15.46,15.27,2.46,0.87,Neutro
