Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2000-01-03,,,,,,Neutro
2000-01-04,,,,,,Neutro
2000-01-05,,,,,,Neutro
2000-01-06,,,,,,Neutro
2000-01-07,,,,,,Neutro
2000-01-10,,,,,,Neutro
2000-01-11,,,,,,Neutro
2000-01-12,,,,,,Neutro
2000-01-13,,,,,,Neutro
2000-01-14,,,,,,Neutro
2000-01-18,,,,,,Neutro
2000-01-19,,,,,,Neutro
2000-01-20,,,,,,Neutro
2000-01-21,,,,,,Neutro
2000-01-24,,,,,,Neutro
2000-01-25,,,,,,Neutro
2000-01-26,,,,,,Neutro
2000-01-27,,,,,,Neutro
2000-01-28,,,,,,Neutro
2000-01-31,47.71,34.92,22.13,73.24,0.26,Neutro
2000-02-01,47.20,35.57,23.94,65.39,0.54,Neutro
2000-02-02,46.40,36.03,25.67,57.53,0.37,Neutro
2000-02-03,45.71,36.47,27.23,50.67,0.40,Neutro
2000-02-04,45.45,36.66,27.86,47.99,0.31,Neutro
2000-02-07,45.35,36.75,28.15,46.80,0.30,Neutro
2000-02-08,45.35,36.75,28.15,46.80,0.51,Neutro
2000-02-09,45.38,36.93,28.49,45.73,0.50,Neutro
2000-02-10,45.43,37.05,28.67,45.24,0.50,Neutro
2000-02-11,45.45,37.07,28.70,45.18,0.49,Neutro
2000-02-14,45.43,36.96,28.49,45.84,0.34,Neutro
2000-02-15,45.06,36.77,28.48,45.09,0.51,Neutro
2000-02-16,44.60,36.63,28.66,43.51,0.70,Neutro
2000-02-17,44.04,36.52,28.99,41.21,0.90,Neutro
2000-02-18,44.04,36.52,28.99,41.21,0.96,Neutro
2000-02-22,44.23,36.56,28.90,41.93,0.89,Neutro
2000-02-23,44.48,36.63,28.79,42.83,0.85,Neutro
2000-02-24,44.80,36.80,28.79,43.51,0.71,Neutro
2000-02-25,45.29,37.10,28.90,44.18,0.75,Neutro
2000-02-28,45.24,37.47,29.69,41.50,0.59,Neutro
2000-02-29,45.23,38.21,31.18,36.77,0.87,Neutro
2000-03-01,47.44,38.85,30.27,44.19,1.00,Sobrecomprado
2000-03-02,49.44,39.73,30.03,48.85,1.00,Sobrecomprado
2000-03-03,50.48,40.40,30.32,49.90,0.88,Neutro
2000-03-06,54.27,41.70,29.13,60.29,1.00,Sobrecomprado
2000-03-07,55.30,42.62,29.94,59.50,0.86,Neutro
2000-03-08,56.95,43.50,30.05,61.84,0.91,Neutro
2000-03-09,57.80,44.24,30.67,61.33,0.78,Neutro
2000-03-10,59.35,45.21,31.07,62.55,0.90,Neutro
2000-03-13,59.96,46.00,32.03,60.72,0.74,Neutro
2000-03-14,59.41,46.60,33.78,55.00,0.49,Neutro
2000-03-15,59.12,47.13,35.14,50.88,0.52,Neutro
2000-03-16,58.92,47.38,35.84,48.71,0.39,Neutro
2000-03-17,58.93,47.61,36.30,47.53,0.48,Neutro
2000-03-20,58.92,47.75,36.59,46.76,0.43,Neutro
2000-03-21,58.92,47.75,36.59,46.76,0.27,Neutro
2000-03-22,59.10,47.64,36.18,48.11,0.16,Neutro
2000-03-23,59.23,47.57,35.90,49.05,0.13,Neutro
2000-03-24,59.42,47.45,35.48,50.45,0.14,Neutro
2000-03-27,59.15,47.64,36.12,48.34,0.28,Neutro
2000-03-28,59.29,47.50,35.71,49.64,0.21,Neutro
2000-03-29,59.52,46.87,34.23,53.95,0.11,Neutro
2000-03-30,60.15,45.90,31.66,62.06,0.00,Sobrevendido
2000-03-31,60.43,45.16,29.90,67.60,0.11,Neutro
2000-04-03,59.25,43.59,27.93,71.85,0.00,Sobrevendido
2000-04-04,59.63,42.21,24.78,82.57,0.00,Sobrevendido
2000-04-05,58.28,40.93,23.59,84.75,0.16,Neutro
2000-04-06,56.87,40.03,23.20,84.11,0.31,Neutro
2000-04-07,54.05,39.02,23.98,77.07,0.40,Neutro
2000-04-10,51.81,38.04,24.28,72.36,0.33,Neutro
2000-04-11,50.81,37.30,23.80,72.40,0.28,Neutro
2000-04-12,49.47,36.36,23.24,72.14,0.21,Neutro
2000-04-13,48.45,35.55,22.64,72.61,0.23,Neutro
2000-04-14,46.95,34.44,21.92,72.68,0.12,Neutro
2000-04-17,45.37,33.33,21.29,72.25,0.11,Neutro
2000-04-18,44.31,32.40,20.50,73.48,0.15,Neutro
2000-04-19,43.48,31.66,19.85,74.62,0.22,Neutro
2000-04-20,42.71,30.93,19.14,76.22,0.21,Neutro
2000-04-24,41.73,30.19,18.64,76.49,0.23,Neutro
2000-04-25,39.51,29.28,19.05,69.87,0.27,Neutro
2000-04-26,37.34,28.54,19.75,61.62,0.35,Neutro
2000-04-27,35.96,27.90,19.84,57.78,0.26,Neutro
2000-04-28,35.55,27.60,19.64,57.65,0.36,Neutro
2000-05-01,35.55,27.60,19.64,57.65,0.86,Neutro
2000-05-02,36.22,27.87,19.52,59.91,0.82,Neutro
2000-05-03,36.21,28.06,19.91,58.09,0.48,Neutro
2000-05-04,36.10,27.94,19.79,58.37,0.43,Neutro
2000-05-05,35.28,27.55,19.83,56.08,0.39,Neutro
2000-05-08,33.69,27.09,20.48,48.77,0.48,Neutro
2000-05-09,32.69,26.76,20.84,44.27,0.50,Neutro
2000-05-10,32.00,26.42,20.84,42.24,0.33,Neutro
2000-05-11,31.76,26.28,20.80,41.70,0.46,Neutro
2000-05-12,31.51,26.14,20.77,41.08,0.48,Neutro
2000-05-15,31.51,26.16,20.81,40.90,0.43,Neutro
2000-05-16,31.50,26.19,20.87,40.59,0.34,Neutro
2000-05-17,31.49,26.21,20.93,40.29,0.34,Neutro
2000-05-18,31.49,26.19,20.88,40.52,0.34,Neutro
2000-05-19,31.48,26.21,20.94,40.21,0.34,Neutro
2000-05-22,31.46,26.27,21.07,39.55,0.40,Neutro
2000-05-23,31.47,26.34,21.20,38.99,0.46,Neutro
