Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2000-01-03,,,,,,Neutro
2000-01-04,,,,,,Neutro
2000-01-05,,,,,,Neutro
2000-01-06,,,,,,Neutro
2000-01-07,,,,,,Neutro
2000-01-10,,,,,,Neutro
2000-01-11,,,,,,Neutro
2000-01-12,,,,,,Neutro
2000-01-13,,,,,,Neutro
2000-01-14,,,,,,Neutro
2000-01-18,,,,,,Neutro
2000-01-19,,,,,,Neutro
2000-01-20,,,,,,Neutro
2000-01-21,,,,,,Neutro
2000-01-24,,,,,,Neutro
2000-01-25,,,,,,Neutro
2000-01-26,,,,,,Neutro
2000-01-27,,,,,,Neutro
2000-01-28,,,,,,Neutro
2000-01-31,3.68,3.51,3.35,9.40,0.24,Neutro
2000-02-01,3.67,3.50,3.34,9.42,0.33,Neutro
2000-02-02,3.67,3.50,3.33,9.72,0.15,Neutro
2000-02-03,3.67,3.49,3.31,10.32,0.19,Neutro
2000-02-04,3.66,3.48,3.30,10.35,0.17,Neutro
2000-02-07,3.64,3.47,3.30,9.80,0.32,Neutro
2000-02-08,3.60,3.46,3.32,8.09,0.75,Neutro
2000-02-09,3.59,3.46,3.32,7.81,0.48,Neutro
2000-02-10,3.58,3.45,3.32,7.54,0.38,Neutro
2000-02-11,3.58,3.45,3.32,7.54,0.31,Neutro
2000-02-14,3.58,3.44,3.31,7.84,0.26,Neutro
2000-02-15,3.56,3.44,3.31,7.28,0.32,Neutro
2000-02-16,3.54,3.43,3.31,6.71,0.43,Neutro
2000-02-17,3.52,3.42,3.32,5.85,0.45,Neutro
2000-02-18,3.49,3.41,3.34,4.39,0.47,Neutro
2000-02-22,3.49,3.41,3.34,4.40,0.27,Neutro
2000-02-23,3.49,3.41,3.33,4.69,0.06,Neutro
2000-02-24,3.49,3.41,3.32,4.99,0.12,Neutro
2000-02-25,3.49,3.40,3.31,5.29,0.22,Neutro
2000-02-28,3.49,3.40,3.31,5.30,0.17,Neutro
2000-02-29,3.49,3.40,3.31,5.30,0.78,Neutro
2000-03-01,3.49,3.40,3.31,5.30,0.61,Neutro
2000-03-02,3.49,3.40,3.30,5.59,0.26,Neutro
2000-03-03,3.49,3.40,3.30,5.59,0.47,Neutro
2000-03-06,3.49,3.40,3.31,5.30,0.39,Neutro
2000-03-07,3.49,3.40,3.30,5.59,0.42,Neutro
2000-03-08,3.46,3.39,3.32,4.13,0.29,Neutro
2000-03-09,3.45,3.38,3.32,3.84,0.54,Neutro
2000-03-10,3.44,3.38,3.32,3.55,0.50,Neutro
2000-03-13,3.44,3.38,3.32,3.55,0.25,Neutro
2000-03-14,3.44,3.38,3.32,3.55,0.33,Neutro
2000-03-15,3.44,3.38,3.32,3.55,0.58,Neutro
2000-03-16,3.46,3.38,3.31,4.43,1.00,Sobrecomprado
2000-03-17,3.51,3.39,3.28,6.78,1.00,Sobrecomprado
2000-03-20,3.52,3.40,3.27,7.36,0.92,Neutro
2000-03-21,3.55,3.40,3.26,8.52,1.00,Neutro
2000-03-22,3.58,3.42,3.26,9.37,1.00,Sobrecomprado
2000-03-23,3.62,3.43,3.24,11.07,1.00,Sobrecomprado
2000-03-24,3.70,3.45,3.21,14.18,1.00,Sobrecomprado
2000-03-27,3.74,3.47,3.20,15.54,1.00,Neutro
2000-03-28,3.88,3.51,3.13,21.39,1.00,Sobrecomprado
2000-03-29,3.98,3.54,3.10,24.89,1.00,Sobrecomprado
2000-03-30,4.06,3.57,3.08,27.44,1.00,Sobrecomprado
2000-03-31,4.24,3.62,3.00,34.21,1.00,Sobrecomprado
2000-04-03,4.34,3.67,3.00,36.52,0.95,Neutro
2000-04-04,4.47,3.72,2.98,40.01,1.00,Sobrecomprado
2000-04-05,4.56,3.78,2.99,41.58,0.90,Neutro
2000-04-06,4.64,3.83,3.02,42.34,0.85,Neutro
2000-04-07,4.71,3.88,3.05,42.79,0.84,Neutro
2000-04-10,4.75,3.93,3.12,41.47,0.77,Neutro
2000-04-11,4.77,3.98,3.19,39.68,0.75,Neutro
2000-04-12,4.77,4.03,3.28,37.02,0.65,Neutro
2000-04-13,4.78,4.07,3.35,35.16,0.69,Neutro
2000-04-14,4.78,4.10,3.42,33.15,0.63,Neutro
2000-04-17,4.77,4.14,3.52,30.17,0.63,Neutro
2000-04-18,4.75,4.18,3.62,27.01,0.65,Neutro
2000-04-19,4.72,4.22,3.73,23.44,0.66,Neutro
2000-04-20,4.69,4.26,3.84,19.94,0.71,Neutro
2000-04-24,4.65,4.29,3.92,17.02,0.53,Neutro
2000-04-25,4.58,4.32,4.06,12.04,0.58,Neutro
2000-04-26,4.57,4.33,4.10,10.84,0.60,Neutro
2000-04-27,4.53,4.35,4.17,8.27,0.53,Neutro
2000-04-28,4.49,4.37,4.24,5.73,0.44,Neutro
2000-05-01,4.48,4.36,4.25,5.27,0.65,Neutro
2000-05-02,4.48,4.37,4.26,5.03,0.64,Neutro
2000-05-03,4.47,4.37,4.27,4.58,0.70,Neutro
2000-05-04,4.46,4.36,4.27,4.35,0.58,Neutro
2000-05-05,4.46,4.36,4.27,4.35,0.63,Neutro
2000-05-08,4.46,4.36,4.27,4.35,0.89,Neutro
2000-05-09,4.48,4.37,4.26,5.03,1.00,Sobrecomprado
2000-05-10,4.50,4.38,4.25,5.71,0.96,Neutro
2000-05-11,4.50,4.39,4.27,5.24,0.78,Neutro
2000-05-12,4.52,4.39,4.27,5.69,0.96,Neutro
2000-05-15,4.57,4.41,4.26,7.02,1.00,Sobrecomprado
2000-05-16,4.61,4.43,4.25,8.13,1.00,Sobrecomprado
2000-05-17,4.65,4.44,4.24,9.22,1.00,Neutro
2000-05-18,4.68,4.46,4.24,9.87,0.95,Neutro
2000-05-19,4.69,4.46,4.24,10.08,0.69,Neutro
2000-05-22,4.69,4.47,4.26,9.61,0.60,Neutro
