Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2020-12-07,,,,,,Neutro
2020-12-08,,,,,,Neutro
2020-12-09,,,,,,Neutro
2020-12-10,,,,,,Neutro
2020-12-11,,,,,,Neutro
2020-12-14,,,,,,Neutro
2020-12-15,,,,,,Neutro
2020-12-16,,,,,,Neutro
2020-12-17,,,,,,Neutro
2020-12-18,,,,,,Neutro
2020-12-21,,,,,,Neutro
2020-12-22,,,,,,Neutro
2020-12-23,,,,,,Neutro
2020-12-24,,,,,,Neutro
2020-12-28,,,,,,Neutro
2020-12-29,,,,,,Neutro
2020-12-30,,,,,,Neutro
2020-12-31,,,,,,Neutro
2021-01-04,,,,,,Neutro
2021-01-05,17.86,17.85,17.84,0.11,0.50,Neutro
2021-01-06,17.85,17.85,17.85,0.00,,Neutro
2021-01-07,17.85,17.85,17.85,0.00,,Neutro
2021-01-08,17.85,17.85,17.85,0.00,,Neutro
2021-01-11,17.85,17.85,17.85,0.00,,Neutro
2021-01-12,17.85,17.85,17.85,0.00,,Neutro
2021-01-13,17.94,17.86,17.77,0.95,1.00,Sobrecomprado
2021-01-14,17.99,17.87,17.75,1.34,1.00,Sobrecomprado
2021-01-15,18.03,17.88,17.73,1.68,1.00,Sobrecomprado
2021-01-19,18.07,17.89,17.72,1.96,1.00,Sobrecomprado
2021-01-20,18.12,17.91,17.70,2.35,1.00,Sobrecomprado
2021-01-21,18.15,17.92,17.69,2.57,0.91,Neutro
2021-01-22,18.17,17.93,17.70,2.62,0.85,Neutro
2021-01-25,18.19,17.95,17.70,2.73,0.80,Neutro
2021-01-26,18.20,17.96,17.71,2.73,0.76,Neutro
2021-01-27,18.21,17.96,17.72,2.73,0.57,Neutro
2021-01-28,18.21,17.97,17.74,2.61,0.66,Neutro
2021-01-29,18.22,17.98,17.75,2.61,0.64,Neutro
2021-02-01,18.23,18.00,17.77,2.56,0.72,Neutro
2021-02-02,18.23,18.01,17.79,2.44,0.70,Neutro
2021-02-03,18.24,18.02,17.81,2.39,0.67,Neutro
2021-02-04,18.24,18.04,17.83,2.27,0.76,Neutro
2021-02-05,18.24,18.05,17.86,2.11,0.79,Neutro
2021-02-08,18.24,18.07,17.89,1.94,0.86,Neutro
2021-02-09,18.23,18.09,17.94,1.60,0.86,Neutro
2021-02-10,18.21,18.10,18.00,1.16,0.90,Neutro
2021-02-11,18.22,18.11,18.00,1.21,0.95,Neutro
2021-02-12,18.25,18.12,18.00,1.38,1.00,Neutro
2021-02-16,18.27,18.13,18.00,1.49,0.93,Neutro
2021-02-17,18.28,18.14,17.99,1.60,0.90,Neutro
2021-02-18,18.29,18.14,17.99,1.65,0.77,Neutro
2021-02-19,18.30,18.15,18.00,1.65,0.67,Neutro
2021-02-22,18.30,18.15,18.00,1.65,0.63,Neutro
2021-02-23,18.31,18.16,18.01,1.65,0.70,Neutro
2021-02-24,18.31,18.16,18.02,1.60,0.66,Neutro
2021-02-25,18.30,18.17,18.05,1.38,0.64,Neutro
2021-02-26,18.29,18.18,18.06,1.27,0.22,Neutro
2021-03-01,18.28,18.18,18.08,1.10,0.35,Neutro
2021-03-02,18.28,18.18,18.09,1.04,0.32,Neutro
2021-03-03,18.28,18.19,18.10,0.99,0.22,Neutro
2021-03-04,18.28,18.19,18.10,0.99,0.00,Neutro
2021-03-05,18.28,18.18,18.09,1.04,0.11,Neutro
2021-03-08,18.29,18.18,18.07,1.21,0.00,Sobrevendido
2021-03-09,18.30,18.17,18.05,1.38,0.00,Neutro
2021-03-10,18.30,18.17,18.04,1.43,0.15,Neutro
2021-03-11,18.30,18.16,18.03,1.49,0.19,Neutro
2021-03-12,18.29,18.16,18.02,1.49,0.37,Neutro
2021-03-15,18.28,18.15,18.02,1.43,0.38,Neutro
2021-03-16,18.26,18.14,18.02,1.32,0.33,Neutro
2021-03-17,18.25,18.14,18.02,1.27,0.35,Neutro
2021-03-18,18.24,18.12,18.01,1.27,0.00,Neutro
2021-03-19,18.24,18.12,18.00,1.32,0.13,Neutro
2021-03-22,18.23,18.11,18.00,1.27,0.35,Neutro
2021-03-23,18.21,18.10,18.00,1.16,0.33,Neutro
2021-03-24,18.19,18.10,18.01,0.99,0.56,Neutro
2021-03-25,18.18,18.10,18.01,0.94,1.00,Neutro
2021-03-26,18.20,18.10,18.01,1.05,0.95,Neutro
2021-03-29,18.20,18.10,18.01,1.05,0.74,Neutro
2021-03-30,18.19,18.10,18.01,0.99,0.67,Neutro
2021-03-31,18.19,18.10,18.01,0.99,0.67,Neutro
2021-04-01,18.21,18.11,18.00,1.16,1.00,Sobrecomprado
2021-04-05,18.24,18.11,17.99,1.38,1.00,Sobrecomprado
2021-04-06,18.26,18.12,17.99,1.49,0.93,Neutro
2021-04-07,18.28,18.13,17.99,1.60,1.00,Sobrecomprado
2021-04-08,18.31,18.15,17.98,1.82,1.00,Sobrecomprado
2021-04-09,18.34,18.16,17.98,1.98,0.94,Neutro
2021-04-12,18.36,18.17,17.98,2.09,0.84,Neutro
2021-04-13,18.37,18.18,17.98,2.15,0.82,Neutro
2021-04-14,18.39,18.19,17.98,2.25,0.78,Neutro
2021-04-15,18.40,18.20,17.99,2.25,0.78,Neutro
2021-04-16,18.41,18.21,18.02,2.14,0.82,Neutro
2021-04-19,18.41,18.23,18.05,1.97,0.78,Neutro
2021-04-20,18.41,18.24,18.07,1.86,0.62,Neutro
2021-04-21,18.40,18.25,18.10,1.64,0.77,Neutro
2021-04-22,18.40,18.26,18.12,1.53,0.61,Neutro
2021-04-23,18.41,18.27,18.13,1.53,0.86,Neutro
2021-04-26,18.42,18.28,18.14,1.53,0.71,Neutro
2021-04-27,18.42,18.29,18.16,1.42,0.69,Neutro
2021-04-28,18.41,18.30,18.19,1.20,0.68,Neutro
2021-04-29,18.39,18.31,18.23,0.87,0.88,Neutro
