Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2000-11-21,,,,,,Neutro
2000-11-22,,,,,,Neutro
2000-11-24,,,,,,Neutro
2000-11-27,,,,,,Neutro
2000-11-28,,,,,,Neutro
2000-11-29,,,,,,Neutro
2000-11-30,,,,,,Neutro
2000-12-01,,,,,,Neutro
2000-12-04,,,,,,Neutro
2000-12-05,,,,,,Neutro
2000-12-06,,,,,,Neutro
2000-12-07,,,,,,Neutro
2000-12-08,,,,,,Neutro
2000-12-11,,,,,,Neutro
2000-12-12,,,,,,Neutro
2000-12-13,,,,,,Neutro
2000-12-14,,,,,,Neutro
2000-12-15,,,,,,Neutro
2000-12-18,,,,,,Neutro
2000-12-19,2389.79,1662.66,935.52,87.47,0.61,Neutro
2000-12-20,2377.68,1680.47,983.25,82.98,0.42,Neutro
2000-12-21,2362.49,1692.66,1022.82,79.15,0.31,Neutro
2000-12-22,2351.42,1722.19,1092.95,73.07,0.55,Neutro
2000-12-26,2345.03,1755.00,1164.96,67.24,0.62,Neutro
2000-12-27,2328.48,1776.09,1223.70,62.20,0.46,Neutro
2000-12-28,2306.33,1798.59,1290.86,56.46,0.46,Neutro
2000-12-29,2243.92,1779.37,1314.82,52.21,0.58,Neutro
2001-01-02,2232.14,1794.84,1357.54,48.73,0.45,Neutro
2001-01-03,2218.98,1814.06,1409.14,44.64,0.52,Neutro
2001-01-04,2211.52,1822.50,1433.48,42.69,0.37,Neutro
2001-01-05,2213.44,1819.22,1425.00,43.34,0.27,Neutro
2001-01-08,2213.85,1811.72,1409.58,44.39,0.29,Neutro
2001-01-09,2216.00,1798.12,1380.25,46.48,0.21,Neutro
2001-01-10,2111.73,1761.09,1410.45,39.82,0.23,Neutro
2001-01-11,2008.70,1736.72,1464.74,31.32,0.51,Neutro
2001-01-12,1983.56,1727.34,1471.13,29.67,0.53,Neutro
2001-01-16,1985.22,1729.69,1474.15,29.55,0.51,Neutro
2001-01-17,1946.45,1717.03,1487.61,26.72,0.50,Neutro
2001-01-18,1945.22,1716.56,1487.90,26.64,0.68,Neutro
2001-01-19,2048.40,1735.31,1422.22,36.08,1.00,Sobrecomprado
2001-01-22,2101.62,1761.56,1421.50,38.61,0.98,Neutro
2001-01-23,2108.14,1788.75,1469.36,35.71,0.81,Neutro
2001-01-24,2135.13,1800.00,1464.87,37.24,0.82,Neutro
2001-01-25,2125.20,1791.09,1456.98,37.31,0.39,Neutro
2001-01-26,2129.58,1783.59,1437.60,38.80,0.21,Neutro
2001-01-29,2131.38,1785.47,1439.55,38.75,0.52,Neutro
2001-01-30,2127.06,1782.65,1438.25,38.64,0.53,Neutro
2001-01-31,2128.19,1784.06,1439.93,38.58,0.50,Neutro
2001-02-01,2148.43,1792.26,1436.10,39.74,0.78,Neutro
2001-02-02,2190.95,1811.01,1431.07,41.96,0.88,Neutro
2001-02-05,2269.55,1843.36,1417.17,46.24,1.00,Sobrecomprado
2001-02-06,2304.19,1868.67,1433.15,46.61,0.82,Neutro
2001-02-07,2297.88,1887.42,1476.97,43.49,0.55,Neutro
2001-02-08,2289.47,1892.11,1494.74,42.00,0.22,Neutro
2001-02-09,2361.66,1865.86,1370.06,53.14,0.00,Sobrevendido
2001-02-12,2400.39,1843.12,1285.86,60.47,0.00,Neutro
2001-02-13,2434.16,1819.22,1204.27,67.61,0.04,Neutro
2001-02-14,2467.10,1793.44,1119.77,75.13,0.06,Neutro
2001-02-15,2495.41,1760.16,1024.90,83.54,0.07,Neutro
2001-02-16,2464.68,1705.31,945.94,89.06,0.11,Neutro
2001-02-20,2451.20,1650.00,848.80,97.12,0.08,Neutro
2001-02-21,2444.76,1596.33,747.90,106.30,0.10,Neutro
2001-02-22,2427.39,1536.80,646.20,115.90,0.10,Neutro
