Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,13.32,12.30,11.29,16.50,0.75,Neutro
2016-02-02,13.16,12.26,11.36,14.68,0.62,Neutro
2016-02-03,13.04,12.23,11.43,13.16,0.71,Neutro
2016-02-04,12.88,12.19,11.50,11.32,0.55,Neutro
2016-02-05,12.78,12.15,11.52,10.37,0.43,Neutro
2016-02-08,12.73,12.12,11.51,10.07,0.31,Neutro
2016-02-09,12.71,12.09,11.48,10.17,0.27,Neutro
2016-02-10,12.71,12.08,11.45,10.43,0.29,Neutro
2016-02-11,12.71,12.08,11.44,10.52,0.08,Neutro
2016-02-12,12.74,12.06,11.37,11.36,0.09,Neutro
2016-02-16,12.79,12.08,11.38,11.67,0.75,Neutro
2016-02-17,12.82,12.10,11.39,11.81,0.72,Neutro
2016-02-18,12.87,12.14,11.40,12.11,0.78,Neutro
2016-02-19,12.94,12.17,11.41,12.57,0.82,Neutro
2016-02-22,12.97,12.21,11.44,12.54,0.71,Neutro
2016-02-23,13.06,12.25,11.45,13.14,0.87,Neutro
2016-02-24,13.06,12.25,11.45,13.14,0.35,Neutro
2016-02-25,13.06,12.26,11.47,12.96,0.52,Neutro
2016-02-26,13.06,12.26,11.46,13.05,0.44,Neutro
2016-02-29,13.04,12.22,11.39,13.51,0.19,Neutro
2016-03-01,12.96,12.17,11.39,12.90,0.35,Neutro
