Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2026-04-15,,,,,,Neutro
2026-04-16,,,,,,Neutro
2026-04-17,,,,,,Neutro
2026-04-20,,,,,,Neutro
2026-04-21,,,,,,Neutro
2026-04-22,,,,,,Neutro
2026-04-23,,,,,,Neutro
2026-04-24,,,,,,Neutro
2026-04-27,,,,,,Neutro
2026-04-28,,,,,,Neutro
2026-04-29,,,,,,Neutro
2026-04-30,,,,,,Neutro
2026-05-01,,,,,,Neutro
2026-05-04,,,,,,Neutro
2026-05-05,,,,,,Neutro
2026-05-06,,,,,,Neutro
2026-05-07,,,,,,Neutro
2026-05-08,,,,,,Neutro
2026-05-11,,,,,,Neutro
2026-05-12,10.14,10.02,9.91,2.29,0.83,Neutro
2026-05-13,10.15,10.03,9.92,2.29,0.83,Neutro
2026-05-14,10.15,10.04,9.93,2.19,0.77,Neutro
2026-05-15,10.15,10.05,9.94,2.09,0.76,Neutro
2026-05-18,10.16,10.05,9.95,2.09,0.71,Neutro
2026-05-19,10.16,10.06,9.96,1.99,0.70,Neutro
2026-05-20,10.16,10.07,9.98,1.79,0.67,Neutro
2026-05-21,10.15,10.07,9.99,1.59,0.69,Neutro
2026-05-22,10.15,10.07,9.99,1.59,0.56,Neutro
2026-05-26,10.16,10.07,9.99,1.69,0.76,Neutro
2026-05-27,10.16,10.08,10.00,1.59,0.75,Neutro
2026-05-28,10.16,10.09,10.01,1.49,0.73,Neutro
2026-05-29,10.16,10.09,10.02,1.39,0.79,Neutro
2026-06-01,10.16,10.10,10.04,1.19,0.83,Neutro
2026-06-02,10.16,10.10,10.04,1.19,0.83,Neutro
2026-06-03,10.16,10.10,10.05,1.09,0.64,Neutro
2026-06-04,10.15,10.11,10.07,0.79,0.88,Neutro
2026-06-05,10.15,10.11,10.07,0.79,0.88,Neutro
2026-06-08,10.19,10.12,10.05,1.38,1.00,Sobrecomprado
2026-06-09,10.21,10.13,10.04,1.68,1.00,Sobrecomprado
2026-06-10,10.23,10.13,10.04,1.87,1.00,Neutro
2026-06-11,10.24,10.14,10.04,1.97,0.95,Neutro
2026-06-12,10.26,10.15,10.04,2.17,0.86,Neutro
2026-06-15,10.27,10.15,10.04,2.27,0.83,Neutro
2026-06-16,10.28,10.16,10.04,2.36,0.88,Neutro
2026-06-17,10.29,10.17,10.05,2.36,0.83,Neutro
2026-06-18,10.30,10.18,10.05,2.46,0.80,Neutro
2026-06-22,10.30,10.18,10.06,2.36,0.79,Neutro
2026-06-23,10.31,10.19,10.08,2.26,0.74,Neutro
