Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,13.86,12.08,10.30,29.47,0.00,Sobrevendido
2016-02-02,13.78,12.05,10.32,28.70,0.68,Neutro
2016-02-03,13.78,12.05,10.32,28.71,0.59,Neutro
2016-02-04,13.96,11.93,9.89,34.13,0.00,Sobrevendido
2016-02-05,14.13,11.77,9.41,40.09,0.00,Sobrevendido
2016-02-08,14.22,11.59,8.97,45.29,0.01,Neutro
2016-02-09,14.29,11.49,8.70,48.63,0.13,Neutro
2016-02-10,14.35,11.33,8.30,53.41,0.08,Neutro
2016-02-11,14.28,11.14,8.00,56.37,0.15,Neutro
2016-02-12,14.18,10.95,7.73,58.90,0.17,Neutro
2016-02-16,13.97,10.75,7.54,59.79,0.21,Neutro
2016-02-17,13.73,10.57,7.42,59.67,0.27,Neutro
2016-02-18,13.58,10.37,7.17,61.80,0.17,Neutro
2016-02-19,13.24,10.13,7.01,61.52,0.17,Neutro
2016-02-22,12.83,9.93,7.03,58.41,0.31,Neutro
2016-02-23,12.44,9.74,7.05,55.33,0.30,Neutro
2016-02-24,12.12,9.58,7.05,52.91,0.32,Neutro
2016-02-25,11.93,9.46,6.99,52.23,0.33,Neutro
2016-02-26,11.85,9.38,6.92,52.56,0.36,Neutro
2016-02-29,11.69,9.26,6.83,52.48,0.30,Neutro
