Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,2.05,1.84,1.63,22.81,0.26,Neutro
2016-02-02,2.03,1.83,1.63,21.88,0.28,Neutro
2016-02-03,2.01,1.82,1.63,20.88,0.39,Neutro
2016-02-04,1.99,1.81,1.63,19.85,0.61,Neutro
2016-02-05,1.97,1.81,1.64,18.28,0.45,Neutro
2016-02-08,1.95,1.80,1.65,16.69,0.47,Neutro
2016-02-09,1.93,1.79,1.65,15.65,0.43,Neutro
2016-02-10,1.90,1.78,1.66,13.48,0.46,Neutro
2016-02-11,1.89,1.77,1.65,13.53,0.21,Neutro
2016-02-12,1.88,1.77,1.65,13.01,0.35,Neutro
2016-02-16,1.87,1.76,1.64,13.09,0.13,Neutro
2016-02-17,1.86,1.75,1.64,12.58,0.23,Neutro
2016-02-18,1.84,1.74,1.64,11.48,0.25,Neutro
2016-02-19,1.84,1.74,1.63,12.10,0.19,Neutro
2016-02-22,1.83,1.73,1.62,12.15,0.14,Neutro
2016-02-23,1.84,1.72,1.60,13.94,0.00,Neutro
2016-02-24,1.85,1.72,1.58,15.74,0.07,Neutro
2016-02-25,1.85,1.71,1.58,15.76,0.07,Neutro
2016-02-26,1.86,1.71,1.56,17.56,0.13,Neutro
2016-02-29,1.85,1.70,1.55,17.61,0.30,Neutro
2016-03-01,1.85,1.70,1.54,18.27,0.19,Neutro
