Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2016-01-04,,,,,,Neutro
2016-01-05,,,,,,Neutro
2016-01-06,,,,,,Neutro
2016-01-07,,,,,,Neutro
2016-01-08,,,,,,Neutro
2016-01-11,,,,,,Neutro
2016-01-12,,,,,,Neutro
2016-01-13,,,,,,Neutro
2016-01-14,,,,,,Neutro
2016-01-15,,,,,,Neutro
2016-01-19,,,,,,Neutro
2016-01-20,,,,,,Neutro
2016-01-21,,,,,,Neutro
2016-01-22,,,,,,Neutro
2016-01-25,,,,,,Neutro
2016-01-26,,,,,,Neutro
2016-01-27,,,,,,Neutro
2016-01-28,,,,,,Neutro
2016-01-29,,,,,,Neutro
2016-02-01,73.62,71.03,68.45,7.28,0.80,Neutro
2016-02-02,73.56,71.01,68.47,7.17,0.70,Neutro
2016-02-03,73.46,70.99,68.52,6.96,0.78,Neutro
2016-02-04,73.22,70.91,68.60,6.52,0.61,Neutro
2016-02-05,73.20,70.90,68.60,6.49,0.60,Neutro
2016-02-08,73.22,70.91,68.61,6.50,0.63,Neutro
2016-02-09,73.30,70.94,68.59,6.64,0.74,Neutro
2016-02-10,73.30,70.94,68.59,6.64,0.63,Neutro
2016-02-11,73.31,70.96,68.61,6.62,0.52,Neutro
2016-02-12,73.45,71.06,68.67,6.73,0.74,Neutro
2016-02-16,73.44,71.23,69.01,6.22,0.74,Neutro
2016-02-17,73.66,71.37,69.07,6.43,0.85,Neutro
2016-02-18,73.63,71.58,69.53,5.73,0.86,Neutro
2016-02-19,73.61,71.77,69.93,5.13,0.84,Neutro
2016-02-22,73.72,71.91,70.10,5.03,0.86,Neutro
2016-02-23,73.76,72.05,70.34,4.75,0.77,Neutro
2016-02-24,73.80,72.17,70.54,4.52,0.78,Neutro
2016-02-25,73.89,72.34,70.80,4.27,0.97,Neutro
2016-02-26,73.87,72.38,70.88,4.13,0.41,Neutro
2016-02-29,73.83,72.32,70.82,4.16,0.30,Neutro
2016-03-01,73.83,72.32,70.82,4.16,0.61,Neutro
