Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2018-03-05,,,,,,Neutro
2018-03-06,,,,,,Neutro
2018-03-07,,,,,,Neutro
2018-03-08,,,,,,Neutro
2018-03-09,,,,,,Neutro
2018-03-12,,,,,,Neutro
2018-03-13,,,,,,Neutro
2018-03-14,,,,,,Neutro
2018-03-15,,,,,,Neutro
2018-03-16,,,,,,Neutro
2018-03-19,,,,,,Neutro
2018-03-20,,,,,,Neutro
2018-03-21,,,,,,Neutro
2018-03-22,,,,,,Neutro
2018-03-23,,,,,,Neutro
2018-03-26,,,,,,Neutro
2018-03-27,,,,,,Neutro
2018-03-28,,,,,,Neutro
2018-03-29,,,,,,Neutro
2018-04-02,30.99,29.57,28.15,9.60,0.04,Neutro
2018-04-03,31.03,29.52,28.01,10.23,0.14,Neutro
2018-04-04,31.05,29.44,27.83,10.94,0.12,Neutro
2018-04-05,31.03,29.37,27.71,11.30,0.23,Neutro
2018-04-06,31.02,29.26,27.51,11.99,0.11,Neutro
2018-04-09,30.90,29.15,27.40,12.01,0.19,Neutro
2018-04-10,30.69,29.05,27.40,11.33,0.34,Neutro
2018-04-11,30.53,28.97,27.40,10.81,0.37,Neutro
2018-04-12,30.33,28.89,27.46,9.93,0.47,Neutro
2018-04-13,30.09,28.81,27.53,8.89,0.42,Neutro
2018-04-16,29.86,28.75,27.64,7.72,0.58,Neutro
2018-04-17,29.79,28.73,27.67,7.38,0.78,Neutro
2018-04-18,29.68,28.71,27.73,6.79,0.85,Neutro
2018-04-19,29.53,28.68,27.82,5.96,0.80,Neutro
2018-04-20,29.50,28.66,27.83,5.83,0.63,Neutro
2018-04-23,29.50,28.66,27.83,5.83,0.43,Neutro
2018-04-24,29.41,28.61,27.81,5.59,0.28,Neutro
2018-04-25,29.42,28.59,27.76,5.81,0.23,Neutro
2018-04-26,29.42,28.59,27.76,5.81,0.43,Neutro
2018-04-27,29.39,28.57,27.75,5.74,0.40,Neutro
2018-04-30,29.39,28.57,27.75,5.74,0.34,Neutro
2018-05-01,29.39,28.56,27.73,5.81,0.28,Neutro
2018-05-02,29.39,28.57,27.75,5.74,0.39,Neutro
2018-05-03,29.39,28.57,27.75,5.74,0.46,Neutro
2018-05-04,29.36,28.61,27.85,5.28,0.53,Neutro
2018-05-07,29.36,28.65,27.93,4.99,0.64,Neutro
2018-05-08,29.40,28.67,27.94,5.09,0.74,Neutro
2018-05-09,29.48,28.71,27.93,5.40,0.86,Neutro
2018-05-10,29.55,28.73,27.91,5.71,0.86,Neutro
2018-05-11,29.62,28.77,27.91,5.94,0.81,Neutro
2018-05-14,29.66,28.78,27.90,6.12,0.74,Neutro
2018-05-15,29.60,28.76,27.92,5.84,0.61,Neutro
2018-05-16,29.56,28.75,27.94,5.63,0.75,Neutro
2018-05-17,29.56,28.75,27.94,5.64,0.76,Neutro
2018-05-18,29.59,28.76,27.93,5.77,0.74,Neutro
2018-05-21,29.66,28.80,27.94,5.97,0.79,Neutro
2018-05-22,29.70,28.85,28.01,5.86,0.79,Neutro
2018-05-23,29.72,28.91,28.11,5.57,0.76,Neutro
2018-05-24,29.75,28.96,28.16,5.49,0.74,Neutro
2018-05-25,29.76,29.00,28.24,5.24,0.68,Neutro
2018-05-29,29.72,29.03,28.33,4.79,0.38,Neutro
2018-05-30,29.66,29.08,28.50,3.99,0.62,Neutro
2018-05-31,29.60,29.12,28.64,3.30,0.55,Neutro
2018-06-01,29.57,29.16,28.76,2.78,0.83,Neutro
2018-06-04,29.61,29.22,28.82,2.70,1.00,Sobrecomprado
2018-06-05,29.73,29.27,28.81,3.14,1.00,Sobrecomprado
2018-06-06,29.90,29.32,28.75,3.92,1.00,Sobrecomprado
2018-06-07,29.96,29.35,28.74,4.16,0.87,Neutro
2018-06-08,30.04,29.38,28.72,4.49,0.89,Neutro
2018-06-11,30.11,29.41,28.71,4.76,0.87,Neutro
2018-06-12,30.19,29.45,28.71,5.03,0.89,Neutro
2018-06-13,30.27,29.51,28.75,5.15,0.90,Neutro
2018-06-14,30.38,29.57,28.75,5.51,0.93,Neutro
2018-06-15,30.43,29.61,28.79,5.54,0.79,Neutro
2018-06-18,30.47,29.66,28.84,5.50,0.73,Neutro
2018-06-19,30.47,29.67,28.88,5.36,0.49,Neutro
2018-06-20,30.49,29.70,28.91,5.32,0.63,Neutro
2018-06-21,30.48,29.71,28.94,5.18,0.40,Neutro
2018-06-22,30.48,29.71,28.94,5.18,0.25,Neutro
2018-06-25,30.56,29.68,28.80,5.93,0.00,Sobrevendido
2018-06-26,30.57,29.68,28.80,5.96,0.02,Neutro
2018-06-27,30.65,29.65,28.64,6.78,0.00,Sobrevendido
2018-06-28,30.71,29.62,28.52,7.39,0.03,Neutro
2018-06-29,30.74,29.58,28.43,7.81,0.16,Neutro
2018-07-02,30.75,29.54,28.33,8.19,0.18,Neutro
2018-07-03,30.73,29.48,28.23,8.48,0.20,Neutro
