Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2021-01-05,,,,,,Neutro
2021-01-06,,,,,,Neutro
2021-01-07,,,,,,Neutro
2021-01-08,,,,,,Neutro
2021-01-11,,,,,,Neutro
2021-01-12,,,,,,Neutro
2021-01-13,,,,,,Neutro
2021-01-14,,,,,,Neutro
2021-01-15,,,,,,Neutro
2021-01-19,,,,,,Neutro
2021-01-20,,,,,,Neutro
2021-01-21,,,,,,Neutro
2021-01-22,,,,,,Neutro
2021-01-25,,,,,,Neutro
2021-01-26,,,,,,Neutro
2021-01-27,,,,,,Neutro
2021-01-28,,,,,,Neutro
2021-01-29,,,,,,Neutro
2021-02-01,,,,,,Neutro
2021-02-02,10.74,10.38,10.03,6.84,0.76,Neutro
2021-02-03,10.74,10.41,10.09,6.24,0.78,Neutro
2021-02-04,10.75,10.43,10.12,6.04,0.76,Neutro
2021-02-05,10.74,10.46,10.19,5.26,0.89,Neutro
2021-02-08,10.74,10.50,10.25,4.67,0.98,Neutro
2021-02-09,10.75,10.52,10.29,4.37,0.91,Neutro
2021-02-10,10.86,10.56,10.26,5.68,1.00,Sobrecomprado
2021-02-11,10.90,10.58,10.26,6.05,0.88,Neutro
2021-02-12,10.92,10.60,10.27,6.13,0.82,Neutro
2021-02-16,10.96,10.62,10.28,6.40,0.87,Neutro
2021-02-17,11.06,10.65,10.24,7.70,1.00,Sobrecomprado
2021-02-18,11.18,10.70,10.21,9.07,1.00,Sobrecomprado
2021-02-19,11.33,10.75,10.16,10.89,1.00,Sobrecomprado
2021-02-22,11.37,10.78,10.18,11.04,0.77,Neutro
2021-02-23,11.37,10.79,10.21,10.75,0.52,Neutro
2021-02-24,11.38,10.81,10.24,10.54,0.61,Neutro
2021-02-25,11.38,10.81,10.25,10.45,0.18,Neutro
2021-02-26,11.38,10.82,10.26,10.35,0.31,Neutro
2021-03-01,11.37,10.83,10.29,9.97,0.41,Neutro
2021-03-02,11.39,10.82,10.24,10.63,0.06,Neutro
2021-03-03,11.43,10.80,10.16,11.76,0.02,Neutro
2021-03-04,11.49,10.77,10.04,13.47,0.00,Sobrevendido
2021-03-05,11.52,10.74,9.97,14.43,0.13,Neutro
2021-03-08,11.54,10.72,9.90,15.30,0.14,Neutro
2021-03-09,11.55,10.69,9.82,16.19,0.17,Neutro
2021-03-10,11.56,10.65,9.74,17.09,0.16,Neutro
2021-03-11,11.52,10.61,9.71,17.05,0.33,Neutro
2021-03-12,11.50,10.58,9.66,17.39,0.28,Neutro
2021-03-15,11.49,10.54,9.60,17.93,0.22,Neutro
2021-03-16,11.45,10.50,9.56,17.99,0.30,Neutro
2021-03-17,11.37,10.45,9.53,17.61,0.28,Neutro
2021-03-18,11.23,10.39,9.55,16.17,0.31,Neutro
2021-03-19,10.99,10.32,9.65,12.98,0.36,Neutro
2021-03-22,10.84,10.27,9.70,11.10,0.32,Neutro
2021-03-23,10.75,10.23,9.71,10.17,0.26,Neutro
2021-03-24,10.62,10.17,9.71,8.95,0.00,Neutro
2021-03-25,10.61,10.13,9.65,9.48,0.08,Neutro
2021-03-26,10.52,10.10,9.67,8.42,0.31,Neutro
2021-03-29,10.37,10.05,9.74,6.27,0.24,Neutro
2021-03-30,10.33,10.03,9.74,5.88,0.25,Neutro
2021-03-31,10.31,10.02,9.73,5.79,0.31,Neutro
2021-04-01,10.31,10.02,9.72,5.89,0.32,Neutro
2021-04-05,10.30,10.00,9.71,5.90,0.29,Neutro
2021-04-06,10.29,10.00,9.71,5.80,0.71,Neutro
2021-04-07,10.29,10.00,9.71,5.80,0.55,Neutro
2021-04-08,10.29,10.00,9.71,5.80,0.66,Neutro
2021-04-09,10.25,9.99,9.73,5.21,0.65,Neutro
2021-04-12,10.23,9.98,9.74,4.91,0.63,Neutro
2021-04-13,10.23,9.98,9.74,4.91,0.59,Neutro
2021-04-14,10.21,9.97,9.74,4.71,0.47,Neutro
2021-04-15,10.21,9.98,9.74,4.71,0.68,Neutro
2021-04-16,10.20,9.97,9.73,4.72,0.43,Neutro
2021-04-19,10.18,9.96,9.73,4.52,0.38,Neutro
2021-04-20,10.17,9.95,9.73,4.42,0.41,Neutro
2021-04-21,10.16,9.95,9.73,4.32,0.44,Neutro
2021-04-22,10.14,9.96,9.77,3.72,0.41,Neutro
2021-04-23,10.12,9.97,9.81,3.11,0.58,Neutro
2021-04-26,10.12,9.97,9.82,3.01,0.47,Neutro
2021-04-27,10.12,9.98,9.83,2.91,0.52,Neutro
2021-04-28,10.21,10.00,9.79,4.20,1.00,Sobrecomprado
2021-04-29,10.60,10.06,9.52,10.74,1.00,Sobrecomprado
2021-04-30,10.72,10.10,9.48,12.28,1.00,Sobrecomprado
2021-05-03,10.77,10.13,9.49,12.63,0.80,Neutro
2021-05-04,10.80,10.15,9.50,12.81,0.70,Neutro
2021-05-05,10.82,10.17,9.51,12.89,0.67,Neutro
2021-05-06,10.82,10.17,9.51,12.89,0.47,Neutro
2021-05-07,10.82,10.17,9.51,12.88,0.46,Neutro
2021-05-10,10.82,10.17,9.51,12.88,0.40,Neutro
2021-05-11,10.82,10.16,9.50,12.99,0.34,Neutro
2021-05-12,10.83,10.17,9.52,12.88,0.45,Neutro
2021-05-13,10.83,10.17,9.52,12.88,0.44,Neutro
2021-05-14,10.83,10.18,9.53,12.77,0.41,Neutro
2021-05-17,10.82,10.18,9.55,12.47,0.36,Neutro
2021-05-18,10.82,10.19,9.55,12.47,0.32,Neutro
2021-05-19,10.82,10.19,9.55,12.47,0.28,Neutro
2021-05-20,10.82,10.19,9.55,12.47,0.31,Neutro
2021-05-21,10.82,10.18,9.55,12.47,0.29,Neutro
2021-05-24,10.82,10.18,9.54,12.57,0.28,Neutro
2021-05-25,10.83,10.18,9.53,12.77,0.30,Neutro
2021-05-26,10.81,10.16,9.50,12.90,0.31,Neutro
2021-05-27,10.58,10.09,9.61,9.61,0.26,Neutro
2021-05-28,10.42,10.05,9.68,7.36,0.28,Neutro
2021-06-01,10.33,10.02,9.71,6.19,0.26,Neutro
2021-06-02,10.25,9.99,9.74,5.10,0.37,Neutro
2021-06-03,10.14,9.97,9.80,3.41,0.32,Neutro
2021-06-04,10.12,9.96,9.80,3.21,0.37,Neutro
2021-06-07,10.09,9.95,9.81,2.81,0.43,Neutro
2021-06-08,10.09,9.95,9.81,2.81,0.57,Neutro
2021-06-09,10.09,9.95,9.81,2.81,0.50,Neutro
2021-06-10,10.05,9.94,9.82,2.31,0.48,Neutro
2021-06-11,10.03,9.93,9.84,1.91,0.84,Neutro
2021-06-14,10.00,9.93,9.85,1.51,0.67,Neutro
2021-06-15,9.99,9.93,9.86,1.31,0.54,Neutro
2021-06-16,9.99,9.92,9.86,1.31,0.54,Neutro
2021-06-17,9.99,9.92,9.86,1.31,0.38,Neutro
2021-06-18,9.99,9.92,9.86,1.31,0.46,Neutro
2021-06-21,9.99,9.92,9.86,1.31,0.38,Neutro
2021-06-22,9.99,9.92,9.86,1.31,0.46,Neutro
2021-06-23,9.99,9.92,9.86,1.31,0.54,Neutro
2021-06-24,9.99,9.92,9.86,1.31,0.46,Neutro
2021-06-25,9.98,9.93,9.87,1.11,0.45,Neutro
2021-06-28,9.98,9.93,9.88,1.01,0.40,Neutro
