Date,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,BB_Sinal
2017-06-22,,,,,,Neutro
2017-06-23,,,,,,Neutro
2017-06-26,,,,,,Neutro
2017-06-27,,,,,,Neutro
2017-06-28,,,,,,Neutro
2017-06-29,,,,,,Neutro
2017-06-30,,,,,,Neutro
2017-07-03,,,,,,Neutro
2017-07-05,,,,,,Neutro
2017-07-06,,,,,,Neutro
2017-07-07,,,,,,Neutro
2017-07-10,,,,,,Neutro
2017-07-11,,,,,,Neutro
2017-07-12,,,,,,Neutro
2017-07-13,,,,,,Neutro
2017-07-14,,,,,,Neutro
2017-07-17,,,,,,Neutro
2017-07-18,,,,,,Neutro
2017-07-19,,,,,,Neutro
2017-07-20,17.37,17.29,17.21,0.93,0.25,Neutro
2017-07-21,17.37,17.29,17.21,0.93,0.25,Neutro
2017-07-24,17.37,17.29,17.20,0.98,0.29,Neutro
2017-07-25,17.36,17.28,17.20,0.93,0.31,Neutro
2017-07-26,17.36,17.28,17.20,0.93,0.31,Neutro
2017-07-27,17.35,17.27,17.20,0.87,0.33,Neutro
2017-07-28,17.39,17.28,17.17,1.27,1.00,Sobrecomprado
2017-07-31,17.43,17.29,17.14,1.68,1.00,Sobrecomprado
2017-08-01,17.46,17.30,17.13,1.91,1.00,Sobrecomprado
2017-08-02,17.49,17.30,17.12,2.14,0.97,Neutro
2017-08-03,17.51,17.31,17.11,2.31,0.92,Neutro
2017-08-04,17.54,17.32,17.10,2.54,0.86,Neutro
2017-08-07,17.55,17.33,17.11,2.54,0.70,Neutro
2017-08-08,17.56,17.34,17.12,2.54,0.73,Neutro
2017-08-09,17.57,17.35,17.13,2.54,0.70,Neutro
2017-08-10,17.58,17.36,17.14,2.54,0.68,Neutro
2017-08-11,17.58,17.37,17.15,2.48,0.67,Neutro
2017-08-14,17.59,17.38,17.16,2.47,0.65,Neutro
2017-08-15,17.59,17.38,17.18,2.36,0.63,Neutro
2017-08-16,17.59,17.39,17.19,2.30,0.40,Neutro
2017-08-17,17.58,17.39,17.21,2.13,0.38,Neutro
2017-08-18,17.57,17.40,17.22,2.01,0.37,Neutro
2017-08-21,17.57,17.40,17.24,1.90,0.33,Neutro
2017-08-22,17.56,17.41,17.26,1.72,0.30,Neutro
2017-08-23,17.58,17.40,17.23,2.01,0.00,Sobrevendido
2017-08-24,17.60,17.40,17.20,2.30,0.00,Sobrevendido
2017-08-25,17.60,17.39,17.18,2.42,0.07,Neutro
2017-08-28,17.59,17.37,17.15,2.53,0.14,Neutro
2017-08-29,17.59,17.36,17.13,2.65,0.09,Neutro
2017-08-30,17.57,17.35,17.12,2.59,0.29,Neutro
2017-08-31,17.56,17.34,17.12,2.54,0.50,Neutro
2017-09-01,17.54,17.33,17.12,2.42,0.52,Neutro
2017-09-05,17.53,17.32,17.11,2.42,0.24,Neutro
2017-09-06,17.52,17.32,17.11,2.37,0.54,Neutro
2017-09-07,17.50,17.31,17.12,2.20,0.53,Neutro
2017-09-08,17.49,17.30,17.12,2.14,0.57,Neutro
2017-09-11,17.50,17.31,17.11,2.25,0.97,Neutro
2017-09-12,17.54,17.31,17.09,2.60,1.00,Sobrecomprado
2017-09-13,17.56,17.32,17.08,2.77,1.00,Sobrecomprado
2017-09-14,17.61,17.33,17.06,3.17,0.98,Neutro
2017-09-15,17.66,17.35,17.04,3.57,1.00,Neutro
2017-09-18,17.71,17.36,17.02,3.97,0.94,Neutro
2017-09-19,17.75,17.38,17.01,4.26,0.88,Neutro
2017-09-20,17.78,17.40,17.01,4.43,0.86,Neutro
2017-09-21,17.80,17.42,17.04,4.36,0.72,Neutro
2017-09-22,17.82,17.44,17.07,4.30,0.81,Neutro
2017-09-25,17.84,17.47,17.10,4.24,0.74,Neutro
2017-09-26,17.86,17.49,17.13,4.17,0.81,Neutro
2017-09-27,17.87,17.52,17.17,4.00,0.83,Neutro
2017-09-28,17.90,17.55,17.20,3.99,0.86,Neutro
2017-09-29,17.94,17.57,17.21,4.15,0.90,Neutro
2017-10-02,17.98,17.60,17.23,4.26,0.91,Neutro
2017-10-03,18.00,17.64,17.28,4.08,0.94,Neutro
2017-10-04,18.03,17.67,17.32,4.02,0.94,Neutro
2017-10-05,18.05,17.71,17.36,3.90,0.91,Neutro
2017-10-06,18.07,17.74,17.42,3.66,0.94,Neutro
2017-10-09,18.09,17.77,17.45,3.60,0.84,Neutro
2017-10-10,18.11,17.79,17.47,3.60,0.81,Neutro
2017-10-11,18.13,17.81,17.49,3.59,0.78,Neutro
2017-10-12,18.14,17.83,17.52,3.48,0.76,Neutro
2017-10-13,18.17,17.85,17.53,3.59,0.84,Neutro
2017-10-16,18.19,17.87,17.55,3.58,0.80,Neutro
2017-10-17,18.20,17.89,17.57,3.52,0.78,Neutro
2017-10-18,18.22,17.91,17.60,3.46,0.82,Neutro
2017-10-19,18.22,17.94,17.65,3.18,0.81,Neutro
2017-10-20,18.25,17.96,17.68,3.17,0.93,Neutro
2017-10-23,18.25,17.99,17.73,2.89,0.88,Neutro
2017-10-24,18.26,18.01,17.77,2.72,0.90,Neutro
2017-10-25,18.24,18.03,17.82,2.33,0.62,Neutro
2017-10-26,18.23,18.05,17.86,2.05,0.73,Neutro
2017-10-27,18.24,18.06,17.89,1.94,0.77,Neutro
2017-10-30,18.23,18.07,17.91,1.77,0.56,Neutro
2017-10-31,18.23,18.08,17.93,1.66,0.70,Neutro
2017-11-01,18.23,18.09,17.94,1.60,0.62,Neutro
2017-11-02,18.24,18.09,17.95,1.60,0.66,Neutro
2017-11-03,18.25,18.10,17.96,1.60,0.76,Neutro
2017-11-06,18.27,18.11,17.96,1.71,0.97,Neutro
2017-11-07,18.27,18.12,17.98,1.60,0.76,Neutro
2017-11-08,18.28,18.14,17.99,1.60,1.00,Neutro
2017-11-09,18.28,18.15,18.02,1.43,0.58,Neutro
2017-11-10,18.28,18.15,18.03,1.38,0.60,Neutro
2017-11-13,18.28,18.16,18.04,1.32,0.79,Neutro
2017-11-14,18.28,18.17,18.06,1.21,0.55,Neutro
2017-11-15,18.28,18.17,18.06,1.21,0.23,Neutro
2017-11-16,18.29,18.18,18.06,1.27,0.96,Neutro
2017-11-17,18.30,18.18,18.06,1.32,0.87,Neutro
2017-11-20,18.32,18.18,18.05,1.48,0.89,Neutro
2017-11-21,18.36,18.20,18.03,1.81,1.00,Sobrecomprado
2017-11-22,18.38,18.21,18.04,1.87,0.94,Neutro
2017-11-24,18.40,18.22,18.04,1.98,0.89,Neutro
2017-11-27,18.43,18.23,18.04,2.14,0.90,Neutro
2017-11-28,18.46,18.25,18.04,2.30,1.00,Sobrecomprado
2017-11-29,18.55,18.28,18.01,2.95,1.00,Sobrecomprado
2017-11-30,18.65,18.31,17.97,3.71,1.00,Sobrecomprado
2017-12-01,18.69,18.33,17.98,3.87,0.89,Neutro
2017-12-04,18.76,18.36,17.97,4.30,0.99,Neutro
2017-12-05,18.80,18.38,17.97,4.52,0.86,Neutro
2017-12-06,18.83,18.41,17.98,4.62,0.82,Neutro
2017-12-07,18.87,18.43,17.99,4.78,0.81,Neutro
2017-12-08,18.91,18.46,18.01,4.88,0.88,Neutro
2017-12-11,18.95,18.49,18.03,4.98,0.84,Neutro
2017-12-12,18.99,18.52,18.05,5.08,0.86,Neutro
2017-12-13,19.02,18.56,18.09,5.01,0.82,Neutro
2017-12-14,19.01,18.59,18.17,4.52,0.74,Neutro
2017-12-15,19.03,18.62,18.21,4.40,0.80,Neutro
2017-12-18,19.07,18.66,18.24,4.45,0.94,Neutro
2017-12-19,19.10,18.69,18.29,4.33,0.90,Neutro
2017-12-20,19.13,18.72,18.32,4.33,0.84,Neutro
2017-12-21,19.15,18.76,18.36,4.21,0.85,Neutro
2017-12-22,19.14,18.79,18.43,3.78,0.76,Neutro
2017-12-26,19.13,18.82,18.50,3.35,0.83,Neutro
2017-12-27,19.14,18.85,18.56,3.08,0.84,Neutro
2017-12-28,19.16,18.87,18.58,3.07,0.84,Neutro
2017-12-29,19.18,18.88,18.58,3.18,0.80,Neutro
2018-01-02,19.18,18.90,18.62,2.96,0.79,Neutro
2018-01-03,19.23,18.93,18.63,3.17,0.95,Neutro
2018-01-04,19.26,18.96,18.65,3.22,0.98,Neutro
